,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",7.099999999999999e-05,0.00011599999999999999,5.2000000000000004e-05,8.499999999999999e-05,3818,1662530
1,"Aug 24, 2017",8.7e-05,0.00010800000000000001,7.6e-05,8.6e-05,4305,2033680
2,"Aug 23, 2017",7.8e-05,0.00011899999999999999,7.7e-05,8.3e-05,7034,1810220
3,"Aug 22, 2017",0.000113,0.000113,7.099999999999999e-05,7.8e-05,5653,2622380
4,"Aug 21, 2017",5.6999999999999996e-05,0.000117,4.7e-05,0.00011200000000000001,16935,1330640
5,"Aug 20, 2017",8.1e-05,8.1e-05,4.8e-05,5.6999999999999996e-05,3842,1883980
6,"Aug 19, 2017",8.2e-05,8.2e-05,4.6e-05,8.1e-05,2329,1907550
7,"Aug 18, 2017",8e-05,8.6e-05,4.5e-05,5.1e-05,2530,1867330
8,"Aug 17, 2017",8.499999999999999e-05,8.6e-05,5.3e-05,8e-05,3141,1988850
9,"Aug 16, 2017",8.3e-05,8.6e-05,5.3e-05,8.6e-05,2955,1924080
10,"Aug 15, 2017",8.7e-05,0.000113,5e-05,8.3e-05,9616,2015440
11,"Aug 14, 2017",7.8e-05,0.00011999999999999999,5.9999999999999995e-05,8.6e-05,13850,1823610
12,"Aug 13, 2017",7.8e-05,0.00011,7.2e-05,7.8e-05,7979,1819420
13,"Aug 12, 2017",9.2e-05,0.000105,7.4e-05,7.8e-05,10313,2144020
14,"Aug 11, 2017",9.9e-05,0.000102,7e-05,9.300000000000001e-05,6972,2293030
15,"Aug 10, 2017",6.8e-05,0.000101,6.7e-05,9.9e-05,7275,1593030
16,"Aug 09, 2017",8.4e-05,9.6e-05,6.500000000000001e-05,7e-05,3896,1960450
17,"Aug 08, 2017",5.9e-05,9.8e-05,5.6000000000000006e-05,8.4e-05,6290,1370870
18,"Aug 07, 2017",7.6e-05,9.6e-05,5.7999999999999994e-05,5.9e-05,2905,1771120
19,"Aug 06, 2017",7.900000000000001e-05,8.9e-05,4.8e-05,7.7e-05,2540,1835110
20,"Aug 05, 2017",8e-05,9.300000000000001e-05,5.2000000000000004e-05,7.900000000000001e-05,18648,1864840
21,"Aug 04, 2017",6.7e-05,8.4e-05,5.9999999999999995e-05,8e-05,3373,1552730
22,"Aug 03, 2017",5.6000000000000006e-05,8.3e-05,5.6000000000000006e-05,6.7e-05,3490,1299020
23,"Aug 02, 2017",8.1e-05,8.4e-05,4.2e-05,5.6000000000000006e-05,5285,1893640
24,"Aug 01, 2017",8.4e-05,8.7e-05,5.4000000000000005e-05,8.1e-05,40004,1953110
25,"Jul 31, 2017",8e-05,9.8e-05,5.9e-05,8.4e-05,11648,1850520
26,"Jul 30, 2017",6.3e-05,9.7e-05,6.1e-05,7.900000000000001e-05,3515,1464270
27,"Jul 29, 2017",8.2e-05,9.7e-05,6.2e-05,6.3e-05,11681,1909780
28,"Jul 28, 2017",9.7e-05,9.9e-05,6.9e-05,8.2e-05,9862,2265950
29,"Jul 27, 2017",8.499999999999999e-05,9.9e-05,7.3e-05,9.8e-05,12908,1974690
30,"Jul 26, 2017",8.8e-05,9.1e-05,6.9e-05,8.4e-05,5745,2037440
31,"Jul 25, 2017",8.3e-05,0.00010400000000000001,6.7e-05,8.8e-05,6488,1926730
32,"Jul 24, 2017",0.0001,0.000101,7.3e-05,8.3e-05,9492,2322870
33,"Jul 23, 2017",0.0001,0.000105,7.4e-05,0.0001,11248,2323550
34,"Jul 22, 2017",8.499999999999999e-05,0.000109,7.8e-05,0.0001,4739,1966220
35,"Jul 21, 2017",8.3e-05,0.000105,5.9e-05,8.499999999999999e-05,13459,1937860
36,"Jul 20, 2017",8.4e-05,0.000106,6.4e-05,8.3e-05,14535,1955840
37,"Jul 19, 2017",7.3e-05,9.300000000000001e-05,6.9e-05,8.4e-05,5349,1691250
38,"Jul 18, 2017",7.4e-05,9.1e-05,6.1e-05,8.8e-05,13019,1710860
39,"Jul 17, 2017",5.7999999999999994e-05,7.900000000000001e-05,5.6999999999999996e-05,7.3e-05,8375,1346900
40,"Jul 16, 2017",7.2e-05,8e-05,5.6999999999999996e-05,5.7999999999999994e-05,6442,1683950
41,"Jul 15, 2017",8.6e-05,8.7e-05,6.1e-05,7.3e-05,14331,1994220
42,"Jul 14, 2017",8.6e-05,0.000105,6.6e-05,8.6e-05,25400,2004220
43,"Jul 13, 2017",9e-05,9.300000000000001e-05,6.7e-05,8.6e-05,9971,2101630
44,"Jul 12, 2017",6.9e-05,9e-05,5.7999999999999994e-05,7.2e-05,5618,1612400
45,"Jul 11, 2017",6.9e-05,9.2e-05,6.8e-05,7e-05,4001,1596510
46,"Jul 10, 2017",8e-05,0.00011899999999999999,6.8e-05,6.9e-05,8590,1866190
47,"Jul 09, 2017",8.4e-05,0.000101,7.5e-05,8e-05,3912,1945980
48,"Jul 08, 2017",7.6e-05,0.000101,6.9e-05,8.4e-05,5031,1763100
49,"Jul 07, 2017",9e-05,0.00010400000000000001,6.3e-05,8.6e-05,11033,2089100
50,"Jul 06, 2017",0.000125,0.000125,8.1e-05,9.300000000000001e-05,18055,2905590
51,"Jul 05, 2017",9.4e-05,0.000127,8.2e-05,0.000125,61345,2189890
52,"Jul 04, 2017",9.4e-05,0.000103,7.8e-05,9.4e-05,7304,2183890
53,"Jul 03, 2017",9.499999999999999e-05,0.000103,7.7e-05,9.4e-05,11246,2198620
54,"Jul 02, 2017",9.1e-05,9.9e-05,7.4e-05,9.499999999999999e-05,4348,2127030
55,"Jul 01, 2017",0.0001,0.000102,7.8e-05,9.2e-05,13983,2321510
56,"Jun 30, 2017",0.00010800000000000001,0.00011,7.8e-05,8.2e-05,25467,2510630
57,"Jun 29, 2017",0.00011100000000000001,0.000121,8.8e-05,0.00010800000000000001,18759,2577370
