,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.005021,0.005265,0.004918,0.004978,22065,2589130
1,"Aug 24, 2017",0.004806,0.005137,0.004611,0.004986,52920,2477910
2,"Aug 23, 2017",0.004658,0.00554,0.004520000000000001,0.004804,43977,2401760
3,"Aug 22, 2017",0.004441,0.004847,0.004056000000000001,0.004668,18577,2289780
4,"Aug 21, 2017",0.004625,0.004838,0.0044280000000000005,0.004431,11608,2384540
5,"Aug 20, 2017",0.00456,0.004928,0.004385,0.004804999999999999,17978,2351000
6,"Aug 19, 2017",0.004478,0.0047350000000000005,0.004266,0.004497999999999999,24090,2308800
7,"Aug 18, 2017",0.004533,0.0047020000000000005,0.004332,0.004482,17142,2337230
8,"Aug 17, 2017",0.004832,0.005027,0.0044,0.0045049999999999995,19470,2491300
9,"Aug 16, 2017",0.004444,0.004941,0.004181,0.004837,34325,2287740
10,"Aug 15, 2017",0.0045,0.004919,0.0041670000000000006,0.0044399999999999995,84321,2316550
11,"Aug 14, 2017",0.004752,0.005184,0.004318,0.0045320000000000004,49848,2446000
12,"Aug 13, 2017",0.004642,0.005075,0.004323,0.004749000000000001,41148,2389180
13,"Aug 12, 2017",0.004379999999999999,0.00601,0.004174000000000001,0.004646,116205,2254710
14,"Aug 11, 2017",0.004407,0.004649,0.003946,0.004384000000000001,21154,2268420
15,"Aug 10, 2017",0.0045130000000000005,0.005186,0.004292,0.004407,22891,2322990
16,"Aug 09, 2017",0.004479,0.004761,0.003996,0.0045130000000000005,11574,2305240
17,"Aug 08, 2017",0.004545,0.004713,0.004123,0.004482,13821,2339420
18,"Aug 07, 2017",0.004896,0.0065969999999999996,0.00439,0.004608,177273,2519880
19,"Aug 06, 2017",0.0034850000000000003,0.006391,0.003442,0.004939,340677,1793640
20,"Aug 05, 2017",0.003111,0.0037869999999999996,0.003109,0.0035159999999999996,6562,1601450
21,"Aug 04, 2017",0.0032049999999999995,0.003393,0.002921,0.003141,10225,1649740
22,"Aug 03, 2017",0.003191,0.003324,0.00299,0.003206,7520,1642470
23,"Aug 02, 2017",0.0029760000000000003,0.003493,0.002924,0.0031850000000000003,18984,1531840
24,"Aug 01, 2017",0.003009,0.0033200000000000005,0.002736,0.003031,15220,1548840
25,"Jul 31, 2017",0.003015,0.003203,0.002931,0.003008,5112,1551710
26,"Jul 30, 2017",0.003071,0.003166,0.002874,0.003012,2990,1580750
27,"Jul 29, 2017",0.003365,0.003375,0.002973,0.003072,6367,1732120
28,"Jul 28, 2017",0.003592,0.003811,0.0032340000000000003,0.003378,12960,1848950
29,"Jul 27, 2017",0.003585,0.0037450000000000005,0.0034219999999999997,0.003582,18534,1845260
30,"Jul 26, 2017",0.0033280000000000002,0.004535,0.00293,0.0036,217864,1713010
31,"Jul 25, 2017",0.0035859999999999998,0.003841,0.0030859999999999998,0.003327,5863,1845740
32,"Jul 24, 2017",0.0037670000000000004,0.003871,0.003442,0.003669,3691,1938510
33,"Jul 23, 2017",0.004021,0.004109000000000001,0.0037049999999999995,0.003771,7313,2069330
34,"Jul 22, 2017",0.0037340000000000003,0.004298,0.0037159999999999997,0.003936,9298,1921770
35,"Jul 21, 2017",0.003995,0.004174000000000001,0.0036659999999999996,0.003735,17727,2055980
36,"Jul 20, 2017",0.0030670000000000003,0.004148,0.002855,0.003994,68484,1578390
37,"Jul 19, 2017",0.002809,0.003221,0.002771,0.003076,11818,1445700
38,"Jul 18, 2017",0.002601,0.003093,0.002519,0.002805,16116,1338500
39,"Jul 17, 2017",0.002269,0.00265,0.002242,0.002594,29271,1167610
40,"Jul 16, 2017",0.002462,0.00248,0.002064,0.0022719999999999997,5204,1266790
41,"Jul 15, 2017",0.00335,0.0034799999999999996,0.002282,0.002409,50599,1723730
42,"Jul 14, 2017",0.0026920000000000004,0.0033020000000000002,0.002361,0.0032450000000000005,21999,1383760
43,"Jul 13, 2017",0.002434,0.003046,0.002411,0.002718,11963,1251160
44,"Jul 12, 2017",0.002123,0.002594,0.002013,0.002433,9801,1091110
45,"Jul 11, 2017",0.002364,0.0026969999999999997,0.0019149999999999998,0.002156,6053,1215130
46,"Jul 10, 2017",0.002975,0.0032049999999999995,0.002281,0.002369,65635,1529190
47,"Jul 09, 2017",0.0033909999999999995,0.0036509999999999997,0.0029059999999999997,0.003167,17320,1742830
48,"Jul 08, 2017",0.003479,0.003535,0.002915,0.0033880000000000004,8058,1788260
49,"Jul 07, 2017",0.004026,0.004161,0.003229,0.0034770000000000005,14499,2069010
50,"Jul 06, 2017",0.004055,0.00432,0.004005,0.004023,12311,2083880
51,"Jul 05, 2017",0.004092,0.004156,0.003839,0.004053,8068,2103140
52,"Jul 04, 2017",0.004109000000000001,0.004389,0.003987,0.0040950000000000005,53057,2111840
53,"Jul 03, 2017",0.003935,0.004520000000000001,0.003929,0.004118999999999999,10240,2022420
54,"Jul 02, 2017",0.003972,0.004006,0.003674,0.00395,7203,2041000
55,"Jul 01, 2017",0.004315,0.004632,0.003917,0.003972,10469,2217500
56,"Jun 30, 2017",0.0047350000000000005,0.004884,0.004236,0.0043170000000000005,27473,2433240
57,"Jun 29, 2017",0.004517,0.005065999999999999,0.004236,0.004397,24408,2321390
58,"Jun 28, 2017",0.0037979999999999997,0.005096,0.003704,0.004573,63944,1951570
59,"Jun 27, 2017",0.003825,0.004006,0.003439,0.003771,5700,1965510
60,"Jun 26, 2017",0.003979,0.004314,0.003616,0.003825,18759,2044630
61,"Jun 25, 2017",0.004464,0.004464,0.003909,0.003981,16850,2293760
62,"Jun 24, 2017",0.004682,0.004936,0.00417,0.0044740000000000005,17496,2405420
63,"Jun 23, 2017",0.004497,0.0050149999999999995,0.004497,0.004682,15988,2310760
64,"Jun 22, 2017",0.004272,0.005196,0.0040219999999999995,0.004497,47167,2194760
65,"Jun 21, 2017",0.0035759999999999998,0.005246,0.003547,0.004272,92627,1837440
66,"Jun 20, 2017",0.003622,0.0039770000000000005,0.0033799999999999998,0.0035759999999999998,14489,1860840
67,"Jun 19, 2017",0.00395,0.003997,0.003597,0.003622,16674,2029280
