,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.044818000000000004,0.048723,0.043886,0.047844,6158,2494750
1,"Aug 24, 2017",0.044788,0.046225,0.039448000000000004,0.044508,3558,2492920
2,"Aug 23, 2017",0.042712,0.049368,0.041785,0.045044,3871,2375310
3,"Aug 22, 2017",0.047127999999999996,0.047127999999999996,0.041372000000000006,0.042798,3778,2620440
4,"Aug 21, 2017",0.046673,0.049956,0.043901,0.046807999999999995,4118,2589930
5,"Aug 20, 2017",0.051491999999999996,0.052394,0.046848,0.046848,8021,2857250
6,"Aug 19, 2017",0.053988999999999995,0.060080999999999996,0.048318,0.053301999999999995,5309,2995560
7,"Aug 18, 2017",0.045877,0.080575,0.043680000000000004,0.055372000000000005,16736,2545340
8,"Aug 17, 2017",0.043535000000000004,0.049277999999999995,0.041293,0.046015,6934,2415340
9,"Aug 16, 2017",0.041125,0.045964,0.039819,0.043575,7144,2281560
10,"Aug 15, 2017",0.040681999999999996,0.045011,0.033599000000000004,0.041098,7845,2256770
11,"Aug 14, 2017",0.040732,0.044157,0.03397,0.038524,8665,2258710
12,"Aug 13, 2017",0.040072,0.044166000000000004,0.038952999999999995,0.040369,8916,2221160
13,"Aug 12, 2017",0.037312,0.041855,0.037192,0.040617,9130,2067540
14,"Aug 11, 2017",0.037787,0.038088,0.03506,0.037282,4047,2093410
15,"Aug 10, 2017",0.035479000000000004,0.038132,0.034533999999999995,0.03793,3284,1965370
16,"Aug 09, 2017",0.036825,0.038978,0.03428,0.035931,2322,2039560
17,"Aug 08, 2017",0.035263,0.043575,0.035023,0.038245,2656,1949990
18,"Aug 07, 2017",0.03224,0.04325,0.03224,0.035261,3961,1782510
19,"Aug 06, 2017",0.033003,0.033283999999999994,0.031009,0.032563999999999996,2338,1823930
20,"Aug 05, 2017",0.030387,0.034306,0.030112,0.033267000000000005,3772,1679160
21,"Aug 04, 2017",0.029894,0.031501,0.02885,0.030299,3823,1651500
22,"Aug 03, 2017",0.028945,0.030806,0.028765,0.030227999999999998,3106,1598420
23,"Aug 02, 2017",0.028163,0.031424,0.028031999999999998,0.028831,1865,1554260
24,"Aug 01, 2017",0.030622000000000003,0.032744999999999996,0.027213,0.030481,2051,1689060
25,"Jul 31, 2017",0.030925,0.032717,0.029258,0.030612999999999998,4914,1704650
26,"Jul 30, 2017",0.030208,0.032741,0.029209,0.030757999999999997,1872,1664410
27,"Jul 29, 2017",0.033339999999999995,0.034092000000000004,0.030057999999999998,0.030554,1639,1836530
28,"Jul 28, 2017",0.028916000000000004,0.034308,0.028916000000000004,0.033819,1921,1592800
29,"Jul 27, 2017",0.031112,0.033019,0.028744,0.029411,4711,1713590
30,"Jul 26, 2017",0.031221,0.032498,0.028929000000000003,0.031014999999999997,2460,1719280
31,"Jul 25, 2017",0.033744,0.033849000000000004,0.029688,0.030552,2083,1857800
32,"Jul 24, 2017",0.033176,0.034791,0.032383999999999996,0.032619999999999996,2492,1826420
33,"Jul 23, 2017",0.036134,0.036424,0.030402,0.033622000000000006,2633,1989160
34,"Jul 22, 2017",0.029356999999999998,0.039127999999999996,0.029312,0.035983999999999995,7554,1615220
35,"Jul 21, 2017",0.030404,0.032751999999999996,0.028704,0.029439999999999997,2677,1672790
36,"Jul 20, 2017",0.027777,0.031493,0.027048000000000003,0.030180000000000002,3612,1528190
37,"Jul 19, 2017",0.026862999999999998,0.031,0.024878,0.027687,8382,1477770
38,"Jul 18, 2017",0.026563999999999997,0.029586,0.025638,0.02682,2606,1461240
39,"Jul 17, 2017",0.022788,0.026726,0.02253,0.026726,1243,1253500
40,"Jul 16, 2017",0.024045,0.025963,0.021789,0.022812,3765,1322560
41,"Jul 15, 2017",0.026345999999999998,0.026394,0.022868,0.023881,2153,1449140
42,"Jul 14, 2017",0.02555,0.026733999999999997,0.024786000000000002,0.026114,2342,1405340
43,"Jul 13, 2017",0.026572000000000002,0.028470999999999996,0.0248,0.026121,1626,1461480
44,"Jul 12, 2017",0.025043,0.028105,0.024636,0.026847000000000003,2815,1377270
45,"Jul 11, 2017",0.027089,0.028699000000000002,0.024266,0.026023,4477,1489770
46,"Jul 10, 2017",0.031545,0.031548,0.027569999999999997,0.027804000000000002,1315,1734780
47,"Jul 09, 2017",0.031419,0.033191000000000005,0.030461000000000002,0.031244,2426,1727800
48,"Jul 08, 2017",0.033332,0.033335000000000004,0.031009,0.031409,1036,1832950
49,"Jul 07, 2017",0.03299,0.033128,0.030825,0.03307,2434,1813900
50,"Jul 06, 2017",0.032475,0.033735,0.029804,0.032341,3545,1785480
51,"Jul 05, 2017",0.034416,0.03447,0.032169,0.032477,2496,1892140
52,"Jul 04, 2017",0.033256,0.035329,0.032662000000000004,0.034101,6774,1828280
53,"Jul 03, 2017",0.033697000000000005,0.035293,0.030274000000000002,0.033049,4131,1852480
54,"Jul 02, 2017",0.031766,0.036545999999999995,0.030849,0.034964999999999996,2932,1746070
55,"Jul 01, 2017",0.029539,0.035816,0.028967000000000003,0.032222,5793,1623500
56,"Jun 30, 2017",0.030504000000000003,0.034276999999999995,0.028107999999999998,0.030118000000000002,4615,1676490
57,"Jun 29, 2017",0.031406,0.032473,0.029414,0.030445999999999997,2010,1725960
58,"Jun 28, 2017",0.028626,0.032651,0.026639,0.03128,2580,1573120
59,"Jun 27, 2017",0.027638,0.031385,0.025474,0.028425,3258,1518580
60,"Jun 26, 2017",0.033374,0.033505,0.026398,0.027638,4311,1833510
61,"Jun 25, 2017",0.032019,0.035253,0.031911,0.033236,5797,1758920
62,"Jun 24, 2017",0.036708,0.037762000000000004,0.031938999999999995,0.032087,4705,2016410
63,"Jun 23, 2017",0.03377,0.038256,0.031139,0.036386,5842,1854890
64,"Jun 22, 2017",0.032401,0.036369,0.031012,0.033723,5003,1779480
65,"Jun 21, 2017",0.035148,0.035503,0.029473000000000003,0.033112,5188,1930120
