,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1e-06,1e-06,1e-06,1e-06,20,-
1,"Aug 24, 2017",2e-06,2e-06,1e-06,1e-06,33,-
2,"Aug 23, 2017",1e-06,2e-06,1e-06,2e-06,96,-
3,"Aug 22, 2017",1e-06,1e-06,1e-06,1e-06,13,-
4,"Aug 21, 2017",1e-06,1e-06,1e-06,1e-06,20,-
5,"Aug 20, 2017",1e-06,2e-06,1e-06,1e-06,42,-
6,"Aug 19, 2017",1e-06,1e-06,1e-06,1e-06,12,-
7,"Aug 18, 2017",1e-06,1e-06,1e-06,1e-06,11,-
8,"Aug 17, 2017",2e-06,2e-06,9.000000000000001e-07,1e-06,389,-
9,"Aug 16, 2017",1e-06,2e-06,8.6e-07,2e-06,450,-
10,"Aug 15, 2017",9.2e-07,1e-06,8.5e-07,1e-06,133,-
11,"Aug 14, 2017",1e-06,2e-06,9.1e-07,9.2e-07,68,-
12,"Aug 13, 2017",1e-06,1e-06,9.7e-07,1e-06,92,-
13,"Aug 12, 2017",1e-06,1e-06,1e-06,1e-06,173,-
14,"Aug 11, 2017",1e-06,1e-06,9.6e-07,1e-06,266,-
15,"Aug 10, 2017",1e-06,2e-06,9.6e-07,1e-06,316,-
16,"Aug 09, 2017",1e-06,1e-06,1e-06,1e-06,51,-
17,"Aug 08, 2017",2e-06,2e-06,1e-06,1e-06,12,-
18,"Aug 07, 2017",1e-06,2e-06,9.4e-07,2e-06,132,-
19,"Aug 06, 2017",2e-06,2e-06,9.2e-07,1e-06,32,-
20,"Aug 05, 2017",1e-06,2e-06,1e-06,2e-06,11,-
21,"Aug 04, 2017",1e-06,1e-06,9.5e-07,1e-06,360,-
22,"Aug 03, 2017",1e-06,2e-06,9.3e-07,1e-06,57,-
23,"Aug 02, 2017",2e-06,2e-06,9.2e-07,1e-06,103,-
24,"Aug 01, 2017",1e-06,2e-06,1e-06,2e-06,12,-
25,"Jul 31, 2017",2e-06,2e-06,1e-06,1e-06,27,-
26,"Jul 30, 2017",2e-06,2e-06,2e-06,2e-06,88,-
27,"Jul 29, 2017",2e-06,2e-06,1e-06,2e-06,54,-
28,"Jul 28, 2017",2e-06,2e-06,1e-06,2e-06,94,-
29,"Jul 27, 2017",2e-06,2e-06,1e-06,2e-06,18,-
30,"Jul 26, 2017",2e-06,2e-06,2e-06,2e-06,358,-
31,"Jul 25, 2017",2e-06,2e-06,1e-06,2e-06,250,-
32,"Jul 24, 2017",2e-06,2e-06,1e-06,2e-06,316,-
33,"Jul 23, 2017",2e-06,2e-06,1e-06,2e-06,71,-
34,"Jul 22, 2017",2e-06,2e-06,9.7e-07,2e-06,224,-
35,"Jul 21, 2017",2e-06,2e-06,1e-06,2e-06,11,-
36,"Jul 20, 2017",2e-06,2e-06,1e-06,2e-06,22,-
37,"Jul 19, 2017",1e-06,2e-06,1e-06,2e-06,702,-
38,"Jul 18, 2017",1e-06,2e-06,9.7e-07,1e-06,435,-
39,"Jul 17, 2017",2e-06,2e-06,1e-06,1e-06,64,-
40,"Jul 16, 2017",2e-06,2e-06,1e-06,2e-06,144,-
41,"Jul 15, 2017",1e-06,2e-06,9.6e-07,2e-06,31,-
42,"Jul 14, 2017",1e-06,2e-06,1e-06,1e-06,555,-
43,"Jul 13, 2017",1e-06,2e-06,1e-06,1e-06,328,-
44,"Jul 12, 2017",1e-06,2e-06,9.4e-07,1e-06,109,-
45,"Jul 11, 2017",2e-06,2e-06,1e-06,1e-06,128,-
46,"Jul 10, 2017",2e-06,2e-06,2e-06,2e-06,11,-
47,"Jul 09, 2017",2e-06,2e-06,2e-06,2e-06,41,-
48,"Jul 08, 2017",2e-06,2e-06,2e-06,2e-06,65,-
49,"Jul 07, 2017",2e-06,2e-06,2e-06,2e-06,138,-
50,"Jul 06, 2017",2e-06,2e-06,2e-06,2e-06,100,-
51,"Jul 05, 2017",2e-06,3e-06,2e-06,2e-06,307,-
52,"Jul 04, 2017",2e-06,3e-06,2e-06,2e-06,181,-
53,"Jul 03, 2017",2e-06,3e-06,2e-06,2e-06,162,-
54,"Jul 02, 2017",2e-06,2e-06,2e-06,2e-06,393,-
55,"Jul 01, 2017",2e-06,2e-06,2e-06,2e-06,55,-
56,"Jun 30, 2017",3e-06,3e-06,2e-06,2e-06,156,-
57,"Jun 29, 2017",3e-06,3e-06,2e-06,2e-06,246,-
58,"Jun 28, 2017",2e-06,3e-06,2e-06,3e-06,231,-
59,"Jun 27, 2017",3e-06,3e-06,2e-06,2e-06,130,-
60,"Jun 26, 2017",2e-06,3e-06,2e-06,3e-06,710,-
61,"Jun 25, 2017",2e-06,3e-06,2e-06,2e-06,919,-
62,"Jun 24, 2017",3e-06,3e-06,2e-06,2e-06,764,-
