,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.3e-05,4.5e-05,4.3e-05,4.4e-05,134,90182
1,"Aug 24, 2017",4.1e-05,4.4e-05,4.1e-05,4.3e-05,5,86311
2,"Aug 23, 2017",4.1e-05,4.3e-05,4.1e-05,4.1e-05,9,85304
3,"Aug 22, 2017",3.7e-05,4.1e-05,3.4e-05,4.1e-05,5,76944
4,"Aug 21, 2017",3.9e-05,4e-05,2.8000000000000003e-05,3.7e-05,7,81914
5,"Aug 20, 2017",4.1e-05,4.1e-05,3.9e-05,3.9e-05,42,86360
6,"Aug 19, 2017",3.3e-05,4.2e-05,3.2e-05,4.2e-05,23,68763
7,"Aug 18, 2017",4.4e-05,4.4e-05,3.2e-05,3.3e-05,4,90627
8,"Aug 17, 2017",8.2e-05,8.7e-05,4.2e-05,4.4e-05,82,170662
9,"Aug 16, 2017",4.2e-05,8.7e-05,4.1e-05,8.2e-05,10,87245
10,"Aug 15, 2017",4.6e-05,4.7e-05,3.9e-05,4.2e-05,43,94989
11,"Aug 14, 2017",4.1e-05,4.6e-05,4e-05,4.6e-05,243,84533
12,"Aug 13, 2017",3.9e-05,4.2e-05,3.9e-05,4.1e-05,38,80585
13,"Aug 12, 2017",5.5e-05,7.4e-05,3.8e-05,3.9e-05,220,115225
14,"Aug 11, 2017",3.4e-05,5.6000000000000006e-05,3.4e-05,5.5e-05,14,71066
15,"Aug 10, 2017",3.6e-05,3.6e-05,3.4e-05,3.4e-05,0,73880
16,"Aug 09, 2017",3.4e-05,4.3e-05,3.3e-05,3.6e-05,43,71118
17,"Aug 08, 2017",3.2e-05,3.5e-05,3.1e-05,3.4e-05,74,65756
18,"Aug 07, 2017",4.6e-05,4.8e-05,2.9999999999999997e-05,3.2e-05,102,96165
19,"Aug 06, 2017",3.1e-05,4.7e-05,2.9999999999999997e-05,4.6e-05,64,63789
20,"Aug 05, 2017",6.3e-05,8.7e-05,2.9999999999999997e-05,3.1e-05,23,131730
21,"Aug 04, 2017",5.3e-05,6.4e-05,2.8000000000000003e-05,6.3e-05,152,110071
22,"Aug 03, 2017",5.4000000000000005e-05,5.4000000000000005e-05,5.2000000000000004e-05,5.3e-05,33,112203
23,"Aug 02, 2017",4.3e-05,8.2e-05,2.8999999999999997e-05,5.4000000000000005e-05,103,90067
24,"Aug 01, 2017",5.5e-05,5.5e-05,4e-05,4.3e-05,3,113491
25,"Jul 31, 2017",4.3e-05,8.4e-05,3.4e-05,5.4000000000000005e-05,103,89930
26,"Jul 30, 2017",3.7e-05,4.5e-05,2.5e-05,4.3e-05,50,77105
27,"Jul 29, 2017",3.3e-05,7.8e-05,3.1e-05,3.7e-05,1,69027
28,"Jul 28, 2017",2.9999999999999997e-05,3.3e-05,2.8000000000000003e-05,3.3e-05,315,61368
29,"Jul 27, 2017",5.3e-05,5.4000000000000005e-05,2.5e-05,2.8999999999999997e-05,382,110732
30,"Jul 26, 2017",2.6000000000000002e-05,5.4000000000000005e-05,2.4e-05,5.3e-05,215,53163
31,"Jul 25, 2017",2.8000000000000003e-05,5.5e-05,2.5e-05,2.6000000000000002e-05,28,57732
32,"Jul 24, 2017",2.8000000000000003e-05,5.6000000000000006e-05,2.7000000000000002e-05,2.8000000000000003e-05,677,57102
33,"Jul 23, 2017",4.2e-05,5.5e-05,2.7000000000000002e-05,2.8000000000000003e-05,119,86781
34,"Jul 22, 2017",6.2e-05,7.900000000000001e-05,3.8e-05,4.2e-05,50,127679
35,"Jul 21, 2017",7.3e-05,7.4e-05,5.2000000000000004e-05,6.2e-05,85,150844
36,"Jul 20, 2017",3.2e-05,7.6e-05,2.3e-05,7.2e-05,252,65363
37,"Jul 19, 2017",2.5e-05,4.1e-05,1.9e-05,3.1e-05,94,51216
38,"Jul 18, 2017",2.2e-05,4.7e-05,2.2e-05,2.5e-05,105,46233
39,"Jul 17, 2017",4e-05,4.1e-05,1.9e-05,2.2e-05,68,83902
40,"Jul 16, 2017",3.8e-05,4.9e-05,3.4e-05,4e-05,37,78442
41,"Jul 15, 2017",4.4e-05,4.5e-05,2.1e-05,3.8e-05,174,91995
42,"Jul 14, 2017",3.2e-05,4.6e-05,2.2e-05,4.4e-05,143,67228
43,"Jul 13, 2017",5.1e-05,6.1e-05,3.2e-05,3.2e-05,170,106292
44,"Jul 12, 2017",2.5e-05,5.2000000000000004e-05,2.3e-05,5.1e-05,53,52729
