,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",10.25,13.08,10.15,10.31,324,347246
1,"Aug 24, 2017",8.81,21.18,8.74,10.27,182,298246
2,"Aug 23, 2017",8.9,17.71,8.68,8.81,215,301112
3,"Aug 22, 2017",8.93,9.32,8.11,8.92,61,302000
4,"Aug 21, 2017",8.89,9.91,8.7,8.91,95,300605
5,"Aug 20, 2017",8.5,11.43,8.1,8.92,535,287171
6,"Aug 19, 2017",8.64,12.89,8.23,8.54,212,291826
7,"Aug 18, 2017",9.4,9.48,6.18,8.61,669,317567
8,"Aug 17, 2017",13.25,13.29,9.43,9.43,2711,447489
9,"Aug 16, 2017",11.8,14.02,9.24,13.26,1110,398555
10,"Aug 15, 2017",11.27,13.69,8.9,11.79,1707,380324
11,"Aug 14, 2017",13.38,14.01,10.25,11.24,1310,451404
12,"Aug 13, 2017",16.72,19.69,10.63,13.37,1374,563980
13,"Aug 12, 2017",17.58,18.85,14.92,16.74,577,592789
14,"Aug 11, 2017",17.32,25.28,15.29,17.59,742,583919
15,"Aug 10, 2017",14.18,24.2,14.18,17.33,1598,477733
16,"Aug 09, 2017",13.98,17.87,13.67,14.18,491,470666
17,"Aug 08, 2017",16.59,16.7,12.84,13.99,481,558573
18,"Aug 07, 2017",15.37,20.92,12.43,16.58,847,517088
19,"Aug 06, 2017",15.76,16.25,15.24,15.4,234,530048
20,"Aug 05, 2017",14.36,16.25,14.03,15.75,429,482850
21,"Aug 04, 2017",14.71,17.42,12.31,14.36,544,494711
22,"Aug 03, 2017",13.61,28.92,13.61,14.71,1089,457475
23,"Aug 02, 2017",14.56,28.31,12.29,13.59,994,489275
24,"Aug 01, 2017",14.82,15.11,13.82,14.56,792,497882
25,"Jul 31, 2017",11.91,16.21,11.7,14.82,790,399708
26,"Jul 30, 2017",11.77,11.97,11.31,11.9,367,394813
27,"Jul 29, 2017",12.04,12.21,11.58,11.77,206,403925
28,"Jul 28, 2017",11.13,12.19,11.13,12.09,483,373158
29,"Jul 27, 2017",10.39,12.66,10.03,11.1,276,348167
30,"Jul 26, 2017",11.9,11.95,9.62,10.36,371,398365
31,"Jul 25, 2017",11.15,13.59,10.13,11.88,386,372208
32,"Jul 24, 2017",12.02,13.01,11.34,11.52,924,401028
33,"Jul 23, 2017",15.84,15.93,11.9,12.03,159,528266
34,"Jul 22, 2017",11.46,17.35,11.41,15.84,773,381930
35,"Jul 21, 2017",11.99,12.39,11.22,11.46,226,399359
36,"Jul 20, 2017",9.78,12.26,9.66,11.9,247,325244
37,"Jul 19, 2017",13.25,13.59,9.58,9.63,325,440247
38,"Jul 18, 2017",12.46,14.91,11.93,13.23,193,413738
39,"Jul 17, 2017",10.83,13.17,10.17,12.43,221,359580
40,"Jul 16, 2017",11.86,14.1,10.55,10.84,103,393733
41,"Jul 15, 2017",13.87,14.2,11.22,11.9,251,460197
42,"Jul 14, 2017",17.19,21.85,12.97,13.89,918,569950
43,"Jul 13, 2017",14.43,18.25,11.01,17.2,823,478422
44,"Jul 12, 2017",11.04,14.42,10.79,14.42,418,365795
45,"Jul 11, 2017",11.63,13.19,10.97,11.1,239,385222
46,"Jul 10, 2017",13.69,14.05,11.33,11.66,146,453214
47,"Jul 09, 2017",16.4,18.55,13.66,13.66,523,542772
48,"Jul 08, 2017",15.43,16.57,13.04,16.41,206,510374
49,"Jul 07, 2017",25.14,25.54,15.26,15.41,607,831619
50,"Jul 06, 2017",30.57,30.58,24.44,25.13,435,1011010
51,"Jul 05, 2017",29.18,35.92,26.3,30.56,744,964662
52,"Jul 04, 2017",27.53,30.95,27.53,29.19,601,910087
53,"Jul 03, 2017",30.62,39.16,20.57,27.6,1280,1012040
54,"Jul 02, 2017",42.69,52.68,29.63,30.73,1258,1410530
55,"Jul 01, 2017",36.86,250.54,28.88,42.69,3632,1217410
56,"Jun 30, 2017",44.24,53.81,31.89,39.53,3655,1460800
57,"Jun 29, 2017",31.01,59.08,30.52,44.16,6064,1023140
58,"Jun 28, 2017",25.08,55.44,20.02,31.04,6089,827288
59,"Jun 27, 2017",25.57,34.27,17.26,24.92,3218,842962
60,"Jun 26, 2017",30.17,30.23,23.75,25.57,835,994372
61,"Jun 25, 2017",38.35,38.35,29.5,30.19,2428,1263680
62,"Jun 24, 2017",40.42,41.97,37.94,38.44,2321,1330510
63,"Jun 23, 2017",37.61,43.26,28.45,40.43,2384,1237400
64,"Jun 22, 2017",32.16,37.61,25.9,37.61,1873,1057440
65,"Jun 21, 2017",26.91,45.72,24.65,32.16,840,884320
66,"Jun 20, 2017",21.73,48.85,21.33,26.91,3988,713710
67,"Jun 19, 2017",24.76,27.25,20.51,21.74,1017,812842
68,"Jun 18, 2017",27.6,27.6,21.25,21.25,740,905728
69,"Jun 17, 2017",19.55,37.45,19.55,27.59,2733,641343
70,"Jun 16, 2017",18.54,24.98,15.62,19.55,1687,607864
