,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",2.21,2.72,2.17,2.34,26630,1347230
1,"Aug 24, 2017",2.39,2.42,2.06,2.21,16877,1451040
2,"Aug 23, 2017",2.31,2.54,2.19,2.19,21384,1386980
3,"Aug 22, 2017",2.37,2.56,2.0,2.32,10816,1412390
4,"Aug 21, 2017",2.63,2.65,1.92,2.37,39739,1438200
5,"Aug 20, 2017",2.58,2.78,2.4,2.64,20270,1182640
6,"Aug 19, 2017",2.43,3.01,2.36,2.6,17974,1104160
7,"Aug 18, 2017",2.47,2.93,2.31,2.43,11797,1118000
8,"Aug 17, 2017",2.33,2.62,2.27,2.48,7417,1046980
9,"Aug 16, 2017",2.44,2.57,2.17,2.33,10113,1087480
10,"Aug 15, 2017",2.42,2.73,1.99,2.44,10297,1062140
11,"Aug 14, 2017",2.4,2.69,2.33,2.47,8017,1044810
12,"Aug 13, 2017",2.41,2.74,2.24,2.39,8336,1021190
13,"Aug 12, 2017",2.42,2.83,2.36,2.42,20721,947098
14,"Aug 11, 2017",2.17,2.57,1.97,2.42,19207,820661
15,"Aug 10, 2017",2.08,2.21,1.84,2.17,16254,774814
16,"Aug 09, 2017",1.94,2.19,1.69,2.08,18034,718370
17,"Aug 08, 2017",1.9,2.25,1.89,1.95,8947,689994
18,"Aug 07, 2017",2.24,2.26,1.77,1.83,21800,793905
19,"Aug 06, 2017",2.28,2.65,1.89,2.21,7733,798811
20,"Aug 05, 2017",2.22,2.54,1.58,2.28,76645,751259
21,"Aug 04, 2017",2.27,2.69,1.73,2.39,15628,763618
22,"Aug 03, 2017",1.49,2.47,1.43,2.27,32297,494885
23,"Aug 02, 2017",1.3,1.68,1.26,1.48,9454,423532
24,"Aug 01, 2017",1.46,1.63,1.28,1.3,3006,474971
25,"Jul 31, 2017",1.44,1.75,1.4,1.46,14927,463534
26,"Jul 30, 2017",1.47,1.73,1.32,1.56,7406,450173
27,"Jul 29, 2017",1.26,1.71,1.13,1.47,3105,379400
28,"Jul 28, 2017",1.52,1.59,1.25,1.26,2158,459194
29,"Jul 27, 2017",1.26,1.63,1.23,1.52,6957,378919
30,"Jul 26, 2017",1.57,1.65,1.1,1.26,12000,466458
31,"Jul 25, 2017",1.78,1.79,1.33,1.57,3546,510420
32,"Jul 24, 2017",1.65,1.92,1.29,1.78,11145,468105
33,"Jul 23, 2017",1.7,1.91,1.26,1.65,8113,475209
34,"Jul 22, 2017",1.87,2.32,1.34,1.7,12471,515649
35,"Jul 21, 2017",2.02,2.1,1.08,1.87,23287,766614
36,"Jul 20, 2017",2.05,2.5,1.83,2.01,12244,775940
37,"Jul 19, 2017",2.38,2.79,1.85,2.06,9224,899734
38,"Jul 18, 2017",1.87,2.39,1.71,2.37,6985,707330
39,"Jul 17, 2017",1.47,2.07,1.42,1.86,2935,558315
40,"Jul 16, 2017",1.57,1.79,1.32,1.48,7539,595364
41,"Jul 15, 2017",2.22,2.22,1.54,1.55,5695,306958
42,"Jul 14, 2017",2.04,2.24,1.69,2.22,10460,282308
43,"Jul 13, 2017",2.27,2.59,1.97,2.04,11356,313955
44,"Jul 12, 2017",2.24,2.87,2.11,2.74,20659,310031
45,"Jul 11, 2017",2.39,2.57,2.14,2.55,9725,330465
46,"Jul 10, 2017",3.19,3.66,2.33,2.39,20189,442191
47,"Jul 09, 2017",2.6,3.53,2.58,3.19,8538,360305
48,"Jul 08, 2017",2.81,3.05,2.12,2.6,7763,389731
49,"Jul 07, 2017",1.98,3.17,1.98,2.81,3679,274223
50,"Jul 06, 2017",2.78,3.49,1.98,1.98,7666,385611
51,"Jul 05, 2017",1.61,3.78,1.61,2.78,18961,223597
52,"Jul 04, 2017",1.56,1.81,1.56,1.62,2257,216665
53,"Jul 03, 2017",1.8,1.85,1.49,1.57,6451,249078
54,"Jul 02, 2017",1.81,2.39,1.55,1.81,3825,250051
55,"Jul 01, 2017",2.97,3.57,1.48,1.81,27295,411296
56,"Jun 30, 2017",2.49,3.6,1.57,2.97,15517,345445
57,"Jun 29, 2017",1.26,3.29,1.25,2.49,29264,173869
58,"Jun 28, 2017",1.24,1.4,1.19,1.26,2489,171219
59,"Jun 27, 2017",1.18,1.28,1.11,1.23,1686,163684
60,"Jun 26, 2017",1.27,1.65,1.12,1.25,3156,175422
61,"Jun 25, 2017",1.64,1.67,1.23,1.27,2248,227536
62,"Jun 24, 2017",1.48,1.66,1.24,1.65,3128,203533
63,"Jun 23, 2017",1.1,1.76,1.02,1.49,5201,148802
64,"Jun 22, 2017",1.07,1.25,0.8746010000000001,1.12,11330,142502
65,"Jun 21, 2017",1.01,1.71,1.01,1.07,10794,132919
66,"Jun 20, 2017",1.1,1.1,1.0,1.01,10322,-
67,"Jun 19, 2017",1.1,1.14,1.1,1.1,5844,-
68,"Jun 18, 2017",1.11,1.14,1.1,1.1,7953,-
69,"Jun 17, 2017",1.11,1.11,1.1,1.11,8109,-
70,"Jun 16, 2017",1.08,1.12,1.04,1.11,8098,-
71,"Jun 15, 2017",1.4,1.43,0.9478,1.08,8201,-
72,"Jun 14, 2017",1.21,1.44,1.09,1.4,8431,-
73,"Jun 13, 2017",1.29,1.39,1.19,1.21,3798,-
74,"Jun 12, 2017",1.5,1.5,1.26,1.3,4821,-
75,"Jun 11, 2017",1.48,1.73,1.44,1.5,2609,-
76,"Jun 10, 2017",1.55,1.83,1.44,1.65,2216,-
77,"Jun 09, 2017",1.81,2.22,1.54,1.54,3594,-
78,"Jun 08, 2017",1.43,2.42,1.39,1.81,11619,-
79,"Jun 07, 2017",1.52,1.62,1.39,1.42,8735,-
80,"Jun 06, 2017",1.36,1.64,1.36,1.58,4772,-
81,"Jun 05, 2017",1.26,1.39,1.26,1.36,6770,-
82,"Jun 04, 2017",1.35,1.63,1.24,1.26,6802,-
83,"Jun 03, 2017",1.07,2.52,1.05,1.35,10907,-
84,"Jun 02, 2017",1.04,1.48,1.03,1.07,18213,-
85,"Jun 01, 2017",1.03,1.3,1.02,1.04,24859,-
86,"May 31, 2017",1.1,1.21,0.952384,1.03,29656,-
87,"May 30, 2017",1.2,1.38,1.08,1.09,15370,-
88,"May 29, 2017",1.37,1.51,1.19,1.2,22319,-
89,"May 28, 2017",1.27,1.52,1.27,1.37,16720,-
90,"May 27, 2017",1.66,1.81,1.23,1.27,1104,-
91,"May 26, 2017",1.17,5.68,1.17,1.65,6651,-
92,"May 25, 2017",1.68,1.78,1.15,1.18,1022,-
93,"May 24, 2017",1.78,2.29,1.37,1.71,880,-
94,"May 23, 2017",1.62,3.25,0.953835,1.15,2144,-
95,"May 22, 2017",0.9155049999999999,1.62,0.891541,1.62,2406,-
96,"May 21, 2017",1.02,1.16,0.8837649999999999,0.912436,1235,-
97,"May 20, 2017",1.16,1.16,0.999807,1.02,2099,-
98,"May 19, 2017",0.961725,1.16,0.961725,1.16,1559,-
99,"May 18, 2017",1.03,1.27,0.947269,0.9611709999999999,1821,-
100,"May 17, 2017",1.06,1.43,0.963442,1.04,2799,-
101,"May 16, 2017",1.1,1.38,0.957175,1.06,540,-
102,"May 15, 2017",1.31,1.54,1.02,1.1,781,-
103,"May 14, 2017",1.2,1.96,0.898158,1.31,3104,-
104,"May 13, 2017",1.46,1.69,1.19,1.19,1547,-
