,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.091363,0.118433,0.070133,0.085846,52751,-
1,"Aug 24, 2017",0.088152,0.091646,0.078477,0.09150599999999999,24660,-
2,"Aug 23, 2017",0.073913,0.096427,0.073679,0.088114,11830,-
3,"Aug 22, 2017",0.093024,0.093068,0.065956,0.085895,16107,-
4,"Aug 21, 2017",0.104926,0.106306,0.080671,0.092809,17520,-
5,"Aug 20, 2017",0.11097,0.116212,0.104806,0.105325,10624,-
6,"Aug 19, 2017",0.115201,0.11851600000000001,0.103149,0.11149,19524,34560400
7,"Aug 18, 2017",0.143973,0.14661,0.10353499999999999,0.115299,35082,43191900
8,"Aug 17, 2017",0.11773099999999999,0.158668,0.11458,0.14441400000000001,34416,35319300
9,"Aug 16, 2017",0.110643,0.143362,0.10713299999999999,0.11784000000000001,37754,33193000
10,"Aug 15, 2017",0.121275,0.12189000000000001,0.100485,0.11052200000000001,13795,36382600
11,"Aug 14, 2017",0.116445,0.132077,0.090639,0.12096099999999999,33667,34933600
12,"Aug 13, 2017",0.107253,0.138709,0.085208,0.116371,29287,32175800
13,"Aug 12, 2017",0.145977,0.14696199999999998,0.075922,0.107352,44973,43793200
14,"Aug 11, 2017",0.153793,0.163115,0.126367,0.146091,41888,46138000
15,"Aug 10, 2017",0.162767,0.176345,0.142716,0.153802,37214,48830100
16,"Aug 09, 2017",0.202732,0.212173,0.066548,0.162752,447846,60819500
17,"Aug 08, 2017",0.182525,0.213133,0.17915899999999998,0.202709,40150,54757600
18,"Aug 07, 2017",0.164689,0.20213699999999998,0.13989000000000001,0.189689,39222,49406800
19,"Aug 06, 2017",0.173006,0.19756600000000002,0.162113,0.16505799999999998,16087,51901700
20,"Aug 05, 2017",0.20707199999999998,0.241252,0.151545,0.172964,56744,62121500
21,"Aug 04, 2017",0.270434,0.287887,0.20659899999999998,0.207163,68903,81130300
22,"Aug 03, 2017",0.12686,0.283496,0.12686,0.270396,23631,38058100
23,"Aug 02, 2017",0.12342,0.130523,0.12136199999999998,0.126677,14568,37026000
24,"Aug 01, 2017",0.13075,0.13156800000000002,0.11803399999999999,0.12344400000000001,6407,39225000
25,"Jul 31, 2017",0.174314,0.219779,0.089637,0.125852,46830,52294100
26,"Jul 30, 2017",0.187603,0.240612,0.168212,0.17395,20780,56280800
27,"Jul 29, 2017",0.27922399999999997,0.284914,0.054325,0.187434,84234,83767300
28,"Jul 28, 2017",0.266129,0.284524,0.266129,0.278059,29241,79838800
29,"Jul 27, 2017",0.252396,0.26958499999999996,0.251413,0.265325,20996,75718700
30,"Jul 26, 2017",0.25602600000000003,0.272063,0.24395300000000003,0.251684,22927,76807900
31,"Jul 25, 2017",0.285026,0.29673299999999997,0.24539499999999997,0.255936,20900,85507900
32,"Jul 24, 2017",0.288943,0.323707,0.274879,0.28461,15171,86683000
33,"Jul 23, 2017",0.315702,0.34933600000000004,0.286248,0.28928000000000004,15537,94710700
34,"Jul 22, 2017",0.31888,0.380601,0.300333,0.360083,44916,95663900
35,"Jul 21, 2017",0.383023,0.392972,0.303172,0.316832,20282,114907000
36,"Jul 20, 2017",0.27062600000000003,0.405974,0.252996,0.3804,75723,81187800
37,"Jul 19, 2017",0.264995,0.29179,0.234368,0.271442,28682,-
38,"Jul 18, 2017",0.26916799999999996,0.330786,0.244024,0.264574,39231,-
39,"Jul 17, 2017",0.294808,0.331944,0.154881,0.268275,103681,-
40,"Jul 16, 2017",0.321826,0.351546,0.288112,0.326279,89609,-
41,"Jul 15, 2017",0.200605,0.47274499999999997,0.199441,0.322805,181847,-
42,"Jul 14, 2017",0.178222,0.22917600000000002,0.178222,0.200928,67941,-
43,"Jul 13, 2017",0.150812,0.23656100000000002,0.150748,0.178352,53595,-
44,"Jul 12, 2017",0.043574,0.306204,0.043095,0.1507,99252,-
45,"Jul 11, 2017",0.047661,0.047661,0.041468,0.043637999999999996,13133,-
