,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000433,0.000446,0.000344,0.000392,10707,-
1,"Aug 24, 2017",0.0008289999999999999,0.001439,0.00037799999999999997,0.000434,153999,-
2,"Aug 23, 2017",0.000817,0.00085,0.000742,0.000828,40619,-
3,"Aug 22, 2017",0.000799,0.0008289999999999999,0.000571,0.000819,79445,-
4,"Aug 21, 2017",0.000785,0.000831,0.000719,0.000797,18941,-
5,"Aug 20, 2017",0.004146,0.004514,0.00078,0.000817,94503,-
6,"Aug 19, 2017",0.008383,0.019190000000000002,0.004151,0.004164999999999999,281443,-
7,"Aug 18, 2017",0.012941999999999999,0.01586,0.005233,0.00839,95633,-
8,"Aug 17, 2017",0.004257,0.043126,0.0035240000000000002,0.012984,304920,-
9,"Aug 16, 2017",0.004031,0.0045969999999999995,0.00375,0.004261,733,-
10,"Aug 15, 2017",0.008661,0.0091,0.0035210000000000003,0.004027,883,-
11,"Aug 14, 2017",0.005155,0.008458,0.004515,0.008458,724,-
12,"Aug 13, 2017",0.005079,0.00563,0.004477,0.005071,811,-
13,"Aug 12, 2017",0.005220000000000001,0.00543,0.003865,0.005083,885,-
14,"Aug 11, 2017",0.004405,0.005621,0.004352,0.005261,1987,-
15,"Aug 10, 2017",0.0040149999999999995,0.005054,0.0030600000000000002,0.004406,1627,-
16,"Aug 09, 2017",0.003221,0.004911,0.002858,0.0040149999999999995,2129,-
17,"Aug 08, 2017",0.002752,0.0035789999999999997,0.002682,0.003121,888,-
18,"Aug 07, 2017",0.00335,0.004083,0.0020469999999999998,0.002682,3064,-
19,"Aug 06, 2017",0.005696,0.005876,0.002285,0.0030039999999999997,7076,-
20,"Aug 05, 2017",0.005281,0.006973,0.0052060000000000006,0.005695,49493,-
21,"Aug 04, 2017",0.005546,0.010801,0.005184,0.005369,105628,-
22,"Aug 03, 2017",0.009463,0.015281999999999999,0.004954999999999999,0.005743,129021,-
23,"Aug 02, 2017",0.014059,0.014059,0.006866,0.009448999999999999,12512,-
24,"Aug 01, 2017",0.022326,0.031201,0.01319,0.013971,51140,-
25,"Jul 31, 2017",0.024444999999999998,0.024881,0.018545,0.022315,3348,-
26,"Jul 30, 2017",0.024461,0.024708,0.023416,0.024421,16142,-
27,"Jul 29, 2017",0.044501,0.046581,0.024104,0.024464,52231,-
28,"Jul 28, 2017",0.045237,0.047917,0.041143,0.04467,22894,-
29,"Jul 27, 2017",0.038554000000000005,0.058623,0.033105,0.045101,74062,-
30,"Jul 26, 2017",0.033081,0.039261000000000004,0.029838999999999997,0.038445,7543,-
31,"Jul 25, 2017",0.040681999999999996,0.041359,0.030458,0.033066000000000005,9290,-
32,"Jul 24, 2017",0.049489,0.054077,0.039474,0.040686,137357,-
33,"Jul 23, 2017",0.076157,0.11350199999999999,0.048024000000000004,0.049547,115277,-
34,"Jul 22, 2017",0.080971,0.098675,0.062085,0.062259,143331,-
35,"Jul 21, 2017",0.131206,0.31795500000000004,0.09395099999999999,0.118078,317137,-
36,"Jul 20, 2017",0.10941,0.137122,0.10787100000000001,0.11164600000000001,22931,-
37,"Jul 19, 2017",0.11501199999999999,0.152651,0.10673099999999999,0.109749,50831,-
38,"Jul 18, 2017",0.170716,0.333789,0.11155,0.152899,185806,-
39,"Jul 17, 2017",0.149179,0.188383,0.13847,0.170273,25426,-
40,"Jul 16, 2017",0.197319,0.20677199999999998,0.129026,0.149375,44698,-
41,"Jul 15, 2017",0.219756,1.57,0.134427,0.200483,98321,-
42,"Jul 14, 2017",0.233619,0.413584,0.203376,0.220138,124808,-
43,"Jul 13, 2017",56.08,63.45,0.11703399999999999,0.23379,142362,-
44,"Jul 12, 2017",55.76,64.6,52.07,56.04,43347,-
45,"Jul 11, 2017",241.06,442.99,52.93,55.84,322397,-
46,"Jul 10, 2017",32.57,989.04,29.99,234.53,329742,-
47,"Jul 09, 2017",56.34,76.72,30.33,32.5,3158,-
48,"Jul 08, 2017",102.54,102.54,40.59,56.29,5585,-
49,"Jul 07, 2017",136.81,136.81,96.62,102.48,10329,-
50,"Jul 06, 2017",256.77,325.12,106.18,136.71,212219,-
51,"Jul 05, 2017",229.65,426.23,147.72,253.75,343845,-
52,"Jul 04, 2017",395.07,403.29,154.74,229.78,14757,-
53,"Jul 03, 2017",408.27,487.36,392.61,395.97,129400,-
54,"Jul 02, 2017",412.49,501.92,387.59,409.78,140805,-
55,"Jul 01, 2017",418.96,720.51,404.72,411.89,221638,-
56,"Jun 30, 2017",438.06,439.76,409.01,419.12,2195,-
57,"Jun 29, 2017",422.93,895.43,420.28,437.18,140674,-
58,"Jun 28, 2017",838.08,838.08,409.47,423.32,46735,-
59,"Jun 27, 2017",413.28,832.67,380.28,832.67,164116,-
60,"Jun 26, 2017",542.79,543.03,384.9,403.74,37954,-
61,"Jun 25, 2017",488.55,543.95,470.68,543.95,66589,-
62,"Jun 24, 2017",490.88,490.88,479.49,488.04,900,-
