,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.011861,0.012454,0.009973000000000001,0.010764,565,273754
1,"Aug 24, 2017",0.010469,0.011967,0.009339,0.01188,464,241610
2,"Aug 23, 2017",0.010289,0.011479999999999999,0.009295,0.010464,841,237462
3,"Aug 22, 2017",0.009595999999999999,0.015097,0.008702,0.010309,622,221470
4,"Aug 21, 2017",0.011134,0.018675,0.009154,0.009574,723,256965
5,"Aug 20, 2017",0.009968000000000001,0.012777,0.009081,0.011176,108,230068
6,"Aug 19, 2017",0.012159,0.012308,0.009979,0.010015000000000001,113,280625
7,"Aug 18, 2017",0.011043,0.01481,0.010358,0.012169,809,254873
8,"Aug 17, 2017",0.010787999999999999,0.018496000000000002,0.009015,0.011085,616,248977
9,"Aug 16, 2017",0.009768,0.0108,0.009255,0.010798,143,225450
10,"Aug 15, 2017",0.008812,0.010734,0.007828,0.009758,99,203390
11,"Aug 14, 2017",0.008888,0.011222,0.008662000000000001,0.008789,262,205139
12,"Aug 13, 2017",0.009363,0.012472,0.008652,0.008883,303,216092
13,"Aug 12, 2017",0.009025,0.011887,0.008881,0.009372,103,208292
14,"Aug 11, 2017",0.008784,0.010443000000000001,0.007859,0.009032,195,202724
15,"Aug 10, 2017",0.009648,0.009675,0.006207,0.008784,679,222677
16,"Aug 09, 2017",0.008624,0.010019,0.005746,0.009647,940,199049
17,"Aug 08, 2017",0.008985,0.011241,0.008606,0.00863,775,207382
18,"Aug 07, 2017",0.013315,0.013372,0.007983,0.008976999999999999,981,307297
19,"Aug 06, 2017",0.016196000000000002,0.016353,0.011174,0.013344,731,373809
20,"Aug 05, 2017",0.012263,0.016334,0.012184,0.016191999999999998,659,283029
21,"Aug 04, 2017",0.01006,0.012591,0.01006,0.012268000000000001,509,232181
22,"Aug 03, 2017",0.012771,0.014869,0.002778,0.010062999999999999,1498,294763
23,"Aug 02, 2017",0.014056,0.017486,0.011585999999999999,0.012749,121,324409
24,"Aug 01, 2017",0.014369,0.014603,0.013374,0.014059,29,331628
25,"Jul 31, 2017",0.015069999999999998,0.015319,0.013921000000000001,0.014365000000000001,321,347803
26,"Jul 30, 2017",0.014852,0.014882,0.013244999999999998,0.013637,964,342792
