,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.001082,0.0011769999999999999,0.001045,0.001092,60,81829
1,"Aug 24, 2017",0.001036,0.0010960000000000002,0.000986,0.001084,27,78317
2,"Aug 23, 2017",0.0008990000000000001,0.0010609999999999999,0.0007740000000000001,0.001035,94,67973
3,"Aug 22, 2017",0.0010400000000000001,0.001078,0.000886,0.000901,159,78657
4,"Aug 21, 2017",0.0010140000000000001,0.0011,0.000992,0.001038,37,76690
5,"Aug 20, 2017",0.000995,0.001073,0.0009720000000000001,0.001018,203,75227
6,"Aug 19, 2017",0.000986,0.001078,0.000874,0.001,97,74560
7,"Aug 18, 2017",0.001027,0.001056,0.000916,0.000987,51,77668
8,"Aug 17, 2017",0.001009,0.001072,0.0008410000000000001,0.00103,583,76328
9,"Aug 16, 2017",0.001038,0.0010869999999999999,0.000869,0.00101,185,78520
10,"Aug 15, 2017",0.000909,0.001049,0.000875,0.001037,51,68709
11,"Aug 14, 2017",0.0008939999999999999,0.001073,0.000884,0.000906,124,67572
12,"Aug 13, 2017",0.0008900000000000001,0.000956,0.000849,0.000893,28,67265
13,"Aug 12, 2017",0.0008029999999999999,0.000985,0.000795,0.0008900000000000001,26,60724
14,"Aug 11, 2017",0.0008539999999999999,0.000975,0.000799,0.0008039999999999999,163,64577
15,"Aug 10, 2017",0.000802,0.0009699999999999999,0.000767,0.0008539999999999999,26,60667
16,"Aug 09, 2017",0.000786,0.00109,0.0007469999999999999,0.000802,99,59457
17,"Aug 08, 2017",0.001051,0.001251,0.000784,0.000787,63,79504
18,"Aug 07, 2017",0.0009339999999999999,0.001258,0.0009310000000000001,0.00105,165,70612
19,"Aug 06, 2017",0.000749,0.00116,0.000735,0.000936,160,56611
20,"Aug 05, 2017",0.000542,0.001041,0.000542,0.0007480000000000001,164,41011
21,"Aug 04, 2017",0.0008359999999999999,0.000936,0.0005099999999999999,0.000543,136,63221
22,"Aug 03, 2017",0.000811,0.000883,0.000767,0.0008359999999999999,28,61338
23,"Aug 02, 2017",0.000819,0.000936,0.000754,0.00081,25,61913
24,"Aug 01, 2017",0.0008869999999999999,0.0008869999999999999,0.000797,0.000819,150,67094
25,"Jul 31, 2017",0.000822,0.001059,0.0008119999999999999,0.0008869999999999999,315,62168
26,"Jul 30, 2017",0.000951,0.000953,0.0008089999999999999,0.0008210000000000001,43,71924
27,"Jul 29, 2017",0.0008900000000000001,0.001017,0.0008289999999999999,0.000951,188,67300
28,"Jul 28, 2017",0.000852,0.000976,0.000851,0.000893,76,64388
29,"Jul 27, 2017",0.000884,0.0009539999999999999,0.000807,0.000849,67,66819
30,"Jul 26, 2017",0.0008699999999999999,0.000886,0.000772,0.0008810000000000001,152,65822
31,"Jul 25, 2017",0.0010199999999999999,0.001077,0.000833,0.0008699999999999999,268,77165
32,"Jul 24, 2017",0.0009630000000000001,0.0010220000000000001,0.000924,0.001021,11614,72793
33,"Jul 23, 2017",0.001047,0.001057,0.0009400000000000001,0.000964,123,79189
34,"Jul 22, 2017",0.0009599999999999999,0.001073,0.000956,0.001047,82,72606
35,"Jul 21, 2017",0.001019,0.001023,0.000942,0.0009599999999999999,30,77088
36,"Jul 20, 2017",0.000834,0.001044,0.000834,0.0010119999999999999,20,63095
37,"Jul 19, 2017",0.0008289999999999999,0.0008609999999999999,0.000802,0.000837,15,62683
38,"Jul 18, 2017",0.000822,0.000878,0.000796,0.000828,68,62190
39,"Jul 17, 2017",0.000692,0.000898,0.000692,0.00082,120,52344
40,"Jul 16, 2017",0.000695,0.000718,0.000643,0.0006929999999999999,8,52537
41,"Jul 15, 2017",0.000754,0.000839,0.000696,0.000697,552,57038
42,"Jul 14, 2017",0.000796,0.000892,0.000734,0.0007559999999999999,170,60185
43,"Jul 13, 2017",0.000883,0.0009710000000000001,0.000789,0.000797,263,66762
44,"Jul 12, 2017",0.0008300000000000001,0.000926,0.000797,0.0008820000000000001,69,62778
45,"Jul 11, 2017",0.000749,0.0008410000000000001,0.000721,0.000834,18,56628
