,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.48,1.48,1.25,1.33,31044,6062890
1,"Aug 24, 2017",1.31,1.54,1.21,1.5,48416,5338440
2,"Aug 23, 2017",1.18,1.37,1.18,1.31,42837,4818640
3,"Aug 22, 2017",1.24,1.24,1.1,1.18,9757,5048380
4,"Aug 21, 2017",1.19,1.3,1.15,1.23,16833,4855360
5,"Aug 20, 2017",1.08,1.33,1.07,1.18,43611,4399180
6,"Aug 19, 2017",1.11,1.18,1.05,1.1,29295,4525210
7,"Aug 18, 2017",1.19,1.29,1.07,1.11,32045,4842150
8,"Aug 17, 2017",1.21,1.25,1.11,1.16,34862,4942690
9,"Aug 16, 2017",1.25,1.31,1.13,1.21,32107,5091580
10,"Aug 15, 2017",1.35,1.35,1.11,1.25,73052,5502510
11,"Aug 14, 2017",1.18,1.97,1.13,1.34,296716,4806450
12,"Aug 13, 2017",1.24,1.27,1.11,1.18,24203,5071980
13,"Aug 12, 2017",1.17,1.29,1.17,1.23,13538,4773260
14,"Aug 11, 2017",1.26,1.33,1.15,1.17,60026,5153130
15,"Aug 10, 2017",0.993101,1.52,0.989373,1.23,102997,4051210
16,"Aug 09, 2017",1.04,1.12,0.986823,1.02,28043,4240820
17,"Aug 08, 2017",0.9394040000000001,1.12,0.8696389999999999,1.04,57443,3832020
18,"Aug 07, 2017",1.04,1.13,0.845483,0.938693,72305,4250510
19,"Aug 06, 2017",1.24,1.39,0.9778899999999999,1.04,53973,5045360
20,"Aug 05, 2017",1.1,1.36,1.1,1.24,29424,4499720
21,"Aug 04, 2017",1.1,1.15,1.02,1.1,17326,4478250
22,"Aug 03, 2017",1.1,1.2,0.979735,1.1,64731,4493820
23,"Aug 02, 2017",0.9594940000000001,1.65,0.8975040000000001,1.1,189073,3912220
24,"Aug 01, 2017",0.887315,0.999603,0.801988,0.959677,22835,3617640
25,"Jul 31, 2017",0.824722,1.11,0.779867,0.886885,35084,3362190
26,"Jul 30, 2017",0.792185,0.823876,0.765496,0.823876,8540,3229420
27,"Jul 29, 2017",0.8472360000000001,0.8495520000000001,0.780671,0.792297,6256,3453740
28,"Jul 28, 2017",0.8742540000000001,0.955774,0.811868,0.85046,7797,3563710
29,"Jul 27, 2017",0.876866,0.931977,0.833578,0.871611,24631,3574180
30,"Jul 26, 2017",0.9008290000000001,0.972317,0.8571219999999999,0.8743850000000001,18427,3671680
31,"Jul 25, 2017",1.13,1.15,0.84695,0.900292,12585,4618790
32,"Jul 24, 2017",1.13,1.22,1.09,1.13,6892,4603400
33,"Jul 23, 2017",1.18,1.27,1.09,1.13,9716,4824730
34,"Jul 22, 2017",1.18,1.3,1.09,1.18,30472,4803300
35,"Jul 21, 2017",1.25,1.26,1.14,1.18,6081,5073250
36,"Jul 20, 2017",0.9912350000000001,1.29,0.960995,1.24,36934,4038990
37,"Jul 19, 2017",0.92456,1.21,0.8867360000000001,0.994224,26565,3767140
38,"Jul 18, 2017",0.844691,1.11,0.782578,0.905825,21705,3441570
39,"Jul 17, 2017",0.751939,0.842518,0.695172,0.842518,29841,3063530
40,"Jul 16, 2017",0.826501,0.8740690000000001,0.6121300000000001,0.734101,20305,3367150
41,"Jul 15, 2017",0.771494,1.22,0.765497,0.8433290000000001,141536,3142910
42,"Jul 14, 2017",1.07,1.08,0.6967,0.77282,74764,4370230
43,"Jul 13, 2017",1.2,1.46,1.02,1.07,232051,4887200
44,"Jul 12, 2017",0.507371,1.46,0.504372,1.19,172834,2066610
45,"Jul 11, 2017",0.719187,0.7675569999999999,0.160552,0.509903,29521,2929250
46,"Jul 10, 2017",1.09,1.1,0.710072,0.720089,23176,4452150
47,"Jul 09, 2017",1.09,1.3,1.0,1.09,50066,4455920
48,"Jul 08, 2017",1.13,1.13,0.860682,1.09,30954,4584420
49,"Jul 07, 2017",1.38,1.39,1.08,1.12,30571,5608230
50,"Jul 06, 2017",1.59,1.59,1.28,1.38,17574,6457600
51,"Jul 05, 2017",1.54,1.59,1.45,1.59,12147,6269680
52,"Jul 04, 2017",1.54,1.6,1.45,1.55,63099,6279490
53,"Jul 03, 2017",1.32,1.57,1.32,1.55,43607,5354930
54,"Jul 02, 2017",1.45,1.48,1.28,1.32,21327,5911460
55,"Jul 01, 2017",1.54,1.56,1.32,1.45,14529,6265350
56,"Jun 30, 2017",1.65,1.91,1.47,1.54,66431,6700870
57,"Jun 29, 2017",1.66,1.67,1.57,1.64,15540,6744460
58,"Jun 28, 2017",1.65,1.73,1.56,1.66,45669,6732100
59,"Jun 27, 2017",1.41,2.64,1.39,1.63,437750,5747880
60,"Jun 26, 2017",1.55,1.62,1.11,1.41,46618,6300690
61,"Jun 25, 2017",1.74,1.75,1.5,1.55,24356,7084770
62,"Jun 24, 2017",1.89,1.9,1.61,1.75,44903,7705950
63,"Jun 23, 2017",1.63,2.23,1.51,1.89,71834,6644180
64,"Jun 22, 2017",1.57,1.81,1.35,1.63,56422,6401840
65,"Jun 21, 2017",1.66,1.7,1.57,1.57,30847,6749790
66,"Jun 20, 2017",1.69,1.71,1.52,1.66,71809,6858490
67,"Jun 19, 2017",1.84,1.84,1.67,1.69,32048,7497500
68,"Jun 18, 2017",1.8,2.0,1.71,1.84,23527,7323480
69,"Jun 17, 2017",2.05,2.05,1.66,1.8,31016,8339180
70,"Jun 16, 2017",1.93,2.06,1.7,2.05,50873,7853200
71,"Jun 15, 2017",2.1,2.22,1.63,1.93,67329,8540090
72,"Jun 14, 2017",2.04,2.69,2.04,2.09,121595,8315120
73,"Jun 13, 2017",1.86,2.19,1.79,2.05,66776,7572870
74,"Jun 12, 2017",1.94,2.1,1.6,1.87,119097,7898240
75,"Jun 11, 2017",2.16,2.36,1.91,1.95,79601,8775710
76,"Jun 10, 2017",2.53,3.12,2.03,2.16,283089,10302700
77,"Jun 09, 2017",1.94,2.53,1.88,2.53,211741,7903530
78,"Jun 08, 2017",2.42,2.66,2.0,2.15,265618,9844380
79,"Jun 07, 2017",2.95,3.12,2.41,2.41,106004,12002500
