,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",7e-05,7.2e-05,3.7e-05,3.7e-05,0,-
1,"Aug 24, 2017",7.3e-05,7.3e-05,6.9e-05,7e-05,21,-
2,"Aug 23, 2017",6.4e-05,7.5e-05,6.3e-05,7.2e-05,1,-
3,"Aug 22, 2017",3.4e-05,6.4e-05,3.3e-05,6.4e-05,1,-
4,"Aug 21, 2017",3.3e-05,3.4e-05,3.2e-05,3.3e-05,0,-
5,"Aug 20, 2017",3.4e-05,3.4e-05,3.2e-05,3.3e-05,1,-
6,"Aug 19, 2017",6.4e-05,6.500000000000001e-05,3.3e-05,3.4e-05,13,-
7,"Aug 18, 2017",3.4e-05,6.500000000000001e-05,3.3e-05,6.3e-05,0,-
8,"Aug 17, 2017",3.9e-05,4e-05,3.3e-05,3.4e-05,1,-
9,"Aug 16, 2017",3.9e-05,4e-05,3.9e-05,3.9e-05,0,-
10,"Aug 15, 2017",4.4e-05,4.4e-05,4e-05,4.1e-05,2,-
11,"Aug 14, 2017",4.4e-05,4.5e-05,4.3e-05,4.4e-05,3,-
12,"Aug 13, 2017",6.4e-05,6.500000000000001e-05,6.1e-05,6.4e-05,2,-
13,"Aug 12, 2017",6.500000000000001e-05,6.6e-05,6.4e-05,6.4e-05,2,-
14,"Aug 11, 2017",3.4e-05,6.500000000000001e-05,3.4e-05,6.500000000000001e-05,17,-
15,"Aug 10, 2017",3.5e-05,3.5e-05,3.4e-05,3.4e-05,5,-
16,"Aug 09, 2017",3.5e-05,3.5e-05,3.5e-05,3.5e-05,0,-
17,"Aug 06, 2017",5.3e-05,5.4000000000000005e-05,5.2000000000000004e-05,5.2000000000000004e-05,2,-
18,"Aug 05, 2017",5.6000000000000006e-05,5.7999999999999994e-05,3.1e-05,5.3e-05,2420,-
19,"Aug 04, 2017",5.2000000000000004e-05,5.6000000000000006e-05,5.2000000000000004e-05,5.6000000000000006e-05,3,-
20,"Aug 03, 2017",5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,6,-
21,"Aug 02, 2017",5.3e-05,5.3e-05,5.1e-05,5.1e-05,0,-
22,"Aug 01, 2017",5.2000000000000004e-05,5.4000000000000005e-05,5e-05,5.3e-05,1,-
23,"Jul 31, 2017",4.9e-05,5.4000000000000005e-05,4.8e-05,5.2000000000000004e-05,4,-
24,"Jul 30, 2017",5e-05,5.1e-05,4.9e-05,4.9e-05,0,-
25,"Jul 29, 2017",4.9e-05,5e-05,4.7e-05,5e-05,0,-
26,"Jul 28, 2017",5.9e-05,5.9e-05,4.9e-05,4.9e-05,4,-
27,"Jul 27, 2017",7.3e-05,8.3e-05,5e-05,5.9e-05,2,-
28,"Jul 26, 2017",5e-05,7.3e-05,5e-05,7.3e-05,16,-
29,"Jul 25, 2017",5.3e-05,5.4000000000000005e-05,4.9e-05,5e-05,0,-
30,"Jul 24, 2017",7.5e-05,7.7e-05,5.3e-05,5.3e-05,1,-
