,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.002684,0.002704,0.0016469999999999998,0.0017469999999999999,54,59519
1,"Aug 24, 2017",0.002817,0.002866,0.001596,0.002688,121,62478
2,"Aug 23, 2017",0.002779,0.002893,0.002769,0.002816,19,61613
3,"Aug 22, 2017",0.0027010000000000003,0.002784,0.0017829999999999999,0.002784,10,59895
4,"Aug 21, 2017",0.002447,0.00278,0.002442,0.002695,22,54259
5,"Aug 20, 2017",0.002938,0.0033200000000000005,0.0027559999999999998,0.0033200000000000005,0,65132
6,"Aug 19, 2017",0.002459,0.0029460000000000003,0.0023829999999999997,0.002944,0,54494
7,"Aug 18, 2017",0.002254,0.002815,0.00151,0.002461,13,49952
8,"Aug 17, 2017",0.00316,0.003172,0.002209,0.002261,77,70020
9,"Aug 16, 2017",0.002956,0.003163,0.0027559999999999998,0.003163,1,65500
10,"Aug 15, 2017",0.003081,0.003156,0.002076,0.0029530000000000003,23,68253
11,"Aug 14, 2017",0.003953,0.004144,0.002112,0.003073,378,87571
12,"Aug 13, 2017",0.002987,0.004070000000000001,0.002225,0.003951,39,66151
13,"Aug 12, 2017",0.004222,0.004336,0.00214,0.00299,348,93487
14,"Aug 11, 2017",0.00433,0.0047020000000000005,0.003616,0.004225,21,95873
15,"Aug 10, 2017",0.004372,0.004383,0.003435,0.004335,57,96793
16,"Aug 09, 2017",0.005758,0.0064069999999999995,0.002206,0.004318,482,127471
17,"Aug 08, 2017",0.0053479999999999995,0.006404000000000001,0.002355,0.005762,21,118375
18,"Aug 07, 2017",0.004795000000000001,0.005599,0.0036439999999999997,0.005343,89,106108
19,"Aug 06, 2017",0.004775,0.004934,0.004463,0.004804999999999999,143,105668
20,"Aug 05, 2017",0.0034340000000000004,0.004775,0.003432,0.0047740000000000005,416,75987
21,"Aug 04, 2017",0.0039020000000000005,0.004002,0.003403,0.003436,73,86317
22,"Aug 03, 2017",0.002731,0.004524,0.002731,0.0039030000000000002,734,60408
23,"Aug 02, 2017",0.005327,0.005376,0.002629,0.002726,374,117810
24,"Aug 01, 2017",0.002862,0.005645000000000001,0.002825,0.005328,432,63297
25,"Jul 31, 2017",0.0026309999999999997,0.002904,0.002595,0.002861,12,58173
26,"Jul 30, 2017",0.00231,0.002628,0.002211,0.002628,46,51072
27,"Jul 29, 2017",0.002754,0.002761,0.002269,0.00231,1,60869
28,"Jul 28, 2017",0.0024219999999999997,0.002775,0.0024219999999999997,0.002764,148,53523
29,"Jul 27, 2017",0.0024739999999999996,0.003361,0.00238,0.002414,267,54683
30,"Jul 26, 2017",0.002509,0.002656,0.0020350000000000004,0.002467,311,55444
31,"Jul 25, 2017",0.0035859999999999998,0.00361,0.002328,0.002508,69,79222
32,"Jul 24, 2017",0.003498,0.003607,0.002562,0.0035859999999999998,879,77268
33,"Jul 23, 2017",0.004102000000000001,0.004144,0.003164,0.003529,149,90607
34,"Jul 22, 2017",0.002872,0.004654,0.002865,0.004102000000000001,437,63436
35,"Jul 21, 2017",0.003965,0.004591,0.0029170000000000003,0.002928,715,87571
36,"Jul 20, 2017",0.004307,0.010805,0.002427,0.003936,4773,95113
37,"Jul 19, 2017",0.005528,0.005794,0.0036850000000000003,0.00432,733,122056
38,"Jul 18, 2017",0.005493,0.005777,0.004528,0.005520000000000001,1084,121258
39,"Jul 17, 2017",0.004136,0.0054789999999999995,0.004136,0.0054789999999999995,992,91286
40,"Jul 16, 2017",0.0033770000000000002,0.004398,0.0033369999999999997,0.004141,1285,74530
41,"Jul 15, 2017",0.0032700000000000003,0.004738,0.0028309999999999997,0.0035060000000000004,3108,72148
42,"Jul 14, 2017",0.0024579999999999997,0.0033130000000000004,0.002071,0.003275,1575,54231
43,"Jul 13, 2017",0.002076,0.00246,0.0020570000000000002,0.00246,351,45797
44,"Jul 12, 2017",0.0020989999999999997,0.002235,0.002045,0.002075,123,46290
45,"Jul 11, 2017",0.00195,0.002199,0.0018780000000000001,0.002109,15,42994
46,"Jul 10, 2017",0.002154,0.0022949999999999997,0.0019,0.001954,195,47507
47,"Jul 09, 2017",0.002116,0.002195,0.002102,0.00215,5,46652
48,"Jul 08, 2017",0.002101,0.002187,0.002076,0.002114,38,46325
49,"Jul 07, 2017",0.002261,0.0022649999999999997,0.002025,0.0021,165,49830
50,"Jul 06, 2017",0.00234,0.0024100000000000002,0.002184,0.002259,12,51566
51,"Jul 05, 2017",0.002202,0.002353,0.00218,0.002339,42,48511
52,"Jul 04, 2017",0.002207,0.002439,0.002165,0.002203,4,48619
53,"Jul 03, 2017",0.002216,0.002395,0.002199,0.002212,11,48809
54,"Jul 02, 2017",0.001685,0.002466,0.0016600000000000002,0.002224,67,37113
55,"Jul 01, 2017",0.002231,0.002421,0.001486,0.001685,82,49137
56,"Jun 30, 2017",0.0022789999999999998,0.0025239999999999998,0.002199,0.002232,18,50183
57,"Jun 29, 2017",0.002553,0.002579,0.002246,0.002274,23,56202
58,"Jun 28, 2017",0.002532,0.002589,0.0023510000000000002,0.002555,13,55740
59,"Jun 27, 2017",0.001998,0.002518,0.001966,0.002514,47,43971
60,"Jun 26, 2017",0.002065,0.002508,0.001913,0.001998,121,45449
61,"Jun 25, 2017",0.002104,0.0022649999999999997,0.002007,0.002066,3,46295
62,"Jun 24, 2017",0.0023940000000000003,0.002411,0.002068,0.0021079999999999996,3,52688
63,"Jun 23, 2017",0.002323,0.002444,0.002198,0.002395,49,51113
64,"Jun 22, 2017",0.002248,0.002373,0.002248,0.002323,62,49458
65,"Jun 21, 2017",0.002398,0.002448,0.002248,0.002248,28,52749
66,"Jun 20, 2017",0.002373,0.002398,0.002348,0.002398,1,52193
67,"Jun 19, 2017",0.002373,0.002573,0.002348,0.002373,18,52187
68,"Jun 18, 2017",0.0024980000000000002,0.0024980000000000002,0.002273,0.002373,1,54927
69,"Jun 17, 2017",0.00195,0.002548,0.0018989999999999999,0.0024980000000000002,9,42880
70,"Jun 16, 2017",0.0024460000000000003,0.0024460000000000003,0.00195,0.00195,28,53777
71,"Jun 15, 2017",0.001875,0.002699,0.001644,0.002448,136,41210
72,"Jun 14, 2017",0.002378,0.002912,0.001709,0.0022670000000000004,32,52269
73,"Jun 13, 2017",0.002381,0.002522,0.001802,0.002522,23,52314
74,"Jun 12, 2017",0.003092,0.0030960000000000002,0.0020800000000000003,0.002409,123,67939
75,"Jun 11, 2017",0.002679,0.003104,0.002143,0.003093,162,58863
76,"Jun 10, 2017",0.0024129999999999998,0.0032229999999999997,0.00236,0.002855,477,53013
77,"Jun 09, 2017",0.001678,0.0024460000000000003,0.001511,0.002402,204,36865
78,"Jun 08, 2017",0.001966,0.00209,0.001472,0.001689,49,43178
79,"Jun 07, 2017",0.0019260000000000002,0.002502,0.001163,0.001956,92,42286
80,"Jun 06, 2017",0.001428,0.002588,0.001178,0.001925,191,31357
81,"Jun 05, 2017",0.00143,0.001586,0.001033,0.0013570000000000001,173,31401
82,"Jun 04, 2017",0.001267,0.002139,0.001017,0.001381,103,27811
83,"Jun 03, 2017",0.0012369999999999998,0.001407,0.001232,0.0012699999999999999,12,27158
84,"Jun 02, 2017",0.0012,0.0012439999999999999,0.001185,0.0012380000000000002,2,26329
85,"Jun 01, 2017",0.0022170000000000002,0.002284,0.001159,0.001199,29,48649
86,"May 31, 2017",0.001183,0.002226,0.001149,0.002215,233,25946
87,"May 30, 2017",0.001389,0.0014210000000000002,0.0009720000000000001,0.001178,334,30479
88,"May 29, 2017",0.001628,0.001956,0.001232,0.0013880000000000001,688,35699
89,"May 28, 2017",0.001433,0.001645,0.001433,0.0016309999999999999,11,31427
90,"May 27, 2017",0.0015660000000000001,0.0017280000000000002,0.00132,0.001425,18,34335
91,"May 26, 2017",0.001419,0.0018329999999999998,0.0014039999999999999,0.0015609999999999999,100,31109
92,"May 25, 2017",0.002362,0.002457,0.001392,0.00143,23,51769
93,"May 24, 2017",0.00562,0.006071,0.001256,0.002366,716,123167
94,"May 23, 2017",0.001159,0.006581999999999999,0.001074,0.005613,548,25399
95,"May 22, 2017",0.001059,0.001214,0.001056,0.001161,192,23196
96,"May 21, 2017",0.0009880000000000002,0.001065,0.000962,0.0010550000000000002,19,21646
97,"May 20, 2017",0.000962,0.001029,0.000958,0.0009880000000000002,40,21062
98,"May 19, 2017",0.000867,0.000964,0.000867,0.0009630000000000001,197,18997
99,"May 18, 2017",0.000725,0.000868,0.000724,0.000867,62,15883
100,"May 17, 2017",0.0007019999999999999,0.000752,0.000695,0.000726,2,15370
101,"May 16, 2017",0.000691,0.000752,0.000674,0.0007019999999999999,0,15135
102,"May 15, 2017",0.000755,0.0007570000000000001,0.000678,0.000692,2,16537
103,"May 14, 2017",0.000737,0.000766,0.000726,0.000755,2,16124
104,"May 13, 2017",0.000705,0.000741,0.000664,0.000734,1,15438
105,"May 12, 2017",0.000731,0.0007469999999999999,0.0006889999999999999,0.0007070000000000001,1,15993
106,"May 11, 2017",0.000736,0.000799,0.000718,0.00073,10,16109
107,"May 10, 2017",0.000868,0.0008699999999999999,0.00072,0.000735,0,18983
108,"May 09, 2017",0.0007070000000000001,0.0009019999999999999,0.000697,0.000867,144,15462
109,"May 08, 2017",0.000712,0.0007480000000000001,0.000678,0.0007070000000000001,37,15579
110,"May 07, 2017",0.000711,0.000715,0.0006889999999999999,0.000709,0,15549
111,"May 06, 2017",0.000656,0.000711,0.000617,0.000711,25,14335
112,"May 05, 2017",0.000648,0.000681,0.0006450000000000001,0.000655,2,14165
113,"May 04, 2017",0.00064,0.000714,0.000629,0.000647,1,13987
114,"May 03, 2017",0.000582,0.00064,0.000579,0.00064,0,12706
115,"May 02, 2017",0.002718,0.002739,0.000571,0.0005809999999999999,7,59381
116,"May 01, 2017",0.00043200000000000004,0.002741,0.00041500000000000006,0.002719,259,9431
117,"Apr 30, 2017",0.000502,0.00058,0.000421,0.00043200000000000004,3,10958
118,"Apr 29, 2017",0.0005269999999999999,0.00053,0.000449,0.000502,6,11500
119,"Apr 28, 2017",0.000567,0.000572,0.000482,0.000487,1,12371
120,"Apr 27, 2017",0.000551,0.000567,0.000551,0.000567,0,12033
121,"Apr 26, 2017",0.000544,0.000617,0.00042300000000000004,0.000551,102,11882
122,"Apr 25, 2017",0.000563,0.000596,0.000544,0.000544,1,12281
123,"Apr 24, 2017",0.0005690000000000001,0.000588,0.000557,0.000563,13,12406
124,"Apr 23, 2017",0.000579,0.000579,0.0005070000000000001,0.000567,8,12633
125,"Apr 22, 2017",0.00055,0.0005809999999999999,0.00055,0.000579,9,12004
126,"Apr 21, 2017",0.00059,0.000593,0.0005110000000000001,0.00055,2,12873
127,"Apr 20, 2017",0.0005809999999999999,0.000596,0.000556,0.00059,12,12679
128,"Apr 19, 2017",0.000522,0.0005809999999999999,0.00047000000000000004,0.0005809999999999999,11,11382
129,"Apr 18, 2017",0.000621,0.00063,0.000436,0.000522,2,13536
130,"Apr 17, 2017",0.00047300000000000006,0.000621,0.00047300000000000006,0.000621,13,10319
131,"Apr 16, 2017",0.000434,0.00047400000000000003,0.000434,0.00047300000000000006,50,9458
132,"Apr 15, 2017",0.00042,0.000463,0.00041900000000000005,0.000434,11,9158
133,"Apr 14, 2017",0.00044500000000000003,0.000458,0.00042,0.00042,6,9689
134,"Apr 13, 2017",0.00044400000000000006,0.00047000000000000004,0.00044400000000000006,0.00044400000000000006,12,9680
135,"Apr 12, 2017",0.000458,0.000459,0.000443,0.00044400000000000006,5,9971
136,"Apr 11, 2017",0.000439,0.00047000000000000004,0.00036899999999999997,0.000458,13,9567
137,"Apr 10, 2017",0.000439,0.000439,0.000439,0.000439,0,9555
138,"Apr 09, 2017",0.00043499999999999995,0.000439,0.000434,0.000439,3,9477
139,"Apr 08, 2017",0.00043200000000000004,0.00043499999999999995,0.00040899999999999997,0.00043499999999999995,3,9394
140,"Apr 07, 2017",0.00043099999999999996,0.00045999999999999996,0.00042800000000000005,0.000433,3,9373
141,"Apr 06, 2017",0.000439,0.00044699999999999997,0.00042,0.00043200000000000004,2,9555
142,"Apr 05, 2017",0.00043099999999999996,0.000439,0.00042300000000000004,0.000439,2,9377
143,"Apr 04, 2017",0.000437,0.00045099999999999996,0.000429,0.00043099999999999996,1,9498
144,"Apr 03, 2017",0.000408,0.000426,0.000408,0.000426,0,8877
145,"Apr 02, 2017",0.000324,0.000429,0.000323,0.000408,25,7051
146,"Apr 01, 2017",0.000322,0.000328,0.00031800000000000003,0.000324,64,6992
147,"Mar 31, 2017",0.000359,0.00037400000000000004,0.00031800000000000003,0.000322,1,7813
148,"Mar 30, 2017",0.000301,0.000364,0.000301,0.000359,3,6552
149,"Mar 29, 2017",0.000365,0.000365,0.000286,0.000301,1,7941
150,"Mar 28, 2017",0.000295,0.00037200000000000004,0.00028700000000000004,0.000366,2,6410
151,"Mar 27, 2017",0.000272,0.000332,0.000272,0.000295,0,5915
152,"Mar 26, 2017",0.000292,0.000302,0.000271,0.000271,0,6349
153,"Mar 25, 2017",0.000328,0.000342,0.000262,0.000292,2,7121
154,"Mar 24, 2017",0.000292,0.000349,0.000283,0.000328,1,6339
155,"Mar 23, 2017",0.000294,0.000305,0.00029,0.000292,0,6385
156,"Mar 22, 2017",0.000314,0.000314,0.00028399999999999996,0.000294,0,6813
157,"Mar 21, 2017",0.000298,0.000317,0.000298,0.000314,0,6481
158,"Mar 20, 2017",0.000292,0.000319,0.000292,0.000298,0,6338
159,"Mar 19, 2017",0.000302,0.00034500000000000004,0.00028,0.000292,0,6559
160,"Mar 18, 2017",0.000336,0.000343,0.00027,0.000301,0,7295
161,"Mar 17, 2017",0.00033,0.00033,0.000314,0.000317,0,7170
162,"Mar 16, 2017",0.000363,0.00036899999999999997,0.00032900000000000003,0.000333,0,7873
163,"Mar 15, 2017",0.00037200000000000004,0.00037400000000000004,0.00036,0.000362,0,8070
164,"Mar 14, 2017",0.000333,0.000373,0.00033,0.00037200000000000004,2,7217
165,"Mar 13, 2017",0.000367,0.000392,0.000332,0.000333,6,7949
166,"Mar 12, 2017",0.000364,0.000368,0.000354,0.000366,0,7891
167,"Mar 11, 2017",0.000339,0.000376,0.000337,0.000364,1,7351
168,"Mar 10, 2017",0.00035,0.000389,0.000331,0.000339,1,7581
169,"Mar 09, 2017",0.000335,0.000352,0.000332,0.000349,0,7259
