,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1e-06,1e-06,1e-06,1e-06,301,113965
1,"Aug 24, 2017",3e-06,1.1e-05,1e-06,1e-06,156,269683
2,"Aug 23, 2017",1e-06,3e-06,1e-06,3e-06,329,118455
3,"Aug 22, 2017",1e-06,1e-06,9.1e-07,1e-06,578,126915
4,"Aug 21, 2017",2e-06,8e-06,1e-06,1e-06,179,167945
5,"Aug 20, 2017",1e-06,2e-06,1e-06,2e-06,337,139401
6,"Aug 19, 2017",1e-06,1e-06,9.9e-07,1e-06,551,115040
7,"Aug 18, 2017",5e-06,5e-06,1e-06,1e-06,1237,465184
8,"Aug 17, 2017",4e-06,5e-06,1e-06,5e-06,561,387501
9,"Aug 16, 2017",1.4999999999999999e-05,1.7e-05,4e-06,4e-06,368,1554160
10,"Aug 15, 2017",1.4000000000000001e-05,1.6e-05,1e-06,1.4999999999999999e-05,125,1399200
11,"Aug 14, 2017",2e-06,1.9e-05,2e-06,1.4000000000000001e-05,147,183032
12,"Aug 13, 2017",2e-06,6e-06,2e-06,2e-06,247,158825
13,"Aug 12, 2017",2e-06,2e-06,1e-06,2e-06,837,190299
14,"Aug 11, 2017",2e-06,2e-06,1e-06,2e-06,234,162256
15,"Aug 10, 2017",2e-06,2e-06,2e-06,2e-06,601,198223
16,"Aug 09, 2017",2e-06,2e-06,2e-06,2e-06,74,196279
17,"Aug 08, 2017",2e-06,2e-06,2e-06,2e-06,484,233381
18,"Aug 07, 2017",3e-06,3e-06,2e-06,2e-06,1965,256662
19,"Aug 06, 2017",4e-06,4e-06,2e-06,3e-06,711,380216
20,"Aug 05, 2017",4e-06,5e-06,3e-06,4e-06,1183,405746
21,"Aug 04, 2017",2e-06,4e-06,2e-06,4e-06,691,249154
22,"Aug 03, 2017",2e-06,3e-06,2e-06,2e-06,919,226121
23,"Aug 02, 2017",3e-06,3e-06,2e-06,2e-06,1692,266965
