,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",8.7e-05,8.8e-05,4.3e-05,4.4e-05,0,-
1,"Aug 24, 2017",4.2e-05,8.7e-05,4.2e-05,8.7e-05,65,-
2,"Aug 22, 2017",8e-05,8e-05,7.2e-05,7.900000000000001e-05,0,-
3,"Aug 21, 2017",4.1e-05,8.1e-05,4e-05,8e-05,2,-
4,"Aug 20, 2017",8.3e-05,8.3e-05,4.1e-05,4.1e-05,36,-
5,"Aug 19, 2017",8.2e-05,8.4e-05,7.900000000000001e-05,8.3e-05,1,-
6,"Aug 18, 2017",8.6e-05,8.7e-05,8e-05,8.2e-05,3,-
7,"Aug 17, 2017",8.9e-05,8.9e-05,8.4e-05,8.6e-05,0,-
8,"Aug 16, 2017",4.2e-05,4.2e-05,3.9e-05,4.1e-05,41,-
9,"Aug 15, 2017",8.7e-05,8.8e-05,3.9e-05,4.1e-05,55,-
10,"Aug 14, 2017",8.1e-05,8.6e-05,8e-05,8.6e-05,0,-
11,"Aug 13, 2017",7.7e-05,8.4e-05,4e-05,8.1e-05,22,-
12,"Aug 12, 2017",3.7e-05,7.900000000000001e-05,3.6e-05,7.7e-05,0,-
13,"Aug 11, 2017",3.4e-05,3.7e-05,3.4e-05,3.7e-05,1,-
14,"Aug 10, 2017",6.7e-05,6.9e-05,6.6e-05,6.9e-05,2,-
15,"Aug 09, 2017",3.4e-05,6.7e-05,3.2e-05,6.7e-05,14,-
16,"Aug 08, 2017",3.4e-05,3.5e-05,3.3e-05,3.4e-05,10,-
17,"Aug 07, 2017",3.4e-05,3.4e-05,3.3e-05,3.4e-05,1,-
18,"Aug 06, 2017",6.500000000000001e-05,6.6e-05,6.3e-05,6.500000000000001e-05,1,-
19,"Aug 05, 2017",5.6999999999999996e-05,6.6e-05,5.6999999999999996e-05,6.500000000000001e-05,1,-
20,"Aug 04, 2017",5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,2,-
21,"Aug 03, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,6,-
22,"Aug 02, 2017",2.7000000000000002e-05,5.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,22,-
23,"Aug 01, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.7000000000000002e-05,4,-
24,"Jul 31, 2017",2.7000000000000002e-05,5.6000000000000006e-05,2.7000000000000002e-05,2.8999999999999997e-05,25,-
25,"Jul 30, 2017",5.4000000000000005e-05,5.4000000000000005e-05,5.2000000000000004e-05,5.3e-05,0,-
26,"Jul 29, 2017",5.5e-05,5.5e-05,5.3e-05,5.4000000000000005e-05,1,-
