,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.0008939999999999999,0.001059,0.00084,0.000947,224,65902
1,"Aug 24, 2017",0.001292,0.001344,0.000817,0.000895,253,95241
2,"Aug 23, 2017",0.0008789999999999999,0.001451,0.000875,0.001291,87,64796
3,"Aug 22, 2017",0.001444,0.001449,0.000721,0.0008810000000000001,27,106487
4,"Aug 21, 2017",0.00122,0.001521,0.0010550000000000002,0.001442,18,89929
5,"Aug 20, 2017",0.0016710000000000002,0.002236,0.0011300000000000001,0.001225,582,123183
6,"Aug 19, 2017",0.000898,0.0016820000000000001,0.000638,0.001679,278,66196
7,"Aug 18, 2017",0.0012109999999999998,0.001393,0.000868,0.000897,149,89298
8,"Aug 17, 2017",0.0014789999999999998,0.001485,0.001198,0.001215,213,109056
9,"Aug 16, 2017",0.000762,0.0014810000000000001,0.000752,0.0014810000000000001,170,56155
10,"Aug 15, 2017",0.001168,0.001179,0.000405,0.0007610000000000001,90,86109
11,"Aug 14, 2017",0.0015220000000000001,0.001574,0.001145,0.00117,24,112186
12,"Aug 13, 2017",0.000999,0.00157,0.000999,0.0014990000000000001,25,73630
13,"Aug 12, 2017",0.0011710000000000002,0.001178,0.000982,0.001,30,86303
14,"Aug 11, 2017",0.0008460000000000001,0.001224,0.000843,0.0011710000000000002,15,62412
15,"Aug 10, 2017",0.001188,0.001191,0.0005780000000000001,0.0008470000000000001,45,87592
16,"Aug 09, 2017",0.0014529999999999999,0.001457,0.001158,0.001188,144,107139
17,"Aug 08, 2017",0.0010869999999999999,0.001469,0.000722,0.001454,50,80156
18,"Aug 07, 2017",0.001258,0.0012640000000000001,0.000505,0.001086,714,92788
19,"Aug 06, 2017",0.001251,0.001775,0.001251,0.001261,277,92224
20,"Aug 05, 2017",0.0009699999999999999,0.0012640000000000001,0.0009570000000000001,0.001251,20,71546
21,"Aug 04, 2017",0.000826,0.000976,0.000795,0.0009710000000000001,52,60928
22,"Aug 03, 2017",0.000656,0.00237,0.000656,0.000826,178,48397
23,"Aug 02, 2017",0.0006940000000000001,0.001261,0.000465,0.000655,130,51143
