,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.77,5.51,4.77,5.05,279539,24261500
1,"Aug 24, 2017",4.42,5.43,4.22,4.91,426617,22470800
2,"Aug 23, 2017",4.23,4.75,4.16,4.39,228839,21494700
3,"Aug 22, 2017",4.45,4.49,3.84,4.27,142133,22637000
4,"Aug 21, 2017",4.66,4.99,4.09,4.41,286279,23689000
5,"Aug 20, 2017",4.75,4.93,4.46,4.75,250066,24124500
6,"Aug 19, 2017",3.86,5.29,3.86,4.89,457458,19629800
7,"Aug 18, 2017",3.94,4.07,3.71,3.88,177263,20018700
8,"Aug 17, 2017",4.48,4.52,3.91,3.98,180881,22748200
9,"Aug 16, 2017",4.53,4.85,4.34,4.54,270677,23029800
10,"Aug 15, 2017",4.36,4.62,3.84,4.38,360578,22176900
11,"Aug 14, 2017",4.67,5.17,4.24,4.34,225449,23722800
12,"Aug 13, 2017",5.29,6.03,4.57,4.59,275207,26889700
13,"Aug 12, 2017",5.16,5.45,4.94,5.27,266861,26203800
14,"Aug 11, 2017",4.79,5.57,4.77,5.19,311206,24310400
15,"Aug 10, 2017",5.31,5.37,4.81,4.83,310229,26962500
16,"Aug 09, 2017",5.58,5.77,5.14,5.33,220732,28319000
17,"Aug 08, 2017",5.6,6.5,5.38,5.56,580831,28400100
18,"Aug 07, 2017",4.71,5.97,4.45,5.52,323563,23880500
19,"Aug 06, 2017",5.1,5.28,4.66,4.7,227717,25845000
20,"Aug 05, 2017",5.46,5.86,4.5,5.1,638086,27708800
21,"Aug 04, 2017",4.08,5.97,4.03,5.45,901592,20704800
22,"Aug 03, 2017",3.54,4.13,3.54,4.02,158138,17949100
23,"Aug 02, 2017",3.78,3.79,3.3,3.52,201350,19142300
24,"Aug 01, 2017",3.37,3.89,2.85,3.75,233197,17109200
25,"Jul 31, 2017",3.48,3.58,3.11,3.41,155880,17657100
26,"Jul 30, 2017",3.96,3.96,3.16,3.49,183158,20091600
