,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.62,1.76,1.52,1.63,3382,2183850
1,"Aug 24, 2017",1.71,1.74,1.52,1.62,1932,2304680
2,"Aug 23, 2017",1.59,1.73,1.55,1.71,1387,2145880
3,"Aug 22, 2017",1.59,1.66,1.38,1.6,1174,2136360
4,"Aug 21, 2017",1.45,1.6,1.44,1.58,2460,1945990
5,"Aug 20, 2017",1.66,1.85,1.28,1.45,9480,2229160
6,"Aug 19, 2017",1.86,1.89,1.61,1.67,4180,2496620
7,"Aug 18, 2017",1.75,2.05,1.7,1.86,4722,2355930
8,"Aug 17, 2017",1.76,2.08,1.71,1.76,5557,2355020
9,"Aug 16, 2017",1.7,1.98,1.62,1.76,6093,2282120
10,"Aug 15, 2017",1.52,2.08,1.43,1.7,11828,2033970
11,"Aug 14, 2017",1.26,1.81,1.26,1.51,5202,1685930
12,"Aug 13, 2017",1.16,1.6,1.16,1.26,18567,1557540
13,"Aug 12, 2017",1.75,1.84,1.15,1.17,80646,2335660
14,"Aug 11, 2017",1.71,1.87,1.44,1.75,4875,2281710
15,"Aug 10, 2017",1.6,1.92,1.42,1.71,5761,2135290
16,"Aug 09, 2017",1.46,1.75,1.37,1.6,5335,1950270
17,"Aug 08, 2017",1.91,2.06,1.46,1.46,5179,2547030
18,"Aug 07, 2017",1.81,2.34,1.73,1.91,15244,2406060
19,"Aug 06, 2017",2.03,2.07,1.4,1.75,14553,2691560
20,"Aug 05, 2017",1.99,2.3,1.94,2.03,26638,2639820
21,"Aug 04, 2017",2.04,2.13,1.95,1.99,30688,2713310
22,"Aug 03, 2017",1.95,2.27,1.54,2.07,11869,2594070
23,"Aug 02, 2017",2.53,2.53,1.94,1.95,15020,3354120
24,"Aug 01, 2017",2.27,2.88,2.18,2.53,17447,3011090
25,"Jul 31, 2017",2.63,2.86,2.2,2.27,28654,3484120
26,"Jul 30, 2017",2.76,2.84,2.18,2.63,23536,3650240
27,"Jul 29, 2017",2.95,3.09,2.46,2.75,38628,3910450
28,"Jul 28, 2017",2.48,3.51,2.22,2.97,113720,3276920
29,"Jul 27, 2017",1.97,4.33,1.92,2.45,247678,2610590
30,"Jul 26, 2017",1.54,2.07,1.4,1.97,18817,2032930
31,"Jul 25, 2017",1.86,2.32,1.53,1.54,12151,2460100
32,"Jul 24, 2017",1.97,2.0,1.32,1.86,11663,2457470
33,"Jul 23, 2017",1.84,1.97,1.62,1.97,13150,2298410
34,"Jul 22, 2017",1.38,2.05,1.37,1.84,15823,1719630
35,"Jul 21, 2017",1.8,2.06,1.2,1.38,8662,2250230
36,"Jul 20, 2017",1.58,2.07,1.29,1.79,18580,1974720
37,"Jul 19, 2017",1.94,2.24,1.49,1.58,13520,2427930
38,"Jul 18, 2017",1.73,2.49,1.31,1.94,19195,2162660
39,"Jul 17, 2017",1.06,2.13,1.06,1.73,10493,1318630
40,"Jul 16, 2017",1.83,2.07,1.06,1.06,10389,2284800
41,"Jul 15, 2017",1.97,2.43,1.33,1.86,23690,2465060
42,"Jul 14, 2017",2.3,4.63,1.44,1.98,106471,2878750
43,"Jul 13, 2017",1.72,2.32,1.68,2.31,54879,2147150
44,"Jul 12, 2017",1.03,1.95,0.736901,1.72,35235,1290540
45,"Jul 11, 2017",0.9631209999999999,1.05,0.702213,1.04,9489,1203610
46,"Jul 10, 2017",0.931113,1.09,0.862382,0.965176,5919,1163610
47,"Jul 09, 2017",1.07,1.07,0.9028799999999999,0.9293040000000001,2977,1331720
48,"Jul 08, 2017",1.05,1.06,0.945083,1.06,1980,1312950
49,"Jul 07, 2017",0.9869120000000001,1.13,0.8439629999999999,1.05,4806,1233340
50,"Jul 06, 2017",0.951463,1.16,0.796367,0.986187,2345,1189040
51,"Jul 05, 2017",1.03,1.15,0.9346629999999999,0.950991,5487,1290980
52,"Jul 04, 2017",0.9000379999999999,1.03,0.87208,1.03,1521,1124770
53,"Jul 03, 2017",0.779208,0.9502079999999999,0.674082,0.9020879999999999,4479,973772
54,"Jul 02, 2017",0.8887649999999999,0.896084,0.603168,0.782088,3479,1110690
55,"Jul 01, 2017",0.9046559999999999,0.98401,0.526047,0.8888729999999999,2079,1130540
56,"Jun 30, 2017",0.542125,1.01,0.542125,0.9050030000000001,4891,677491
57,"Jun 29, 2017",0.5383560000000001,0.773567,0.534983,0.541048,3170,672781
58,"Jun 28, 2017",0.48418599999999995,0.608349,0.468659,0.538856,4028,605085
59,"Jun 27, 2017",0.565749,0.573332,0.43325699999999995,0.481051,6757,707014
