,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.17,1.54,1.17,1.34,245080,17526700
1,"Aug 24, 2017",1.09,1.28,1.05,1.18,115044,16259800
2,"Aug 23, 2017",1.11,1.45,1.05,1.09,174229,16574700
3,"Aug 22, 2017",1.0,1.15,0.909675,1.11,83590,14968900
4,"Aug 21, 2017",1.06,1.11,0.995511,1.0,70427,15825700
5,"Aug 20, 2017",1.17,1.2,1.0,1.07,225444,17391800
6,"Aug 19, 2017",1.08,2.0,1.01,1.17,2792860,16068600
7,"Aug 18, 2017",0.683664,1.19,0.57773,1.03,507871,10152800
8,"Aug 17, 2017",0.826333,0.8361709999999999,0.549269,0.604703,140786,12261300
9,"Aug 16, 2017",0.787794,0.903698,0.74961,0.827097,61509,11679700
10,"Aug 15, 2017",0.836714,0.9361959999999999,0.785942,0.786929,58580,12394600
11,"Aug 14, 2017",0.856967,0.887144,0.6359859999999999,0.83447,144901,12684100
12,"Aug 13, 2017",0.966673,1.04,0.807118,0.8564219999999999,68850,14295900
13,"Aug 12, 2017",0.9634790000000001,1.02,0.946161,0.967571,28759,14236700
14,"Aug 11, 2017",0.8924280000000001,0.976234,0.890674,0.9642299999999999,43684,13175800
15,"Aug 10, 2017",1.03,1.2,0.888963,0.889818,138788,15219900
16,"Aug 09, 2017",0.95545,1.03,0.829889,1.03,77586,14082600
17,"Aug 08, 2017",0.921268,0.975124,0.842744,0.956097,24823,13567400
18,"Aug 07, 2017",0.901682,0.939678,0.867498,0.9203379999999999,44675,13267800
19,"Aug 06, 2017",0.909818,0.962851,0.887415,0.903702,16267,13376300
20,"Aug 05, 2017",0.8419110000000001,0.982125,0.840779,0.9095979999999999,29315,12367500
21,"Aug 04, 2017",0.925365,0.9272469999999999,0.8366020000000001,0.842284,31161,13582000
22,"Aug 03, 2017",0.9349209999999999,1.03,0.87634,0.9255969999999999,41672,13710700
23,"Aug 02, 2017",0.762452,1.02,0.757837,0.9332530000000001,58854,11172000
24,"Aug 01, 2017",0.772418,0.872334,0.7111310000000001,0.7625970000000001,36144,11308500
25,"Jul 31, 2017",0.8000390000000001,0.816783,0.757313,0.784054,17701,11702800
26,"Jul 30, 2017",0.790305,0.827717,0.754269,0.799219,11292,11550800
27,"Jul 29, 2017",0.816028,0.8182590000000001,0.776331,0.790417,9771,11916800
28,"Jul 28, 2017",0.810992,0.83985,0.795063,0.819465,14205,11833200
29,"Jul 27, 2017",0.7757729999999999,0.8239360000000001,0.772928,0.808541,25304,11309700
30,"Jul 26, 2017",0.920166,0.928492,0.739671,0.782641,53375,13403500
31,"Jul 25, 2017",0.9522280000000001,0.982642,0.8076270000000001,0.919748,73404,13858800
32,"Jul 24, 2017",0.9713379999999999,0.985237,0.940005,0.9523299999999999,31376,14125000
33,"Jul 23, 2017",1.02,1.06,0.954685,0.972467,28161,14805100
34,"Jul 22, 2017",0.979007,1.06,0.97434,0.999346,32691,14212400
35,"Jul 21, 2017",1.07,1.07,0.9665379999999999,0.9792049999999999,18066,15460700
36,"Jul 20, 2017",0.9035340000000001,1.14,0.9035340000000001,1.06,50391,13058700
37,"Jul 19, 2017",0.9977090000000001,1.12,0.901133,0.906258,27524,14407400
38,"Jul 18, 2017",0.9358290000000001,1.04,0.9048139999999999,0.996122,26142,13502300
39,"Jul 17, 2017",0.824092,0.9586959999999999,0.823844,0.933421,35957,11879900
40,"Jul 16, 2017",0.967131,0.974475,0.796335,0.8250069999999999,22622,13930100
41,"Jul 15, 2017",1.11,1.12,0.9700469999999999,0.9700469999999999,45304,15936900
42,"Jul 14, 2017",0.964259,1.17,0.893366,1.11,87285,13865000
43,"Jul 13, 2017",0.921794,1.01,0.9089809999999999,0.964966,31093,13243000
44,"Jul 12, 2017",0.8910549999999999,0.964558,0.859331,0.921107,25023,12790400
45,"Jul 11, 2017",1.03,1.06,0.488594,0.895503,242715,14767500
46,"Jul 10, 2017",1.31,1.38,0.990984,1.03,76502,18730200
47,"Jul 09, 2017",1.35,1.42,1.3,1.3,45962,19361200
48,"Jul 08, 2017",1.28,1.37,1.26,1.35,39679,18279500
49,"Jul 07, 2017",1.45,1.47,1.26,1.28,37131,20736100
50,"Jul 06, 2017",1.35,1.49,1.25,1.45,93132,19343900
51,"Jul 05, 2017",1.39,1.4,1.32,1.35,42962,19787600
52,"Jul 04, 2017",1.46,1.49,1.38,1.4,32152,20764700
53,"Jul 03, 2017",1.33,1.53,1.32,1.46,56025,18998100
54,"Jul 02, 2017",1.24,1.39,1.21,1.34,38961,17641600
55,"Jul 01, 2017",1.39,1.42,1.19,1.24,64399,19720700
56,"Jun 30, 2017",1.52,1.55,1.38,1.39,35046,21545100
57,"Jun 29, 2017",1.43,1.56,1.41,1.48,72712,20300900
58,"Jun 28, 2017",1.37,1.48,1.27,1.43,61002,19399000
59,"Jun 27, 2017",1.28,1.36,1.15,1.36,61707,18146600
60,"Jun 26, 2017",1.43,1.46,1.2,1.28,74893,20200900
61,"Jun 25, 2017",1.39,1.67,1.31,1.43,115680,19612800
62,"Jun 24, 2017",1.44,1.46,1.26,1.39,134586,20412300
63,"Jun 23, 2017",1.43,1.68,1.41,1.45,146632,20220100
64,"Jun 22, 2017",1.1,1.5,1.1,1.43,305629,15455400
65,"Jun 21, 2017",1.05,1.23,1.05,1.1,149070,14775800
66,"Jun 20, 2017",1.01,1.07,0.998208,1.07,75474,14173200
67,"Jun 19, 2017",0.916121,1.02,0.914645,1.01,69613,12881900
68,"Jun 18, 2017",0.8654709999999999,0.9612459999999999,0.861978,0.918966,67346,12159100
69,"Jun 17, 2017",0.9465709999999999,0.9492729999999999,0.863951,0.8654719999999999,54658,13286800
70,"Jun 16, 2017",0.726696,1.11,0.659674,0.946521,162904,10191500
71,"Jun 15, 2017",0.788316,0.840808,0.601612,0.717583,62706,11046000
72,"Jun 14, 2017",0.86972,0.9170020000000001,0.744498,0.788351,12263,12175900
73,"Jun 13, 2017",0.7851520000000001,0.9401809999999999,0.784283,0.8702290000000001,37328,10982400
74,"Jun 12, 2017",1.04,1.04,0.775421,0.787788,24377,14546900
75,"Jun 11, 2017",1.02,1.05,0.987342,1.04,45352,14214300
76,"Jun 10, 2017",0.9520190000000001,1.13,0.9520190000000001,1.02,57247,13281400
77,"Jun 09, 2017",0.8418680000000001,1.16,0.8243729999999999,0.950591,120655,11734300
