,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",8.7e-05,8.9e-05,8.6e-05,8.7e-05,5,-
1,"Aug 24, 2017",8.3e-05,8.7e-05,8.2e-05,8.7e-05,2,-
2,"Aug 23, 2017",8.2e-05,8.499999999999999e-05,8.1e-05,8.3e-05,9,-
3,"Aug 22, 2017",8e-05,8.3e-05,7.2e-05,8.2e-05,12,-
4,"Aug 21, 2017",4.1e-05,8.2e-05,4e-05,8e-05,7,-
5,"Aug 20, 2017",8.3e-05,8.3e-05,4.1e-05,4.1e-05,14,-
6,"Aug 19, 2017",8.2e-05,8.4e-05,7.900000000000001e-05,8.3e-05,2,-
7,"Aug 18, 2017",8.6e-05,8.7e-05,8e-05,8.2e-05,3,-
8,"Aug 17, 2017",8.8e-05,9e-05,8.4e-05,8.6e-05,1,-
9,"Aug 16, 2017",8.4e-05,8.8e-05,7.900000000000001e-05,8.8e-05,13,-
10,"Aug 15, 2017",8.7e-05,8.9e-05,7.7e-05,8.1e-05,0,-
11,"Aug 14, 2017",8.1e-05,8.6e-05,8e-05,8.6e-05,1,-
12,"Aug 13, 2017",7.7e-05,8.2e-05,3.9e-05,8.1e-05,50,-
13,"Aug 12, 2017",7.3e-05,7.900000000000001e-05,3.7e-05,7.7e-05,9,-
14,"Aug 11, 2017",3.4e-05,7.4e-05,3.4e-05,7.3e-05,87,-
15,"Aug 10, 2017",6.7e-05,6.9e-05,3.4e-05,3.4e-05,70,-
16,"Aug 09, 2017",6.8e-05,6.9e-05,6.500000000000001e-05,6.7e-05,9,-
17,"Aug 08, 2017",6.8e-05,7e-05,6.7e-05,6.8e-05,6,-
18,"Aug 07, 2017",6.4e-05,6.8e-05,3.2e-05,6.8e-05,12,-
19,"Aug 06, 2017",6.500000000000001e-05,6.6e-05,6.3e-05,6.500000000000001e-05,14,-
20,"Aug 05, 2017",5.6999999999999996e-05,6.6e-05,5.6999999999999996e-05,6.500000000000001e-05,0,-
21,"Aug 04, 2017",5.6000000000000006e-05,5.6999999999999996e-05,2.8000000000000003e-05,5.6999999999999996e-05,4,-
22,"Aug 03, 2017",5.5e-05,5.6000000000000006e-05,5.5e-05,5.6000000000000006e-05,6,-
23,"Aug 01, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.7000000000000002e-05,17,-
24,"Jul 31, 2017",5.4000000000000005e-05,5.7999999999999994e-05,2.7000000000000002e-05,2.8999999999999997e-05,199,-
25,"Jul 30, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2,-
26,"Jul 29, 2017",2.8000000000000003e-05,5.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,21,-
27,"Jul 28, 2017",5.3e-05,5.6000000000000006e-05,2.7000000000000002e-05,2.8000000000000003e-05,60,-
28,"Jul 27, 2017",5e-05,5.4000000000000005e-05,5e-05,5.3e-05,1,-
29,"Jul 26, 2017",5.1e-05,5.2000000000000004e-05,2.4e-05,5e-05,87,-
30,"Jul 25, 2017",5.5e-05,5.6000000000000006e-05,2.5e-05,5.1e-05,43,-
31,"Jul 24, 2017",2.8000000000000003e-05,5.5e-05,2.7000000000000002e-05,5.5e-05,10,-
32,"Jul 23, 2017",5.6999999999999996e-05,5.6999999999999996e-05,5.3e-05,5.5e-05,0,-
33,"Jul 22, 2017",2.7000000000000002e-05,5.7999999999999994e-05,2.7000000000000002e-05,5.6999999999999996e-05,296,-
34,"Jul 21, 2017",5.6999999999999996e-05,5.6999999999999996e-05,2.6000000000000002e-05,2.7000000000000002e-05,1,-
35,"Jul 20, 2017",4.5e-05,5.7999999999999994e-05,4.5e-05,5.6000000000000006e-05,0,-
36,"Jul 19, 2017",4.6e-05,4.8e-05,4.5e-05,4.5e-05,2,-
37,"Jul 18, 2017",4.4e-05,4.8e-05,4.3e-05,4.6e-05,19,-
38,"Jul 17, 2017",3.8e-05,4.4e-05,2e-05,4.4e-05,39,-
39,"Jul 16, 2017",4e-05,4.1e-05,3.7e-05,3.9e-05,267,-
40,"Jul 15, 2017",4.4e-05,4.4e-05,4e-05,4e-05,9,-
41,"Jul 14, 2017",2.3e-05,4.7e-05,2.3e-05,4.4e-05,117,-
