,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",317.91,320.65,306.68,315.89,53632700,2388160000
1,"Aug 24, 2017",292.96,315.37,291.19,315.37,58804500,2200130000
2,"Aug 23, 2017",290.46,299.14,287.73,292.57,47798300,2180790000
3,"Aug 22, 2017",280.29,299.98,260.53,291.5,74971200,2103900000
4,"Aug 21, 2017",293.77,300.52,275.94,279.58,58023900,2204480000
5,"Aug 20, 2017",288.2,327.25,287.82,294.2,107973000,2162080000
6,"Aug 19, 2017",224.67,329.98,224.67,288.7,220487000,1685040000
7,"Aug 18, 2017",233.84,240.41,219.42,224.28,50324200,1753350000
8,"Aug 17, 2017",231.58,260.6,229.08,233.62,98375500,1736000000
9,"Aug 16, 2017",203.85,233.53,198.92,232.02,63100100,1527710000
10,"Aug 15, 2017",199.8,206.13,192.73,203.52,37532600,1496920000
11,"Aug 14, 2017",198.32,202.89,195.35,199.44,29888400,1485500000
12,"Aug 13, 2017",205.59,207.19,192.14,198.17,36281800,1539490000
13,"Aug 12, 2017",206.22,210.64,201.38,205.49,30017500,1543820000
14,"Aug 11, 2017",200.82,209.11,199.59,205.79,28677400,1502990000
15,"Aug 10, 2017",199.56,205.54,195.78,200.96,30972000,1493200000
16,"Aug 09, 2017",203.74,205.87,193.33,199.21,31657100,1524040000
17,"Aug 08, 2017",196.58,205.5,194.97,203.84,35117200,1470120000
18,"Aug 07, 2017",189.07,197.91,187.05,197.19,32441600,1413570000
19,"Aug 06, 2017",193.71,195.0,188.43,189.13,25336000,1447880000
20,"Aug 05, 2017",186.96,195.55,185.73,193.83,41127900,1397060000
21,"Aug 04, 2017",186.92,189.96,186.13,186.97,28791800,1395520000
22,"Aug 03, 2017",183.17,189.19,180.28,186.99,25612400,1367150000
23,"Aug 02, 2017",185.16,186.24,181.42,182.93,19076200,1381630000
24,"Aug 01, 2017",179.2,186.23,177.26,184.75,34656300,1336810000
25,"Jul 31, 2017",173.15,180.05,171.76,178.51,29249300,1291390000
26,"Jul 30, 2017",185.45,187.95,172.47,172.82,25327200,1382710000
27,"Jul 29, 2017",185.11,187.66,169.34,185.25,40505200,1379860000
28,"Jul 28, 2017",194.0,196.91,181.57,185.61,30108800,1445720000
29,"Jul 27, 2017",195.08,199.43,192.47,194.09,26363200,1453370000
30,"Jul 26, 2017",195.49,200.88,189.33,194.37,38380000,1456070000
31,"Jul 25, 2017",204.04,212.4,189.03,195.52,84970400,1519340000
32,"Jul 24, 2017",191.11,216.62,187.29,204.02,90278800,1422690000
33,"Jul 23, 2017",195.02,195.74,187.26,191.03,31110400,1451390000
34,"Jul 22, 2017",186.13,195.55,185.55,195.31,23312700,1384830000
35,"Jul 21, 2017",188.58,193.8,180.68,185.86,32884200,1402760000
36,"Jul 20, 2017",154.85,193.87,154.85,188.59,98932600,1151530000
37,"Jul 19, 2017",157.98,170.25,153.87,155.65,28281400,1174490000
38,"Jul 18, 2017",154.5,165.7,146.25,158.07,28103500,1148330000
