,Date,Open,High,Low,Close,Volume,Market Cap
0,"Dec 10, 2016",3.9e-05,3.9e-05,3.9e-05,3.9e-05,3,-
1,"Dec 09, 2016",5.4000000000000005e-05,5.4000000000000005e-05,3.9e-05,3.9e-05,3,-
2,"Dec 08, 2016",5.4000000000000005e-05,5.4000000000000005e-05,5.4000000000000005e-05,5.4000000000000005e-05,0,-
3,"Dec 07, 2016",0.00010700000000000001,0.00010700000000000001,0.000106,0.00010700000000000001,0,-
4,"Dec 06, 2016",0.00010700000000000001,0.00010700000000000001,0.00010700000000000001,0.00010700000000000001,0,-
5,"Dec 04, 2016",0.00010800000000000001,0.00010800000000000001,0.00010800000000000001,0.00010800000000000001,2,-
6,"Dec 03, 2016",0.0001,0.00010800000000000001,0.0001,0.00010800000000000001,3,-
7,"Dec 01, 2016",9.7e-05,9.8e-05,9.7e-05,9.8e-05,2,-
8,"Nov 30, 2016",9.7e-05,9.7e-05,9.7e-05,9.7e-05,2,-
9,"Nov 26, 2016",4.4e-05,4.5e-05,4.4e-05,4.4e-05,0,-
10,"Nov 25, 2016",3.7e-05,4.4e-05,3.7e-05,4.4e-05,0,-
11,"Nov 24, 2016",3.7e-05,3.7e-05,3.7e-05,3.7e-05,1,-
12,"Nov 22, 2016",4.4e-05,4.5e-05,4.4e-05,4.5e-05,1,-
13,"Nov 21, 2016",4.4e-05,4.5e-05,4.4e-05,4.4e-05,1,-
14,"Nov 18, 2016",5.2000000000000004e-05,5.3e-05,5.2000000000000004e-05,5.2000000000000004e-05,1,-
15,"Nov 17, 2016",5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,1,-
16,"Nov 16, 2016",5e-05,5e-05,5e-05,5e-05,2,-
17,"Nov 15, 2016",9.2e-05,9.2e-05,5e-05,5e-05,2,-
18,"Nov 14, 2016",9.1e-05,9.2e-05,9.1e-05,9.2e-05,1,-
19,"Nov 04, 2016",0.000103,0.000106,0.000103,0.000105,0,-
20,"Nov 03, 2016",5.2000000000000004e-05,0.000106,5.1e-05,0.000103,6,-
21,"Nov 02, 2016",5.1e-05,5.2000000000000004e-05,5.1e-05,5.2000000000000004e-05,1,-
22,"Oct 31, 2016",7e-05,7e-05,6.9e-05,7e-05,4,-
23,"Oct 30, 2016",7.099999999999999e-05,7.099999999999999e-05,7e-05,7e-05,4,-
24,"Oct 23, 2016",9.9e-05,9.9e-05,9.8e-05,9.8e-05,0,-
25,"Oct 22, 2016",3.8e-05,9.9e-05,3.8e-05,9.9e-05,0,-
26,"Oct 21, 2016",4.4e-05,4.4e-05,3.8e-05,3.8e-05,43,-
27,"Oct 20, 2016",4.4e-05,4.4e-05,4.4e-05,4.4e-05,1,-
28,"Oct 19, 2016",9.4e-05,9.499999999999999e-05,4.4e-05,4.4e-05,2,-
29,"Oct 13, 2015",8.3e-05,8.3e-05,8.3e-05,8.3e-05,0,96
30,"Oct 12, 2015",8.4e-05,8.4e-05,8.3e-05,8.3e-05,0,96
31,"Oct 11, 2015",8.3e-05,8.4e-05,8.3e-05,8.4e-05,0,96
32,"Oct 10, 2015",8.3e-05,8.3e-05,8.3e-05,8.3e-05,0,95
33,"Oct 05, 2015",8.1e-05,8.1e-05,8.1e-05,8.1e-05,0,93
34,"Oct 04, 2015",8.1e-05,8.1e-05,8.1e-05,8.1e-05,0,93
35,"Oct 03, 2015",8.1e-05,8.1e-05,8.1e-05,8.1e-05,0,93
36,"Oct 01, 2015",8e-05,8.1e-05,8e-05,8.1e-05,0,92
37,"Sep 30, 2015",8e-05,8.1e-05,8e-05,8e-05,0,92
38,"Sep 29, 2015",8.1e-05,8.2e-05,8e-05,8e-05,0,93
