,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",3.2e-05,3.4e-05,2.8000000000000003e-05,2.8999999999999997e-05,0,467923
1,"Aug 24, 2017",2.8999999999999997e-05,3.3e-05,2.4e-05,3.2e-05,19,416209
2,"Aug 23, 2017",2.6000000000000002e-05,2.8999999999999997e-05,2.5e-05,2.8000000000000003e-05,248,384099
3,"Aug 22, 2017",2.6000000000000002e-05,2.7000000000000002e-05,2.1e-05,2.6000000000000002e-05,88,381395
4,"Aug 21, 2017",2.9999999999999997e-05,3.1e-05,2.2e-05,2.6000000000000002e-05,33,437229
5,"Aug 20, 2017",3.8e-05,3.9e-05,2.9999999999999997e-05,2.9999999999999997e-05,101,545713
6,"Aug 19, 2017",2.6000000000000002e-05,3.8e-05,1.8e-05,3.8e-05,120,376868
7,"Aug 18, 2017",2.5e-05,2.6000000000000002e-05,2.4e-05,2.6000000000000002e-05,151,362243
8,"Aug 17, 2017",2.8999999999999997e-05,2.9999999999999997e-05,1.6e-05,2.5e-05,33,425176
9,"Aug 16, 2017",4e-05,4.1e-05,2.4e-05,2.8999999999999997e-05,7,582107
10,"Aug 15, 2017",2.6000000000000002e-05,4.1e-05,2.6000000000000002e-05,4e-05,45,377239
11,"Aug 14, 2017",2.8000000000000003e-05,2.8999999999999997e-05,1.9e-05,2.6000000000000002e-05,165,407751
12,"Aug 13, 2017",2.7000000000000002e-05,3.2e-05,2.1e-05,2.8000000000000003e-05,102,387816
13,"Aug 12, 2017",1.9e-05,4.4e-05,1.4999999999999999e-05,2.7000000000000002e-05,216,270734
14,"Aug 11, 2017",2.4e-05,2.8000000000000003e-05,1.9e-05,1.9e-05,14,349713
15,"Aug 10, 2017",3.1e-05,3.1e-05,2.2e-05,2.4e-05,17,450642
16,"Aug 09, 2017",3.1e-05,3.3e-05,3.1e-05,3.2e-05,143,442905
17,"Aug 08, 2017",2.1e-05,3.1e-05,2.1e-05,3.1e-05,26,297391
18,"Aug 07, 2017",2.1e-05,2.5e-05,1.1e-05,2.1e-05,36,295975
19,"Aug 06, 2017",2.1e-05,2.1e-05,2e-05,2.1e-05,8,305202
20,"Aug 05, 2017",2e-05,2.2e-05,2e-05,2.1e-05,89,289797
21,"Aug 04, 2017",2.8000000000000003e-05,2.8999999999999997e-05,1.1e-05,2e-05,93,405388
22,"Aug 03, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,1,385075
23,"Aug 02, 2017",2.1e-05,2.7000000000000002e-05,1.8e-05,2.7000000000000002e-05,16,295094
24,"Aug 01, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.2e-05,2.2e-05,38,403156
25,"Jul 31, 2017",2.6000000000000002e-05,2.8999999999999997e-05,1.7e-05,2.8000000000000003e-05,85,371899
26,"Jul 30, 2017",2.7000000000000002e-05,2.7000000000000002e-05,1.8e-05,2.6000000000000002e-05,3,389029
27,"Jul 29, 2017",2.5e-05,2.8999999999999997e-05,2.4e-05,2.7000000000000002e-05,56,359153
28,"Jul 28, 2017",3.4e-05,3.5e-05,1.8e-05,2.5e-05,28,490986
29,"Jul 27, 2017",3.3e-05,4.8e-05,2.1e-05,3.4e-05,180,472051
30,"Jul 26, 2017",1.6e-05,3.2e-05,1.4999999999999999e-05,3.2e-05,8,224064
31,"Jul 25, 2017",2.7000000000000002e-05,3.4e-05,1.4999999999999999e-05,1.6e-05,518,392828
32,"Jul 24, 2017",5.2000000000000004e-05,5.3e-05,1.9e-05,2.7000000000000002e-05,862,744171
33,"Jul 23, 2017",3.5e-05,5.5e-05,2.7000000000000002e-05,5.2000000000000004e-05,75,497457
34,"Jul 22, 2017",5.1e-05,5.1e-05,2.8999999999999997e-05,3.5e-05,157,732158
35,"Jul 21, 2017",2.8999999999999997e-05,5.5e-05,2.5e-05,5.1e-05,227,415736
36,"Jul 20, 2017",2.3e-05,5.3e-05,2.3e-05,2.8999999999999997e-05,1015,327589
37,"Jul 19, 2017",2.9999999999999997e-05,2.9999999999999997e-05,1.2e-05,1.4000000000000001e-05,52,423354
38,"Jul 18, 2017",2.1e-05,2.9999999999999997e-05,2.1e-05,2.8999999999999997e-05,405,300534
39,"Jul 17, 2017",8e-06,2.3e-05,8e-06,2.1e-05,6,121378
40,"Jul 16, 2017",2.2e-05,2.3e-05,8e-06,8e-06,2,315996
41,"Jul 15, 2017",1.4000000000000001e-05,2.3e-05,1e-05,2.2e-05,147,198807
42,"Jul 14, 2017",2.3e-05,3.1e-05,1.3000000000000001e-05,1.4000000000000001e-05,155,334137
43,"Jul 13, 2017",2.4e-05,2.7000000000000002e-05,2.3e-05,2.3e-05,20,348418
44,"Jul 12, 2017",2.4e-05,2.5e-05,2.3e-05,2.4e-05,270,335452
45,"Jul 11, 2017",2.4e-05,2.4e-05,2.3e-05,2.4e-05,261,340626
46,"Jul 10, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,265,365279
47,"Jul 09, 2017",5e-05,5.1e-05,2.6000000000000002e-05,2.6000000000000002e-05,283,715753
48,"Jul 08, 2017",5e-05,5e-05,2.5e-05,5e-05,180,713406
49,"Jul 07, 2017",5.2000000000000004e-05,5.2000000000000004e-05,2.6000000000000002e-05,5e-05,112,735900
50,"Jul 06, 2017",2.6000000000000002e-05,5.2000000000000004e-05,2.6000000000000002e-05,5.2000000000000004e-05,725,374427
51,"Jul 05, 2017",7.4e-05,8.3e-05,2.6000000000000002e-05,2.6000000000000002e-05,4268,1047780
52,"Jul 04, 2017",4.8e-05,7.7e-05,2.8999999999999997e-05,6.4e-05,316,686631
53,"Jul 03, 2017",5e-05,5.1e-05,3.8e-05,4.8e-05,1866,711598
54,"Jul 02, 2017",2.4e-05,5e-05,2.4e-05,5e-05,235,341695
55,"Jul 01, 2017",6.4e-05,7.3e-05,4.6e-05,7.2e-05,404,906166
56,"Jun 30, 2017",7.6e-05,7.6e-05,4.6e-05,6.4e-05,373,1077410
57,"Jun 29, 2017",7.7e-05,7.8e-05,2.5e-05,7.6e-05,987,1095230
58,"Jun 28, 2017",7.4e-05,8.2e-05,4.4e-05,8.2e-05,2226,1043710
59,"Jun 27, 2017",9e-05,9.300000000000001e-05,4.9e-05,7.4e-05,2499,1270680
60,"Jun 26, 2017",0.000101,0.000102,6.500000000000001e-05,9e-05,1038,1428870
61,"Jun 25, 2017",8e-05,0.000106,7.900000000000001e-05,0.000101,2069,1135960
62,"Jun 24, 2017",5.9e-05,0.000106,5.9e-05,8e-05,1009,833002
63,"Jun 23, 2017",6.9e-05,9.9e-05,5.7999999999999994e-05,5.9e-05,642,978415
64,"Jun 22, 2017",6.500000000000001e-05,7.5e-05,4.6e-05,6.9e-05,554,914677
65,"Jun 21, 2017",5e-05,7.4e-05,4.7e-05,6.500000000000001e-05,1953,700645
66,"Jun 20, 2017",2.4e-05,5e-05,2.2e-05,5e-05,682,338722
67,"Jun 19, 2017",3.9e-05,4.8e-05,2.2e-05,2.4e-05,907,543756
68,"Jun 18, 2017",2.8999999999999997e-05,4.2e-05,2.8000000000000003e-05,3.6e-05,41,415800
69,"Jun 17, 2017",4.5e-05,4.5e-05,2.5e-05,2.8999999999999997e-05,21,633690
70,"Jun 16, 2017",2.8999999999999997e-05,5e-05,2.1e-05,4.5e-05,62,414109
71,"Jun 15, 2017",2.2e-05,2.6000000000000002e-05,1.8e-05,2.3e-05,335,315941
72,"Jun 14, 2017",2.5e-05,2.8000000000000003e-05,2.2e-05,2.2e-05,178,349412
73,"Jun 13, 2017",2.6000000000000002e-05,5.2000000000000004e-05,2.4e-05,2.5e-05,207,369946
74,"Jun 12, 2017",4.9e-05,6.500000000000001e-05,2.6000000000000002e-05,2.6000000000000002e-05,242,695789
75,"Jun 11, 2017",1.6e-05,4.2e-05,1.6e-05,4.2e-05,105,231065
76,"Jun 10, 2017",1.6e-05,3.3e-05,1.6e-05,1.6e-05,67,223657
