,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",5.19,5.21,4.91,5.06,29093,11668900
1,"Aug 24, 2017",4.85,5.39,4.78,5.25,127114,10877300
2,"Aug 23, 2017",4.72,4.98,4.64,4.85,43933,10584000
3,"Aug 22, 2017",4.58,5.03,4.16,4.73,100102,10266300
4,"Aug 21, 2017",4.34,6.72,4.23,4.57,570393,9721520
5,"Aug 20, 2017",4.35,4.44,4.15,4.36,26717,9738610
6,"Aug 19, 2017",4.4,4.55,4.1,4.37,20702,9835510
7,"Aug 18, 2017",4.24,4.84,4.11,4.4,50231,9491550
8,"Aug 17, 2017",4.39,4.62,4.11,4.38,29756,9806450
9,"Aug 16, 2017",4.49,4.57,4.15,4.39,45007,10013800
10,"Aug 15, 2017",4.87,4.96,4.29,4.48,43580,10854800
11,"Aug 14, 2017",4.69,4.92,4.58,4.85,23585,10454100
12,"Aug 13, 2017",4.6,5.25,4.45,4.69,62928,10243700
13,"Aug 12, 2017",3.92,4.86,3.9,4.61,82199,8723800
14,"Aug 11, 2017",3.59,4.03,3.58,4.03,52381,7988530
15,"Aug 10, 2017",3.58,3.75,3.51,3.59,20736,7948740
16,"Aug 09, 2017",3.59,3.67,3.47,3.55,26866,7978920
17,"Aug 08, 2017",3.51,3.73,3.46,3.59,17147,7791210
18,"Aug 07, 2017",3.59,3.68,3.39,3.51,17027,7960500
19,"Aug 06, 2017",3.51,3.67,3.35,3.6,16329,7793130
20,"Aug 05, 2017",2.97,3.53,2.94,3.51,21774,6577840
21,"Aug 04, 2017",3.21,3.27,2.91,2.97,27685,7116960
22,"Aug 03, 2017",3.24,3.28,3.04,3.21,24387,7181310
23,"Aug 02, 2017",3.13,3.23,2.94,3.22,42546,6913310
24,"Aug 01, 2017",2.95,3.54,2.75,3.13,122391,6517760
25,"Jul 31, 2017",3.57,3.61,2.86,2.96,106363,7894440
26,"Jul 30, 2017",3.64,4.2,3.55,3.57,169814,8038440
27,"Jul 29, 2017",3.52,4.11,3.3,3.64,98856,7764570
28,"Jul 28, 2017",3.06,4.08,2.93,3.53,195913,6746890
29,"Jul 27, 2017",3.0,3.16,2.93,3.05,8125,6619380
30,"Jul 26, 2017",3.05,3.13,2.76,3.0,15388,6709520
31,"Jul 25, 2017",3.06,3.13,2.67,3.05,46387,6738480
32,"Jul 24, 2017",2.83,3.07,2.79,3.06,18394,6231770
33,"Jul 23, 2017",2.89,2.97,2.7,2.84,13121,6360380
34,"Jul 22, 2017",2.95,3.23,2.79,2.89,23390,6486580
35,"Jul 21, 2017",3.21,3.24,2.9,2.95,18448,7040910
36,"Jul 20, 2017",2.51,3.29,2.51,3.18,26267,5494920
37,"Jul 19, 2017",2.75,2.83,2.5,2.51,17298,6024860
38,"Jul 18, 2017",2.65,2.9,2.57,2.75,20632,5788340
39,"Jul 17, 2017",2.31,2.72,2.25,2.64,79992,5046040
40,"Jul 16, 2017",2.77,2.96,2.31,2.36,62969,6061080
41,"Jul 15, 2017",2.85,3.15,2.65,2.79,93318,6219370
42,"Jul 14, 2017",2.55,3.5,2.55,2.85,148089,5570230
43,"Jul 13, 2017",2.61,2.7,2.5,2.55,19079,5701160
44,"Jul 12, 2017",2.31,2.65,2.25,2.61,33375,5026040
45,"Jul 11, 2017",2.34,2.43,2.1,2.32,49135,5097770
46,"Jul 10, 2017",2.62,2.62,2.33,2.35,27401,5706300
47,"Jul 09, 2017",2.66,2.81,2.36,2.62,32336,5793670
48,"Jul 08, 2017",2.73,2.76,2.49,2.66,27480,5927970
49,"Jul 07, 2017",2.99,3.02,2.7,2.72,50850,6500390
50,"Jul 06, 2017",3.11,3.11,2.89,2.99,27921,6746040
51,"Jul 05, 2017",2.95,3.1,2.88,3.1,26527,6401710
52,"Jul 04, 2017",2.89,3.4,2.85,2.95,79428,6273720
53,"Jul 03, 2017",2.76,3.11,2.73,2.91,68583,5995020
54,"Jul 02, 2017",2.71,2.91,2.57,2.77,65529,5879820
