,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",2.4e-05,2.5e-05,8e-06,1.3000000000000001e-05,4393,12769000
1,"Aug 24, 2017",6e-06,2.4e-05,4e-06,2.4e-05,8821,3322290
2,"Aug 23, 2017",1e-05,2.1e-05,6e-06,6e-06,7277,5148880
3,"Aug 22, 2017",5e-06,1e-05,4e-06,1e-05,3615,2639820
4,"Aug 21, 2017",5e-06,8e-06,5e-06,5e-06,1315,2769730
5,"Aug 20, 2017",7.000000000000001e-06,9e-06,3e-06,5e-06,2729,3563890
6,"Aug 19, 2017",7.000000000000001e-06,7.000000000000001e-06,4e-06,7.000000000000001e-06,2626,3568300
7,"Aug 18, 2017",9e-06,1.8e-05,6e-06,7.000000000000001e-06,1696,4882840
8,"Aug 17, 2017",1.4000000000000001e-05,1.9e-05,5e-06,9e-06,2835,7191400
9,"Aug 16, 2017",1.9e-05,1.9e-05,1.1e-05,1.4000000000000001e-05,1854,10010800
10,"Aug 15, 2017",9e-06,2.4e-05,9e-06,1.9e-05,3577,5054320
11,"Aug 14, 2017",5e-06,1e-05,3e-06,9e-06,4730,2438520
12,"Aug 13, 2017",9e-06,1e-05,4e-06,5e-06,4804,4745530
13,"Aug 12, 2017",7.000000000000001e-06,1.3000000000000001e-05,6e-06,9e-06,4748,3817340
14,"Aug 11, 2017",8e-06,8e-06,4e-06,7.000000000000001e-06,3092,4109390
15,"Aug 10, 2017",2e-05,2.5e-05,7.000000000000001e-06,8e-06,8373,10396000
16,"Aug 09, 2017",5e-06,2e-05,5e-06,2e-05,8818,2864270
17,"Aug 08, 2017",4e-06,7.000000000000001e-06,3e-06,5e-06,4696,2017830
18,"Aug 07, 2017",7.000000000000001e-06,7.000000000000001e-06,3e-06,4e-06,2140,3488630
19,"Aug 06, 2017",5e-06,8e-06,4e-06,7.000000000000001e-06,2521,2497750
20,"Aug 05, 2017",1.4000000000000001e-05,1.7e-05,4e-06,5e-06,3680,7591930
21,"Aug 04, 2017",4e-06,1.4999999999999999e-05,4e-06,1.4000000000000001e-05,4936,2224420
22,"Aug 03, 2017",7.000000000000001e-06,1.3000000000000001e-05,4e-06,4e-06,3726,3808170
23,"Aug 02, 2017",3e-06,7.000000000000001e-06,2e-06,7.000000000000001e-06,6313,1339860
24,"Aug 01, 2017",6e-06,6e-06,3e-06,3e-06,4939,2945070
25,"Jul 31, 2017",6e-06,7.000000000000001e-06,5e-06,6e-06,4785,3201920
26,"Jul 30, 2017",3e-06,7.000000000000001e-06,3e-06,6e-06,3202,1426640
27,"Jul 29, 2017",4e-06,4e-06,3e-06,3e-06,11038,2338280
28,"Jul 28, 2017",5e-06,5e-06,4e-06,4e-06,4406,2670520
29,"Jul 27, 2017",5e-06,6e-06,4e-06,5e-06,7031,2719990
30,"Jul 26, 2017",7.000000000000001e-06,8e-06,4e-06,5e-06,5532,3968430
