,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",2.14,2.38,2.08,2.23,69741,3800980
1,"Aug 24, 2017",1.95,2.28,1.94,2.14,40291,3460630
2,"Aug 23, 2017",1.9,2.09,1.9,1.95,10094,3372420
3,"Aug 22, 2017",2.04,2.12,1.76,1.91,17501,3617080
4,"Aug 21, 2017",1.94,2.11,1.82,2.1,65931,3439290
5,"Aug 20, 2017",2.01,2.04,1.83,1.95,29265,3560380
6,"Aug 19, 2017",1.93,2.08,1.86,2.01,9099,3423920
7,"Aug 18, 2017",1.97,2.29,1.84,1.94,49607,3476930
8,"Aug 17, 2017",2.07,2.13,1.9,1.97,27074,3662620
9,"Aug 16, 2017",2.22,2.24,1.92,2.07,30070,3922360
10,"Aug 15, 2017",2.26,2.31,1.79,2.05,134676,3998450
11,"Aug 14, 2017",1.86,2.26,1.77,2.26,107377,3282390
12,"Aug 13, 2017",1.85,2.37,1.77,1.86,126420,3273010
13,"Aug 12, 2017",1.75,1.86,1.65,1.86,213941,3085740
14,"Aug 11, 2017",1.67,1.77,1.57,1.75,5712,2938700
15,"Aug 10, 2017",1.66,1.69,1.41,1.67,33101,2922730
16,"Aug 09, 2017",1.79,1.92,1.52,1.66,35890,3146370
17,"Aug 08, 2017",1.55,1.83,1.52,1.79,27138,2726580
18,"Aug 07, 2017",1.55,1.71,1.48,1.55,23152,2733890
19,"Aug 06, 2017",1.63,1.69,1.47,1.56,20777,2863020
20,"Aug 05, 2017",1.57,1.83,1.56,1.63,9459,2760140
21,"Aug 04, 2017",1.49,1.66,1.43,1.57,24056,2621650
22,"Aug 03, 2017",1.6,1.8,1.38,1.49,14713,2804190
23,"Aug 02, 2017",1.59,1.69,1.27,1.59,40041,2791120
24,"Aug 01, 2017",1.21,1.88,1.13,1.61,23462,2114750
25,"Jul 31, 2017",1.18,1.38,1.15,1.2,19587,2066320
26,"Jul 30, 2017",1.17,1.28,1.1,1.18,21987,2048190
27,"Jul 29, 2017",1.22,1.29,1.15,1.17,10416,2143640
28,"Jul 28, 2017",1.34,1.49,1.14,1.23,27481,2351870
29,"Jul 27, 2017",1.42,1.56,1.24,1.34,59660,2475440
30,"Jul 26, 2017",1.55,2.2,1.16,1.42,183950,2702240
31,"Jul 25, 2017",1.84,1.88,1.44,1.51,12405,3182210
32,"Jul 24, 2017",1.9,2.07,1.48,1.84,61432,3252760
33,"Jul 23, 2017",2.14,2.19,1.89,1.9,7194,3662470
34,"Jul 22, 2017",1.81,2.34,1.8,2.14,40904,3117260
35,"Jul 21, 2017",1.7,2.23,1.62,1.93,58220,2918540
36,"Jul 20, 2017",1.65,1.95,1.59,1.69,35704,2825890
37,"Jul 19, 2017",1.84,1.91,1.59,1.66,20174,3144430
38,"Jul 18, 2017",1.73,2.04,1.62,1.84,24645,2937070
39,"Jul 17, 2017",1.37,1.92,1.32,1.72,33769,2314660
40,"Jul 16, 2017",1.32,1.41,1.13,1.37,27130,2234480
41,"Jul 15, 2017",1.57,1.7,1.2,1.33,84350,2650990
42,"Jul 14, 2017",1.44,2.54,1.22,1.53,566631,2415560
43,"Jul 13, 2017",0.9621200000000001,1.86,0.959061,1.47,107762,1615990
