,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 08, 2017",44.09,45.26,43.55,44.41,0,-
1,"Aug 07, 2017",43.69,44.22,43.67,44.05,0,-
2,"Jul 31, 2017",8.22,8.23,8.11,8.21,7,-
3,"Jul 30, 2017",35.45,35.45,7.84,8.21,34,-
4,"Jul 28, 2017",10.66,11.29,10.65,11.07,100,-
5,"Jul 27, 2017",10.29,10.73,10.21,10.63,96,-
6,"Jul 21, 2017",39.65,39.78,36.65,36.86,205,-
7,"Jul 20, 2017",31.57,40.6,31.57,39.35,219,-
8,"Jul 19, 2017",10.36,33.17,10.13,31.67,1,-
9,"Jul 18, 2017",8.9,10.72,8.62,10.35,63,-
10,"Jul 17, 2017",8.02,8.89,7.98,8.88,11,-
11,"Jul 14, 2017",58.53,58.8,54.73,55.04,110,-
12,"Jul 13, 2017",14.32,94.12,14.27,58.57,213,-
13,"Jul 12, 2017",8.53,119.14,8.31,14.31,327,-
14,"Jul 11, 2017",117.02,118.45,8.53,8.58,1010,-
15,"Jul 10, 2017",41.34,121.74,41.16,117.27,1186,-
16,"Jul 09, 2017",63.72,63.98,41.26,41.26,1,-
17,"Jul 08, 2017",9.63,9.79,9.52,9.77,3,-
18,"Jul 07, 2017",9.68,9.69,9.53,9.62,2,-
19,"Jul 04, 2017",9.77,10.1,9.77,10.02,46,-
20,"Jul 03, 2017",84.64,87.46,9.73,9.79,45,-
21,"Jul 02, 2017",7.22,85.31,7.11,84.96,13,-
22,"Jul 01, 2017",7.27,7.27,7.16,7.22,1,-
23,"Jun 25, 2017",7.67,7.89,7.55,7.74,12,-
24,"Nov 16, 2016",0.001067,0.001109,0.001064,0.001098,0,2106
25,"Nov 15, 2016",0.0010689999999999999,0.001074,0.001066,0.001067,0,2111
26,"Nov 14, 2016",0.001046,0.001047,0.0010429999999999999,0.001047,2,2066
27,"Nov 13, 2016",0.001025,0.001049,0.001024,0.001046,2,2023
28,"Nov 09, 2016",0.0010429999999999999,0.001088,0.001042,0.001085,0,2060
29,"Nov 08, 2016",0.001034,0.001048,0.001033,0.001044,0,2041
30,"Nov 06, 2016",0.001034,0.00105,0.001034,0.001047,0,2042
31,"Nov 05, 2016",0.001034,0.0010400000000000001,0.001026,0.001034,0,2041
32,"Nov 04, 2016",0.0010220000000000001,0.001034,0.0010119999999999999,0.001034,1,2017
33,"Oct 29, 2016",0.000579,0.000591,0.000579,0.000591,0,1144
34,"Oct 28, 2016",0.0005769999999999999,0.00058,0.000576,0.000579,0,1140
35,"Oct 22, 2016",0.0005059999999999999,0.0005269999999999999,0.0005059999999999999,0.000526,0,1000
36,"Oct 21, 2016",0.0005070000000000001,0.0005070000000000001,0.0005059999999999999,0.0005059999999999999,0,1000
37,"Oct 20, 2016",0.0009140000000000001,0.000915,0.0009109999999999999,0.0009130000000000001,3,1805
38,"Oct 19, 2016",0.000925,0.000926,0.0009109999999999999,0.0009140000000000001,3,1827
39,"Oct 14, 2016",0.000936,0.000938,0.000936,0.0009369999999999999,1,1848
40,"Oct 13, 2016",0.0009220000000000001,0.0009390000000000001,0.0009220000000000001,0.000936,1,1821
41,"Oct 12, 2016",0.00048499999999999997,0.0009279999999999999,0.000484,0.0009220000000000001,0,958
42,"Oct 11, 2016",0.000898,0.000921,0.000897,0.000921,0,1772
43,"Oct 10, 2016",0.0009,0.000907,0.000895,0.000897,0,1778
44,"Oct 09, 2016",0.000904,0.000909,0.000463,0.0009,2,1785
45,"Oct 08, 2016",0.000463,0.000904,0.000463,0.000904,1,914
46,"Oct 07, 2016",0.000889,0.0008960000000000001,0.000463,0.000463,3,1755
47,"Oct 06, 2016",0.0008820000000000001,0.0008900000000000001,0.00049,0.000889,1,1742
48,"Oct 05, 2016",0.0008730000000000001,0.000883,0.0008550000000000001,0.0008820000000000001,2,1723
49,"Oct 04, 2016",0.000857,0.0008730000000000001,0.0008539999999999999,0.0008730000000000001,7,1692
50,"Oct 03, 2016",0.000305,0.0008939999999999999,0.000305,0.000857,8,603
51,"Oct 02, 2016",0.001126,0.001126,0.000305,0.000305,50,2223
52,"Oct 01, 2016",0.001183,0.001194,0.001183,0.001191,0,2336
53,"Sep 30, 2016",0.001182,0.001183,0.001182,0.001183,0,2334
54,"Sep 29, 2016",0.000562,0.0005639999999999999,0.000562,0.0005639999999999999,3,1111
55,"Sep 28, 2016",0.0013460000000000002,0.001347,0.00055,0.000562,49,2657
56,"Sep 27, 2016",0.001214,0.001517,0.00121,0.0013460000000000002,37,2397
57,"Sep 26, 2016",0.000547,0.000552,0.000546,0.000552,6,1080
58,"Sep 25, 2016",0.000735,0.000736,0.000546,0.000547,6,1452
59,"Sep 24, 2016",0.000735,0.000736,0.000735,0.000735,0,1452
60,"Sep 23, 2016",0.000728,0.000736,0.000728,0.000735,62,1438
61,"Sep 22, 2016",0.001493,0.0014960000000000002,0.001491,0.001491,16,2948
62,"Sep 21, 2016",0.001523,0.001523,0.001492,0.001493,29,3007
63,"Sep 20, 2016",0.0009199999999999999,0.0009199999999999999,0.000918,0.000919,1,1817
64,"Sep 19, 2016",0.0009880000000000002,0.00099,0.0009119999999999999,0.0009199999999999999,7,1951
65,"Sep 18, 2016",0.000976,0.0009880000000000002,0.000976,0.0009880000000000002,27,1927
66,"Sep 17, 2016",0.000917,0.000976,0.0009140000000000001,0.000976,10,1810
67,"Sep 16, 2016",0.0009119999999999999,0.000918,0.0009109999999999999,0.000917,1,1801
68,"Sep 15, 2016",0.001588,0.001588,0.001583,0.001585,1,3135
69,"Sep 14, 2016",0.000859,0.001591,0.000858,0.001588,1,1696
70,"Sep 13, 2016",0.0015810000000000002,0.0015890000000000001,0.000858,0.000859,4,3123
71,"Sep 12, 2016",0.000795,0.0015810000000000002,0.000795,0.0015810000000000002,11,1569
72,"Sep 11, 2016",0.000754,0.000824,0.000753,0.000795,3,1490
73,"Sep 10, 2016",0.002491,0.002548,0.000685,0.000755,4,4920
74,"Sep 09, 2016",0.0025050000000000003,0.002507,0.0021780000000000002,0.0024920000000000003,10,4947
