,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",7.000000000000001e-06,7.000000000000001e-06,4e-06,6e-06,164,134004
1,"Aug 24, 2017",8e-06,9e-06,6e-06,7.000000000000001e-06,193,158355
2,"Aug 23, 2017",8e-06,9e-06,5e-06,6e-06,575,155916
3,"Aug 22, 2017",2.1e-05,2.1e-05,6e-06,8e-06,484,419261
4,"Aug 21, 2017",8e-06,2.1e-05,8e-06,2.1e-05,117,169287
5,"Aug 20, 2017",2.9999999999999997e-05,2.9999999999999997e-05,8e-06,8e-06,314,600818
6,"Aug 19, 2017",1.2e-05,3.5e-05,1.2e-05,2.9999999999999997e-05,962,246953
7,"Aug 18, 2017",5e-06,0.00014,5e-06,1.2e-05,3435,102605
8,"Aug 17, 2017",1.7e-05,1.7e-05,5e-06,5e-06,419,337366
9,"Aug 16, 2017",9e-06,2.1e-05,4e-06,1.7e-05,137,179165
10,"Aug 15, 2017",6e-06,9e-06,4e-06,7.000000000000001e-06,468,112646
11,"Aug 14, 2017",6e-06,8e-06,5e-06,6e-06,612,112172
12,"Aug 13, 2017",3.6e-05,4e-05,3e-06,6e-06,1370,723844
13,"Aug 12, 2017",3.6e-05,3.7e-05,5e-06,3.6e-05,643,713656
14,"Aug 11, 2017",3.1e-05,3.6e-05,1.2e-05,3.6e-05,334,614092
15,"Aug 10, 2017",1.3000000000000001e-05,3.2e-05,1.3000000000000001e-05,3.1e-05,441,267735
16,"Aug 09, 2017",2.4e-05,3.2e-05,7.000000000000001e-06,1.3000000000000001e-05,43,471298
17,"Aug 08, 2017",7.000000000000001e-06,2.4e-05,6e-06,2.4e-05,62,136490
18,"Aug 07, 2017",1.8e-05,3.1e-05,7.000000000000001e-06,7.000000000000001e-06,104,365858
19,"Aug 06, 2017",6e-06,1.9e-05,6e-06,1.8e-05,150,129357
20,"Aug 05, 2017",2.1e-05,2.4e-05,6e-06,6e-06,68,424312
21,"Aug 04, 2017",1.8e-05,2.5e-05,1.8e-05,2.1e-05,215,365326
22,"Aug 03, 2017",2e-06,2.5e-05,2e-06,1.8e-05,78,33257
23,"Aug 02, 2017",3e-06,4e-06,2e-06,2e-06,52,60077
24,"Aug 01, 2017",2e-06,3e-06,2e-06,3e-06,41,42049
