,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000165,0.00017900000000000001,0.000131,0.000175,72113,1758660
1,"Aug 24, 2017",0.000161,0.000172,0.000124,0.000165,54876,1652970
2,"Aug 23, 2017",0.000122,0.00016299999999999998,8.3e-05,0.000161,106902,1192370
3,"Aug 22, 2017",0.00011200000000000001,0.000124,7.7e-05,0.000123,27391,1043820
4,"Aug 21, 2017",8.1e-05,0.000122,8e-05,0.00011100000000000001,46437,723466
5,"Aug 20, 2017",8.2e-05,0.000122,4.6e-05,0.000122,62425,704922
6,"Aug 19, 2017",8.1e-05,8.3e-05,4.2e-05,8.3e-05,21438,666744
7,"Aug 18, 2017",4.3e-05,8.499999999999999e-05,4.3e-05,8.1e-05,18988,341674
8,"Aug 17, 2017",8.7e-05,8.7e-05,4.2e-05,4.3e-05,16741,661651
9,"Aug 16, 2017",8.3e-05,8.7e-05,4.2e-05,8.7e-05,25103,612339
10,"Aug 15, 2017",8.6e-05,8.7e-05,4e-05,8.3e-05,22757,610621
11,"Aug 14, 2017",8.2e-05,8.6e-05,4.3e-05,4.5e-05,11723,563350
12,"Aug 13, 2017",0.00011599999999999999,0.000126,7.7e-05,8.2e-05,26497,763760
13,"Aug 12, 2017",0.00011,0.000136,7.5e-05,0.00011599999999999999,23775,695250
14,"Aug 11, 2017",0.00011,0.00013700000000000002,7.3e-05,0.00011,14322,671426
15,"Aug 10, 2017",0.000132,0.000138,0.0001,0.00011,10697,774401
16,"Aug 09, 2017",0.00011100000000000001,0.000136,7.099999999999999e-05,0.0001,27158,625615
17,"Aug 08, 2017",0.000105,0.000138,9.6e-05,0.00011200000000000001,7625,565118
18,"Aug 07, 2017",9.7e-05,0.000135,7.900000000000001e-05,0.00010400000000000001,9076,505913
19,"Aug 06, 2017",0.00013000000000000002,0.000131,7.4e-05,9.7e-05,6134,655904
20,"Aug 05, 2017",9.2e-05,0.000132,7.5e-05,0.00013000000000000002,18474,452356
21,"Aug 04, 2017",8e-05,0.00011100000000000001,5.6999999999999996e-05,9.2e-05,9999,376726
22,"Aug 03, 2017",5.6999999999999996e-05,8.4e-05,5.6000000000000006e-05,8e-05,9849,262012
23,"Aug 02, 2017",5.6000000000000006e-05,0.000106,5.5e-05,5.6999999999999996e-05,13143,248726
24,"Aug 01, 2017",5.7999999999999994e-05,8.8e-05,5.4000000000000005e-05,5.6000000000000006e-05,3990,252646
25,"Jul 31, 2017",6.4e-05,0.00010800000000000001,5.6000000000000006e-05,5.7999999999999994e-05,12711,268646
26,"Jul 30, 2017",0.000106,0.00010700000000000001,5.4000000000000005e-05,6.4e-05,5658,430270
27,"Jul 29, 2017",0.00011200000000000001,0.00011200000000000001,5.4000000000000005e-05,0.000105,15926,440701
28,"Jul 28, 2017",8e-05,0.00011200000000000001,5.4000000000000005e-05,8.499999999999999e-05,46160,303342
29,"Jul 27, 2017",5.1e-05,8e-05,5.1e-05,8e-05,12651,-
