,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",7.8e-05,7.8e-05,1.8e-05,1.8e-05,0,10315
1,"Aug 24, 2017",5.4000000000000005e-05,9.300000000000001e-05,5.3e-05,7.8e-05,140,7112
2,"Aug 23, 2017",5e-06,5.7999999999999994e-05,5e-06,5.3e-05,622,683
3,"Aug 22, 2017",5e-06,5e-06,5e-06,5e-06,0,653
4,"Aug 21, 2017",4.1e-05,4.1e-05,4e-05,4e-05,36,5381
5,"Aug 20, 2017",3.6e-05,4.2e-05,8e-06,4.1e-05,33,4793
6,"Aug 19, 2017",3.6e-05,3.6e-05,3.5e-05,3.6e-05,7,4779
7,"Aug 18, 2017",2.9999999999999997e-05,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,0,4008
8,"Aug 17, 2017",3.9e-05,4e-05,2.8999999999999997e-05,2.9999999999999997e-05,0,5192
9,"Aug 16, 2017",4.1e-05,4.2e-05,3.5e-05,3.9e-05,100,5460
10,"Aug 15, 2017",3.7e-05,4.2e-05,3.4e-05,4.1e-05,46,4849
11,"Aug 14, 2017",3.5e-05,4.2e-05,6e-06,3.7e-05,69,4684
12,"Aug 13, 2017",3.9e-05,4.5e-05,6e-06,3.3e-05,0,5214
13,"Aug 12, 2017",2.4e-05,4.2e-05,2.1e-05,3.9e-05,4,3223
14,"Aug 11, 2017",3.4e-05,3.6e-05,3.4e-05,3.5e-05,35,4531
15,"Aug 10, 2017",3.3e-05,3.4e-05,3.2e-05,3.4e-05,38,4324
16,"Aug 09, 2017",1e-05,3.3e-05,9e-06,3.3e-05,13,1301
17,"Aug 08, 2017",2.8999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,25,3865
18,"Aug 07, 2017",3.2e-05,3.4e-05,3.2e-05,3.4e-05,27,4271
19,"Aug 06, 2017",3.3e-05,3.3e-05,3.2e-05,3.2e-05,26,4317
20,"Aug 05, 2017",2.8000000000000003e-05,3.3e-05,2.8000000000000003e-05,3.3e-05,81,3662
21,"Aug 04, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8000000000000003e-05,0,3696
22,"Aug 03, 2017",2.7000000000000002e-05,2.9999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,8,3621
23,"Aug 02, 2017",8e-06,2.8000000000000003e-05,8e-06,2.7000000000000002e-05,40,1029
24,"Aug 01, 2017",4e-06,8e-06,4e-06,8e-06,23,506
25,"Jul 29, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,0,3460
26,"Jul 28, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.6000000000000002e-05,2.6000000000000002e-05,59,3529
27,"Jul 27, 2017",2.6000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,326,3496
28,"Jul 26, 2017",3.4e-05,3.6e-05,2.5e-05,2.6000000000000002e-05,8,4516
29,"Jul 25, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.5e-05,2.6000000000000002e-05,13,3609
30,"Jul 24, 2017",2.8000000000000003e-05,5.6000000000000006e-05,2.7000000000000002e-05,2.7000000000000002e-05,34,3647
31,"Jul 23, 2017",5.6999999999999996e-05,5.6999999999999996e-05,2.7000000000000002e-05,2.8000000000000003e-05,151,7507
32,"Jul 22, 2017",5.3e-05,5.6999999999999996e-05,2.7000000000000002e-05,5.6999999999999996e-05,48,7074
33,"Jul 21, 2017",2.8000000000000003e-05,5.4000000000000005e-05,2.6000000000000002e-05,5.3e-05,48,3755
34,"Jul 20, 2017",2.2e-05,2.8999999999999997e-05,2e-05,2.8000000000000003e-05,11,2948
35,"Jul 19, 2017",2.4e-05,2.4e-05,2.1e-05,2.2e-05,54,3161
36,"Jul 18, 2017",2.2e-05,4.7e-05,2.2e-05,4.4e-05,3,2949
37,"Jul 17, 2017",1.9e-05,4.3e-05,1.9e-05,2.2e-05,129,2552
38,"Jul 16, 2017",3.8e-05,4.2e-05,1.9e-05,1.9e-05,46,5062
39,"Jul 15, 2017",2.2e-05,4.4e-05,2.1e-05,3.8e-05,251,2942
40,"Jul 14, 2017",2.3e-05,2.4e-05,2.2e-05,2.2e-05,82,3104
41,"Jul 13, 2017",2.4e-05,4.8e-05,2.3e-05,2.3e-05,30,3162
42,"Jul 12, 2017",2.2e-05,2.5e-05,2.2e-05,2.4e-05,105,2968
43,"Jul 11, 2017",4.7e-05,4.8e-05,2.2e-05,2.2e-05,167,6206
44,"Jul 10, 2017",2.5e-05,5e-05,2.4e-05,4.7e-05,5,3322
45,"Jul 09, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,238,3380
46,"Jul 08, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,8,3317
47,"Jul 07, 2017",2.6000000000000002e-05,5e-05,2e-05,2.5e-05,540,3430
48,"Jul 06, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,1358,3409
49,"Jul 05, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,3,3396
50,"Jul 04, 2017",4.8e-05,5.1e-05,1.9e-05,2.6000000000000002e-05,619,6258
51,"Jul 03, 2017",5e-05,5.2000000000000004e-05,4.8e-05,4.8e-05,3,6529
52,"Jul 02, 2017",4.7e-05,5.4000000000000005e-05,2.9999999999999997e-05,5e-05,55,6190
53,"Jul 01, 2017",7.3e-05,7.4e-05,4.7e-05,5e-05,30,9633
54,"Jun 30, 2017",5.1e-05,7.6e-05,5e-05,7.3e-05,136,6641
