,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",26.99,30.35,26.99,28.65,8596460,236045000
1,"Aug 24, 2017",24.04,27.67,23.66,27.27,5336720,210255000
2,"Aug 23, 2017",23.68,25.03,22.9,23.87,3491500,207082000
3,"Aug 22, 2017",24.28,24.54,21.87,23.73,4896740,212347000
4,"Aug 21, 2017",22.42,26.08,22.42,24.06,9106090,196067000
5,"Aug 20, 2017",20.8,23.51,20.2,22.7,4714330,181924000
6,"Aug 19, 2017",21.74,25.5,20.91,20.91,12330700,190089000
7,"Aug 18, 2017",19.99,24.83,19.14,21.71,12079700,174831000
8,"Aug 17, 2017",19.4,20.79,18.51,19.95,3424580,169690000
9,"Aug 16, 2017",17.63,19.42,16.92,19.35,3078360,154213000
10,"Aug 15, 2017",17.33,18.94,16.58,17.62,4403210,151567000
11,"Aug 14, 2017",17.15,18.21,16.47,17.31,4334200,150152000
12,"Aug 13, 2017",19.77,19.77,16.17,17.15,7621270,173014000
13,"Aug 12, 2017",19.45,19.93,18.73,19.72,4171490,170266000
14,"Aug 11, 2017",19.51,20.7,18.87,19.36,4122470,170781000
15,"Aug 10, 2017",20.81,21.03,19.42,19.42,2478460,182172000
16,"Aug 09, 2017",20.76,21.2,19.46,20.7,2950020,181699000
17,"Aug 08, 2017",21.04,21.26,19.93,20.77,2529660,184199000
18,"Aug 07, 2017",20.36,21.33,19.14,21.33,3011810,178236000
19,"Aug 06, 2017",21.3,21.73,19.99,20.42,1627170,186407000
20,"Aug 05, 2017",18.77,21.59,18.47,21.54,3033400,164305000
21,"Aug 04, 2017",18.75,19.75,18.16,18.95,2416820,164084000
22,"Aug 03, 2017",19.41,19.43,18.69,18.76,1740220,169940000
23,"Aug 02, 2017",19.12,20.15,18.81,19.58,3347300,167394000
24,"Aug 01, 2017",16.25,20.12,16.07,19.13,4904440,142281000
25,"Jul 31, 2017",16.94,17.22,15.65,15.73,2688140,148321000
26,"Jul 30, 2017",18.48,18.56,16.39,16.93,1934940,161778000
27,"Jul 29, 2017",17.63,18.77,16.0,18.48,1974870,154276000
28,"Jul 28, 2017",17.77,18.46,16.66,17.69,3036260,155507000
29,"Jul 27, 2017",18.49,18.91,17.14,17.69,1992980,161818000
30,"Jul 26, 2017",18.67,19.31,17.48,18.31,1745280,163413000
31,"Jul 25, 2017",22.81,23.07,17.83,18.68,5684980,199680000
32,"Jul 24, 2017",22.5,23.37,21.26,22.75,3420740,196906000
33,"Jul 23, 2017",21.45,23.61,19.59,22.68,5269690,187713000
34,"Jul 22, 2017",17.06,22.82,16.93,21.29,6532530,149333000
35,"Jul 21, 2017",15.99,17.66,15.99,17.0,2512080,139967000
36,"Jul 20, 2017",14.45,17.12,14.45,15.8,4178390,126460000
37,"Jul 19, 2017",16.0,16.6,14.05,14.52,2406070,140019000
38,"Jul 18, 2017",15.81,16.51,14.62,15.93,4628260,138372000
39,"Jul 17, 2017",13.23,16.13,12.65,15.74,2834510,115764000
40,"Jul 16, 2017",13.12,13.43,11.45,13.24,2342440,114844000
41,"Jul 15, 2017",15.01,15.1,12.88,13.24,2364770,131361000
42,"Jul 14, 2017",17.0,17.19,13.73,14.86,3703520,148788000
43,"Jul 13, 2017",18.58,18.64,14.67,16.85,4507770,162642000
44,"Jul 12, 2017",14.4,17.75,13.51,17.75,4514800,126030000
45,"Jul 11, 2017",15.3,16.94,12.25,14.68,8804620,133930000
46,"Jul 10, 2017",20.85,21.34,14.63,15.93,6049120,182475000
47,"Jul 09, 2017",23.31,24.07,20.79,20.84,1903860,204043000
48,"Jul 08, 2017",22.59,23.29,20.55,23.29,3125800,197702000
49,"Jul 07, 2017",26.0,26.51,21.75,22.55,3083140,227577000
50,"Jul 06, 2017",26.48,27.51,25.46,25.9,3343980,231810000
51,"Jul 05, 2017",24.69,27.15,23.84,26.46,2865830,216108000
52,"Jul 04, 2017",23.52,26.62,23.52,24.77,3684920,205835000
53,"Jul 03, 2017",23.76,24.31,22.37,23.64,2003880,207961000
54,"Jul 02, 2017",21.65,24.58,20.55,23.85,3848540,189542000
55,"Jul 01, 2017",23.7,24.34,20.77,21.48,2792890,207415000
56,"Jun 30, 2017",25.09,25.93,23.43,23.52,2684430,219584000
57,"Jun 29, 2017",26.98,27.94,24.82,25.2,3172030,236139000
58,"Jun 28, 2017",26.33,28.2,24.71,27.1,4795800,230476000
59,"Jun 27, 2017",25.35,26.19,21.22,26.15,5141850,221878000
60,"Jun 26, 2017",27.69,29.53,21.71,25.35,8962600,242371000
61,"Jun 25, 2017",31.29,31.54,24.58,28.03,7089170,273854000
62,"Jun 24, 2017",33.31,34.58,30.58,31.09,3149050,291536000
63,"Jun 23, 2017",31.38,36.32,31.2,33.31,7239310,274717000
64,"Jun 22, 2017",29.71,32.27,28.05,32.25,5892960,260026000
65,"Jun 21, 2017",32.71,34.2,28.1,29.46,7937990,286348000
66,"Jun 20, 2017",33.56,36.22,31.09,32.65,9158100,293796000
67,"Jun 19, 2017",31.42,36.35,31.37,33.45,17409300,275005000
68,"Jun 18, 2017",31.81,31.81,29.25,31.38,6077040,278410000
69,"Jun 17, 2017",27.81,33.15,27.55,31.85,12702600,243459000
70,"Jun 16, 2017",26.61,28.0,24.69,28.0,4836350,232935000
71,"Jun 15, 2017",26.87,27.49,20.67,26.98,7891690,235224000
72,"Jun 14, 2017",30.98,33.57,25.56,27.02,11141600,271174000
73,"Jun 13, 2017",24.96,32.53,24.96,30.46,16705400,218494000
74,"Jun 12, 2017",27.88,29.98,23.23,25.17,7083680,244021000
75,"Jun 11, 2017",24.62,30.6,24.62,27.52,9682100,215493000
76,"Jun 10, 2017",32.15,32.15,24.65,24.72,11449100,281410000
77,"Jun 09, 2017",27.87,31.7,27.19,31.7,11330500,243953000
78,"Jun 08, 2017",27.73,30.06,25.89,27.72,14435300,242704000
79,"Jun 07, 2017",31.94,37.07,26.55,27.33,40988800,279559000
80,"Jun 06, 2017",24.55,34.79,20.66,32.54,72220400,214914000
81,"Jun 05, 2017",17.38,25.87,17.38,24.44,31647000,152100000
82,"Jun 04, 2017",15.77,17.66,15.0,17.56,4783920,138067000
83,"Jun 03, 2017",14.62,15.97,14.32,15.87,3661030,128006000
84,"Jun 02, 2017",12.89,14.83,12.81,14.65,2337610,112837000
85,"Jun 01, 2017",12.35,13.55,12.35,12.9,1360750,108120000
86,"May 31, 2017",11.61,12.35,11.15,12.33,1631020,101603000
87,"May 30, 2017",12.84,13.58,11.48,11.54,1864840,112387000
88,"May 29, 2017",12.51,13.36,11.61,12.75,1820790,109473000
89,"May 28, 2017",11.96,13.11,11.24,12.62,3316460,104650000
90,"May 27, 2017",11.95,12.62,8.87,11.79,3635830,104567000
91,"May 26, 2017",12.16,15.84,11.1,11.91,3120110,106399000
92,"May 25, 2017",15.62,16.52,12.13,12.24,6252410,136714000
93,"May 24, 2017",13.99,17.44,13.99,15.18,10628500,122465000
94,"May 23, 2017",11.52,14.08,11.11,13.97,6377940,100826000
95,"May 22, 2017",10.8,13.38,10.24,11.59,6297310,94503300
96,"May 21, 2017",9.96,10.93,9.92,10.81,2250710,87205900
97,"May 20, 2017",10.3,10.54,9.86,10.05,1483050,90119600
98,"May 19, 2017",9.03,10.39,8.92,10.31,2606190,79072700
99,"May 18, 2017",8.76,9.22,8.63,9.05,1764050,76683000
100,"May 17, 2017",8.17,8.84,7.94,8.82,1415960,71535800
101,"May 16, 2017",8.94,8.94,8.15,8.18,1943400,78287900
102,"May 15, 2017",8.78,9.44,8.47,8.86,2254640,76873000
103,"May 14, 2017",8.53,9.04,8.53,8.73,1360170,74628100
104,"May 13, 2017",8.88,9.15,8.32,8.5,1168510,77742200
105,"May 12, 2017",9.1,9.51,8.75,8.89,2040170,79629300
106,"May 11, 2017",8.51,9.38,7.91,9.05,2519000,74531000
107,"May 10, 2017",8.79,9.53,7.96,8.47,3775270,76939000
108,"May 09, 2017",9.89,10.43,7.17,8.88,7234170,86577400
109,"May 08, 2017",9.97,10.87,9.52,9.91,4747730,87231000
110,"May 07, 2017",9.77,11.24,9.14,9.85,9072880,85477800
111,"May 06, 2017",8.55,10.43,8.51,9.77,5793480,74862200
112,"May 05, 2017",8.28,9.82,8.18,8.53,5282420,72466000
113,"May 04, 2017",7.52,8.55,7.51,8.28,3216770,65800100
114,"May 03, 2017",7.47,7.8,7.2,7.45,2188510,65392700
