,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.627668,0.645004,0.603518,0.62656,11942,33388100
1,"Aug 24, 2017",0.6184609999999999,0.633247,0.584294,0.628659,43069,32898300
2,"Aug 23, 2017",0.594236,0.633975,0.573387,0.611112,35494,31609700
3,"Aug 22, 2017",0.5521689999999999,0.620501,0.49646,0.59545,100658,29372000
4,"Aug 21, 2017",0.576076,0.586712,0.536021,0.550892,34209,30643700
5,"Aug 20, 2017",0.497853,0.582356,0.48947399999999996,0.578271,40530,26482700
6,"Aug 19, 2017",0.49487299999999995,0.539829,0.478796,0.5001869999999999,109315,26324200
7,"Aug 18, 2017",0.521838,0.5365979999999999,0.47801899999999997,0.495296,34670,27758500
8,"Aug 17, 2017",0.504717,0.584341,0.48858100000000004,0.523437,37785,26847800
9,"Aug 16, 2017",0.475393,0.5748800000000001,0.41191300000000003,0.5051829999999999,184072,25288000
10,"Aug 15, 2017",0.432704,0.6874779999999999,0.369603,0.474871,180499,23017200
11,"Aug 14, 2017",0.424314,0.440246,0.337882,0.431543,29449,22570900
12,"Aug 13, 2017",0.399577,0.479843,0.387954,0.425911,24581,21255000
13,"Aug 12, 2017",0.44432,0.483245,0.385285,0.399948,57984,23635100
14,"Aug 11, 2017",0.45793,0.45793,0.41123000000000004,0.444666,28453,24359100
15,"Aug 10, 2017",0.428972,0.49778999999999995,0.425829,0.461203,28325,22818700
16,"Aug 09, 2017",0.44443599999999994,0.497967,0.41862299999999997,0.42893100000000006,20983,23641300
17,"Aug 08, 2017",0.44170299999999996,0.47506800000000005,0.407355,0.444737,19319,23495900
18,"Aug 07, 2017",0.454041,0.516403,0.438688,0.44125699999999995,30674,24152200
19,"Aug 06, 2017",0.5258609999999999,0.539747,0.443453,0.455058,25340,27972600
20,"Aug 05, 2017",0.5202479999999999,0.609927,0.52013,0.525734,32553,27674000
21,"Aug 04, 2017",0.423609,0.550453,0.423609,0.519936,122364,22533400
22,"Aug 03, 2017",0.31504299999999996,0.529636,0.314845,0.42371499999999995,191083,16758300
23,"Aug 02, 2017",0.277027,0.363531,0.24821999999999997,0.314481,85257,14736100
24,"Aug 01, 2017",0.271919,0.280346,0.20501,0.27708,27579,14464400
25,"Jul 31, 2017",0.284992,0.286673,0.25804699999999997,0.274648,11241,15159800
26,"Jul 30, 2017",0.260982,0.285273,0.248813,0.271066,7462,13882600
27,"Jul 29, 2017",0.310681,0.311531,0.258914,0.261018,24609,16526300
28,"Jul 28, 2017",0.305779,0.364625,0.255868,0.30530300000000005,75257,16265500
29,"Jul 27, 2017",0.369834,0.37308600000000003,0.253465,0.30504000000000003,133800,19672900
30,"Jul 26, 2017",0.396201,0.411067,0.34122800000000003,0.366924,48480,21075400
31,"Jul 25, 2017",0.523435,0.527026,0.380197,0.396021,59291,27843500
32,"Jul 24, 2017",0.54393,0.545399,0.5136729999999999,0.52349,34811,28933700
33,"Jul 23, 2017",0.509705,0.560091,0.493234,0.544563,95429,27113200
34,"Jul 22, 2017",0.454413,0.524249,0.453272,0.509704,73534,24171900
35,"Jul 21, 2017",0.46972700000000006,0.543082,0.406258,0.448851,250224,24986600
36,"Jul 20, 2017",0.293178,0.48674300000000004,0.291792,0.465317,98786,15595300
37,"Jul 19, 2017",0.30854000000000004,0.33218000000000003,0.272742,0.294062,82348,16412400
38,"Jul 18, 2017",0.313425,0.32850300000000004,0.27733800000000003,0.30804899999999996,41836,16672000
39,"Jul 17, 2017",0.25671,0.315132,0.24524,0.314836,49686,13654800
40,"Jul 16, 2017",0.230219,0.258678,0.216223,0.256995,24397,12245300
