,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.57,1.75,1.51,1.55,11175,-
1,"Aug 24, 2017",1.51,1.67,1.5,1.57,27059,-
2,"Aug 23, 2017",1.46,1.65,1.43,1.51,89562,-
3,"Aug 22, 2017",1.58,1.58,1.37,1.46,7288,-
4,"Aug 21, 2017",1.59,1.96,1.45,1.58,25950,-
5,"Aug 20, 2017",1.54,1.93,1.5,1.59,11806,-
6,"Aug 19, 2017",1.42,1.65,1.41,1.54,13552,-
7,"Aug 18, 2017",1.33,1.56,1.26,1.42,11483,-
8,"Aug 17, 2017",1.31,1.77,1.28,1.34,12411,-
9,"Aug 16, 2017",1.69,1.72,1.26,1.31,1374,-
10,"Aug 15, 2017",1.86,2.07,1.32,1.69,7969,-
11,"Aug 14, 2017",1.62,2.02,1.62,1.86,21042,-
12,"Aug 13, 2017",1.72,1.97,1.22,1.62,29166,-
13,"Aug 12, 2017",1.6,2.15,1.58,1.72,3662,-
14,"Aug 11, 2017",1.53,2.08,1.52,1.6,9312,-
15,"Aug 10, 2017",1.67,1.79,1.49,1.53,5887,-
16,"Aug 09, 2017",1.54,1.7,1.46,1.67,2778,-
17,"Aug 08, 2017",1.53,2.07,1.51,1.54,4246,-
18,"Aug 07, 2017",1.94,2.04,1.44,1.52,8433,-
19,"Aug 06, 2017",1.47,1.96,1.42,1.94,2472,-
20,"Aug 05, 2017",1.52,1.94,1.44,1.47,5780,-
21,"Aug 04, 2017",1.26,1.93,1.25,1.53,4652,-
22,"Aug 03, 2017",0.957483,1.51,0.879395,1.26,3925,-
23,"Aug 02, 2017",0.877292,1.54,0.8731690000000001,0.956781,4220,-
24,"Aug 01, 2017",1.6,1.63,0.8375959999999999,0.877494,13147,-
25,"Jul 31, 2017",1.42,2.14,1.17,1.6,5393,-
26,"Jul 30, 2017",1.95,2.42,1.33,1.42,33587,-
27,"Jul 29, 2017",2.24,2.47,1.93,1.95,19280,-
28,"Jul 28, 2017",2.29,2.79,2.19,2.23,29455,-
29,"Jul 27, 2017",2.62,2.71,2.15,2.28,33897,-
30,"Jul 26, 2017",2.43,2.71,2.08,2.62,17913,-
31,"Jul 25, 2017",2.13,2.9,1.18,2.43,43851,-
32,"Jul 24, 2017",2.99,3.46,2.13,2.13,40239,-
33,"Jul 23, 2017",3.58,3.77,2.28,2.99,76463,-
34,"Jul 22, 2017",3.3,4.1,3.07,3.58,60368,-
35,"Jul 21, 2017",3.97,4.13,2.74,3.3,172353,-
36,"Jul 20, 2017",3.31,4.25,3.23,3.94,210969,-
37,"Jul 19, 2017",3.18,3.96,3.14,3.31,174213,-
38,"Jul 18, 2017",3.26,3.72,2.39,3.17,159548,-
39,"Jul 17, 2017",2.93,3.35,2.62,3.25,113959,-
40,"Jul 16, 2017",2.98,3.22,2.86,2.94,43418,-
41,"Jul 15, 2017",2.0,3.25,1.95,2.99,185328,-
42,"Jul 14, 2017",1.99,4.21,1.36,2.0,101193,-
43,"Jul 13, 2017",1.52,2.61,1.51,1.99,90104,-
44,"Jul 12, 2017",0.855757,1.86,0.829585,1.52,49097,-
45,"Jul 11, 2017",0.739477,0.8814110000000001,0.705843,0.857028,20043,-
