,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",7.17,7.8,6.92,7.25,570146,-
1,"Aug 24, 2017",7.45,7.49,6.91,7.17,752816,-
2,"Aug 23, 2017",7.14,7.55,7.08,7.45,432667,-
3,"Aug 22, 2017",7.28,7.28,6.84,7.14,464903,-
4,"Aug 21, 2017",7.91,7.91,7.01,7.28,639325,-
5,"Aug 20, 2017",6.93,7.91,6.86,7.91,197437,-
6,"Aug 19, 2017",7.81,7.89,6.77,6.95,495700,-
7,"Aug 18, 2017",7.38,7.74,6.99,7.74,808811,-
8,"Aug 17, 2017",7.78,7.88,7.43,7.43,488794,-
9,"Aug 16, 2017",7.7,7.77,7.0,7.77,129378,-
10,"Aug 15, 2017",7.45,7.7,6.94,7.7,404132,-
11,"Aug 14, 2017",7.36,7.75,7.32,7.44,178625,-
12,"Aug 13, 2017",7.65,7.69,7.13,7.36,348439,-
13,"Aug 12, 2017",7.42,7.68,7.38,7.65,1343590,-
14,"Aug 11, 2017",7.69,7.79,7.35,7.42,1459220,-
15,"Aug 10, 2017",7.78,7.78,7.52,7.68,208201,-
16,"Aug 09, 2017",7.69,7.78,7.61,7.78,891523,-
17,"Aug 08, 2017",7.72,7.81,7.67,7.69,799797,-
18,"Aug 07, 2017",7.68,7.75,7.4,7.72,1582030,-
19,"Aug 06, 2017",7.65,7.73,7.14,7.69,399608,-
20,"Aug 05, 2017",7.48,7.7,7.44,7.65,1243500,-
21,"Aug 04, 2017",7.61,7.75,7.44,7.48,1338480,-
22,"Aug 03, 2017",7.55,7.61,7.42,7.61,1531920,-
23,"Aug 02, 2017",7.38,7.58,7.31,7.56,1270000,-
24,"Aug 01, 2017",7.64,7.78,7.36,7.39,769260,-
25,"Jul 31, 2017",7.55,7.65,7.35,7.63,1460690,-
26,"Jul 30, 2017",7.49,7.56,7.12,7.55,1157690,-
27,"Jul 29, 2017",7.52,7.52,7.39,7.49,495295,-
28,"Jul 28, 2017",7.55,7.6,7.45,7.52,1231520,-
29,"Jul 27, 2017",7.43,7.56,7.42,7.55,1456730,-
30,"Jul 26, 2017",7.38,7.57,7.25,7.42,1165090,-
31,"Jul 25, 2017",7.37,7.59,7.02,7.38,868915,-
32,"Jul 24, 2017",7.18,7.6,7.06,7.37,1298930,-
33,"Jul 23, 2017",7.03,7.39,6.94,7.18,515817,-
34,"Jul 22, 2017",6.82,7.27,6.82,7.03,589470,-
35,"Jul 21, 2017",7.39,7.41,6.82,6.82,588621,-
36,"Jul 20, 2017",7.03,7.42,6.85,7.38,806316,-
37,"Jul 19, 2017",7.07,7.17,6.84,7.03,1010160,-
38,"Jul 18, 2017",7.11,7.15,6.68,7.07,508944,-
39,"Jul 17, 2017",6.99,7.23,6.87,7.11,433278,-
40,"Jul 16, 2017",6.9,6.99,6.69,6.99,130735,-
41,"Jul 15, 2017",7.04,7.05,6.73,6.9,388713,-
42,"Jul 14, 2017",7.04,7.05,6.54,7.05,293916,-
43,"Jul 13, 2017",7.15,7.15,6.85,7.04,463037,-
44,"Jul 12, 2017",6.88,7.17,6.83,7.15,299767,-
45,"Jul 11, 2017",6.81,7.03,6.71,6.88,219485,-
46,"Jul 10, 2017",7.07,7.07,6.74,6.82,170541,-
47,"Jul 09, 2017",6.92,7.16,6.72,7.07,206579,-
48,"Jul 08, 2017",6.92,6.96,6.56,6.92,420230,-
49,"Jul 07, 2017",7.08,7.1,6.78,6.92,225121,-
50,"Jul 06, 2017",7.09,7.22,6.97,7.08,1190970,-
51,"Jul 05, 2017",6.52,7.15,6.46,7.09,271719,-
52,"Jul 04, 2017",6.67,7.2,6.51,6.52,256363,-
53,"Jul 03, 2017",7.02,7.22,6.48,6.67,555552,-
54,"Jul 02, 2017",7.05,7.13,6.94,7.02,174243,-
55,"Jul 01, 2017",7.04,7.23,6.68,7.05,243156,-
56,"Jun 30, 2017",7.11,7.34,7.02,7.04,349047,-
57,"Jun 29, 2017",7.03,7.22,7.02,7.09,170077,-
58,"Jun 28, 2017",7.14,7.15,6.92,7.03,348693,-
59,"Jun 27, 2017",7.12,7.23,7.11,7.14,267543,-
60,"Jun 26, 2017",6.82,7.18,6.72,7.1,873488,-
61,"Jun 25, 2017",6.36,7.23,6.32,6.82,243598,-
62,"Jun 24, 2017",6.61,7.41,6.32,6.37,18,-
63,"Jun 23, 2017",7.11,7.2,6.61,6.61,198547,-
64,"Jun 22, 2017",7.14,7.19,7.02,7.11,382489,-
65,"Jun 21, 2017",6.71,7.14,6.68,7.14,479349,-
66,"Jun 20, 2017",7.15,7.15,6.71,6.71,637878,-
67,"Jun 19, 2017",7.25,7.25,7.07,7.15,572615,-
68,"Jun 18, 2017",7.18,7.36,7.03,7.24,168199,-
69,"Jun 17, 2017",6.69,7.18,6.69,7.18,244070,-
70,"Jun 16, 2017",7.12,7.15,6.69,6.69,429506,-
71,"Jun 15, 2017",6.99,7.12,6.12,7.12,381975,-
72,"Jun 14, 2017",6.93,7.17,6.66,6.99,699390,-
73,"Jun 13, 2017",7.01,7.13,6.89,6.93,449172,-
74,"Jun 12, 2017",7.03,7.11,6.91,7.01,185051,-
75,"Jun 11, 2017",6.75,7.19,6.74,7.03,388960,-
76,"Jun 10, 2017",6.74,7.04,6.66,6.75,405296,-
77,"Jun 09, 2017",7.14,7.2,6.73,6.74,415397,-
78,"Jun 08, 2017",7.05,7.15,6.97,7.15,229828,-
79,"Jun 07, 2017",7.18,7.18,6.31,7.04,293994,-
80,"Jun 06, 2017",7.18,7.28,7.04,7.18,484966,-
81,"Jun 05, 2017",6.73,7.17,6.72,7.17,474643,-
82,"Jun 04, 2017",7.12,7.15,6.68,6.73,897448,-
83,"Jun 03, 2017",7.05,7.21,6.96,7.13,723877,-
84,"Jun 02, 2017",6.8,7.21,6.62,7.05,624314,-
85,"Jun 01, 2017",7.13,7.16,6.79,6.8,472528,-
86,"May 31, 2017",6.45,7.14,6.34,7.13,617750,-
87,"May 30, 2017",7.04,7.05,6.41,6.44,692418,-
88,"May 29, 2017",7.17,7.21,6.67,7.04,333768,-
89,"May 28, 2017",7.2,7.59,6.91,7.17,412178,-
90,"May 27, 2017",6.58,7.23,6.46,7.19,464013,-
91,"May 26, 2017",6.93,7.04,6.55,6.58,634347,-
92,"May 25, 2017",7.08,7.32,6.91,6.94,416774,-
93,"May 24, 2017",7.14,7.31,6.95,7.08,401546,-
94,"May 23, 2017",7.12,7.15,6.93,7.14,522590,-
95,"May 22, 2017",6.94,7.17,6.93,7.12,482201,-
96,"May 21, 2017",7.15,7.16,6.25,6.93,738072,-
97,"May 20, 2017",6.87,7.17,6.87,7.15,299543,-
98,"May 19, 2017",6.96,7.09,3.75,6.88,1014450,-
99,"May 18, 2017",6.69,7.12,6.47,6.96,787674,-
100,"May 17, 2017",7.03,7.12,6.67,6.69,1754,-
101,"May 16, 2017",7.11,7.12,6.9,7.03,657774,-
102,"May 15, 2017",7.1,7.11,7.02,7.11,111640,-
103,"May 14, 2017",7.04,7.1,6.99,7.1,311112,-
104,"May 13, 2017",6.85,7.04,6.8,7.04,413675,-
105,"May 12, 2017",7.12,7.12,6.83,6.85,604895,-
106,"May 11, 2017",6.97,7.12,6.96,7.12,419809,-
107,"May 10, 2017",7.11,7.11,6.91,6.97,427409,-
108,"May 09, 2017",6.43,7.15,6.32,7.11,285685,-
109,"May 08, 2017",7.15,7.15,6.43,6.43,137050,-
110,"May 07, 2017",7.13,7.15,7.13,7.15,464720,-
111,"May 06, 2017",6.72,7.14,6.49,7.13,739745,-
112,"May 05, 2017",7.1,7.15,6.72,6.72,445278,-
113,"May 04, 2017",7.01,7.15,6.8,7.1,208614,-
114,"May 03, 2017",6.78,7.01,6.62,7.01,968273,-
115,"May 02, 2017",6.76,6.78,6.75,6.78,374407,-
116,"May 01, 2017",6.78,6.78,6.76,6.76,590659,-
117,"Apr 30, 2017",6.68,6.78,6.61,6.78,196072,-
118,"Apr 29, 2017",6.71,6.77,6.68,6.68,402568,-
119,"Apr 28, 2017",6.68,6.78,6.65,6.71,353194,-
120,"Apr 27, 2017",6.78,6.78,6.65,6.68,664876,-
121,"Apr 26, 2017",6.68,6.79,6.6,6.78,465221,-
122,"Apr 25, 2017",6.4,6.72,6.4,6.68,1025990,-
123,"Apr 24, 2017",6.53,6.53,6.4,6.4,417833,-
124,"Apr 23, 2017",6.52,6.53,6.52,6.53,225480,-
125,"Apr 22, 2017",6.54,6.54,6.52,6.52,312519,-
126,"Apr 21, 2017",6.52,6.54,6.51,6.54,379088,-
127,"Apr 20, 2017",6.51,6.52,6.5,6.52,364514,-
128,"Apr 19, 2017",6.51,6.53,6.48,6.51,373671,-
129,"Apr 18, 2017",6.5,6.53,6.5,6.5,446529,-
130,"Apr 17, 2017",6.49,6.51,6.2,6.5,189231,-
131,"Apr 16, 2017",6.51,6.53,6.49,6.49,101168,-
132,"Apr 15, 2017",6.54,6.54,6.51,6.51,281110,-
133,"Apr 14, 2017",6.52,6.54,6.52,6.54,405297,-
134,"Apr 13, 2017",6.53,6.54,6.52,6.52,386357,-
135,"Apr 12, 2017",6.53,6.53,6.53,6.53,449832,-
136,"Apr 11, 2017",6.52,6.53,6.52,6.53,266322,-
137,"Apr 10, 2017",6.53,6.54,6.52,6.52,289349,-
138,"Apr 09, 2017",6.52,6.53,6.52,6.53,333449,-
139,"Apr 08, 2017",6.52,6.52,6.5,6.52,351731,-
140,"Apr 07, 2017",6.53,6.53,6.52,6.52,263059,-
141,"Apr 06, 2017",6.53,6.53,6.53,6.53,276489,-
142,"Apr 05, 2017",6.41,6.53,6.4,6.53,512958,-
143,"Apr 04, 2017",6.53,6.54,6.4,6.4,177432,-
144,"Apr 03, 2017",6.46,6.53,6.46,6.53,353938,-
145,"Apr 02, 2017",6.53,6.53,6.46,6.46,60046,-
146,"Apr 01, 2017",6.48,6.53,6.48,6.53,305561,-
147,"Mar 31, 2017",6.54,6.54,6.47,6.48,463253,-
148,"Mar 30, 2017",6.5,6.54,6.47,6.54,361522,-
149,"Mar 29, 2017",6.34,6.53,6.34,6.5,407692,-
150,"Mar 28, 2017",6.52,6.52,6.33,6.34,610768,-
151,"Mar 27, 2017",6.51,6.53,6.5,6.52,406945,-
152,"Mar 26, 2017",6.53,6.53,6.51,6.51,487971,-
153,"Mar 25, 2017",6.53,6.53,6.53,6.53,509889,-
154,"Mar 24, 2017",6.06,6.53,6.05,6.53,435603,-
155,"Mar 23, 2017",6.53,6.53,6.06,6.06,189211,-
156,"Mar 22, 2017",6.46,6.53,6.46,6.53,334916,-
157,"Mar 21, 2017",6.11,6.46,6.11,6.46,458973,-
158,"Mar 20, 2017",6.08,6.27,6.08,6.11,38195,-
159,"Mar 19, 2017",6.46,6.46,6.06,6.08,183321,-
160,"Mar 18, 2017",6.5,6.51,6.46,6.46,351181,-
161,"Mar 17, 2017",6.38,6.52,6.38,6.5,424663,-
162,"Mar 16, 2017",6.53,6.53,6.06,6.37,205708,-
163,"Mar 15, 2017",6.53,6.53,6.52,6.53,272732,-
164,"Mar 14, 2017",6.25,6.53,6.25,6.53,250863,-
165,"Mar 13, 2017",6.12,6.42,6.09,6.25,209467,-
166,"Mar 12, 2017",6.19,6.25,6.04,6.12,442535,-
167,"Mar 11, 2017",6.2,6.22,6.05,6.19,232410,-
168,"Mar 10, 2017",6.69,6.69,6.2,6.2,143206,-
169,"Mar 09, 2017",6.18,6.69,6.18,6.69,125458,-
170,"Mar 08, 2017",6.11,6.37,6.09,6.18,109863,-
171,"Mar 07, 2017",6.32,6.39,6.1,6.11,32583,-
172,"Mar 06, 2017",6.59,6.6,6.29,6.32,102983,-
173,"Mar 05, 2017",6.42,6.59,6.37,6.59,62077,-
174,"Mar 04, 2017",6.35,6.42,6.34,6.42,134241,-
175,"Mar 03, 2017",6.34,6.42,6.27,6.34,224879,-
176,"Mar 02, 2017",6.1,6.35,6.07,6.35,83841,-
177,"Mar 01, 2017",6.09,6.21,6.08,6.1,94596,-
178,"Feb 28, 2017",6.38,6.38,6.09,6.1,119836,-
179,"Feb 27, 2017",6.45,6.45,6.34,6.38,111015,-
180,"Feb 26, 2017",6.59,6.63,6.45,6.47,42072,-
181,"Feb 25, 2017",6.37,6.59,6.34,6.59,30290,-
182,"Feb 24, 2017",6.35,6.41,6.31,6.37,86449,-
183,"Feb 23, 2017",6.36,6.42,6.34,6.38,79765,-
184,"Feb 22, 2017",6.07,6.39,6.07,6.39,80574,-
185,"Feb 21, 2017",6.27,6.27,6.07,6.07,65657,-
186,"Feb 20, 2017",6.33,6.37,6.21,6.27,72582,-
187,"Feb 19, 2017",6.47,6.5,6.32,6.32,80867,-
188,"Feb 18, 2017",6.24,6.54,6.24,6.47,94902,-
189,"Feb 17, 2017",6.3,6.37,6.18,6.24,120282,-
190,"Feb 16, 2017",6.33,6.35,6.26,6.31,340349,-
191,"Feb 15, 2017",6.31,6.33,6.25,6.33,65960,-
192,"Feb 14, 2017",6.16,6.31,6.15,6.31,68428,-
193,"Feb 13, 2017",6.11,6.23,6.11,6.16,87889,-
194,"Feb 12, 2017",6.23,6.26,6.12,6.12,44831,-
