,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.377424,0.387776,0.374792,0.380652,6,37143
1,"Aug 24, 2017",0.319546,0.380778,0.319207,0.378019,93,31447
2,"Aug 23, 2017",0.31499499999999997,0.382767,0.31392,0.31940799999999997,39,30999
3,"Aug 22, 2017",0.326516,0.326516,0.295651,0.315639,3,32133
4,"Aug 21, 2017",0.339357,0.341961,0.32509299999999997,0.325761,8,33397
5,"Aug 20, 2017",0.41399300000000006,0.486679,0.285598,0.34065,1080,40742
6,"Aug 19, 2017",0.44781499999999996,0.614631,0.279452,0.333264,4003,44070
7,"Aug 18, 2017",0.385183,0.391875,0.373485,0.37530399999999997,2,37907
8,"Aug 17, 2017",0.41694,0.43377,0.28499,0.386364,566,41032
9,"Aug 16, 2017",0.36988899999999997,0.41739899999999996,0.351736,0.417325,35,36401
10,"Aug 15, 2017",0.675624,0.691249,0.356555,0.36948200000000003,17,66490
11,"Aug 14, 2017",0.5686760000000001,0.674226,0.392594,0.673812,19,55965
12,"Aug 13, 2017",0.541484,0.586534,0.34815100000000004,0.568315,100,53289
13,"Aug 12, 2017",0.38766799999999996,0.554308,0.38766799999999996,0.541987,74,38151
14,"Aug 11, 2017",0.36494299999999996,0.381811,0.363329,0.381311,0,35915
15,"Aug 10, 2017",0.357131,0.367877,0.354514,0.364965,1,35146
16,"Aug 09, 2017",0.301502,0.360094,0.290408,0.357097,11,29671
17,"Aug 08, 2017",0.302066,0.30844,0.29956900000000003,0.306346,108,29727
18,"Aug 07, 2017",0.335507,0.337059,0.287957,0.301761,217,33018
19,"Aug 06, 2017",0.333517,0.341871,0.327594,0.33625900000000003,0,32822
20,"Aug 05, 2017",0.452851,0.5004430000000001,0.317725,0.333437,136,44566
21,"Aug 04, 2017",0.451744,0.45570900000000003,0.448696,0.45305200000000007,1,44457
22,"Aug 03, 2017",0.42968999999999996,0.439432,0.42941999999999997,0.43741800000000003,52,42287
23,"Aug 02, 2017",0.43193000000000004,0.437621,0.422285,0.42892299999999994,77,42507
24,"Aug 01, 2017",0.45470600000000005,0.462125,0.422227,0.433324,1,44749
25,"Jul 31, 2017",0.684459,0.689442,0.437317,0.45448599999999995,7,67359
26,"Jul 30, 2017",0.7165779999999999,0.717979,0.524255,0.683757,5,70520
27,"Jul 29, 2017",0.733366,0.735371,0.703889,0.716679,17,72172
28,"Jul 28, 2017",0.592106,0.737951,0.536916,0.736157,26,58270
29,"Jul 27, 2017",0.555458,0.595993,0.507119,0.5903149999999999,4,54664
30,"Jul 26, 2017",0.537323,0.5614979999999999,0.385167,0.553886,29,52879
31,"Jul 25, 2017",0.519628,0.56011,0.395038,0.537079,35,51138
32,"Jul 24, 2017",0.512727,0.526944,0.50854,0.519684,11,50458
33,"Jul 23, 2017",0.43153199999999997,0.532597,0.43153199999999997,0.513323,1,42468
34,"Jul 22, 2017",0.406652,0.438904,0.40470500000000004,0.43153100000000005,7,40019
35,"Jul 21, 2017",0.533222,0.534988,0.399096,0.40673400000000004,3,52475
36,"Jul 20, 2017",0.35461,0.545998,0.35461,0.529297,2,34898
37,"Jul 19, 2017",0.4336,0.450309,0.353039,0.355679,2,42671
38,"Jul 18, 2017",0.41818900000000003,0.43467700000000004,0.404945,0.432911,0,41155
39,"Jul 17, 2017",0.36306700000000003,0.4178,0.36306700000000003,0.417113,6,35730
40,"Jul 16, 2017",0.38653000000000004,0.399398,0.289072,0.36346999999999996,61,38039
41,"Jul 15, 2017",0.335052,0.409171,0.30591199999999996,0.38769499999999996,5,32973
42,"Jul 14, 2017",0.45443900000000004,0.456531,0.325898,0.33562800000000004,0,44722
43,"Jul 13, 2017",0.36035100000000003,0.45959099999999997,0.355532,0.454772,4,35463
44,"Jul 12, 2017",0.34826399999999996,0.363116,0.339298,0.360082,91,34273
45,"Jul 11, 2017",0.292543,0.47177299999999994,0.29214,0.350002,20,28790
46,"Jul 10, 2017",0.718971,0.8649610000000001,0.285104,0.293167,1766,70755
47,"Jul 09, 2017",0.713823,0.733338,0.44022799999999995,0.7175739999999999,4,70249
48,"Jul 08, 2017",0.43080799999999997,0.7195159999999999,0.42602399999999996,0.713184,5,42397
49,"Jul 07, 2017",0.71859,0.71992,0.42236999999999997,0.430446,157,70718
50,"Jul 06, 2017",0.719435,0.720106,0.710411,0.718063,2,70801
51,"Jul 05, 2017",0.440316,0.440316,0.42913199999999996,0.43675200000000003,0,43332
52,"Jul 04, 2017",0.417843,0.44373100000000004,0.417843,0.440554,19,41121
53,"Jul 03, 2017",0.732953,0.735293,0.400609,0.418795,21,72131
54,"Jul 02, 2017",0.71348,0.7387319999999999,0.708779,0.735662,1,70215
55,"Jul 01, 2017",0.401723,0.408694,0.39708699999999997,0.40708099999999997,0,39534
56,"Jun 30, 2017",0.7575310000000001,0.760483,0.400291,0.401877,41,74550
57,"Jun 29, 2017",0.725381,0.7714270000000001,0.709179,0.756026,123,71386
58,"Jun 28, 2017",0.710553,0.735662,0.705647,0.726054,170,69927
59,"Jun 26, 2017",0.711368,0.712062,0.7079989999999999,0.7080270000000001,32,70007
60,"Jun 25, 2017",0.7290439999999999,0.742997,0.691438,0.711739,32,71747
61,"Jun 24, 2017",0.370004,0.767932,0.370004,0.73072,12,36413
62,"Jun 23, 2017",0.710258,0.776734,0.369398,0.370046,1,69898
63,"Jun 22, 2017",0.712681,0.712681,0.710258,0.710258,4,70136
64,"Jun 21, 2017",0.319795,0.319795,0.319795,0.319795,2,31472
65,"Jun 20, 2017",0.7189260000000001,0.721249,0.319795,0.319795,10,70751
66,"Jun 19, 2017",0.334133,0.7189260000000001,0.334133,0.7189260000000001,0,32883
67,"Jun 18, 2017",0.7473529999999999,0.7473529999999999,0.334133,0.334133,1,73549
68,"Jun 17, 2017",0.7483770000000001,0.7483770000000001,0.7473529999999999,0.7473529999999999,1,73649
69,"Jun 16, 2017",0.7217210000000001,0.7483770000000001,0.692908,0.7483770000000001,0,71026
70,"Jun 15, 2017",0.7343850000000001,0.748423,0.636045,0.722254,7,72272
71,"Jun 14, 2017",0.811413,0.831003,0.378925,0.734418,4,79853
72,"Jun 13, 2017",0.789767,0.816056,0.76512,0.811888,10,77723
73,"Jun 12, 2017",0.889357,0.8920459999999999,0.752685,0.7924180000000001,265,87523
74,"Jun 11, 2017",0.8382360000000001,0.891545,0.433745,0.89054,25,82492
75,"Jun 10, 2017",0.562017,0.869642,0.300982,0.83872,768,55309
76,"Jun 09, 2017",0.177042,0.561409,0.176307,0.561174,983,17423
77,"Jun 08, 2017",0.27167800000000003,0.28256,0.17083900000000002,0.177323,27,26736
78,"Jun 07, 2017",0.278552,0.284217,0.265511,0.27031900000000003,1,27413
79,"Jun 06, 2017",0.169853,0.28421,0.169853,0.278481,27,16716
80,"Jun 05, 2017",0.259155,0.26576700000000003,0.156906,0.16934000000000002,46,25504
81,"Jun 04, 2017",0.25969899999999996,0.260108,0.254985,0.25910900000000003,0,25558
82,"Jun 03, 2017",0.257513,0.26476900000000003,0.25293699999999997,0.26476900000000003,1,25342
83,"Jun 02, 2017",0.144172,0.257626,0.142397,0.257626,1,14188
84,"Jun 01, 2017",0.137312,0.24663000000000002,0.137312,0.14410699999999999,3,13513
85,"May 31, 2017",0.131408,0.235721,0.12979000000000002,0.137191,18,12932
86,"May 30, 2017",0.198175,0.201752,0.129374,0.130895,11,19503
87,"May 29, 2017",0.17965,0.202152,0.17965,0.197945,3,17680
88,"May 28, 2017",0.18470699999999998,0.186174,0.17296199999999998,0.180015,4,18177
89,"May 27, 2017",0.268425,0.276467,0.22618600000000003,0.24322,1,26416
90,"May 26, 2017",0.287722,0.324628,0.203077,0.267536,10,28315
91,"May 25, 2017",0.223077,0.347011,0.22138000000000002,0.28984899999999997,24,21953
92,"May 24, 2017",0.26710700000000004,0.293623,0.26710700000000004,0.29125700000000004,6,26287
93,"May 23, 2017",0.158911,0.267549,0.158911,0.266785,16,15639
94,"May 22, 2017",0.159178,0.16952799999999998,0.152508,0.159143,24,15665
95,"May 17, 2017",0.20864699999999997,0.218766,0.206452,0.21682600000000002,0,20533
96,"May 16, 2017",0.130206,0.21048200000000003,0.126947,0.20870300000000003,0,12814
97,"May 15, 2017",0.131943,0.131943,0.127437,0.130399,1,12985
98,"May 14, 2017",0.22950500000000001,0.23405,0.228358,0.22924099999999997,25,22586
99,"May 13, 2017",0.17294500000000002,0.22924699999999998,0.16478399999999999,0.228773,25,17020
100,"May 12, 2017",0.172316,0.176636,0.169987,0.17330299999999998,1,16958
101,"May 11, 2017",0.226931,0.23961,0.224451,0.239229,37,22333
102,"May 10, 2017",0.171464,0.228175,0.167943,0.22652399999999998,35,16874
103,"May 09, 2017",0.087908,0.178445,0.087555,0.171381,0,8651
104,"May 08, 2017",0.15598299999999998,0.163079,0.084338,0.087892,0,15351
105,"May 07, 2017",0.143406,0.15598299999999998,0.093586,0.15598299999999998,58,14113
106,"May 06, 2017",0.13999,0.141707,0.138825,0.14041700000000001,72,13777
107,"May 05, 2017",0.148508,0.15625,0.137728,0.13999,72,14615
108,"May 04, 2017",0.15073399999999998,0.153784,0.144374,0.148508,1,14834
109,"May 03, 2017",0.130855,0.132226,0.130456,0.130592,0,12878
110,"May 02, 2017",0.127893,0.132666,0.127412,0.13077,0,12586
111,"May 01, 2017",0.123071,0.129089,0.122628,0.128025,1,12112
112,"Apr 30, 2017",0.12493599999999999,0.12497899999999999,0.12436099999999999,0.12454100000000001,1,12295
113,"Apr 29, 2017",0.11848299999999999,0.125209,0.11848299999999999,0.12493599999999999,1,11660
114,"Apr 28, 2017",0.11867899999999999,0.11871,0.11631300000000001,0.11848299999999999,8,11679
115,"Apr 27, 2017",0.115382,0.117638,0.11533,0.117638,0,11355
116,"Apr 26, 2017",0.131636,0.13295,0.114852,0.115311,15,12955
117,"Apr 25, 2017",0.112526,0.131831,0.11250999999999999,0.131636,1,11074
118,"Apr 24, 2017",0.109616,0.112597,0.109607,0.112544,1,10788
119,"Apr 20, 2017",0.108926,0.109491,0.10875699999999999,0.10946600000000001,29,10720
120,"Apr 19, 2017",0.11624300000000001,0.1217,0.108457,0.108926,32,11440
121,"Apr 18, 2017",0.108109,0.11661400000000001,0.108096,0.1162,0,10639
122,"Apr 17, 2017",0.10622899999999999,0.108198,0.10622899999999999,0.108109,0,10454
123,"Apr 16, 2017",0.10553499999999999,0.106376,0.10553499999999999,0.106084,8,10386
124,"Apr 15, 2017",0.10511600000000001,0.108154,0.10493399999999999,0.105527,24,10345
125,"Apr 14, 2017",0.10538800000000001,0.107232,0.104439,0.10550999999999999,1,10371
126,"Apr 13, 2017",0.12516300000000002,0.125316,0.104137,0.105269,11,12318
127,"Apr 12, 2017",0.147011,0.147271,0.146011,0.146757,0,14468
128,"Apr 11, 2017",0.11871300000000001,0.147385,0.11871300000000001,0.147011,2,11683
129,"Apr 10, 2017",0.106253,0.119022,0.10621400000000002,0.118658,2,10457
130,"Apr 07, 2017",0.106093,0.10623699999999998,0.10469300000000001,0.105876,2,10441
131,"Apr 06, 2017",0.104729,0.10694100000000001,0.10376700000000001,0.106483,4,10307
132,"Apr 01, 2017",0.096454,0.096578,0.096084,0.096427,1,9492
133,"Mar 31, 2017",0.09239800000000001,0.096743,0.09239800000000001,0.09643099999999999,1,9093
134,"Mar 30, 2017",0.126114,0.12670599999999999,0.039865,0.092379,23,12411
135,"Mar 29, 2017",0.095214,0.096038,0.09246499999999999,0.09388099999999999,0,9370
136,"Mar 28, 2017",0.11886300000000001,0.128278,0.093606,0.095312,1,11698
137,"Mar 27, 2017",0.088476,0.11906099999999999,0.08847000000000001,0.118998,1,8707
138,"Mar 26, 2017",0.096749,0.111228,0.087227,0.087826,1,9521
139,"Mar 25, 2017",0.084298,0.09692200000000001,0.08425,0.096626,1,8296
140,"Mar 24, 2017",0.09348300000000001,0.096265,0.084102,0.084386,6,9200
141,"Mar 23, 2017",0.09346499999999999,0.093734,0.093322,0.09348300000000001,0,9198
142,"Mar 21, 2017",0.12963,0.132319,0.12963,0.132319,0,12757
143,"Mar 20, 2017",0.129675,0.130572,0.12738,0.129491,0,12762
144,"Mar 19, 2017",0.117823,0.123097,0.117823,0.121073,19,11595
145,"Mar 18, 2017",0.128951,0.129116,0.115522,0.11747200000000001,19,12690
146,"Mar 17, 2017",0.086164,0.086164,0.08027999999999999,0.08027999999999999,0,8480
147,"Mar 16, 2017",0.10571199999999999,0.10627400000000001,0.08672200000000001,0.08672200000000001,0,10403
148,"Mar 15, 2017",0.097861,0.105573,0.090664,0.10556700000000001,12,9631
149,"Mar 14, 2017",0.097198,0.098228,0.096361,0.097853,1,9565
150,"Mar 13, 2017",0.096201,0.09751900000000001,0.096201,0.097198,10,9467
151,"Mar 10, 2017",0.093914,0.09465,0.093204,0.093204,0,9242
152,"Mar 09, 2017",0.10352,0.11802,0.091473,0.093903,1,10188
153,"Mar 08, 2017",0.096525,0.105224,0.091459,0.10348800000000001,3,9499
154,"Mar 07, 2017",0.12854100000000002,0.128556,0.096353,0.09657,14,12650
155,"Mar 06, 2017",0.126747,0.1276,0.12646,0.126946,0,12473
156,"Mar 05, 2017",0.126458,0.126729,0.097932,0.126712,4,12445
157,"Mar 04, 2017",0.122493,0.126682,0.097087,0.12654400000000002,31,12055
158,"Mar 03, 2017",0.100531,0.122273,0.100518,0.122273,3,9893
159,"Mar 02, 2017",0.12345999999999999,0.12385399999999999,0.100222,0.10057100000000001,7,12150
160,"Mar 01, 2017",0.09484,0.12345999999999999,0.094816,0.12345999999999999,0,9333
161,"Feb 28, 2017",0.095099,0.095187,0.094816,0.094834,0,9359
162,"Feb 27, 2017",0.168748,0.170049,0.16869,0.169388,3,16607
163,"Feb 26, 2017",0.165845,0.169283,0.163905,0.168954,14,16321
164,"Feb 25, 2017",0.14162,0.169516,0.140771,0.165845,69,13937
165,"Feb 24, 2017",0.125902,0.14311400000000002,0.09350900000000001,0.142015,4,12390
166,"Feb 23, 2017",0.086901,0.126322,0.086901,0.12525899999999998,28,8552
167,"Feb 22, 2017",0.11972999999999999,0.11972999999999999,0.085601,0.086935,0,11783
168,"Feb 21, 2017",0.118879,0.119993,0.118827,0.119776,1,11699
169,"Feb 18, 2017",0.112685,0.113955,0.11246099999999999,0.113515,1,11090
170,"Feb 17, 2017",0.10501400000000001,0.11310999999999999,0.10428,0.112363,1,10335
171,"Feb 16, 2017",0.101773,0.10410799999999999,0.101773,0.10405299999999999,1,10016
172,"Feb 15, 2017",0.0802,0.130661,0.07091900000000001,0.101755,13,7893
173,"Feb 11, 2017",0.128547,0.13112200000000002,0.12775799999999998,0.13109200000000001,0,12651
174,"Feb 10, 2017",0.149285,0.149776,0.067866,0.128518,0,14691
175,"Feb 09, 2017",0.074934,0.149098,0.067115,0.149098,24,7374
176,"Feb 08, 2017",0.09683,0.098348,0.073627,0.07481900000000001,0,9529
177,"Feb 07, 2017",0.07332999999999999,0.096795,0.07332999999999999,0.096742,3,7217
178,"Feb 06, 2017",0.10284000000000001,0.130075,0.072975,0.07318999999999999,31,10121
179,"Feb 05, 2017",0.10696099999999999,0.106972,0.071893,0.10273399999999999,2,10526
180,"Feb 04, 2017",0.10530899999999999,0.107205,0.10365799999999999,0.106897,0,10364
181,"Feb 03, 2017",0.096101,0.105175,0.071046,0.10516400000000001,2,9458
182,"Feb 02, 2017",0.06939,0.071109,0.068983,0.070998,1,6829
183,"Feb 01, 2017",0.098981,0.1005,0.06819299999999999,0.069396,12,9741
184,"Jan 31, 2017",0.055361,0.114469,0.055361,0.098997,24,5448
185,"Jan 30, 2017",0.055242999999999993,0.12908499999999998,0.055242999999999993,0.05538200000000001,33,5437
186,"Jan 29, 2017",0.084538,0.129605,0.055236,0.055245,28,8320
187,"Jan 28, 2017",0.081996,0.084655,0.081996,0.084537,0,8069
188,"Jan 27, 2017",0.036713,0.119958,0.036643,0.081997,36,3613
189,"Jan 26, 2017",0.07482799999999999,0.076304,0.036619,0.036711,6,7364
190,"Jan 25, 2017",0.034824,0.074887,0.034785,0.074808,5,3427
191,"Jan 24, 2017",0.08001799999999999,0.08029,0.034808,0.034808,2,7875
192,"Jan 23, 2017",0.032373,0.080648,0.032095,0.080069,5,3186
193,"Jan 22, 2017",0.11901099999999999,0.11998299999999999,0.032195999999999995,0.032336000000000004,17,11712
194,"Jan 21, 2017",0.129779,0.134468,0.129779,0.133634,0,12772
195,"Jan 20, 2017",0.112384,0.133974,0.05101,0.129781,16,11060
196,"Jan 19, 2017",0.097528,0.113077,0.097277,0.11243,8,9598
197,"Jan 18, 2017",0.049955,0.097127,0.049106,0.097127,2,4916
198,"Jan 17, 2017",0.08290399999999999,0.085728,0.047275,0.049922,4,8159
199,"Jan 16, 2017",0.052546,0.083203,0.052448,0.082883,10,5171
200,"Jan 15, 2017",0.045775,0.052564,0.045732,0.052548000000000004,1,4505
201,"Jan 13, 2017",0.037827,0.038029,0.036660000000000005,0.036959,3,3723
202,"Jan 12, 2017",0.036337,0.038834,0.035521,0.037850999999999996,3,3576
203,"Jan 11, 2017",0.090623,0.091798,0.077587,0.077587,1,8918
204,"Jan 10, 2017",0.090012,0.09134099999999999,0.08993,0.090614,1,8858
205,"Jan 09, 2017",0.089281,0.090173,0.089281,0.090059,23,8786
206,"Jan 07, 2017",0.090349,0.090783,0.082356,0.08906,8,8891
207,"Jan 06, 2017",0.050669,0.092529,0.044197,0.09022000000000001,8,4986
208,"Jan 05, 2017",0.052032,0.053671,0.038939,0.050531,0,5120
209,"Jan 04, 2017",0.041754,0.052243,0.041754,0.051977999999999996,4,4109
210,"Jan 03, 2017",0.046543,0.046639,0.040977,0.041763,2,4580
211,"Dec 30, 2016",0.058410000000000004,0.058410000000000004,0.05609,0.056260000000000004,0,5748
212,"Dec 29, 2016",0.0527,0.058533,0.052236000000000005,0.058414999999999995,0,5186
213,"Dec 28, 2016",0.045506,0.052691999999999996,0.036145,0.052691999999999996,10,4478
214,"Dec 26, 2016",0.06733,0.068608,0.06733,0.068268,0,6625
215,"Dec 25, 2016",0.066254,0.067384,0.066068,0.067361,0,6519
216,"Dec 23, 2016",0.040305,0.042657,0.040305,0.042011,1,3966
217,"Dec 22, 2016",0.056422,0.05846799999999999,0.040177,0.04032,1,5552
218,"Dec 21, 2016",0.040548,0.056273000000000004,0.037286,0.056273000000000004,1,3990
219,"Dec 20, 2016",0.036806,0.040572000000000004,0.036749000000000004,0.040563999999999996,2,3621
220,"Dec 19, 2016",0.039526,0.039675999999999996,0.036729000000000005,0.036811,0,3889
221,"Dec 18, 2016",0.07900399999999999,0.079394,0.039401,0.039512,0,7773
222,"Dec 17, 2016",0.06287100000000001,0.11848099999999999,0.030399000000000002,0.079002,70,6186
223,"Dec 16, 2016",0.136943,0.137668,0.06258999999999999,0.06287100000000001,1,13474
224,"Dec 15, 2016",0.057055999999999996,0.137104,0.056871000000000005,0.136979,5,5614
225,"Dec 14, 2016",0.056988,0.137993,0.056717,0.057036,10,5607
226,"Dec 13, 2016",0.0547,0.0782,0.054551,0.057063,7,5382
227,"Dec 12, 2016",0.05474299999999999,0.054827999999999995,0.054635,0.054706,0,5386
228,"Dec 10, 2016",0.068701,0.069084,0.068701,0.068953,1,6759
229,"Dec 09, 2016",0.138746,0.139017,0.068614,0.068685,5,13650
230,"Dec 08, 2016",0.145945,0.14611300000000002,0.138774,0.138774,0,14358
231,"Dec 07, 2016",0.022927,0.146593,0.022793,0.145948,80,2256
232,"Dec 06, 2016",0.022761,0.022984,0.022761,0.022927,3,2239
233,"Dec 05, 2016",0.03135,0.050745,0.022759,0.02276,24,3084
234,"Dec 04, 2016",0.031617,0.060038,0.031185,0.031335,8,3110
235,"Dec 03, 2016",0.034572000000000006,0.034585000000000005,0.031359,0.031616000000000005,1,3401
236,"Dec 02, 2016",0.034552,0.034568,0.034531,0.034561,1,3399
237,"Dec 01, 2016",0.032795,0.033349000000000004,0.032795,0.033303,0,3226
238,"Nov 30, 2016",0.053779999999999994,0.059797,0.032789,0.032796,1,5290
239,"Nov 29, 2016",0.053861,0.05388099999999999,0.053759,0.053787,1,5298
240,"Nov 28, 2016",0.039061,0.039347,0.039061,0.039245999999999996,0,3842
241,"Nov 27, 2016",0.027162000000000002,0.039434,0.027162000000000002,0.039058999999999996,2,2672
242,"Nov 24, 2016",0.060223,0.060404,0.059642999999999995,0.059717,0,5924
243,"Nov 23, 2016",0.060108,0.060459000000000006,0.059137999999999996,0.060222000000000005,0,5913
244,"Nov 22, 2016",0.044407999999999996,0.06031,0.022111000000000002,0.060109,7,4368
245,"Nov 20, 2016",0.045104000000000005,0.045336,0.043084,0.043793,0,4437
246,"Nov 19, 2016",0.043219,0.045108999999999996,0.043148,0.045096,1,4251
247,"Nov 17, 2016",0.041675,0.042316,0.041675,0.041942,0,4099
248,"Nov 16, 2016",0.097622,0.09817200000000001,0.039955000000000004,0.041678,0,9602
249,"Nov 15, 2016",0.07371699999999999,0.098247,0.07110599999999999,0.097684,8,7251
250,"Nov 14, 2016",0.07021000000000001,0.073849,0.035181,0.073672,2,6906
251,"Nov 13, 2016",0.056389999999999996,0.070404,0.052385,0.070216,2,5546
252,"Nov 12, 2016",0.025791,0.056516,0.025756,0.056391,5,2537
253,"Nov 11, 2016",0.051517999999999994,0.052323,0.025206,0.025791,1,5067
254,"Nov 10, 2016",0.029293,0.051533,0.022772999999999998,0.051512999999999996,7,2881
255,"Nov 09, 2016",0.04658,0.048562,0.029164999999999996,0.029287999999999998,0,4581
256,"Nov 08, 2016",0.023203,0.052017999999999995,0.023202,0.046595,8,2282
257,"Nov 07, 2016",0.053364,0.056223,0.021096,0.023195,20,5248
258,"Nov 06, 2016",0.056266,0.057133,0.028210000000000002,0.053381,0,5534
259,"Nov 05, 2016",0.055555999999999994,0.056336000000000004,0.055113999999999996,0.056269000000000007,2,5464
260,"Nov 04, 2016",0.041322000000000005,0.07069299999999999,0.020747,0.055564999999999996,25,4064
261,"Nov 03, 2016",0.054866,0.055232,0.040688999999999996,0.041302,23,-
262,"Nov 02, 2016",0.054027,0.100787,0.053497,0.05474400000000001,1,-
263,"Nov 01, 2016",0.051192,0.07434500000000001,0.051192,0.054012,14,-
264,"Oct 31, 2016",0.051257000000000004,0.051799,0.050513999999999996,0.051195,0,-
265,"Oct 30, 2016",0.052171,0.052171,0.050857,0.051257000000000004,0,-
266,"Oct 29, 2016",0.050358,0.052604,0.050358,0.052186,11,-
267,"Oct 28, 2016",0.050267,0.050416,0.049964,0.05035,10,-
268,"Oct 27, 2016",0.049523000000000005,0.06876499999999999,0.049504,0.05024,6,-
269,"Oct 26, 2016",0.050029000000000004,0.051498,0.049286,0.049536000000000004,27,-
270,"Oct 25, 2016",0.049745,0.050549000000000004,0.04974,0.050003,2,-
271,"Oct 24, 2016",0.091488,0.091638,0.049738,0.049759,2,-
272,"Oct 23, 2016",0.059222000000000004,0.059567999999999996,0.058914999999999995,0.059158,0,-
273,"Oct 22, 2016",0.08859600000000001,0.092085,0.059044000000000006,0.059178999999999995,0,-
274,"Oct 21, 2016",0.056777,0.088773,0.056763,0.08860499999999999,2,-
275,"Oct 20, 2016",0.11278699999999998,0.112829,0.056646,0.056789,3,-
276,"Oct 19, 2016",0.057415999999999995,0.11496500000000001,0.05736599999999999,0.112792,2,-
277,"Oct 18, 2016",0.05127,0.12167599999999999,0.051205999999999995,0.057414,2,-
278,"Oct 17, 2016",0.051401,0.125944,0.051163,0.05127,7,-
279,"Oct 16, 2016",0.076701,0.129718,0.051118000000000004,0.051383000000000005,20,-
280,"Oct 15, 2016",0.083249,0.141049,0.07655,0.076681,6,-
281,"Oct 14, 2016",0.10895999999999999,0.10973,0.083114,0.083241,16,-
282,"Oct 13, 2016",0.174953,0.17799,0.10890899999999999,0.10894200000000001,14,-
283,"Oct 12, 2016",0.067319,0.179041,0.067075,0.17496099999999998,19,-
284,"Oct 11, 2016",0.185686,0.190187,0.067138,0.067365,101,-
285,"Oct 10, 2016",0.160504,0.20008800000000002,0.136035,0.185623,49,-
286,"Oct 09, 2016",0.198115,0.20681599999999997,0.154342,0.160466,72,-
287,"Oct 08, 2016",0.208963,0.209887,0.148371,0.198102,213,-
288,"Oct 07, 2016",0.119539,0.20916300000000002,0.119305,0.20892199999999997,989,-
289,"Oct 06, 2016",0.069685,0.193967,0.069604,0.11954100000000001,185,-
290,"Oct 05, 2016",0.094582,0.287921,0.061014,0.069688,363,-
291,"Oct 04, 2016",0.08569299999999999,0.164769,0.044549,0.094575,140,-
292,"Oct 03, 2016",0.027808,0.24466300000000002,0.017519999999999997,0.085684,516,-
293,"Oct 02, 2016",0.049763,0.06043,0.024997,0.02781,69,-
294,"Oct 01, 2016",0.029144999999999997,0.061498000000000004,0.028745,0.049762,239,-
295,"Sep 30, 2016",0.042398000000000005,0.0424,0.009751000000000001,0.029142,2,-
