,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",5.8,5.91,5.06,5.44,412059,36677000
1,"Aug 24, 2017",5.45,5.86,5.4,5.82,317877,34179000
2,"Aug 23, 2017",5.26,5.59,4.99,5.44,395570,32560900
3,"Aug 22, 2017",5.02,5.33,4.56,5.27,184935,30839400
4,"Aug 21, 2017",4.85,5.08,4.75,5.01,234487,29452000
5,"Aug 20, 2017",4.99,5.06,4.82,4.87,110445,30151400
6,"Aug 19, 2017",4.89,5.09,4.72,5.08,181989,29338200
7,"Aug 18, 2017",5.03,5.18,4.71,4.89,223464,29836000
8,"Aug 17, 2017",5.26,5.29,4.86,4.86,345334,30761000
9,"Aug 16, 2017",4.9,5.27,4.66,5.27,334857,27947300
10,"Aug 15, 2017",5.37,5.53,4.6,4.89,611706,30125900
11,"Aug 14, 2017",5.0,5.45,4.88,5.36,1123130,27815600
12,"Aug 13, 2017",4.8,5.2,4.78,4.99,491420,21734500
13,"Aug 12, 2017",4.57,4.89,4.52,4.8,735495,20694300
14,"Aug 11, 2017",4.18,4.63,4.13,4.57,612294,18944900
15,"Aug 10, 2017",4.05,4.21,4.02,4.19,362802,18343000
16,"Aug 09, 2017",3.97,4.08,3.91,4.03,364549,17963600
17,"Aug 08, 2017",3.86,4.04,3.79,3.97,374847,17469800
18,"Aug 07, 2017",3.67,3.88,3.64,3.85,385346,16625800
19,"Aug 06, 2017",3.67,3.79,3.57,3.68,138856,16618700
20,"Aug 05, 2017",3.42,3.91,3.42,3.66,175755,15471100
21,"Aug 04, 2017",3.35,3.54,3.22,3.54,161563,15157900
22,"Aug 03, 2017",3.23,3.43,3.21,3.37,51398,14611300
23,"Aug 02, 2017",3.26,3.36,3.07,3.25,57246,14760000
24,"Aug 01, 2017",3.49,3.59,3.18,3.25,69525,15805400
25,"Jul 31, 2017",3.46,3.58,3.38,3.5,93157,15681800
26,"Jul 30, 2017",3.51,3.54,3.3,3.46,100479,15882400
27,"Jul 29, 2017",3.47,3.57,3.32,3.51,405780,15716500
28,"Jul 28, 2017",3.33,3.51,3.3,3.48,144831,15068800
29,"Jul 27, 2017",3.21,3.39,3.07,3.32,99456,14559700
30,"Jul 26, 2017",3.22,3.28,3.02,3.21,86753,14582100
31,"Jul 25, 2017",3.35,3.38,3.03,3.22,131757,15178500
32,"Jul 24, 2017",3.24,3.4,3.16,3.35,214317,14674700
33,"Jul 23, 2017",3.37,3.4,3.17,3.18,269981,15241800
34,"Jul 22, 2017",3.17,3.42,3.15,3.37,140455,14376800
35,"Jul 21, 2017",3.44,3.5,3.07,3.15,181904,15593200
36,"Jul 20, 2017",2.92,3.52,2.92,3.42,154178,13227100
37,"Jul 19, 2017",2.92,3.13,2.87,2.92,85313,13230000
38,"Jul 18, 2017",2.91,3.14,2.84,2.92,104748,13174900
39,"Jul 17, 2017",2.53,2.94,2.53,2.89,250835,11465900
40,"Jul 16, 2017",2.55,2.66,2.32,2.55,71526,11554500
41,"Jul 15, 2017",2.78,2.79,2.56,2.56,70263,12588100
42,"Jul 14, 2017",2.84,2.87,2.7,2.78,143907,12866500
43,"Jul 13, 2017",2.85,2.94,2.81,2.85,88339,12889700
44,"Jul 12, 2017",2.7,2.89,2.6,2.86,106276,12208900
45,"Jul 11, 2017",2.74,2.83,2.56,2.7,76366,12397100
46,"Jul 10, 2017",2.82,2.85,2.65,2.74,93937,12750000
47,"Jul 09, 2017",2.85,2.88,2.79,2.8,44390,12900900
48,"Jul 08, 2017",2.78,2.86,2.74,2.85,117195,12612000
49,"Jul 07, 2017",2.86,2.87,2.74,2.78,102766,12949900
50,"Jul 06, 2017",2.84,2.88,2.75,2.86,61207,12880200
51,"Jul 05, 2017",2.85,2.87,2.68,2.85,122187,12923900
52,"Jul 04, 2017",2.8,2.91,2.72,2.84,103500,12688300
53,"Jul 03, 2017",2.8,2.92,2.77,2.77,74157,12697800
54,"Jul 02, 2017",2.69,2.83,2.66,2.82,88241,12189600
55,"Jul 01, 2017",2.75,2.8,2.69,2.7,55530,12437800
56,"Jun 30, 2017",2.79,2.82,2.73,2.74,172872,12599100
57,"Jun 29, 2017",2.76,2.84,2.71,2.78,81927,12373700
58,"Jun 28, 2017",2.82,2.86,2.7,2.75,71037,12479100
59,"Jun 27, 2017",2.64,2.8,2.49,2.8,101830,11541400
60,"Jun 26, 2017",2.61,2.66,2.46,2.54,88566,11336400
61,"Jun 25, 2017",2.63,2.72,2.53,2.61,49439,11405100
62,"Jun 24, 2017",2.76,2.79,2.59,2.65,81344,11924700
63,"Jun 23, 2017",2.65,2.87,2.63,2.76,138797,11288600
64,"Jun 22, 2017",2.67,2.78,2.56,2.65,137732,11258600
65,"Jun 21, 2017",2.51,2.78,2.51,2.72,95668,10583500
66,"Jun 20, 2017",2.49,2.59,2.45,2.55,135520,9513660
67,"Jun 19, 2017",2.4,2.5,2.2,2.49,90899,9108530
68,"Jun 18, 2017",2.44,2.57,2.37,2.43,57364,9227830
69,"Jun 17, 2017",2.56,2.59,2.42,2.46,91362,9642840
70,"Jun 16, 2017",2.37,2.64,2.28,2.56,90770,8788660
71,"Jun 15, 2017",2.4,2.49,1.95,2.37,76376,8882530
72,"Jun 14, 2017",2.39,2.5,2.23,2.4,73524,8241810
73,"Jun 13, 2017",2.24,2.43,2.24,2.39,88240,7679080
74,"Jun 12, 2017",2.52,2.54,2.15,2.32,153797,8526910
75,"Jun 11, 2017",2.43,2.54,2.39,2.54,39957,8145030
76,"Jun 10, 2017",2.43,2.52,2.37,2.43,89663,8078600
77,"Jun 09, 2017",2.36,2.46,2.34,2.42,112046,7797140
78,"Jun 08, 2017",2.24,2.38,2.19,2.38,164212,7327160
79,"Jun 07, 2017",2.36,2.38,2.19,2.22,133916,7652740
80,"Jun 06, 2017",2.25,2.47,2.21,2.37,292753,7262180
81,"Jun 05, 2017",2.12,2.25,2.12,2.25,103684,6680750
82,"Jun 04, 2017",2.1,2.13,1.82,2.12,47017,6550150
83,"Jun 03, 2017",1.99,2.13,1.94,2.11,55871,6347950
84,"Jun 02, 2017",1.77,2.02,1.74,2.01,126396,5491920
85,"Jun 01, 2017",1.82,1.91,1.68,1.75,60791,5590700
86,"May 31, 2017",1.74,1.88,1.68,1.83,78153,5299440
87,"May 30, 2017",1.82,1.85,1.69,1.7,41954,5521900
88,"May 29, 2017",1.7,1.85,1.65,1.82,33694,5136590
89,"May 28, 2017",1.62,1.79,1.6,1.7,19046,4885840
90,"May 27, 2017",1.66,1.71,1.42,1.61,38698,4997060
91,"May 26, 2017",1.53,1.74,1.53,1.65,22358,4608640
92,"May 25, 2017",1.68,1.85,1.5,1.54,48599,5039980
93,"May 24, 2017",1.64,1.72,1.62,1.68,25815,4069460
94,"May 23, 2017",1.53,1.67,1.53,1.64,32372,3775650
95,"May 22, 2017",1.6,1.68,1.47,1.54,55921,3927140
96,"May 21, 2017",1.64,1.66,1.55,1.6,40663,4020590
97,"May 20, 2017",1.55,1.64,1.54,1.64,40034,3758000
98,"May 19, 2017",1.46,1.57,1.46,1.55,54889,3532890
99,"May 18, 2017",1.41,1.47,1.39,1.46,36602,3390680
100,"May 17, 2017",1.39,1.43,1.37,1.41,41292,3314830
101,"May 16, 2017",1.38,1.4,1.34,1.39,45700,3284080
102,"May 15, 2017",1.37,1.4,1.32,1.38,46356,3253740
103,"May 14, 2017",1.4,1.42,1.34,1.37,58946,3297420
104,"May 13, 2017",1.32,1.4,1.25,1.39,40132,3091190
105,"May 12, 2017",1.36,1.37,1.29,1.32,42204,3184960
106,"May 11, 2017",1.35,1.41,1.33,1.36,51161,3135480
107,"May 10, 2017",1.34,1.37,1.3,1.35,35957,3096620
108,"May 09, 2017",1.36,1.42,1.29,1.33,39204,3160040
109,"May 08, 2017",1.26,1.36,1.26,1.36,36305,2907680
110,"May 07, 2017",1.26,1.27,1.22,1.26,35343,2889600
111,"May 06, 2017",1.24,1.26,1.23,1.26,18904,2835510
112,"May 05, 2017",1.21,1.29,1.21,1.24,11724,2724840
113,"May 04, 2017",1.17,1.26,1.17,1.2,28026,2625500
114,"May 03, 2017",1.15,1.17,1.13,1.17,38317,2555110
115,"May 02, 2017",1.13,1.16,1.11,1.15,35491,2477280
116,"May 01, 2017",1.11,1.16,1.11,1.13,23252,2462410
117,"Apr 30, 2017",1.08,1.12,1.07,1.11,60601,2309050
118,"Apr 29, 2017",1.05,1.09,1.05,1.08,76524,2206270
119,"Apr 28, 2017",1.03,1.05,1.02,1.05,55235,2147730
120,"Apr 27, 2017",0.9937520000000001,1.04,0.99197,1.03,41051,2040650
121,"Apr 26, 2017",0.968482,1.01,0.9684360000000001,0.993132,49503,1960500
122,"Apr 25, 2017",0.9428139999999999,0.969686,0.9428139999999999,0.9681,29876,-
123,"Apr 24, 2017",0.8986700000000001,0.950616,0.8986700000000001,0.9425879999999999,37419,-
124,"Apr 23, 2017",0.914602,0.914602,0.893697,0.8969090000000001,17008,-
125,"Apr 22, 2017",0.9073,0.9175180000000001,0.896467,0.9144459999999999,19880,-
126,"Apr 21, 2017",0.9130659999999999,0.918316,0.89379,0.9072129999999999,18561,-
127,"Apr 20, 2017",0.9017459999999999,0.9196129999999999,0.8973450000000001,0.9128129999999999,38943,-
