,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",9.56,9.81,8.96,9.55,7651,11391400
1,"Aug 24, 2017",9.86,10.12,9.01,9.58,14468,11745100
2,"Aug 23, 2017",8.22,10.08,8.17,9.86,67589,9792570
3,"Aug 22, 2017",8.02,8.34,7.02,8.24,8957,9548190
4,"Aug 21, 2017",7.74,8.63,7.37,8.0,52846,9221430
5,"Aug 20, 2017",7.53,8.52,7.4,7.74,23202,8963730
6,"Aug 19, 2017",7.0,7.68,6.99,7.56,20595,8329170
7,"Aug 18, 2017",7.89,8.18,6.78,7.0,22052,9389750
8,"Aug 17, 2017",7.78,8.27,7.12,7.91,30367,9261330
9,"Aug 16, 2017",6.91,9.16,6.4,7.79,64789,8225220
10,"Aug 15, 2017",6.97,7.94,6.43,6.68,86299,8291250
11,"Aug 14, 2017",6.3,7.62,6.3,6.95,21281,7500100
12,"Aug 13, 2017",6.73,7.3,6.07,6.3,46971,8007940
13,"Aug 12, 2017",6.13,7.36,6.07,6.74,12887,7298200
14,"Aug 11, 2017",6.07,6.22,5.64,6.14,15564,7221410
15,"Aug 10, 2017",6.05,6.18,5.3,6.07,32854,7199160
16,"Aug 09, 2017",6.26,6.41,5.89,6.05,7898,7447950
17,"Aug 08, 2017",6.19,6.41,5.46,6.09,32877,7364460
18,"Aug 07, 2017",6.16,6.67,5.55,6.18,55027,7333700
19,"Aug 06, 2017",6.92,7.27,5.83,6.18,46227,8236850
20,"Aug 05, 2017",6.37,7.27,6.0,6.92,146835,7576370
21,"Aug 04, 2017",5.85,6.48,5.8,5.86,7047,6961560
22,"Aug 03, 2017",5.76,6.41,5.5,5.85,8557,6850420
23,"Aug 02, 2017",6.48,6.48,5.66,5.75,3909,7703150
24,"Aug 01, 2017",5.52,6.94,4.91,6.48,44852,6561230
25,"Jul 31, 2017",5.81,5.88,5.24,5.51,21804,6907990
26,"Jul 30, 2017",5.21,5.92,5.14,5.8,9594,6197200
27,"Jul 29, 2017",5.43,5.45,4.83,5.21,5763,6462360
28,"Jul 28, 2017",5.33,5.73,4.8,5.46,45596,6337260
29,"Jul 27, 2017",5.33,5.56,5.09,5.31,7619,6335410
30,"Jul 26, 2017",5.35,5.44,4.97,5.31,7712,6358610
31,"Jul 25, 2017",6.45,6.5,4.94,5.35,25211,7662120
32,"Jul 24, 2017",6.59,6.65,6.08,6.45,952,7832050
33,"Jul 23, 2017",6.49,6.85,5.84,6.6,5083,7715120
34,"Jul 22, 2017",6.17,6.68,5.94,6.49,9048,7337300
35,"Jul 21, 2017",6.7,6.72,5.42,6.18,16972,7958150
36,"Jul 20, 2017",4.96,6.81,4.96,6.65,20086,5892510
37,"Jul 19, 2017",5.43,5.81,4.54,4.97,24019,6445240
38,"Jul 18, 2017",5.05,6.12,4.66,5.42,22293,5995170
39,"Jul 17, 2017",4.4,5.04,4.03,5.03,6500,5230230
40,"Jul 16, 2017",5.04,5.24,3.82,4.41,65656,5987490
41,"Jul 15, 2017",5.92,5.93,4.96,5.06,12520,7035900
42,"Jul 14, 2017",6.89,6.93,5.66,5.93,16244,8181290
43,"Jul 13, 2017",6.5,6.93,5.84,6.9,15042,7715850
44,"Jul 12, 2017",6.27,6.49,5.32,6.49,35940,7445470
45,"Jul 11, 2017",6.42,7.18,5.57,6.3,91726,7624310
46,"Jul 10, 2017",7.62,7.65,5.66,6.43,104940,9047370
47,"Jul 09, 2017",8.17,8.19,6.9,7.6,18270,9700570
48,"Jul 08, 2017",7.33,8.22,7.24,8.16,31030,8700320
49,"Jul 07, 2017",7.9,7.91,6.39,7.32,69589,9383510
50,"Jul 06, 2017",7.82,8.11,7.28,7.9,15405,9280320
51,"Jul 05, 2017",8.1,8.1,7.13,7.81,17976,9618420
52,"Jul 04, 2017",7.45,8.61,7.39,8.11,32196,8841280
53,"Jul 03, 2017",7.24,9.2,7.23,8.05,74972,8593790
54,"Jul 02, 2017",7.29,7.52,6.51,7.27,17877,8648760
55,"Jul 01, 2017",8.41,8.46,6.97,7.29,58611,9983980
56,"Jun 30, 2017",8.43,8.86,7.83,8.42,27722,10007000
57,"Jun 29, 2017",9.04,9.07,7.91,8.42,34291,10720000
58,"Jun 28, 2017",7.77,9.02,6.96,8.61,64931,9219980
59,"Jun 27, 2017",7.57,7.6,6.05,7.24,38377,8984680
60,"Jun 26, 2017",8.39,9.17,5.27,7.57,119427,9956310
61,"Jun 25, 2017",7.82,9.66,6.95,8.4,212850,9280940
62,"Jun 24, 2017",6.71,7.89,6.38,7.71,87257,7961870
63,"Jun 23, 2017",5.71,7.08,5.0,6.71,86617,6770480
64,"Jun 22, 2017",6.24,6.25,5.6,6.24,14303,7405290
65,"Jun 21, 2017",5.73,6.25,5.09,6.24,27139,6790330
66,"Jun 20, 2017",5.81,6.12,5.33,5.73,24418,6888720
67,"Jun 19, 2017",6.05,6.18,5.2,5.81,13798,7166090
68,"Jun 18, 2017",6.29,6.33,6.05,6.05,4640,7452040
69,"Jun 17, 2017",6.41,6.41,5.7,6.29,12708,7601180
70,"Jun 16, 2017",5.9,6.72,5.57,6.41,6620,6987560
71,"Jun 15, 2017",6.27,6.46,5.25,5.9,19393,7429840
72,"Jun 14, 2017",7.58,7.8,5.84,6.27,25718,8986390
73,"Jun 13, 2017",7.04,7.45,6.7,7.45,43422,8348350
74,"Jun 12, 2017",6.67,7.62,6.3,6.71,41874,7910340
75,"Jun 11, 2017",7.29,7.51,6.41,6.68,25888,8634890
76,"Jun 10, 2017",6.43,8.25,5.84,7.29,112051,7620170
77,"Jun 09, 2017",5.36,6.86,5.2,6.42,108825,6346460
78,"Jun 08, 2017",5.43,5.62,5.01,5.36,15068,6438410
79,"Jun 07, 2017",5.63,5.8,5.17,5.41,19594,6664500
80,"Jun 06, 2017",5.5,6.6,4.88,5.63,44407,6513380
81,"Jun 05, 2017",5.05,5.58,4.94,5.48,32410,5985050
82,"Jun 04, 2017",5.02,6.12,4.25,5.05,67695,5949020
83,"Jun 03, 2017",4.62,5.21,4.52,5.04,10976,5468790
84,"Jun 02, 2017",4.28,5.19,3.77,4.62,44630,5066830
85,"Jun 01, 2017",3.98,4.5,3.83,4.28,11717,4711570
86,"May 31, 2017",3.35,4.11,3.34,3.98,16355,3970140
87,"May 30, 2017",3.51,4.04,3.22,3.34,26032,4154360
88,"May 29, 2017",3.48,4.03,2.94,3.51,43876,4118280
89,"May 28, 2017",3.31,4.11,3.3,3.64,16349,3914810
90,"May 27, 2017",3.96,4.14,3.08,3.29,6820,4686180
91,"May 26, 2017",3.83,4.45,3.58,3.95,12170,4534620
92,"May 25, 2017",4.41,4.75,3.58,3.86,33514,5213620
93,"May 24, 2017",4.5,4.58,3.46,4.41,98344,5326260
94,"May 23, 2017",4.32,4.57,3.77,4.13,41190,5112200
95,"May 22, 2017",4.37,5.06,3.98,4.33,18403,5171900
96,"May 21, 2017",4.23,4.37,3.9,4.36,14152,5008090
97,"May 20, 2017",3.92,4.24,3.87,4.23,18122,4643620
98,"May 19, 2017",3.96,4.19,3.64,3.93,17983,4681910
99,"May 18, 2017",3.62,4.38,3.62,3.96,18634,4286930
100,"May 17, 2017",3.46,3.89,3.33,3.63,13455,4091850
101,"May 16, 2017",3.29,3.8,3.07,3.46,27220,3893710
102,"May 15, 2017",3.41,3.42,3.04,3.04,9844,4390020
103,"May 14, 2017",3.12,3.57,3.11,3.41,9490,4015350
104,"May 13, 2017",2.89,3.73,2.87,3.11,22924,3722330
105,"May 12, 2017",3.07,3.63,2.71,2.9,25429,3942270
106,"May 11, 2017",3.07,3.08,2.26,3.06,19237,3952110
107,"May 10, 2017",3.13,3.14,2.56,3.07,10645,4027370
108,"May 09, 2017",3.45,3.83,2.64,3.13,32415,4433210
109,"May 08, 2017",3.28,3.84,2.93,3.45,15452,4215560
110,"May 07, 2017",3.46,3.62,3.03,3.28,34063,4442450
111,"May 06, 2017",2.92,3.78,2.92,3.46,52280,3750280
112,"May 05, 2017",2.83,3.18,2.75,2.92,31181,3641850
113,"May 04, 2017",2.3,3.06,2.14,2.83,14946,2949070
114,"May 03, 2017",2.18,2.54,1.92,2.29,31556,2798920
115,"May 02, 2017",2.07,2.45,1.96,2.18,11683,2665110
116,"May 01, 2017",1.77,2.5,1.76,2.08,38419,2272800
117,"Apr 30, 2017",1.68,1.82,1.65,1.75,6659,2157450
118,"Apr 29, 2017",1.62,1.72,1.46,1.68,8232,2081960
119,"Apr 28, 2017",1.58,1.62,1.35,1.62,10245,2026980
120,"Apr 27, 2017",1.45,1.63,1.45,1.58,5547,1868510
121,"Apr 26, 2017",1.44,1.65,1.36,1.45,9949,1853250
122,"Apr 25, 2017",1.46,1.53,1.25,1.44,13112,1878800
123,"Apr 24, 2017",1.33,1.52,1.23,1.46,10900,1703580
124,"Apr 23, 2017",1.39,1.51,1.16,1.32,28232,1781070
125,"Apr 22, 2017",1.68,1.68,1.22,1.39,29813,2150640
126,"Apr 21, 2017",1.82,1.83,1.58,1.67,27248,2330810
127,"Apr 20, 2017",1.7,2.06,1.33,1.82,81136,2176560
128,"Apr 19, 2017",1.49,1.77,1.23,1.69,77732,1913780
129,"Apr 18, 2017",0.9151440000000001,1.47,0.851203,1.47,36369,1174660
130,"Apr 17, 2017",0.9086059999999999,0.955514,0.864917,0.915251,9735,1166200
131,"Apr 16, 2017",0.878367,1.18,0.878367,0.928608,37535,1127280
132,"Apr 15, 2017",0.61505,1.06,0.5837600000000001,0.974341,29903,789266
133,"Apr 14, 2017",0.482188,0.629123,0.481936,0.6151770000000001,12512,618704
134,"Apr 13, 2017",0.509184,0.56004,0.46297200000000005,0.48175500000000004,4074,653313
135,"Apr 12, 2017",0.533622,0.558847,0.49359200000000003,0.5089090000000001,1664,684658
136,"Apr 11, 2017",0.5667270000000001,0.568751,0.46408299999999997,0.5337109999999999,1191,727111
137,"Apr 10, 2017",0.5900880000000001,0.590968,0.462344,0.56657,1075,757032
138,"Apr 09, 2017",0.5423399999999999,0.591529,0.452262,0.590371,2685,695731
139,"Apr 08, 2017",0.41648999999999997,0.586168,0.415471,0.542054,1996,534250
140,"Apr 07, 2017",0.418724,0.44466700000000003,0.413631,0.418,1262,537084
141,"Apr 06, 2017",0.41880100000000003,0.442086,0.41301800000000005,0.42005200000000004,2138,537053
142,"Apr 05, 2017",0.439729,0.46321,0.409304,0.418418,111,563849
143,"Apr 04, 2017",0.48113,0.514432,0.43819300000000005,0.439384,1770,616887
144,"Apr 03, 2017",0.430151,0.557615,0.430151,0.480412,814,551497
145,"Apr 02, 2017",0.45622299999999993,0.458476,0.41935,0.429846,180,584897
146,"Apr 01, 2017",0.508687,0.509371,0.417987,0.456176,1452,652123
147,"Mar 31, 2017",0.49237700000000006,0.5177189999999999,0.435288,0.508725,2474,631180
148,"Mar 30, 2017",0.39814499999999997,0.5485760000000001,0.390125,0.49227600000000005,4819,510339
149,"Mar 29, 2017",0.449176,0.483863,0.397289,0.397289,2949,575690
150,"Mar 28, 2017",0.457672,0.521482,0.386773,0.449636,2700,586507
151,"Mar 27, 2017",0.394567,0.513985,0.33459099999999997,0.45819399999999993,4512,505594
152,"Mar 26, 2017",0.380207,0.448895,0.288918,0.392403,9457,487185
153,"Mar 25, 2017",0.507942,0.510528,0.314635,0.37972399999999995,5185,650827
154,"Mar 24, 2017",0.415224,0.613844,0.395828,0.508473,15798,532013
155,"Mar 23, 2017",0.337507,0.419604,0.337507,0.41528000000000004,9940,432420
156,"Mar 22, 2017",0.39253000000000005,0.39253000000000005,0.307278,0.337215,3547,502888
157,"Mar 21, 2017",0.36937600000000004,0.395933,0.342494,0.392492,2650,473210
158,"Mar 20, 2017",0.347589,0.401212,0.347589,0.36898000000000003,1363,445269
159,"Mar 19, 2017",0.35134,0.404212,0.322151,0.34742199999999995,159,450048
160,"Mar 18, 2017",0.35075700000000004,0.35593,0.29935100000000003,0.350292,964,449267
161,"Mar 17, 2017",0.362722,0.36536599999999997,0.317393,0.350929,1568,464550
162,"Mar 16, 2017",0.43621400000000005,0.438532,0.328436,0.365073,2495,558640
163,"Mar 15, 2017",0.385963,0.46215900000000004,0.385835,0.43561400000000006,3210,494259
164,"Mar 14, 2017",0.390743,0.47799899999999995,0.38165,0.385913,2113,500352
165,"Mar 13, 2017",0.33599,0.44475,0.334928,0.39066599999999996,4133,430213
166,"Mar 12, 2017",0.370282,0.370584,0.335379,0.33588,705,474097
167,"Mar 11, 2017",0.337854,0.374821,0.303545,0.37003400000000003,3712,432548
168,"Mar 10, 2017",0.382201,0.482613,0.253671,0.337975,8169,489289
169,"Mar 09, 2017",0.429288,0.430896,0.343538,0.381921,1879,549523
170,"Mar 08, 2017",0.403617,0.48311800000000005,0.385548,0.42915699999999996,2898,516644
171,"Mar 07, 2017",0.5082270000000001,0.509042,0.402898,0.403719,587,650486
172,"Mar 06, 2017",0.431612,0.5098239999999999,0.431612,0.508076,487,552383
173,"Mar 05, 2017",0.42711099999999996,0.43155,0.421584,0.431492,2,546607
174,"Mar 04, 2017",0.46211,0.492482,0.406204,0.427404,214,591356
175,"Mar 03, 2017",0.47146800000000005,0.47159799999999996,0.39314899999999997,0.46122799999999997,3532,603290
176,"Mar 02, 2017",0.5058050000000001,0.512084,0.426446,0.47158100000000003,3686,647187
177,"Mar 01, 2017",0.44597299999999995,0.504905,0.445863,0.504905,1874,570593
178,"Feb 28, 2017",0.525409,0.530984,0.445859,0.445946,1197,672188
179,"Feb 27, 2017",0.440561,0.5259689999999999,0.440409,0.525075,1188,563592
180,"Feb 26, 2017",0.47117600000000004,0.480741,0.429234,0.44109799999999993,2126,602720
181,"Feb 25, 2017",0.520774,0.522749,0.44983599999999996,0.470999,2923,666123
182,"Feb 24, 2017",0.416371,0.5991479999999999,0.398212,0.5222289999999999,7849,532543
183,"Feb 23, 2017",0.491051,0.493526,0.411279,0.41424399999999995,3617,628017
184,"Feb 22, 2017",0.51069,0.51069,0.488928,0.491126,1,653083
185,"Feb 21, 2017",0.507251,0.521063,0.506004,0.510919,701,648647
186,"Feb 20, 2017",0.49414300000000005,0.5078189999999999,0.44758000000000003,0.50758,268,631812
187,"Feb 19, 2017",0.47878699999999996,0.494407,0.465466,0.49375600000000003,719,612147
188,"Feb 18, 2017",0.49453500000000006,0.495521,0.44505600000000006,0.478633,882,632263
189,"Feb 17, 2017",0.483662,0.495543,0.445162,0.493121,978,618325
190,"Feb 16, 2017",0.502837,0.503132,0.406196,0.484284,4005,642769
191,"Feb 15, 2017",0.45272399999999996,0.513529,0.414886,0.502753,2757,591740
192,"Feb 14, 2017",0.44621099999999997,0.45324799999999993,0.389797,0.451977,2337,583189
193,"Feb 13, 2017",0.410871,0.450841,0.388896,0.44572,287,536969
194,"Feb 12, 2017",0.39734400000000003,0.41385600000000006,0.376119,0.41099300000000005,682,519263
195,"Feb 11, 2017",0.42096400000000006,0.426048,0.416759,0.41967899999999997,1174,550111
196,"Feb 10, 2017",0.46350699999999995,0.46503,0.386479,0.427255,2530,605660
197,"Feb 09, 2017",0.545786,0.547683,0.42220100000000005,0.462925,1382,713146
198,"Feb 08, 2017",0.571634,0.578792,0.46886700000000003,0.5449510000000001,17116,746864
199,"Feb 07, 2017",0.573533,0.5848720000000001,0.524597,0.571112,4048,749294
200,"Feb 06, 2017",0.5584210000000001,0.574411,0.5345449999999999,0.572436,4274,729505
201,"Feb 05, 2017",0.602946,0.603009,0.55528,0.557846,110,787586
202,"Feb 04, 2017",0.516799,0.6034149999999999,0.48709600000000003,0.602588,9073,675003
203,"Feb 03, 2017",0.5034850000000001,0.516088,0.469278,0.516088,9268,657555
204,"Feb 02, 2017",0.49911000000000005,0.550454,0.404951,0.503654,1878,651790
205,"Feb 01, 2017",0.49387700000000007,0.49915600000000004,0.4702,0.49915600000000004,217,644927
206,"Jan 31, 2017",0.460182,0.494699,0.41463900000000004,0.493954,1718,600873
207,"Jan 30, 2017",0.42135900000000004,0.460762,0.404804,0.460355,664,550156
208,"Jan 29, 2017",0.45835299999999995,0.47071999999999997,0.37949,0.42136899999999994,92,598413
209,"Jan 28, 2017",0.356008,0.45834899999999995,0.349127,0.45834899999999995,1501,464746
210,"Jan 27, 2017",0.295646,0.364036,0.295646,0.356013,907,385925
211,"Jan 26, 2017",0.334148,0.365394,0.295362,0.295636,448,436159
212,"Jan 25, 2017",0.33466799999999997,0.352259,0.33348099999999997,0.334057,97,436812
213,"Jan 24, 2017",0.356561,0.35914,0.332106,0.334518,7,480617
214,"Jan 23, 2017",0.333002,0.357996,0.33014499999999997,0.35679,1113,448833
215,"Jan 22, 2017",0.364107,0.370322,0.331183,0.33261999999999997,139,490721
216,"Jan 21, 2017",0.399781,0.402069,0.32219000000000003,0.364116,745,538762
217,"Jan 20, 2017",0.318631,0.408149,0.30315,0.39978800000000003,7023,429372
218,"Jan 19, 2017",0.316709,0.321669,0.283767,0.318763,43,426756
219,"Jan 18, 2017",0.353705,0.35743,0.310861,0.315405,221,476572
220,"Jan 17, 2017",0.33713699999999996,0.357109,0.277411,0.353476,813,454217
221,"Jan 16, 2017",0.289067,0.338352,0.247923,0.337052,358,389416
