,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.87,1.98,1.68,1.7,216399,5930090
1,"Aug 24, 2017",1.84,2.21,1.76,1.9,464752,5847340
2,"Aug 23, 2017",2.11,2.93,1.7,1.89,1515560,6702560
3,"Aug 22, 2017",2.04,2.32,1.67,2.12,589692,6470970
4,"Aug 21, 2017",1.99,3.16,1.89,2.01,2339670,6306310
5,"Aug 20, 2017",2.07,2.21,1.74,2.02,621467,6573710
6,"Aug 19, 2017",2.58,2.8,2.03,2.06,1086260,8168200
7,"Aug 18, 2017",2.88,3.46,2.24,2.36,8683610,9127400
8,"Aug 17, 2017",0.75105,4.11,0.721232,2.87,8719600,2378910
9,"Aug 16, 2017",0.772036,0.789887,0.715279,0.751744,36380,2444290
10,"Aug 15, 2017",0.9050020000000001,0.91245,0.727086,0.771189,90038,2863980
11,"Aug 14, 2017",0.762704,1.42,0.762704,0.902573,680518,2412570
12,"Aug 13, 2017",0.808033,1.3,0.710054,0.812752,206062,2554750
13,"Aug 12, 2017",0.7637609999999999,0.8761950000000001,0.7550020000000001,0.8087840000000001,24047,2413670
14,"Aug 11, 2017",0.736935,0.807326,0.700256,0.764356,23082,2327850
15,"Aug 10, 2017",0.6521899999999999,0.855303,0.647742,0.756682,71880,2059180
16,"Aug 09, 2017",0.639858,0.711878,0.575839,0.6521279999999999,60263,2019330
17,"Aug 08, 2017",0.640784,0.6737770000000001,0.625258,0.640328,7503,2021320
18,"Aug 07, 2017",0.556137,0.6657270000000001,0.552375,0.640137,15904,1753530
19,"Aug 06, 2017",0.534871,0.591634,0.528906,0.571,15303,1685680
20,"Aug 05, 2017",0.478445,0.561241,0.477076,0.534741,16030,1507180
21,"Aug 04, 2017",0.46851000000000004,0.534057,0.46648900000000004,0.47865699999999994,10404,1475200
22,"Aug 03, 2017",0.44876800000000006,0.546955,0.4386,0.46862700000000007,40920,1412390
23,"Aug 02, 2017",0.43478500000000003,0.47621899999999995,0.40826,0.43876000000000004,27745,1367770
24,"Aug 01, 2017",0.424875,0.46706899999999996,0.367525,0.43486800000000003,27121,1336000
25,"Jul 31, 2017",0.404999,0.456708,0.401431,0.42466899999999996,9012,1272890
26,"Jul 30, 2017",0.47649300000000006,0.49893999999999994,0.394099,0.404585,60390,1496920
27,"Jul 29, 2017",0.5685439999999999,0.648122,0.429364,0.476979,158711,1783620
28,"Jul 28, 2017",0.46258699999999997,0.815519,0.42016099999999995,0.570708,282268,1451220
29,"Jul 27, 2017",0.420932,0.463663,0.420932,0.45096099999999995,7529,1320540
30,"Jul 26, 2017",0.46797,0.477254,0.416125,0.419741,13041,1467460
31,"Jul 25, 2017",0.526885,0.5304270000000001,0.451194,0.467757,4908,1651410
32,"Jul 24, 2017",0.522015,0.586164,0.509721,0.526941,7554,1635430
33,"Jul 23, 2017",0.533003,0.609329,0.514523,0.5225850000000001,9678,1669120
34,"Jul 22, 2017",0.49983500000000003,0.690344,0.49742,0.524312,12926,1564530
35,"Jul 21, 2017",0.5582,0.560049,0.49042299999999994,0.499867,6947,1746390
36,"Jul 20, 2017",0.41991300000000004,0.565752,0.41991300000000004,0.554091,7911,1313170
37,"Jul 19, 2017",0.43854,0.558391,0.418367,0.419649,28163,1370750
38,"Jul 18, 2017",0.405442,0.458059,0.393067,0.438116,7478,1266740
39,"Jul 17, 2017",0.351072,0.43513900000000005,0.35041700000000003,0.40439899999999995,6217,1096360
40,"Jul 16, 2017",0.361613,0.385752,0.33174000000000003,0.351462,20011,1128750
41,"Jul 15, 2017",0.422152,0.442116,0.36207,0.362707,6960,1317140
42,"Jul 14, 2017",0.473421,0.503909,0.412379,0.442801,16574,1476450
43,"Jul 13, 2017",0.458584,0.505236,0.43933199999999994,0.473768,10987,1429540
44,"Jul 12, 2017",0.48559300000000005,0.507963,0.390998,0.45766899999999994,10047,1513010
45,"Jul 11, 2017",0.577306,0.58381,0.3483,0.48801700000000003,27982,1797980
46,"Jul 10, 2017",0.776691,0.776691,0.539187,0.543238,25317,2417790
47,"Jul 09, 2017",0.8459909999999999,0.852145,0.730787,0.7441989999999999,18281,2632350
48,"Jul 08, 2017",0.706741,0.8266479999999999,0.6643020000000001,0.8266479999999999,46476,2198020
49,"Jul 07, 2017",0.8530270000000001,0.8738530000000001,0.6991390000000001,0.7061470000000001,23804,2651800
50,"Jul 06, 2017",0.8972760000000001,0.909747,0.8279049999999999,0.853081,25410,2787890
51,"Jul 05, 2017",0.795764,0.912458,0.755364,0.8968360000000001,39198,2471520
52,"Jul 04, 2017",0.7269359999999999,0.983675,0.7269359999999999,0.796808,84401,2256680
53,"Jul 03, 2017",0.671966,0.75478,0.645437,0.72469,33011,2085060
54,"Jul 02, 2017",0.652369,0.695619,0.623871,0.674449,22834,2023340
55,"Jul 01, 2017",0.789784,0.790151,0.624502,0.652449,112747,2448410
56,"Jun 30, 2017",0.775039,1.5,0.717954,0.7913640000000001,688131,2401610
57,"Jun 29, 2017",0.790917,0.8066439999999999,0.702068,0.773509,21769,2449660
58,"Jun 28, 2017",0.778259,0.8867700000000001,0.709533,0.791651,50277,2409400
59,"Jun 27, 2017",0.613594,0.82325,0.589303,0.773251,48145,1898620
60,"Jun 26, 2017",0.767039,0.836398,0.47868,0.613594,36685,2372370
61,"Jun 25, 2017",0.7726890000000001,0.884834,0.754468,0.767439,29764,2388810
62,"Jun 24, 2017",0.853377,0.9715520000000001,0.742907,0.77449,64956,2636940
63,"Jun 23, 2017",0.791161,1.12,0.726105,0.8593709999999999,88795,2443630
64,"Jun 22, 2017",0.8843219999999999,1.12,0.715681,0.791161,144411,2730060
65,"Jun 21, 2017",0.8485219999999999,1.69,0.811163,0.8557549999999999,807123,2618400
66,"Jun 20, 2017",0.536948,2.24,0.499154,0.875922,568486,1656090
67,"Jun 19, 2017",0.513264,0.586522,0.442863,0.536948,14524,1582270
68,"Jun 18, 2017",0.557528,0.557924,0.47535600000000006,0.513264,7358,1718020
69,"Jun 17, 2017",0.516015,0.6243380000000001,0.501977,0.557528,7115,1589360
70,"Jun 16, 2017",0.511995,0.578592,0.495141,0.516015,4931,1576190
71,"Jun 15, 2017",0.520516,0.548424,0.42036899999999994,0.512374,15765,1601690
72,"Jun 14, 2017",0.548622,0.653271,0.491408,0.5524359999999999,12392,1687430
73,"Jun 13, 2017",0.501786,0.686602,0.5014609999999999,0.548944,15565,1542600
74,"Jun 12, 2017",0.5520970000000001,0.573634,0.478225,0.503471,7542,1696330
75,"Jun 11, 2017",0.5979479999999999,0.6589189999999999,0.506994,0.5528310000000001,10487,1836750
76,"Jun 10, 2017",0.7693909999999999,0.774569,0.569696,0.5982930000000001,19685,2362360
77,"Jun 09, 2017",0.69926,0.796963,0.658172,0.729201,14825,2146180
78,"Jun 08, 2017",0.912018,0.9204530000000001,0.6838,0.704002,18263,2239080
79,"Jun 07, 2017",0.73077,0.9960979999999999,0.6895399999999999,0.9075620000000001,39526,1794100
80,"Jun 06, 2017",0.786557,0.837485,0.664259,0.730585,25647,1931060
81,"Jun 05, 2017",0.669427,0.799926,0.667734,0.799926,39719,1643500
82,"Jun 04, 2017",0.545596,0.74055,0.515888,0.669307,46064,1339480
83,"Jun 03, 2017",0.30749299999999996,0.662721,0.30608,0.5470729999999999,134077,754920
