,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.16931,0.189135,0.164395,0.17721900000000002,59046,21082300
1,"Aug 24, 2017",0.159721,0.174174,0.157254,0.170231,16879,19888300
2,"Aug 23, 2017",0.16592200000000001,0.173844,0.156841,0.159619,42914,20660500
3,"Aug 22, 2017",0.15979300000000002,0.169553,0.14240999999999998,0.166265,19027,19897300
4,"Aug 21, 2017",0.15568900000000002,0.16581400000000002,0.143033,0.15731099999999998,25185,19386200
5,"Aug 20, 2017",0.184193,0.184193,0.151921,0.156114,41461,22935500
6,"Aug 19, 2017",0.137979,0.185853,0.132997,0.185395,113055,17181100
7,"Aug 18, 2017",0.133021,0.145004,0.121226,0.137971,56344,16563600
8,"Aug 17, 2017",0.13433299999999998,0.148606,0.12396900000000001,0.134976,44398,16727000
9,"Aug 16, 2017",0.129275,0.144906,0.124622,0.134458,58213,16097200
10,"Aug 15, 2017",0.146034,0.154391,0.12278,0.129027,76623,18184000
11,"Aug 14, 2017",0.12462000000000001,0.20540300000000003,0.123333,0.145213,195253,15517500
12,"Aug 13, 2017",0.143058,0.153192,0.11341300000000001,0.125054,75028,17813500
13,"Aug 12, 2017",0.14194500000000002,0.144239,0.128746,0.143407,26461,17674800
14,"Aug 11, 2017",0.136784,0.14257899999999998,0.133408,0.142264,27291,17032200
15,"Aug 10, 2017",0.134623,0.142431,0.13034300000000001,0.133957,20061,16763100
16,"Aug 09, 2017",0.137199,0.158933,0.130473,0.134709,52117,17083900
17,"Aug 08, 2017",0.13134200000000001,0.143123,0.125712,0.137776,18114,16354600
18,"Aug 07, 2017",0.120755,0.13184500000000002,0.11612,0.131227,28775,15036200
19,"Aug 06, 2017",0.119718,0.12623299999999998,0.117757,0.122576,15553,14907100
20,"Aug 05, 2017",0.119896,0.132262,0.11816900000000001,0.119372,28810,14929400
21,"Aug 04, 2017",0.11988399999999999,0.126054,0.113727,0.11987300000000001,15746,14927900
