,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.012856999999999999,0.015569,0.011101,0.012269,270742,2880420
1,"Aug 24, 2017",0.013962,0.015165000000000001,0.011828,0.012877000000000001,213851,3128200
2,"Aug 23, 2017",0.010011,0.020390000000000002,0.010011,0.014453,2114570,2242850
3,"Aug 22, 2017",0.009082,0.01174,0.006631000000000001,0.010072,605899,2034770
4,"Aug 21, 2017",0.007465,0.009962,0.006606,0.009061,162913,1672390
5,"Aug 20, 2017",0.007089,0.0077859999999999995,0.0066560000000000005,0.007412,13410,1588120
6,"Aug 19, 2017",0.0068200000000000005,0.007726,0.0063560000000000005,0.007287999999999999,21450,1528000
7,"Aug 18, 2017",0.006933,0.007336,0.006406,0.006744,16626,1553350
8,"Aug 17, 2017",0.007593000000000001,0.008187,0.006667,0.0068260000000000005,28814,1701080
9,"Aug 16, 2017",0.0073939999999999995,0.008094,0.00715,0.0076,34860,1656610
10,"Aug 15, 2017",0.007831999999999999,0.009229000000000001,0.006993000000000001,0.007386,84770,1754680
11,"Aug 14, 2017",0.006945999999999999,0.008596,0.006514,0.007725,78196,1556160
12,"Aug 13, 2017",0.007233,0.008192,0.006562,0.006940999999999999,19554,1620420
13,"Aug 12, 2017",0.007118000000000001,0.007783,0.006917,0.007239,33801,1594650
14,"Aug 11, 2017",0.006869,0.0073549999999999996,0.006342,0.00716,30526,1538990
15,"Aug 10, 2017",0.006987,0.008152,0.005895,0.00687,75038,1565350
16,"Aug 09, 2017",0.008273,0.008487999999999999,0.007273000000000001,0.007520999999999999,47350,1853580
17,"Aug 08, 2017",0.008445000000000001,0.008622,0.007949,0.008279,27887,1892120
18,"Aug 07, 2017",0.009306,0.009966,0.008267,0.008437,48028,2085000
19,"Aug 06, 2017",0.008366,0.010277,0.008338,0.009327,70720,1874250
20,"Aug 05, 2017",0.007879,0.009148,0.007690000000000001,0.008364,17204,1765220
21,"Aug 04, 2017",0.007859,0.008020000000000001,0.0072239999999999995,0.007882,12522,1760820
22,"Aug 03, 2017",0.007166,0.008498,0.006808,0.007861,41938,1605450
23,"Aug 02, 2017",0.006687,0.007451,0.006188,0.007206999999999999,27486,1498130
24,"Aug 01, 2017",0.0065260000000000006,0.007259999999999999,0.005587,0.0066879999999999995,22794,1462110
25,"Jul 31, 2017",0.006714,0.00672,0.006254,0.006523,9170,1504310
26,"Jul 30, 2017",0.006361,0.00687,0.006037,0.0067079999999999996,10738,1425140
27,"Jul 29, 2017",0.006562,0.006652,0.006151,0.006362,5446,1470240
28,"Jul 28, 2017",0.007227,0.007396,0.006307,0.006587000000000001,21580,1619170
29,"Jul 27, 2017",0.007122,0.007598000000000001,0.007122,0.007205,8740,1595560
30,"Jul 26, 2017",0.007348,0.008042,0.006848999999999999,0.007102,24772,1646250
31,"Jul 25, 2017",0.010014,0.010137,0.006585,0.007293000000000001,65910,2243480
32,"Jul 24, 2017",0.00839,0.010208,0.007716,0.009853,50134,1879690
33,"Jul 23, 2017",0.008745999999999999,0.009133,0.008215,0.0084,10693,1959500
34,"Jul 22, 2017",0.008002,0.009352,0.007964,0.008745999999999999,34415,1792740
35,"Jul 21, 2017",0.008648000000000001,0.008765,0.007853,0.008003,14145,1937480
36,"Jul 20, 2017",0.006926000000000001,0.009244,0.006761,0.008584,43371,1551820
37,"Jul 19, 2017",0.007568999999999999,0.010699,0.006189,0.007128,291353,1695820
38,"Jul 18, 2017",0.005357,0.008265,0.005193,0.007511,81081,1200220
39,"Jul 17, 2017",0.004961,0.005557,0.004713,0.005343,25303,1111500
40,"Jul 16, 2017",0.005954999999999999,0.006132,0.0043619999999999996,0.004967,20528,1334210
41,"Jul 15, 2017",0.008076,0.008812,0.005507,0.005973,65670,1809370
42,"Jul 14, 2017",0.0057090000000000005,0.010496,0.005296,0.008068,310982,1279030
43,"Jul 13, 2017",0.006085,0.0070209999999999995,0.004956,0.005713,25229,1363360
44,"Jul 12, 2017",0.0038740000000000003,0.006379999999999999,0.003655,0.006033,41143,868043
45,"Jul 11, 2017",0.004868,0.004914,0.0035189999999999996,0.003894,26138,1090650
46,"Jul 10, 2017",0.006914,0.007273999999999999,0.004767,0.004878,23986,1549110
47,"Jul 09, 2017",0.007241,0.00755,0.006901000000000001,0.006901000000000001,7720,1622360
48,"Jul 08, 2017",0.007559999999999999,0.007833,0.006593000000000001,0.007234999999999999,17794,1693660
49,"Jul 07, 2017",0.008445000000000001,0.008889,0.0075569999999999995,0.0076760000000000005,16800,1892060
50,"Jul 06, 2017",0.008891,0.008895,0.007659,0.008439,35288,1992000
51,"Jul 05, 2017",0.009065,0.009119,0.008185,0.008887,15353,2031020
52,"Jul 04, 2017",0.009106,0.009608,0.008598999999999999,0.00907,20804,2040150
53,"Jul 03, 2017",0.008914,0.009629,0.00824,0.009127,23762,1997130
54,"Jul 02, 2017",0.007847,0.010417000000000001,0.007597,0.008947,87227,1757810
