,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 22, 2017",0.00011999999999999999,0.00011999999999999999,0.000109,0.00011399999999999999,8,38359
1,"Aug 21, 2017",0.00024300000000000002,0.000245,0.00011999999999999999,0.00011999999999999999,8,77791
2,"Aug 20, 2017",0.00024900000000000004,0.00028900000000000003,0.00020299999999999997,0.000244,16,79487
3,"Aug 19, 2017",0.000322,0.000331,0.000162,0.00025,737,102770
4,"Aug 18, 2017",0.000171,0.000174,0.00015900000000000002,0.000164,4,54710
5,"Aug 17, 2017",0.000173,0.000173,0.000172,0.000172,4,55318
6,"Aug 14, 2017",8.1e-05,8.4e-05,8e-05,8.4e-05,13,25964
7,"Aug 13, 2017",7.8e-05,8.2e-05,7.8e-05,8.1e-05,12,24787
8,"Aug 12, 2017",7.3e-05,7.6e-05,7.2e-05,7.6e-05,8,23332
9,"Aug 11, 2017",0.00013700000000000002,0.00013700000000000002,6.9e-05,7.3e-05,7,43670
10,"Aug 10, 2017",0.000136,0.000138,0.000135,0.00013700000000000002,3,43394
11,"Aug 09, 2017",0.00013700000000000002,0.00013700000000000002,0.00013000000000000002,0.000132,3,43703
12,"Aug 08, 2017",0.000138,0.000169,0.000134,0.00013700000000000002,55,43998
13,"Aug 07, 2017",0.000129,0.000136,0.000128,0.000134,37,41164
14,"Aug 06, 2017",9.8e-05,0.000164,9.499999999999999e-05,0.000129,68,31208
15,"Aug 05, 2017",5.6999999999999996e-05,9.9e-05,5.6999999999999996e-05,9.8e-05,3,18246
16,"Aug 04, 2017",2.8000000000000003e-05,5.6999999999999996e-05,2.8000000000000003e-05,5.6999999999999996e-05,34,8905
17,"Aug 03, 2017",2.7000000000000002e-05,5.5e-05,2.7000000000000002e-05,2.8000000000000003e-05,3,8635
18,"Aug 02, 2017",2.7000000000000002e-05,5.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,5,8712
19,"Aug 01, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.7000000000000002e-05,3,9132
20,"Jul 31, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8999999999999997e-05,3,8740
21,"Jul 30, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.7000000000000002e-05,3,8664
22,"Jul 29, 2017",2.8000000000000003e-05,5.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,3,8851
23,"Jul 28, 2017",5.3e-05,5.4000000000000005e-05,2.7000000000000002e-05,2.8000000000000003e-05,3,16936
24,"Jul 27, 2017",5e-05,5.4000000000000005e-05,5e-05,5.3e-05,16,16069
25,"Jul 26, 2017",7.7e-05,7.8e-05,4.9e-05,5e-05,13,24442
26,"Jul 25, 2017",8.3e-05,0.000138,7.4e-05,7.7e-05,69,26320
27,"Jul 24, 2017",5.5e-05,0.000138,5.4000000000000005e-05,8.3e-05,55,17490
28,"Jul 23, 2017",5.6999999999999996e-05,5.6999999999999996e-05,5.3e-05,5.5e-05,8,17990
29,"Jul 22, 2017",5.3e-05,8.499999999999999e-05,5.3e-05,5.6999999999999996e-05,20,16946
30,"Jul 21, 2017",5.6999999999999996e-05,8.1e-05,5.2000000000000004e-05,5.3e-05,13,17984
31,"Jul 20, 2017",4.5e-05,5.7999999999999994e-05,4.5e-05,5.6000000000000006e-05,14,14315
32,"Jul 19, 2017",4.6e-05,4.8e-05,4.5e-05,4.5e-05,9,14610
33,"Jul 18, 2017",4.4e-05,4.8e-05,4.3e-05,4.6e-05,5,14097
34,"Jul 17, 2017",3.8e-05,6.1e-05,3.8e-05,4.4e-05,18,12184
35,"Jul 16, 2017",4e-05,6.1e-05,3.7e-05,3.9e-05,21,12578
36,"Jul 15, 2017",4.4e-05,6.500000000000001e-05,4e-05,4e-05,22,14053
37,"Jul 14, 2017",4.7e-05,4.7e-05,4.3e-05,4.4e-05,9,14815
38,"Jul 13, 2017",4.8e-05,4.8e-05,4.6e-05,4.7e-05,7,15101
39,"Jul 12, 2017",4.6e-05,4.8e-05,2.2e-05,4.8e-05,7,14588
40,"Jul 11, 2017",2.3e-05,7e-05,2.3e-05,4.6e-05,9,7399
41,"Jul 10, 2017",2.5e-05,7.6e-05,2.3e-05,2.3e-05,28,7916
42,"Jul 09, 2017",2.5e-05,7.7e-05,2.5e-05,2.5e-05,3,8052
43,"Jul 08, 2017",5e-05,7.6e-05,2.5e-05,2.5e-05,163,15795
44,"Jul 07, 2017",5.2000000000000004e-05,5.2000000000000004e-05,4.9e-05,5e-05,2,16399
45,"Jul 06, 2017",5.2000000000000004e-05,5.2000000000000004e-05,5.1e-05,5.2000000000000004e-05,8,16399
46,"Jul 05, 2017",5.2000000000000004e-05,0.00013000000000000002,5e-05,5.2000000000000004e-05,8,16330
47,"Jul 04, 2017",5.1e-05,5.2000000000000004e-05,5.1e-05,5.2000000000000004e-05,8,15985
48,"Jul 03, 2017",5e-05,0.000129,4.9e-05,5.1e-05,71,15681
49,"Jul 02, 2017",0.000144,0.000146,4.8e-05,5e-05,12,45465
50,"Jul 01, 2017",4.9e-05,0.000145,4.8e-05,0.000144,12,15431
51,"Jun 30, 2017",7.6e-05,0.000124,5e-05,0.000123,10,23894
52,"Jun 29, 2017",7.7e-05,0.000128,7.5e-05,7.6e-05,10,24076
53,"Jun 28, 2017",7.6e-05,0.000101,7.4e-05,7.7e-05,5,24027
54,"Jun 27, 2017",7.3e-05,0.000167,6.9e-05,7.6e-05,84,22958
55,"Jun 26, 2017",7.6e-05,7.7e-05,7e-05,7.3e-05,10,23723
56,"Jun 25, 2017",7.7e-05,0.00010400000000000001,7.3e-05,7.6e-05,8,24159
57,"Jun 24, 2017",0.000188,0.00018999999999999998,7.6e-05,7.7e-05,13,59111
58,"Jun 23, 2017",0.0001,0.00019099999999999998,8.1e-05,0.000188,27,31356
59,"Jun 22, 2017",7.5e-05,0.000125,7.5e-05,0.0001,62,23508
60,"Jun 21, 2017",0.0001,0.0001,5e-05,7.5e-05,10,31332
61,"Jun 20, 2017",5e-05,0.0001,5e-05,0.0001,5,15663
62,"Jun 19, 2017",0.000175,0.000175,5e-05,5e-05,65,54798
63,"Jun 18, 2017",0.000125,0.000175,0.000125,0.000175,172,39131
64,"Jun 17, 2017",0.0001,0.000125,0.0001,0.000125,45,31299
65,"Jun 16, 2017",4.8e-05,0.0001,4.6e-05,0.0001,132,15115
66,"Jun 15, 2017",7.4e-05,7.5e-05,4.3e-05,4.8e-05,10,23072
67,"Jun 14, 2017",0.00010800000000000001,0.000109,4.7e-05,7.4e-05,20,33883
68,"Jun 13, 2017",7.900000000000001e-05,0.00010800000000000001,5.4000000000000005e-05,0.00010800000000000001,11,24776
69,"Jun 12, 2017",0.00011899999999999999,0.000236,7.6e-05,8e-05,42,37191
70,"Jun 11, 2017",0.00011599999999999999,0.00011899999999999999,8.8e-05,0.00011899999999999999,33,36137
71,"Jun 10, 2017",0.00011200000000000001,0.000226,0.00011200000000000001,0.00011599999999999999,12,35118
