,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.3e-05,8.9e-05,4.3e-05,8.7e-05,14580,476003
1,"Aug 24, 2017",8.3e-05,8.499999999999999e-05,4.2e-05,4.3e-05,227,911146
2,"Aug 23, 2017",4.1e-05,8.499999999999999e-05,4.1e-05,8.3e-05,11672,449317
3,"Aug 22, 2017",4e-05,8.3e-05,3.6e-05,4.1e-05,4580,439955
4,"Aug 21, 2017",8.1e-05,8.2e-05,4e-05,4e-05,96,892213
5,"Aug 20, 2017",8.3e-05,8.3e-05,4e-05,8.1e-05,36,911665
6,"Aug 19, 2017",4.1e-05,8.3e-05,4e-05,8.3e-05,23395,451788
7,"Aug 18, 2017",8.6e-05,8.6e-05,4e-05,4.1e-05,166,941244
8,"Aug 17, 2017",8.8e-05,8.9e-05,4.3e-05,8.6e-05,4827,965222
9,"Aug 16, 2017",4.2e-05,8.8e-05,3.9e-05,8.8e-05,45,456756
10,"Aug 15, 2017",4.3e-05,8.7e-05,3.9e-05,4.1e-05,132,475815
11,"Aug 14, 2017",4.1e-05,8.6e-05,4e-05,4.3e-05,515,446668
12,"Aug 13, 2017",7.7e-05,8.2e-05,3.9e-05,4.1e-05,122,850619
13,"Aug 12, 2017",7.3e-05,7.8e-05,3.6e-05,7.7e-05,1463,802807
14,"Aug 11, 2017",6.8e-05,7.4e-05,3.5e-05,7.3e-05,20049,751293
15,"Aug 10, 2017",6.7e-05,6.9e-05,3.3e-05,6.8e-05,13841,735211
16,"Aug 09, 2017",6.8e-05,6.9e-05,3.2e-05,6.7e-05,36,751871
17,"Aug 08, 2017",6.8e-05,7e-05,3.3e-05,6.8e-05,316,745928
18,"Aug 07, 2017",6.4e-05,6.8e-05,3.2e-05,6.8e-05,37,708196
19,"Aug 06, 2017",6.500000000000001e-05,6.6e-05,3.2e-05,6.500000000000001e-05,229,715882
20,"Aug 05, 2017",5.6999999999999996e-05,6.6e-05,3.1e-05,6.500000000000001e-05,12695,627798
21,"Aug 04, 2017",5.6000000000000006e-05,5.6999999999999996e-05,2.8000000000000003e-05,5.6999999999999996e-05,567,612934
22,"Aug 03, 2017",2.7000000000000002e-05,5.6000000000000006e-05,2.7000000000000002e-05,5.6000000000000006e-05,206,297338
23,"Aug 02, 2017",5.5e-05,5.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,192,600251
24,"Aug 01, 2017",2.8999999999999997e-05,5.7999999999999994e-05,2.7000000000000002e-05,5.5e-05,237,314748
25,"Jul 31, 2017",5.5e-05,5.6000000000000006e-05,2.7000000000000002e-05,2.8999999999999997e-05,110,602725
26,"Jul 30, 2017",5.4000000000000005e-05,8.1e-05,2.7000000000000002e-05,5.5e-05,26760,597696
27,"Jul 29, 2017",5.6000000000000006e-05,5.6000000000000006e-05,2.7000000000000002e-05,5.4000000000000005e-05,209,611698
28,"Jul 28, 2017",5.3e-05,5.6000000000000006e-05,2.7000000000000002e-05,5.6000000000000006e-05,182,585230
29,"Jul 27, 2017",7.6e-05,7.8e-05,5.1e-05,5.3e-05,691,832908
30,"Jul 26, 2017",5.1e-05,7.6e-05,4.9e-05,7.6e-05,3134,563070
31,"Jul 25, 2017",5.5e-05,8.3e-05,4.9e-05,5.1e-05,2218,606582
32,"Jul 24, 2017",8.3e-05,0.000138,2.8000000000000003e-05,5.5e-05,25962,907372
33,"Jul 23, 2017",0.000113,0.00014199999999999998,2.8000000000000003e-05,8.3e-05,33809,1244990
34,"Jul 22, 2017",0.00016,0.000173,8.4e-05,0.000113,2913,1759810
35,"Jul 21, 2017",0.000227,0.000227,0.000106,0.00016,16383,2491260
36,"Jul 20, 2017",0.000135,0.00023199999999999997,0.00011599999999999999,0.000225,8088,1487940
