,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000155,0.000177,9e-05,0.000174,298072,6283010
1,"Aug 24, 2017",0.000113,0.000155,7.2e-05,0.000155,288599,4583740
2,"Aug 23, 2017",8.2e-05,0.000153,5.4000000000000005e-05,0.000113,225661,3332740
3,"Aug 22, 2017",6.6e-05,8.2e-05,4.5e-05,8.2e-05,24411,2696400
4,"Aug 21, 2017",8e-05,8.1e-05,4.3e-05,6.6e-05,29530,3271120
5,"Aug 20, 2017",5.6000000000000006e-05,8.2e-05,4.5e-05,8.1e-05,22968,2288620
6,"Aug 19, 2017",8.2e-05,8.4e-05,4.5e-05,7.7e-05,20215,3342480
7,"Aug 18, 2017",4.4e-05,8.499999999999999e-05,4.4e-05,8.2e-05,34069,1788150
8,"Aug 17, 2017",7.2e-05,8.9e-05,4.3e-05,6.8e-05,47745,2945260
9,"Aug 16, 2017",8e-05,8.6e-05,4.1e-05,7.2e-05,21915,3246490
10,"Aug 15, 2017",4.5e-05,8.7e-05,4.1e-05,8e-05,44175,1837860
11,"Aug 14, 2017",4.1e-05,8.499999999999999e-05,4.1e-05,4.5e-05,31115,1657600
12,"Aug 13, 2017",7.8e-05,8.3e-05,4e-05,4.1e-05,43858,3169940
13,"Aug 12, 2017",5.6999999999999996e-05,7.8e-05,3.9e-05,7.8e-05,16823,2333330
14,"Aug 11, 2017",3.5e-05,6.9e-05,3.4e-05,5.7999999999999994e-05,45915,1419110
15,"Aug 10, 2017",3.4e-05,6.7e-05,3.3e-05,3.5e-05,43831,1369980
16,"Aug 09, 2017",3.5e-05,4.9e-05,3.3e-05,3.4e-05,38296,1433390
17,"Aug 08, 2017",3.4e-05,4.9e-05,3.4e-05,3.5e-05,11755,1385950
18,"Aug 07, 2017",5.6999999999999996e-05,5.6999999999999996e-05,3.2e-05,3.4e-05,10811,2327040
19,"Aug 06, 2017",3.2e-05,5.9e-05,3.1e-05,5.6999999999999996e-05,4075,1314810
20,"Aug 05, 2017",2.8999999999999997e-05,5e-05,2.8999999999999997e-05,3.2e-05,2328,1174600
21,"Aug 04, 2017",2.8000000000000003e-05,5.4000000000000005e-05,2.8000000000000003e-05,2.8000000000000003e-05,4880,1128660
22,"Aug 03, 2017",2.7000000000000002e-05,5.4000000000000005e-05,2.7000000000000002e-05,2.8000000000000003e-05,8608,1091290
23,"Aug 02, 2017",2.5e-05,2.7000000000000002e-05,2.2e-05,2.7000000000000002e-05,9045,1027460
24,"Aug 01, 2017",2.8000000000000003e-05,4e-05,2.4e-05,2.5e-05,3152,1126260
25,"Jul 31, 2017",4.4e-05,4.7e-05,2.7000000000000002e-05,2.7000000000000002e-05,3584,1795650
26,"Jul 30, 2017",4.5e-05,4.6e-05,2.6000000000000002e-05,4.4e-05,4223,1824410
27,"Jul 29, 2017",3.6e-05,4.6e-05,2.8000000000000003e-05,4.5e-05,8833,1468250
28,"Jul 28, 2017",2.8999999999999997e-05,5.4000000000000005e-05,2.8000000000000003e-05,3.7e-05,7419,1179850
29,"Jul 27, 2017",3.3e-05,4.1e-05,2.5e-05,2.8000000000000003e-05,4060,1324620
30,"Jul 26, 2017",2.5e-05,3.9e-05,2.4e-05,3.2e-05,3423,1002870
31,"Jul 25, 2017",2.8000000000000003e-05,4.7e-05,2.3e-05,2.5e-05,3784,1121120
32,"Jul 24, 2017",3.7e-05,4.8e-05,2.7000000000000002e-05,2.8000000000000003e-05,2664,1492130
33,"Jul 23, 2017",2.8000000000000003e-05,4.8e-05,2.8000000000000003e-05,3.7e-05,2934,1154310
34,"Jul 22, 2017",2.7000000000000002e-05,4.9e-05,2.7000000000000002e-05,4.8e-05,2623,1096200
35,"Jul 21, 2017",2.8000000000000003e-05,3.9e-05,2.6000000000000002e-05,2.7000000000000002e-05,3683,1132760
36,"Jul 20, 2017",3.1e-05,4.8e-05,2.3e-05,2.8000000000000003e-05,5928,1273750
37,"Jul 19, 2017",2.3e-05,3.4e-05,2.2e-05,2.3e-05,4934,944182
38,"Jul 18, 2017",2.3e-05,3.3e-05,2.1e-05,2.3e-05,5211,928772
39,"Jul 17, 2017",1.9e-05,3.4e-05,1.9e-05,2.3e-05,7795,767118
40,"Jul 16, 2017",3.2e-05,3.3e-05,1.8e-05,1.9e-05,6234,1310960
41,"Jul 15, 2017",2.2e-05,3.2e-05,2e-05,3.2e-05,38089,901967
42,"Jul 14, 2017",2.3e-05,4.2e-05,2.2e-05,2.2e-05,12267,951576
43,"Jul 13, 2017",4.5e-05,4.6e-05,2.3e-05,2.3e-05,20231,1815140
44,"Jul 12, 2017",2.7000000000000002e-05,4.5e-05,2.6000000000000002e-05,4.5e-05,3514,1091580
45,"Jul 11, 2017",2.8000000000000003e-05,4.3e-05,2.5e-05,2.7000000000000002e-05,6751,1157200
46,"Jul 10, 2017",2.8999999999999997e-05,3.8e-05,2.7000000000000002e-05,3.4e-05,6727,1197130
47,"Jul 09, 2017",2.6000000000000002e-05,4.8e-05,2.6000000000000002e-05,2.8999999999999997e-05,6950,1065980
48,"Jul 08, 2017",2.7000000000000002e-05,4.3e-05,2.5e-05,2.6000000000000002e-05,35329,1079390
49,"Jul 07, 2017",2.8000000000000003e-05,4.7e-05,2.5e-05,2.7000000000000002e-05,73306,1121300
50,"Jul 06, 2017",3.3e-05,4.9e-05,2.7000000000000002e-05,4.5e-05,15301,1352550
51,"Jul 05, 2017",4.1e-05,4.1e-05,2.6000000000000002e-05,3.3e-05,20727,1653060
52,"Jul 04, 2017",3.9e-05,5e-05,2.7000000000000002e-05,4.1e-05,6827,1584060
53,"Jul 03, 2017",4.8e-05,4.9e-05,2.6000000000000002e-05,3.9e-05,11272,1955470
54,"Jul 02, 2017",2.8999999999999997e-05,4.9e-05,2.4e-05,4.2e-05,55084,1168730
55,"Jul 01, 2017",4.6e-05,5e-05,2.5e-05,3.8e-05,13317,1862790
56,"Jun 30, 2017",3.8e-05,5e-05,2.5e-05,4.6e-05,20044,1550710
57,"Jun 29, 2017",3.5e-05,5.2000000000000004e-05,2.6000000000000002e-05,3.8e-05,13314,1439170
58,"Jun 28, 2017",3.9e-05,5.1e-05,2.8000000000000003e-05,3.6e-05,25594,1583210
59,"Jun 27, 2017",3.5e-05,4.5e-05,3.1e-05,3.9e-05,8259,1426620
60,"Jun 26, 2017",3.3e-05,5.7999999999999994e-05,2.8000000000000003e-05,3.5e-05,24101,1352190
61,"Jun 25, 2017",3.6e-05,5.1e-05,2.6000000000000002e-05,3.3e-05,24120,1450500
62,"Jun 24, 2017",2.9999999999999997e-05,5.6000000000000006e-05,2.7000000000000002e-05,3.6e-05,59624,1225320
63,"Jun 23, 2017",6.1e-05,6.8e-05,2.8999999999999997e-05,4.6e-05,45465,2495090
64,"Jun 22, 2017",5e-05,6.2e-05,3.2e-05,6.1e-05,82934,2046540
65,"Jun 21, 2017",2.8000000000000003e-05,5.4000000000000005e-05,2.5e-05,3.2e-05,48878,1125860
66,"Jun 20, 2017",0.00037999999999999997,0.000395,2.6000000000000002e-05,2.8000000000000003e-05,6563,15435400
