,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.73,1.85,1.72,1.8,14114,1907210
1,"Aug 24, 2017",1.64,1.82,1.62,1.74,19829,1800330
2,"Aug 23, 2017",1.58,1.88,1.58,1.63,22406,1743000
3,"Aug 22, 2017",1.52,1.6,1.44,1.59,24537,1677360
4,"Aug 21, 2017",1.54,1.56,1.51,1.52,17009,1696850
5,"Aug 20, 2017",1.56,1.58,1.53,1.55,12622,1719810
6,"Aug 19, 2017",1.55,1.57,1.49,1.57,15393,1704570
7,"Aug 18, 2017",1.6,1.72,1.49,1.55,14904,1764030
8,"Aug 17, 2017",1.62,1.74,1.55,1.6,32610,1786760
9,"Aug 16, 2017",1.58,1.72,1.44,1.62,51095,1744110
10,"Aug 15, 2017",1.64,1.75,1.47,1.58,19083,1805350
11,"Aug 14, 2017",1.78,1.93,1.63,1.64,44697,1960720
12,"Aug 13, 2017",1.88,2.03,1.7,1.78,29127,2070220
13,"Aug 12, 2017",1.52,1.99,1.48,1.88,61714,1674940
14,"Aug 11, 2017",1.51,1.52,1.4,1.52,18032,1661010
15,"Aug 10, 2017",1.36,1.62,1.35,1.51,17707,1502300
16,"Aug 09, 2017",1.46,1.55,1.33,1.36,18294,1611130
17,"Aug 08, 2017",1.72,1.75,1.43,1.46,32353,1896400
18,"Aug 07, 2017",1.73,1.82,1.65,1.72,33809,1903850
19,"Aug 06, 2017",1.73,1.95,1.63,1.73,17610,1902700
20,"Aug 05, 2017",1.56,1.95,1.5,1.73,44536,1719820
21,"Aug 04, 2017",1.39,1.59,1.39,1.57,31398,1533110
22,"Aug 03, 2017",1.25,1.5,1.25,1.39,17447,1375050
23,"Aug 02, 2017",1.13,1.37,1.1,1.25,21234,1248010
24,"Aug 01, 2017",1.28,1.39,0.9891700000000001,1.13,17814,1406110
25,"Jul 31, 2017",1.25,1.32,1.01,1.27,16097,1378410
26,"Jul 30, 2017",1.12,1.35,1.1,1.25,21096,1236260
27,"Jul 29, 2017",1.4,1.45,1.0,1.12,28991,1546590
28,"Jul 28, 2017",1.52,1.8,1.4,1.41,21654,1669150
29,"Jul 27, 2017",1.52,1.55,1.4,1.51,11965,1668740
30,"Jul 26, 2017",1.58,1.64,1.27,1.47,8503,1740120
31,"Jul 25, 2017",1.93,1.96,1.38,1.6,52305,2120480
32,"Jul 24, 2017",1.98,2.19,1.89,1.93,27007,2179560
33,"Jul 23, 2017",2.08,2.56,1.74,1.98,128416,2285400
34,"Jul 22, 2017",1.67,2.44,1.64,1.88,178250,1840990
35,"Jul 21, 2017",1.82,1.91,1.64,1.67,10597,2007790
36,"Jul 20, 2017",1.42,1.97,1.42,1.91,27327,1562490
37,"Jul 19, 2017",1.42,1.7,1.33,1.42,20861,1565260
38,"Jul 18, 2017",1.52,1.72,1.38,1.42,24864,1668070
39,"Jul 17, 2017",1.34,1.7,1.16,1.51,12080,1480210
40,"Jul 16, 2017",1.49,1.68,1.01,1.35,65784,1642300
41,"Jul 15, 2017",1.79,1.86,1.5,1.5,25429,1973520
42,"Jul 14, 2017",2.02,2.06,1.76,1.8,31483,2221920
43,"Jul 13, 2017",2.29,2.39,2.0,2.02,31595,2520870
44,"Jul 12, 2017",1.87,2.4,1.82,2.29,28331,2056840
45,"Jul 11, 2017",2.47,2.47,1.86,1.88,68008,2718390
46,"Jul 10, 2017",2.76,3.0,2.3,2.47,66498,3033870
47,"Jul 09, 2017",2.68,3.06,2.66,2.75,33214,2948800
48,"Jul 08, 2017",2.63,2.94,2.61,2.68,21158,2899910
49,"Jul 07, 2017",3.14,3.36,2.61,2.63,64841,3460550
50,"Jul 06, 2017",2.73,3.36,2.7,3.14,85164,3007640
51,"Jul 05, 2017",2.85,3.25,2.72,2.73,51149,3141960
52,"Jul 04, 2017",2.33,3.03,2.33,2.85,116598,2563470
53,"Jul 03, 2017",2.25,2.48,2.22,2.33,110282,2482280
54,"Jul 02, 2017",2.06,2.49,2.03,2.36,110889,2269200
55,"Jul 01, 2017",2.33,2.34,2.04,2.06,49397,2559770
56,"Jun 30, 2017",2.43,2.54,2.32,2.33,148141,2671160
57,"Jun 29, 2017",2.43,2.68,2.26,2.42,140385,2671760
58,"Jun 28, 2017",2.24,2.56,2.11,2.43,109810,2464320
59,"Jun 27, 2017",2.46,2.46,1.98,2.22,80602,2711200
60,"Jun 26, 2017",2.12,2.63,1.99,2.27,93165,2336630
61,"Jun 25, 2017",2.11,2.52,2.07,2.12,53582,2327650
62,"Jun 24, 2017",2.58,3.08,2.09,2.12,59016,2843550
63,"Jun 23, 2017",2.78,3.04,2.55,2.58,49525,3055830
64,"Jun 22, 2017",2.8,3.1,2.52,2.78,49837,3082870
65,"Jun 21, 2017",3.12,3.27,2.75,2.8,91108,3437950
66,"Jun 20, 2017",3.52,3.87,3.12,3.27,109218,3877500
67,"Jun 19, 2017",2.94,3.87,2.75,3.52,121300,3239270
68,"Jun 18, 2017",3.15,3.75,2.45,2.94,112773,3473210
69,"Jun 17, 2017",2.12,4.17,2.12,3.15,260137,2339110
70,"Jun 16, 2017",1.09,3.47,1.04,2.12,508921,1196280
71,"Jun 15, 2017",1.19,1.29,0.8423639999999999,1.09,43965,1307020
72,"Jun 14, 2017",1.28,1.51,1.14,1.19,101595,1410800
73,"Jun 13, 2017",1.27,1.46,1.2,1.33,35974,1402960
74,"Jun 12, 2017",1.42,1.67,1.13,1.28,53153,1561830
75,"Jun 11, 2017",1.1,1.71,1.08,1.42,89555,1215940
76,"Jun 10, 2017",1.01,1.23,0.906909,1.1,46499,1107890
77,"Jun 09, 2017",0.9806729999999999,1.1,0.8249049999999999,1.0,49018,1079610
78,"Jun 08, 2017",0.807218,1.08,0.669743,0.9821139999999999,64372,888656
79,"Jun 07, 2017",0.739938,0.9150020000000001,0.688958,0.803181,77213,814588
80,"Jun 06, 2017",0.877582,0.920431,0.691357,0.73975,83377,966119
81,"Jun 05, 2017",0.779654,0.9714,0.699986,0.8758450000000001,111265,858311
82,"Jun 04, 2017",0.8229219999999999,0.9317409999999999,0.764946,0.7798149999999999,76165,905945
83,"Jun 03, 2017",0.771872,0.92769,0.686669,0.8251299999999999,48218,849744
84,"Jun 02, 2017",0.708867,0.9031440000000001,0.6463810000000001,0.771748,45439,780383
85,"Jun 01, 2017",0.518946,0.8341879999999999,0.518946,0.705597,240593,571301
86,"May 31, 2017",0.558265,0.673124,0.451481,0.5184850000000001,141715,614587
87,"May 30, 2017",0.571279,0.667718,0.5501560000000001,0.556106,35305,628914
88,"May 29, 2017",0.6511560000000001,0.745524,0.449629,0.569138,28132,716850
89,"May 28, 2017",0.38347600000000004,0.83725,0.341935,0.652408,86135,422164
90,"May 27, 2017",0.46057299999999995,0.5049100000000001,0.359545,0.382314,31035,507039
91,"May 26, 2017",0.45623500000000006,0.725855,0.42031199999999996,0.45925200000000005,60706,502263
92,"May 25, 2017",0.647446,0.675005,0.250286,0.459581,104722,712765
93,"May 24, 2017",0.539938,0.7513569999999999,0.515397,0.647325,109409,594411
94,"May 23, 2017",0.783265,0.792078,0.45370900000000003,0.538291,24327,862287
95,"May 22, 2017",0.696607,1.37,0.44733599999999996,0.784046,88194,766886
96,"May 21, 2017",0.354586,1.14,0.354586,0.69417,165545,390359
97,"May 20, 2017",0.29031399999999996,0.387716,0.289686,0.356057,46973,319603
98,"May 19, 2017",0.27179899999999996,0.366518,0.259712,0.290806,44369,299220
99,"May 18, 2017",0.255415,0.30126,0.252116,0.271642,46885,281183
100,"May 17, 2017",0.24480900000000003,0.267303,0.226802,0.25502600000000003,42636,269507
101,"May 16, 2017",0.22973600000000002,0.275958,0.219498,0.245934,20378,252913
102,"May 15, 2017",0.286069,0.302332,0.198664,0.229627,22636,314930
103,"May 14, 2017",0.224165,0.302404,0.141967,0.2859,30605,246780
104,"May 13, 2017",0.155077,0.35036,0.148677,0.2249,43496,170722
105,"May 12, 2017",0.191875,0.200399,0.151454,0.155091,13335,211233
106,"May 11, 2017",0.22167399999999998,0.292491,0.189547,0.191618,21408,244038
107,"May 10, 2017",0.23969200000000002,0.27069,0.21788400000000002,0.22127800000000003,11198,263874
108,"May 09, 2017",0.20772,0.281798,0.206895,0.239535,16821,228676
109,"May 08, 2017",0.198221,0.256862,0.191564,0.227875,22305,218219
110,"May 07, 2017",0.192353,0.203873,0.179096,0.198195,7265,211759
111,"May 06, 2017",0.158499,0.235502,0.157551,0.192113,20931,174490
112,"May 05, 2017",0.15726400000000001,0.175893,0.156085,0.159807,9080,173130
113,"May 04, 2017",0.14191700000000002,0.207302,0.140794,0.156937,14667,156235
114,"May 03, 2017",0.09449600000000001,0.09591000000000001,0.094087,0.09591000000000001,1,104029
115,"May 02, 2017",0.139062,0.144236,0.093176,0.094433,1,153092
116,"May 01, 2017",0.130107,0.15282300000000001,0.130021,0.13911800000000002,16537,143233
117,"Apr 30, 2017",0.114765,0.14014300000000002,0.113848,0.129192,4909,126343
118,"Apr 29, 2017",0.12309500000000001,0.13356700000000002,0.113079,0.114996,10731,135514
119,"Apr 28, 2017",0.134391,0.136027,0.121599,0.12291500000000001,4951,147949
120,"Apr 27, 2017",0.154749,0.154784,0.128102,0.133574,6629,170361
121,"Apr 26, 2017",0.127422,0.162982,0.12443699999999999,0.153461,6052,140277
122,"Apr 25, 2017",0.126858,0.164398,0.113319,0.127372,7747,139656
123,"Apr 24, 2017",0.11135899999999999,0.150044,0.10586500000000001,0.137804,9788,109666
124,"Apr 23, 2017",0.121504,0.134506,0.10559400000000001,0.111015,5175,119657
125,"Apr 22, 2017",0.09601900000000001,0.12258499999999999,0.095391,0.121484,7269,94560
126,"Apr 21, 2017",0.09134500000000001,0.111953,0.09134500000000001,0.095968,3773,89956
127,"Apr 20, 2017",0.100156,0.108957,0.087131,0.09132,2522,98634
128,"Apr 19, 2017",0.098183,0.11898099999999999,0.098146,0.100091,5285,96690
129,"Apr 18, 2017",0.12296199999999999,0.130045,0.091261,0.09814500000000001,5040,121093
130,"Apr 17, 2017",0.128678,0.131615,0.100174,0.122977,4816,126722
131,"Apr 16, 2017",0.1089,0.130564,0.082361,0.128645,8332,107245
132,"Apr 15, 2017",0.092474,0.125702,0.092474,0.110018,2846,91068
133,"Apr 14, 2017",0.073005,0.11482,0.07299299999999999,0.092399,3155,71896
134,"Apr 13, 2017",0.067192,0.10405,0.066876,0.07293999999999999,2090,66171
135,"Apr 12, 2017",0.116879,0.121323,0.066874,0.06715499999999999,3380,115102
136,"Apr 11, 2017",0.13334000000000001,0.143004,0.116657,0.11800699999999999,3873,131313
137,"Apr 10, 2017",0.11978699999999999,0.158721,0.114248,0.133303,6867,117966
138,"Apr 09, 2017",0.102844,0.134325,0.10109299999999999,0.12007000000000001,20858,101281
139,"Apr 08, 2017",0.11011900000000001,0.118788,0.094515,0.103495,19156,108155
140,"Apr 07, 2017",0.12200899999999999,0.157878,0.084103,0.110518,16251,118951
141,"Apr 06, 2017",0.114607,0.154598,0.110601,0.120196,24935,110920
142,"Apr 05, 2017",0.119652,0.11984000000000002,0.107249,0.11024,17794,110774
143,"Apr 04, 2017",0.114632,0.138236,0.114632,0.119207,16310,106126
144,"Apr 03, 2017",0.129674,0.14615,0.112598,0.114461,23958,120052
145,"Apr 02, 2017",0.130235,0.153008,0.110296,0.129582,22216,120572
146,"Apr 01, 2017",0.098587,0.170782,0.067285,0.130222,30237,91272
147,"Mar 31, 2017",0.05455700000000001,0.098204,0.052506,0.07824099999999999,5767,50445
148,"Mar 30, 2017",0.07556,0.085755,0.041503,0.054546000000000004,7106,-
149,"Mar 29, 2017",0.092836,0.11399000000000001,0.06874,0.08493400000000001,10319,-
150,"Mar 28, 2017",0.084314,0.121947,0.083111,0.108891,11594,-
151,"Mar 27, 2017",0.062571,0.097536,0.06245,0.089962,9729,-
152,"Mar 26, 2017",0.05296699999999999,0.08466900000000001,0.046494,0.062228,8636,-
153,"Mar 25, 2017",0.053224,0.056541999999999995,0.041621,0.049456,6191,-
154,"Mar 24, 2017",0.05494400000000001,0.05614500000000001,0.037670999999999996,0.05327899999999999,6996,-
155,"Mar 23, 2017",0.057763,0.058188,0.038479,0.054952,6048,-
156,"Mar 22, 2017",0.063182,0.071771,0.053988999999999995,0.057713,4636,-
157,"Mar 21, 2017",0.048219,0.072413,0.047728,0.063176,7828,-
