,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000173,0.000175,0.00013000000000000002,0.000175,179,18357
1,"Aug 24, 2017",0.000166,0.000175,0.000124,0.000173,48,17569
2,"Aug 23, 2017",8.2e-05,0.000167,8.1e-05,0.000166,176,8664
3,"Aug 22, 2017",0.00011999999999999999,0.00011999999999999999,7.8e-05,8.2e-05,1,12725
4,"Aug 21, 2017",0.000121,0.000122,8e-05,0.00011999999999999999,76,12873
5,"Aug 20, 2017",0.000124,0.000124,0.000121,0.000123,0,13185
6,"Aug 19, 2017",8.2e-05,0.000125,7.900000000000001e-05,0.000125,0,8712
7,"Aug 18, 2017",0.000128,0.000129,8e-05,8.2e-05,34,13612
8,"Aug 17, 2017",8.8e-05,0.000131,8.499999999999999e-05,0.000129,39,9306
9,"Aug 16, 2017",0.000125,0.000126,7.900000000000001e-05,8.8e-05,1,13211
10,"Aug 15, 2017",0.00013000000000000002,0.000133,7.7e-05,0.000124,10,13763
11,"Aug 14, 2017",0.000122,0.00013000000000000002,0.00011899999999999999,0.000129,3,12919
12,"Aug 13, 2017",0.00011599999999999999,0.000126,0.00011599999999999999,0.000122,10,12302
13,"Aug 12, 2017",7.4e-05,0.000117,7.4e-05,0.00011599999999999999,30,7843
14,"Aug 11, 2017",6.8e-05,7.099999999999999e-05,6.8e-05,7.099999999999999e-05,2,7243
15,"Aug 10, 2017",0.0001,0.000103,6.8e-05,6.8e-05,5,10633
16,"Aug 09, 2017",0.000103,0.000103,9.7e-05,0.0001,3,10874
17,"Aug 08, 2017",0.000102,0.00010400000000000001,6.7e-05,0.000103,14,10788
18,"Aug 07, 2017",0.000101,0.000102,0.0001,0.000102,10,10751
19,"Aug 06, 2017",6.500000000000001e-05,6.6e-05,6.3e-05,6.6e-05,2,6902
20,"Aug 05, 2017",8.6e-05,0.0001,6.4e-05,6.500000000000001e-05,2,9079
21,"Aug 04, 2017",8.4e-05,8.6e-05,8.3e-05,8.6e-05,5,8866
22,"Aug 03, 2017",0.00010800000000000001,0.00011,5.6000000000000006e-05,8.4e-05,178,11467
23,"Aug 02, 2017",0.00010800000000000001,0.000109,0.000106,0.00010800000000000001,3,11428
24,"Aug 01, 2017",8.6e-05,8.7e-05,8.499999999999999e-05,8.6e-05,1,9104
25,"Jul 31, 2017",8.2e-05,8.6e-05,8.1e-05,8.6e-05,1,8696
