,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.34,1.4,1.29,1.33,330614,135023000
1,"Aug 24, 2017",1.26,1.4,1.22,1.34,600955,127444000
2,"Aug 23, 2017",1.26,1.35,1.23,1.26,467445,126826000
3,"Aug 22, 2017",1.3,1.32,1.15,1.28,246946,131247000
4,"Aug 21, 2017",1.35,1.39,1.22,1.3,364857,136350000
5,"Aug 20, 2017",1.31,1.41,1.24,1.3,317971,131737000
6,"Aug 19, 2017",1.31,1.31,1.17,1.31,374112,131952000
7,"Aug 18, 2017",1.45,1.45,1.23,1.3,500094,146679000
8,"Aug 17, 2017",1.33,1.69,1.27,1.45,1234000,134381000
9,"Aug 16, 2017",1.28,1.35,1.16,1.33,736582,128982000
10,"Aug 15, 2017",1.36,1.36,1.14,1.27,645644,136993000
11,"Aug 14, 2017",1.48,1.55,1.24,1.35,791081,149227000
12,"Aug 13, 2017",1.87,2.0,1.34,1.5,1847460,188447000
13,"Aug 12, 2017",1.15,2.14,1.13,1.89,6092880,116171000
14,"Aug 11, 2017",1.06,1.17,1.02,1.15,394974,107140000
15,"Aug 10, 2017",1.12,1.13,1.02,1.05,422520,113033000
16,"Aug 09, 2017",1.05,1.15,0.987952,1.12,321812,105694000
17,"Aug 08, 2017",1.05,1.11,0.980511,1.05,247999,106265000
18,"Aug 07, 2017",1.05,1.1,1.02,1.05,376902,106338000
19,"Aug 06, 2017",1.07,1.12,1.03,1.06,219307,108504000
20,"Aug 05, 2017",0.9838370000000001,1.1,0.969255,1.07,411806,99313900
21,"Aug 04, 2017",0.976347,1.0,0.9379790000000001,0.984273,324965,98557800
22,"Aug 03, 2017",0.930911,1.02,0.923035,0.976591,235996,93971300
23,"Aug 02, 2017",0.954936,1.02,0.9061739999999999,0.92925,324973,96396500
24,"Aug 01, 2017",0.896676,1.05,0.8191689999999999,0.95539,312802,90515400
25,"Jul 31, 2017",0.9047229999999999,0.9507979999999999,0.866617,0.901882,144439,91327800
26,"Jul 30, 2017",0.952275,0.9909549999999999,0.9004270000000001,0.9037879999999999,185426,96127900
27,"Jul 29, 2017",0.9732459999999999,1.05,0.8650040000000001,0.953959,262087,98244800
28,"Jul 28, 2017",0.9057700000000001,1.12,0.826716,0.977141,505392,91433400
29,"Jul 27, 2017",0.937118,0.9828129999999999,0.8954280000000001,0.9128959999999999,135509,94597900
