,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",2.12,2.44,1.88,1.9,828208,4173270
1,"Aug 24, 2017",1.35,3.03,1.35,2.21,3515280,2669000
2,"Aug 23, 2017",1.41,1.52,1.32,1.38,78156,2776480
3,"Aug 22, 2017",1.38,1.45,1.3,1.41,49548,2718480
4,"Aug 21, 2017",1.4,1.75,1.35,1.37,210992,2769850
5,"Aug 20, 2017",1.66,1.66,1.37,1.41,146915,3269490
6,"Aug 19, 2017",2.05,2.05,1.35,1.67,722684,4033920
7,"Aug 18, 2017",1.18,2.63,1.13,2.14,2041660,2322220
8,"Aug 17, 2017",1.32,1.37,1.06,1.18,70969,2597010
9,"Aug 16, 2017",1.28,1.34,1.19,1.32,31229,2518800
10,"Aug 15, 2017",1.32,1.38,1.19,1.25,52313,2603000
11,"Aug 14, 2017",1.22,1.62,1.2,1.32,153702,2408110
12,"Aug 13, 2017",1.21,1.3,1.16,1.22,53122,2381690
13,"Aug 12, 2017",1.15,1.27,1.13,1.21,44628,2266510
14,"Aug 11, 2017",1.08,1.27,1.02,1.15,78345,2132350
15,"Aug 10, 2017",1.29,1.32,1.09,1.09,102049,2533010
16,"Aug 09, 2017",1.42,1.62,1.26,1.28,554485,2791880
17,"Aug 08, 2017",1.03,1.86,1.01,1.51,550723,2022020
18,"Aug 07, 2017",1.03,1.12,1.01,1.03,36910,2032250
19,"Aug 06, 2017",1.12,1.14,1.03,1.03,23803,2208260
20,"Aug 05, 2017",0.989941,1.25,0.941185,1.12,49260,1948770
21,"Aug 04, 2017",0.9648030000000001,1.02,0.933444,1.02,15601,1899260
22,"Aug 03, 2017",0.962618,1.05,0.897999,0.969115,29526,1894910
23,"Aug 02, 2017",0.938752,0.9818389999999999,0.8445879999999999,0.960901,40738,1847850
24,"Aug 01, 2017",0.943616,0.98211,0.811973,0.9389299999999999,27745,1857380
25,"Jul 31, 2017",1.03,1.04,0.8370719999999999,0.94316,15995,2030280
26,"Jul 30, 2017",0.9862559999999999,1.07,0.922026,1.03,14297,1941180
27,"Jul 29, 2017",0.981382,1.01,0.944058,0.9863959999999999,7552,1931530
28,"Jul 28, 2017",1.07,1.09,0.9608469999999999,0.985117,14093,2104310
29,"Jul 27, 2017",0.972052,1.07,0.939019,1.07,7949,1912480
30,"Jul 26, 2017",0.9985290000000001,1.03,0.8629629999999999,0.960766,13563,1964010
31,"Jul 25, 2017",1.19,1.27,0.943341,0.9980760000000001,33793,2332770
32,"Jul 24, 2017",1.36,1.4,1.1,1.19,71107,2677850
33,"Jul 23, 2017",1.61,1.65,1.27,1.37,104779,3168800
34,"Jul 22, 2017",1.17,1.91,1.17,1.61,581049,2307690
35,"Jul 21, 2017",1.07,1.5,0.909436,1.17,218879,2104950
36,"Jul 20, 2017",0.834385,1.22,0.79114,1.05,62808,1640620
37,"Jul 19, 2017",0.826533,0.936991,0.773139,0.8369,29807,1625140
38,"Jul 18, 2017",0.811104,0.8585290000000001,0.7242569999999999,0.8252200000000001,54127,1594790
39,"Jul 17, 2017",0.692348,0.8288760000000001,0.688368,0.809016,28523,1361290
40,"Jul 16, 2017",0.740484,0.775578,0.670568,0.693116,12171,1455930
41,"Jul 15, 2017",0.898975,0.9139290000000001,0.7427159999999999,0.7427159999999999,28291,1767550
42,"Jul 14, 2017",1.03,1.03,0.8064279999999999,0.8880959999999999,16425,2024580
43,"Jul 13, 2017",1.05,1.12,0.9304870000000001,1.03,18401,2064360
44,"Jul 12, 2017",0.848716,1.15,0.826889,1.05,21373,1668640
45,"Jul 11, 2017",0.9370959999999999,1.01,0.847724,0.8529530000000001,28293,1842360
46,"Jul 10, 2017",1.23,1.24,0.913267,0.9390959999999999,29618,2427140
47,"Jul 09, 2017",1.27,1.28,1.09,1.17,74636,2505850
48,"Jul 08, 2017",1.28,1.3,1.15,1.27,28176,2508460
49,"Jul 07, 2017",1.37,1.59,1.22,1.27,124958,2697130
