,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",50.17,52.13,49.84,51.18,157619000,2639490000
1,"Aug 24, 2017",52.82,53.28,50.19,50.19,391342000,2778190000
2,"Aug 23, 2017",46.71,54.78,46.48,53.25,447188000,2456090000
3,"Aug 22, 2017",47.9,47.9,45.48,46.73,163104000,2517440000
4,"Aug 21, 2017",46.19,48.75,45.62,47.94,207172000,2427130000
5,"Aug 20, 2017",45.38,47.55,44.75,46.23,138850000,2383680000
6,"Aug 19, 2017",47.05,47.08,43.78,45.48,155404000,2471190000
7,"Aug 18, 2017",43.9,47.86,43.59,47.28,293350000,2304770000
8,"Aug 17, 2017",44.18,44.83,43.78,43.91,104020000,2318000000
9,"Aug 16, 2017",43.37,45.06,42.57,44.15,120765000,2275660000
10,"Aug 15, 2017",45.81,45.84,42.29,43.31,206081000,2403520000
11,"Aug 14, 2017",45.83,46.51,45.43,45.8,114402000,2403870000
12,"Aug 13, 2017",46.57,48.07,44.33,45.81,242565000,2441760000
13,"Aug 12, 2017",47.05,47.62,46.29,46.43,142065000,2466360000
14,"Aug 11, 2017",46.4,47.33,46.4,47.1,137644000,2431830000
15,"Aug 10, 2017",48.05,48.51,46.5,46.5,121661000,2517300000
16,"Aug 09, 2017",48.59,50.23,47.16,48.01,253103000,2544750000
17,"Aug 08, 2017",45.9,49.37,45.79,48.63,205565000,2403230000
18,"Aug 07, 2017",45.17,46.48,45.12,45.8,106560000,2364540000
19,"Aug 06, 2017",46.84,47.3,45.1,45.1,147891000,2451490000
20,"Aug 05, 2017",43.49,46.92,43.48,46.86,248320000,2275090000
21,"Aug 04, 2017",42.89,43.71,42.82,43.45,114810000,2243440000
22,"Aug 03, 2017",42.19,43.17,42.13,42.86,95497600,2206190000
23,"Aug 02, 2017",43.07,43.21,42.07,42.13,103557000,2251650000
24,"Aug 01, 2017",43.02,43.77,41.09,43.04,203656000,2248110000
25,"Jul 31, 2017",40.34,44.03,38.95,43.02,240821000,2107540000
26,"Jul 30, 2017",41.18,41.82,40.06,40.42,75746700,2150970000
27,"Jul 29, 2017",40.56,41.34,38.74,41.12,109945000,2117650000
