,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000303,0.000349,0.000258,0.000349,1046,331076
1,"Aug 24, 2017",0.000295,0.000331,0.000292,0.000303,180,322602
2,"Aug 23, 2017",0.00028700000000000004,0.000327,0.000245,0.000295,308,313252
3,"Aug 22, 2017",0.00028,0.00034500000000000004,0.000256,0.00028700000000000004,322,306105
4,"Aug 21, 2017",0.00028399999999999996,0.000362,0.000278,0.00028,277,310285
5,"Aug 20, 2017",0.00029,0.000328,0.000283,0.000285,437,317047
6,"Aug 19, 2017",0.00032900000000000003,0.000335,0.000278,0.000292,651,359120
7,"Aug 18, 2017",0.000342,0.000386,0.00024300000000000002,0.00032900000000000003,4487,374016
8,"Aug 17, 2017",0.00035099999999999997,0.000401,0.000335,0.000343,292,383867
9,"Aug 16, 2017",0.000293,0.000434,0.00028,0.000352,283,319658
10,"Aug 15, 2017",0.000305,0.000425,0.000281,0.000292,803,333152
11,"Aug 14, 2017",0.000325,0.00034500000000000004,0.00026000000000000003,0.000304,766,354966
12,"Aug 13, 2017",0.000349,0.00041600000000000003,0.000309,0.000325,612,381443
13,"Aug 12, 2017",0.000327,0.000388,0.000324,0.000349,294,357428
14,"Aug 11, 2017",0.000307,0.000446,0.000283,0.000327,1149,335909
15,"Aug 10, 2017",0.0003,0.000342,0.000299,0.000307,377,328154
16,"Aug 09, 2017",0.000308,0.000334,0.000293,0.0003,467,336133
17,"Aug 08, 2017",0.000304,0.000344,0.000301,0.000308,519,332619
18,"Aug 07, 2017",0.00029,0.000339,0.00026000000000000003,0.000304,220,316645
19,"Aug 06, 2017",0.000261,0.000352,0.00026000000000000003,0.00029,295,285143
20,"Aug 05, 2017",0.000229,0.000314,0.000229,0.000261,118,250175
21,"Aug 04, 2017",0.000251,0.00028700000000000004,0.000227,0.000229,266,274635
22,"Aug 03, 2017",0.000297,0.000297,0.000244,0.000251,198,324804
23,"Aug 02, 2017",0.00025,0.000323,0.000239,0.000297,726,272890
24,"Aug 01, 2017",0.000258,0.000302,0.000248,0.00025,117,281537
25,"Jul 31, 2017",0.000271,0.000308,0.000248,0.000258,341,296003
26,"Jul 30, 2017",0.000299,0.000322,0.00026000000000000003,0.000271,208,326615
27,"Jul 29, 2017",0.000303,0.00034500000000000004,0.000291,0.000299,242,331394
28,"Jul 28, 2017",0.000331,0.000399,0.000294,0.000304,1266,361879
29,"Jul 27, 2017",0.000302,0.00035499999999999996,0.000301,0.00033,258,329696
30,"Jul 26, 2017",0.00028199999999999997,0.000356,0.000269,0.000301,294,308283
31,"Jul 25, 2017",0.00033,0.00036,0.000278,0.000307,589,360979
32,"Jul 24, 2017",0.00033,0.000384,0.000327,0.00033,526,360641
33,"Jul 23, 2017",0.000368,0.000394,0.000299,0.00033,298,402041
34,"Jul 22, 2017",0.000366,0.000424,0.000341,0.000368,650,400359
35,"Jul 21, 2017",0.000396,0.000412,0.000335,0.000366,221,432436
36,"Jul 20, 2017",0.000293,0.00042,0.000293,0.000393,877,320332
37,"Jul 19, 2017",0.000299,0.000335,0.000248,0.000294,3039,326990
38,"Jul 18, 2017",0.00031099999999999997,0.000352,0.000295,0.000299,334,339994
39,"Jul 17, 2017",0.000306,0.00035,0.000279,0.00031,691,334483
40,"Jul 16, 2017",0.00023799999999999998,0.00031600000000000004,0.000234,0.000306,1309,260281
41,"Jul 15, 2017",0.00037999999999999997,0.000381,0.00022200000000000003,0.000239,2106,415215
