,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.3e-05,4.5e-05,4.3e-05,4.4e-05,106,-
1,"Aug 24, 2017",4.1e-05,4.4e-05,4.1e-05,4.3e-05,26,-
2,"Aug 23, 2017",4.2e-05,4.2e-05,4.1e-05,4.1e-05,1,-
3,"Aug 21, 2017",4.1e-05,4.1e-05,4e-05,4e-05,4,-
4,"Aug 20, 2017",4.1e-05,4.2e-05,4e-05,4.1e-05,9,-
5,"Aug 19, 2017",4.2e-05,4.2e-05,4e-05,4.2e-05,5,-
6,"Aug 18, 2017",4.3e-05,4.4e-05,4.2e-05,4.2e-05,4,-
7,"Aug 17, 2017",4.4e-05,4.5e-05,4.2e-05,4.3e-05,4,-
8,"Aug 16, 2017",4.2e-05,4.4e-05,3.9e-05,4.4e-05,1230,-
9,"Aug 15, 2017",4.3e-05,4.4e-05,3.9e-05,4.1e-05,53,-
10,"Aug 14, 2017",4.1e-05,4.3e-05,4.1e-05,4.3e-05,6,-
11,"Aug 13, 2017",3.9e-05,4.2e-05,3.9e-05,4.1e-05,41,-
12,"Aug 12, 2017",3.7e-05,4e-05,3.6e-05,3.9e-05,59,-
13,"Aug 11, 2017",3.4e-05,3.7e-05,3.4e-05,3.7e-05,41,-
14,"Aug 10, 2017",3.3e-05,3.4e-05,3.3e-05,3.4e-05,47,-
15,"Aug 09, 2017",3.4e-05,3.4e-05,3.2e-05,3.3e-05,56,-
16,"Aug 08, 2017",3.4e-05,3.5e-05,3.3e-05,3.4e-05,7,-
17,"Aug 07, 2017",3.2e-05,3.4e-05,3.2e-05,3.4e-05,1,-
18,"Aug 06, 2017",3.3e-05,3.3e-05,3.2e-05,3.2e-05,1,-
19,"Aug 05, 2017",2.8999999999999997e-05,3.3e-05,2.8999999999999997e-05,3.3e-05,103,-
20,"Aug 04, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,22,-
21,"Aug 03, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,37,-
22,"Aug 02, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,1,-
23,"Aug 01, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.7000000000000002e-05,2,-
24,"Jul 31, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8999999999999997e-05,9,-
25,"Jul 30, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.7000000000000002e-05,264,-
26,"Jul 29, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,0,-
27,"Jul 28, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,28,-
28,"Jul 27, 2017",2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,0,-
29,"Jul 26, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,10,-
30,"Jul 25, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.5e-05,2.6000000000000002e-05,0,-
31,"Jul 24, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,164,-
32,"Jul 23, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,20,-
33,"Jul 22, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,81,-
34,"Jul 21, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.6000000000000002e-05,2.7000000000000002e-05,6,-
35,"Jul 20, 2017",2.3e-05,2.8999999999999997e-05,2.3e-05,2.8000000000000003e-05,1217,-
36,"Jul 19, 2017",2.3e-05,2.4e-05,2.2e-05,2.3e-05,2029,-
37,"Jul 18, 2017",2.2e-05,2.4e-05,2.2e-05,2.3e-05,383,-
38,"Jul 17, 2017",1.9e-05,2.2e-05,1.9e-05,2.2e-05,99,-
39,"Jul 16, 2017",2e-05,3.9e-05,1.8e-05,1.9e-05,1939,-
40,"Jul 15, 2017",2e-05,2e-05,2e-05,2e-05,2,-
