,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",41.96,42.26,39.78,40.3,47772200,2098230000
1,"Aug 24, 2017",39.92,42.13,39.31,42.05,63875500,1996230000
2,"Aug 23, 2017",35.83,44.03,35.25,40.0,131763000,1791670000
3,"Aug 22, 2017",35.16,36.17,31.6,35.85,68265300,1758180000
4,"Aug 21, 2017",38.04,38.28,34.15,35.3,85955000,1902060000
5,"Aug 20, 2017",39.63,40.65,38.16,38.19,85862200,1981640000
6,"Aug 19, 2017",38.86,42.22,35.4,39.97,168358000,1943180000
7,"Aug 18, 2017",40.85,41.16,31.32,38.85,209845000,2042450000
8,"Aug 17, 2017",45.72,46.34,38.91,40.69,191410000,2286130000
9,"Aug 16, 2017",46.98,51.24,44.69,45.54,170273000,2349050000
10,"Aug 15, 2017",47.5,47.99,39.52,47.49,262801000,2375010000
11,"Aug 14, 2017",47.63,52.02,44.79,47.43,343705000,2381360000
12,"Aug 13, 2017",36.86,52.63,35.32,46.65,448654000,1843040000
13,"Aug 12, 2017",33.16,37.37,30.45,36.61,177772000,1657810000
14,"Aug 11, 2017",36.32,39.13,27.58,33.5,382070000,1815780000
15,"Aug 10, 2017",21.68,38.44,21.36,36.18,360125000,1084180000
16,"Aug 09, 2017",18.34,21.94,17.46,21.75,116795000,917009000
17,"Aug 08, 2017",18.73,19.34,15.59,18.27,124589000,936705000
18,"Aug 07, 2017",15.2,20.24,14.36,18.68,166514000,759959000
19,"Aug 06, 2017",14.17,16.19,13.42,15.21,81450800,708471000
20,"Aug 05, 2017",10.39,14.95,10.24,14.02,82680400,519506000
21,"Aug 04, 2017",10.84,11.22,9.97,10.43,56285500,541832000
22,"Aug 03, 2017",8.19,10.7,8.06,10.67,49848800,409434000
23,"Aug 02, 2017",7.85,8.3,7.71,8.11,17559000,392732000
24,"Aug 01, 2017",7.36,8.2,6.96,7.86,18527900,368123000
25,"Jul 31, 2017",7.16,7.43,7.02,7.33,10856600,358222000
26,"Jul 30, 2017",7.27,7.3,6.94,7.15,9006030,363345000
27,"Jul 29, 2017",7.09,7.46,6.76,7.26,10518400,354258000
28,"Jul 28, 2017",7.75,7.88,6.93,7.09,15725800,387410000
29,"Jul 27, 2017",7.22,7.94,7.13,7.72,15251100,360772000
30,"Jul 26, 2017",7.33,7.59,6.58,7.17,16765600,366562000
31,"Jul 25, 2017",8.48,8.48,6.88,7.35,19480400,423876000
32,"Jul 24, 2017",8.61,8.81,8.19,8.46,21283700,430471000
33,"Jul 23, 2017",8.64,8.93,7.76,8.57,29915100,431881000
34,"Jul 22, 2017",7.39,9.12,7.31,8.62,32890800,369727000
35,"Jul 21, 2017",7.24,7.97,7.03,7.42,21298000,361826000
36,"Jul 20, 2017",5.89,7.47,5.89,7.21,25476100,294317000
37,"Jul 19, 2017",6.04,6.23,5.65,5.88,14255500,301935000
38,"Jul 18, 2017",5.77,6.29,5.51,6.02,18101700,288470000
39,"Jul 17, 2017",5.06,5.85,5.03,5.77,15013000,253054000
40,"Jul 16, 2017",5.03,5.27,4.83,5.04,9498420,251399000
41,"Jul 15, 2017",5.55,5.55,4.98,5.03,11294200,277400000
42,"Jul 14, 2017",6.27,6.29,5.42,5.54,12351000,313433000
43,"Jul 13, 2017",6.68,6.95,5.91,6.29,17824000,334240000
44,"Jul 12, 2017",5.31,6.69,5.07,6.63,23337300,265564000
45,"Jul 11, 2017",5.93,6.11,4.83,5.4,20182900,296309000
46,"Jul 10, 2017",6.91,6.96,5.58,6.03,11395300,345719000
47,"Jul 09, 2017",7.4,7.62,6.87,6.9,10422500,370072000
48,"Jul 08, 2017",6.79,7.63,5.91,7.45,24138500,339382000
49,"Jul 07, 2017",7.83,7.89,6.74,6.77,16409500,391569000
50,"Jul 06, 2017",7.98,8.34,7.69,7.84,17932500,399093000
51,"Jul 05, 2017",7.77,8.66,7.23,8.03,29368100,388453000
52,"Jul 04, 2017",8.22,8.49,7.77,7.78,15781600,410831000
53,"Jul 03, 2017",8.06,8.48,7.52,8.22,28820400,402786000
54,"Jul 02, 2017",7.96,8.51,6.75,8.1,47478700,397988000
55,"Jul 01, 2017",8.77,9.24,7.74,7.95,33128400,438293000
56,"Jun 30, 2017",9.72,10.0,8.6,8.73,43355500,485988000
57,"Jun 29, 2017",8.34,10.07,7.91,9.77,77050000,416970000
58,"Jun 28, 2017",6.96,8.69,6.49,8.38,72982300,347826000
59,"Jun 27, 2017",5.35,7.26,5.09,6.83,71029700,267538000
60,"Jun 26, 2017",5.95,6.22,4.42,5.53,27615900,297587000
61,"Jun 25, 2017",6.29,6.46,5.66,5.95,24890900,314543000
62,"Jun 24, 2017",6.87,7.11,6.25,6.3,33359500,343738000
63,"Jun 23, 2017",6.92,7.43,5.78,6.84,67033300,346025000
64,"Jun 22, 2017",10.16,10.51,6.9,6.94,115249000,507921000
65,"Jun 21, 2017",8.04,10.21,7.81,10.15,88374400,401956000
66,"Jun 20, 2017",11.79,11.79,7.87,8.0,126661000,589390000
67,"Jun 19, 2017",5.46,11.81,5.46,11.72,281341000,273011000
68,"Jun 18, 2017",3.79,5.26,3.47,5.26,61381000,189717000
69,"Jun 17, 2017",2.8,4.18,2.7,3.76,82601000,139894000
70,"Jun 16, 2017",1.8,2.81,1.72,2.77,45782200,90202000
71,"Jun 15, 2017",1.74,1.84,1.54,1.78,9550940,86947000
72,"Jun 14, 2017",1.81,1.94,1.68,1.74,10497200,90657000
73,"Jun 13, 2017",1.5,1.86,1.5,1.81,10456500,75221500
74,"Jun 12, 2017",1.67,1.69,1.4,1.51,7492490,83716000
75,"Jun 11, 2017",1.69,1.73,1.52,1.67,6479410,84426000
76,"Jun 10, 2017",1.54,2.07,1.53,1.68,17295300,77129000
77,"Jun 09, 2017",1.36,1.59,1.33,1.55,9728020,67874000
78,"Jun 08, 2017",1.27,1.36,1.19,1.36,7118290,63677000
79,"Jun 07, 2017",1.34,1.36,1.27,1.28,2994510,66929500
80,"Jun 06, 2017",1.28,1.37,1.2,1.34,5234170,63757000
81,"Jun 05, 2017",1.27,1.35,1.25,1.28,3876920,63267500
82,"Jun 04, 2017",1.25,1.32,1.22,1.26,2572220,62425500
83,"Jun 03, 2017",1.36,1.36,1.15,1.26,4049740,68122000
84,"Jun 02, 2017",1.25,1.4,1.18,1.35,7157890,62290500
85,"Jun 01, 2017",1.03,1.3,1.01,1.24,8061920,51383000
86,"May 31, 2017",1.02,1.08,0.9665309999999999,1.03,3001020,51167000
87,"May 30, 2017",0.975403,1.13,0.9705729999999999,1.02,5393720,48770200
88,"May 29, 2017",0.9217270000000001,0.974728,0.873447,0.966765,2171000,46086400
89,"May 28, 2017",0.989557,1.07,0.814832,0.930106,5133830,49477900
