,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.72,5.07,3.97,4.06,790201,16330400
1,"Aug 24, 2017",4.81,5.81,4.56,4.71,3941380,16620600
2,"Aug 23, 2017",2.93,7.31,2.88,4.91,7900150,10122500
3,"Aug 22, 2017",3.02,3.05,2.69,2.93,155117,10423800
4,"Aug 21, 2017",2.99,3.57,2.94,3.01,476284,10330600
5,"Aug 20, 2017",3.06,3.19,2.87,3.0,120491,10573600
6,"Aug 19, 2017",2.91,3.12,2.85,3.08,190147,10049300
7,"Aug 18, 2017",3.19,3.2,2.8,2.94,223734,11000900
8,"Aug 17, 2017",3.69,3.69,3.08,3.19,272130,12725800
9,"Aug 16, 2017",3.6,4.49,3.45,3.72,947318,12413900
10,"Aug 15, 2017",2.75,4.04,2.66,3.57,842185,9461170
11,"Aug 14, 2017",3.29,3.32,2.53,2.71,208593,11342400
12,"Aug 13, 2017",3.22,3.41,2.98,3.29,211128,11092400
13,"Aug 12, 2017",3.58,3.64,3.14,3.24,170416,12322700
14,"Aug 11, 2017",3.64,3.65,3.22,3.59,336566,12524000
15,"Aug 10, 2017",3.85,4.02,3.6,3.63,266506,13238100
16,"Aug 09, 2017",4.11,4.13,3.79,3.85,95726,14119200
17,"Aug 08, 2017",3.88,4.11,3.63,4.11,231819,13329700
18,"Aug 07, 2017",4.07,4.11,3.61,3.88,252035,13982500
19,"Aug 06, 2017",4.42,4.49,3.85,4.08,158165,15188000
20,"Aug 05, 2017",4.06,4.54,3.82,4.42,335212,13919500
21,"Aug 04, 2017",3.74,4.11,3.65,3.99,195875,12826600
22,"Aug 03, 2017",3.33,3.92,3.32,3.74,195146,11432700
23,"Aug 02, 2017",3.28,3.42,3.2,3.37,83284,11237600
24,"Aug 01, 2017",2.81,3.31,2.72,3.28,91297,9614200
25,"Jul 31, 2017",2.98,2.98,2.67,2.76,58898,10213400
26,"Jul 30, 2017",3.0,3.09,2.84,2.89,65901,10288300
27,"Jul 29, 2017",3.02,3.02,2.83,3.01,46937,10324900
28,"Jul 28, 2017",3.37,3.39,2.94,3.01,132700,11535000
29,"Jul 27, 2017",3.25,3.45,3.25,3.36,61856,11131700
30,"Jul 26, 2017",3.43,3.51,3.07,3.24,63707,11722100
31,"Jul 25, 2017",4.12,4.16,2.99,3.42,357441,14089900
32,"Jul 24, 2017",4.19,4.51,4.02,4.14,289329,14304700
33,"Jul 23, 2017",4.06,4.5,3.75,4.2,406688,13852000
34,"Jul 22, 2017",3.63,4.15,3.62,4.03,343807,12396200
35,"Jul 21, 2017",3.94,4.12,3.55,3.63,79662,13434900
36,"Jul 20, 2017",3.13,4.17,3.13,3.91,221782,10666000
37,"Jul 19, 2017",3.42,3.58,3.07,3.14,238195,11680600
38,"Jul 18, 2017",2.92,3.74,2.77,3.43,307187,9947150
39,"Jul 17, 2017",2.46,2.91,2.41,2.91,73515,8369840
40,"Jul 16, 2017",2.62,2.66,2.26,2.46,94633,8923480
41,"Jul 15, 2017",2.84,2.89,2.46,2.63,130251,9657850
42,"Jul 14, 2017",3.39,3.5,2.78,2.88,125850,11541300
43,"Jul 13, 2017",3.25,3.97,3.08,3.42,278255,11056500
44,"Jul 12, 2017",2.92,3.25,2.74,3.25,201744,9948690
45,"Jul 11, 2017",3.31,3.69,2.64,2.94,502903,11270500
46,"Jul 10, 2017",4.58,4.88,3.24,3.3,465899,15576600
47,"Jul 09, 2017",4.67,4.85,4.28,4.55,233480,15853400
48,"Jul 08, 2017",5.02,5.04,3.7,4.66,599802,17052100
49,"Jul 07, 2017",6.22,6.26,4.99,5.04,569166,21102700
50,"Jul 06, 2017",5.58,6.54,5.42,6.21,1166550,18926400
51,"Jul 05, 2017",5.23,5.56,5.15,5.56,199768,17738300
52,"Jul 04, 2017",5.34,5.63,5.24,5.24,368647,18114200
53,"Jul 03, 2017",5.28,5.44,5.06,5.36,465270,17894400
54,"Jul 02, 2017",5.45,5.62,4.93,5.32,508016,18479300
55,"Jul 01, 2017",7.16,7.19,5.05,5.45,2332290,24254000
56,"Jun 30, 2017",5.62,7.84,5.58,7.09,4991600,19036100
57,"Jun 29, 2017",5.56,6.12,5.18,5.59,606344,18804800
58,"Jun 28, 2017",5.01,6.17,4.57,5.58,1463350,16939500
59,"Jun 27, 2017",5.0,5.05,4.04,4.91,364804,16891300
60,"Jun 26, 2017",5.27,5.63,4.57,5.0,552015,17813300
61,"Jun 25, 2017",5.78,6.19,5.11,5.27,358063,19520000
62,"Jun 24, 2017",6.02,6.69,5.68,5.75,489171,20338800
63,"Jun 23, 2017",5.09,6.59,5.02,6.02,603399,17167200
64,"Jun 22, 2017",5.07,5.79,4.93,5.04,680507,17102000
65,"Jun 21, 2017",5.77,6.13,4.75,5.0,1070760,19468900
66,"Jun 20, 2017",5.25,6.92,5.17,5.76,2395550,17713800
67,"Jun 19, 2017",4.3,5.55,4.18,5.31,885520,14478900
68,"Jun 18, 2017",4.36,4.83,4.13,4.33,1346190,14697000
69,"Jun 17, 2017",3.62,4.28,3.44,4.28,401482,12182600
70,"Jun 16, 2017",3.26,4.05,3.09,3.62,921042,10969300
71,"Jun 15, 2017",3.6,3.6,2.84,3.25,150743,12127500
