,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000263,0.000267,0.000217,0.000262,404,604193
1,"Aug 24, 2017",0.00028900000000000003,0.000295,0.000213,0.000263,119,665915
2,"Aug 23, 2017",0.000281,0.000295,0.000212,0.00028900000000000003,713,646608
3,"Aug 22, 2017",0.00028,0.000286,0.000217,0.00028199999999999997,105,644184
4,"Aug 21, 2017",0.00020299999999999997,0.000283,0.000198,0.000279,546,465924
5,"Aug 20, 2017",0.00020800000000000001,0.00024700000000000004,0.00020299999999999997,0.00020299999999999997,327,477336
6,"Aug 19, 2017",0.000204,0.00023199999999999997,0.000194,0.00020800000000000001,96,470103
7,"Aug 18, 2017",0.000215,0.000304,0.000198,0.000205,1236,494664
8,"Aug 17, 2017",0.000263,0.000264,0.000206,0.00021600000000000002,811,605528
9,"Aug 16, 2017",0.00020800000000000001,0.000264,0.000197,0.000264,7,478284
10,"Aug 15, 2017",0.000218,0.000258,0.000194,0.00020800000000000001,308,501012
11,"Aug 14, 2017",0.00020299999999999997,0.000218,0.000199,0.000217,1208,466953
12,"Aug 13, 2017",0.000193,0.000251,0.000193,0.00020299999999999997,650,444591
13,"Aug 12, 2017",0.000184,0.00023799999999999998,0.000182,0.000194,206,423676
14,"Aug 11, 2017",0.000205,0.000215,0.00017900000000000001,0.000184,41,471230
15,"Aug 10, 2017",0.000167,0.000206,0.000166,0.000205,49,384144
16,"Aug 09, 2017",0.000199,0.00022999999999999998,0.000162,0.000167,629,456644
17,"Aug 08, 2017",0.000168,0.00022999999999999998,0.000164,0.000199,80,386747
18,"Aug 07, 2017",0.000193,0.00023700000000000001,0.000166,0.000168,311,444033
19,"Aug 06, 2017",0.00022799999999999999,0.000231,0.00019099999999999998,0.000194,650,523668
20,"Aug 05, 2017",0.0002,0.00022799999999999999,0.000171,0.00022799999999999999,122,459198
21,"Aug 04, 2017",0.000172,0.00020099999999999998,0.00016999999999999999,0.0002,330,394852
22,"Aug 03, 2017",0.00018899999999999999,0.000199,0.00016299999999999998,0.000172,145,434901
23,"Aug 02, 2017",0.00014199999999999998,0.00018999999999999998,0.000134,0.00018899999999999999,120,325655
24,"Aug 01, 2017",0.000172,0.000175,0.000134,0.00014199999999999998,169,394506
25,"Jul 31, 2017",0.000164,0.00020099999999999998,0.000162,0.000172,1159,377752
26,"Jul 30, 2017",0.00016299999999999998,0.000192,0.000156,0.000164,857,373554
27,"Jul 29, 2017",0.000167,0.000193,0.00015900000000000002,0.00016299999999999998,295,383325
28,"Jul 28, 2017",0.00018700000000000002,0.000196,0.00016,0.000168,970,429248
29,"Jul 27, 2017",0.000151,0.000188,0.000151,0.00018600000000000002,439,347902
30,"Jul 26, 2017",0.000154,0.00017900000000000001,0.000148,0.000151,697,352815
31,"Jul 25, 2017",0.000199,0.0002,0.000147,0.000154,554,456814
32,"Jul 24, 2017",0.00022,0.00022400000000000002,0.00018999999999999998,0.000199,367,505345
33,"Jul 23, 2017",0.000226,0.000229,0.00018999999999999998,0.00022,294,520025
34,"Jul 22, 2017",0.00018700000000000002,0.000227,0.000165,0.000226,1124,428454
35,"Jul 21, 2017",0.000227,0.000227,0.00015800000000000002,0.00018700000000000002,1517,520421
36,"Jul 20, 2017",0.000182,0.00023199999999999997,0.000161,0.000225,1125,417118
37,"Jul 19, 2017",0.000161,0.000205,0.00015800000000000002,0.000182,2834,370494
38,"Jul 18, 2017",0.000156,0.000183,0.000139,0.000161,498,358342
39,"Jul 17, 2017",0.000133,0.000167,0.000132,0.000156,388,304485
40,"Jul 16, 2017",0.00014,0.00016299999999999998,0.000129,0.000133,415,321171
41,"Jul 15, 2017",0.000155,0.000176,0.000123,0.00014,895,356634
42,"Jul 14, 2017",0.00014099999999999998,0.000178,0.000139,0.000156,933,322763
43,"Jul 13, 2017",0.000143,0.000168,0.00014,0.00014099999999999998,372,328664
44,"Jul 12, 2017",0.000161,0.000168,0.00011200000000000001,0.000167,2229,370563
45,"Jul 11, 2017",0.00018700000000000002,0.00018899999999999999,0.00014,0.000162,741,428634
46,"Jul 10, 2017",0.000175,0.0002,0.000162,0.00018700000000000002,618,402265
47,"Jul 09, 2017",0.00013700000000000002,0.00020299999999999997,0.00013700000000000002,0.000175,4337,313560
48,"Jul 08, 2017",0.000175,0.000177,0.00013700000000000002,0.00013700000000000002,302,401896
49,"Jul 07, 2017",0.000182,0.000206,0.000173,0.000175,12200,418481
50,"Jul 06, 2017",0.00018,0.00020800000000000001,0.00017900000000000001,0.000182,498,414167
51,"Jul 05, 2017",0.000182,0.00020800000000000001,0.00018,0.00018,3891,417714
52,"Jul 04, 2017",0.000178,0.00021,0.000178,0.000182,70,407426
53,"Jul 03, 2017",0.000174,0.000205,0.000152,0.000178,16477,399852
54,"Jul 02, 2017",0.000144,0.000176,0.000121,0.000175,9451,331361
55,"Jul 01, 2017",0.000171,0.000199,0.000143,0.000144,11747,392291
56,"Jun 30, 2017",0.00020299999999999997,0.000204,0.000171,0.000171,2236,464623
57,"Jun 29, 2017",0.00018,0.000205,0.000155,0.000202,341,413075
58,"Jun 28, 2017",0.000178,0.000204,0.000175,0.00018,233,409370
59,"Jun 27, 2017",0.000195,0.00020099999999999998,0.000162,0.000177,292,447588
60,"Jun 26, 2017",0.00020099999999999998,0.000204,0.00015,0.000195,3791,462108
61,"Jun 25, 2017",0.00025,0.000273,0.0002,0.000202,4416,573667
62,"Jun 24, 2017",0.000188,0.000325,0.000188,0.000251,10265,432131
63,"Jun 23, 2017",0.0002,0.000217,0.000188,0.000188,366,458344
