,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",2.31,2.36,2.25,2.29,8061,4187750
1,"Aug 24, 2017",2.25,2.33,2.18,2.29,6827,4082260
2,"Aug 23, 2017",2.28,2.44,2.19,2.27,7963,4138440
3,"Aug 22, 2017",2.44,2.51,2.17,2.29,9068,4424850
4,"Aug 21, 2017",2.24,2.58,2.2,2.43,7151,4048240
5,"Aug 20, 2017",2.21,2.31,2.1,2.23,5177,3993100
6,"Aug 19, 2017",2.23,2.33,2.11,2.23,5499,4028130
7,"Aug 18, 2017",2.5,2.5,2.06,2.34,6657,4511440
8,"Aug 17, 2017",2.69,2.86,2.2,2.46,6072,4856250
9,"Aug 16, 2017",2.61,2.95,2.15,2.69,10194,4716550
10,"Aug 15, 2017",2.93,3.02,2.47,2.58,6695,5292360
11,"Aug 14, 2017",2.85,3.16,2.63,2.96,7273,5132650
12,"Aug 13, 2017",2.52,2.86,2.47,2.78,7763,4535910
13,"Aug 12, 2017",2.86,2.94,1.95,2.49,35372,5155830
14,"Aug 11, 2017",3.12,3.2,2.8,2.94,9631,5619100
15,"Aug 10, 2017",3.45,3.55,3.1,3.11,11335,6202770
16,"Aug 09, 2017",3.61,3.7,3.28,3.48,9441,6494510
17,"Aug 08, 2017",3.76,4.22,3.41,3.64,11405,6756560
18,"Aug 07, 2017",3.6,4.16,3.47,3.78,14754,6461480
19,"Aug 06, 2017",3.76,3.87,3.64,3.65,7694,6748770
20,"Aug 05, 2017",4.01,4.32,3.64,3.78,21713,7190310
21,"Aug 04, 2017",3.14,4.46,3.1,4.01,13632,5623930
22,"Aug 03, 2017",2.84,3.29,2.84,3.15,8262,5092550
23,"Aug 02, 2017",2.73,2.96,2.72,2.84,7162,4891020
24,"Aug 01, 2017",3.32,3.32,2.13,2.77,13424,5945110
25,"Jul 31, 2017",4.07,4.12,2.81,3.27,14983,7279660
26,"Jul 30, 2017",4.82,4.85,3.91,4.33,11850,8619030
27,"Jul 29, 2017",5.06,5.11,4.22,4.71,10548,9041220
28,"Jul 28, 2017",5.94,6.09,4.57,5.11,17543,10615500
29,"Jul 27, 2017",6.08,6.24,5.24,5.94,22210,10863500
30,"Jul 26, 2017",7.29,10.9,5.25,6.08,44944,13006500
31,"Jul 25, 2017",7.65,7.74,7.23,7.3,145413,13641900
32,"Jul 24, 2017",7.85,7.91,7.63,7.64,161361,13999700
33,"Jul 23, 2017",7.88,7.97,7.66,7.84,113081,14038100
34,"Jul 22, 2017",7.77,8.18,7.74,7.97,235309,13845700
35,"Jul 21, 2017",7.8,8.39,7.52,7.74,384389,13886900
36,"Jul 20, 2017",6.96,8.1,6.75,7.79,744312,12378200
37,"Jul 19, 2017",7.32,7.52,6.85,6.93,178656,13020100
38,"Jul 18, 2017",7.24,7.68,7.12,7.32,633274,12860200
39,"Jul 17, 2017",6.01,7.56,6.01,7.22,518121,10674100
40,"Jul 16, 2017",5.97,6.58,5.51,6.0,400893,10603600
41,"Jul 15, 2017",6.73,6.9,5.72,5.96,365932,11939400
42,"Jul 14, 2017",7.61,7.7,6.51,6.73,523791,13502400
43,"Jul 13, 2017",8.01,8.14,7.47,7.62,216154,14209600
44,"Jul 12, 2017",7.81,8.2,7.42,7.95,266530,13842600
45,"Jul 11, 2017",8.38,8.59,7.19,7.82,697450,14855900
46,"Jul 10, 2017",8.75,8.87,8.04,8.37,438418,15502900
47,"Jul 09, 2017",9.0,9.18,8.7,8.76,79661,15933700
48,"Jul 08, 2017",8.79,9.22,8.69,8.99,181437,15553400
49,"Jul 07, 2017",9.31,9.34,8.57,8.77,510788,16460500
50,"Jul 06, 2017",9.51,9.51,9.12,9.25,266024,16808400
51,"Jul 05, 2017",9.57,9.66,9.35,9.52,270422,16909700
52,"Jul 04, 2017",9.26,9.88,9.15,9.49,1175870,16359500
53,"Jul 03, 2017",8.78,9.95,8.62,9.29,982590,15506700
54,"Jul 02, 2017",8.35,8.91,8.17,8.85,289134,14740400
55,"Jul 01, 2017",9.09,9.21,8.07,8.35,381266,16030100
56,"Jun 30, 2017",9.52,9.9,8.55,8.92,599413,16783400
57,"Jun 29, 2017",10.5,10.53,9.25,9.52,924025,18500800
58,"Jun 28, 2017",9.31,10.71,9.23,10.52,1722820,16395900
59,"Jun 27, 2017",8.41,10.22,8.24,9.48,2358510,14806600
60,"Jun 26, 2017",10.67,10.84,7.52,8.41,3142870,18780400
61,"Jun 25, 2017",10.85,11.41,10.05,10.67,1409810,19092900
62,"Jun 24, 2017",11.61,11.91,10.6,10.85,2372820,20402400
63,"Jun 23, 2017",8.48,12.44,8.48,11.61,6450740,14888900
64,"Jun 22, 2017",6.18,13.03,5.96,9.08,9239200,10838900
65,"Jun 21, 2017",6.3,6.69,5.62,6.09,2002000,11043600
66,"Jun 20, 2017",4.62,6.73,4.54,6.37,2262770,8087270
67,"Jun 19, 2017",4.42,4.79,4.24,4.62,584877,7738510
68,"Jun 18, 2017",4.14,4.72,4.05,4.33,623936,7241220
69,"Jun 17, 2017",3.9,4.26,3.85,4.16,227090,6825900
70,"Jun 16, 2017",3.7,3.98,3.6,3.83,175375,6466760
71,"Jun 15, 2017",3.86,3.91,3.4,3.71,179119,6746110
72,"Jun 14, 2017",3.92,4.1,3.77,3.9,274535,6843060
73,"Jun 13, 2017",3.9,4.11,3.75,3.92,130070,6815350
74,"Jun 12, 2017",4.43,4.46,3.75,3.98,230193,7731800
75,"Jun 11, 2017",4.3,4.45,4.2,4.43,102193,7493910
76,"Jun 10, 2017",4.35,4.47,4.23,4.31,131082,7586890
77,"Jun 09, 2017",4.22,4.4,4.15,4.36,110102,7359600
78,"Jun 08, 2017",4.3,4.3,4.03,4.26,182779,7490210
79,"Jun 07, 2017",4.27,4.49,4.19,4.29,143075,7423600
80,"Jun 06, 2017",4.54,4.65,4.02,4.27,352387,7893390
81,"Jun 05, 2017",4.35,4.87,4.22,4.54,665564,7559040
82,"Jun 04, 2017",3.77,4.61,3.71,4.42,417686,6546110
83,"Jun 03, 2017",3.74,3.82,3.68,3.77,61933,6486150
84,"Jun 02, 2017",3.71,3.75,3.6,3.74,56668,6447000
85,"Jun 01, 2017",3.65,3.83,3.59,3.71,110199,6322770
86,"May 31, 2017",3.61,3.72,3.43,3.63,60116,6253750
87,"May 30, 2017",3.96,3.96,3.47,3.61,229988,6857260
88,"May 29, 2017",3.39,4.07,3.18,3.92,178138,5877470
89,"May 28, 2017",3.11,3.76,3.06,3.4,184918,5384080
90,"May 27, 2017",3.96,4.02,2.56,3.13,328454,6849020
91,"May 26, 2017",4.3,4.48,3.71,3.89,209877,7427150
92,"May 25, 2017",4.76,4.76,4.04,4.29,395045,8219380
93,"May 24, 2017",4.65,4.89,4.61,4.75,345626,8037650
94,"May 23, 2017",4.37,4.73,4.36,4.65,178622,7546570
95,"May 22, 2017",4.58,4.86,4.24,4.38,423445,7903680
96,"May 21, 2017",4.71,4.88,4.41,4.52,301411,8129450
97,"May 20, 2017",4.39,4.92,4.35,4.71,397284,7564060
98,"May 19, 2017",4.5,4.52,4.23,4.38,196447,7754330
99,"May 18, 2017",3.94,4.53,3.94,4.51,369121,6780700
100,"May 17, 2017",3.98,4.24,3.87,3.94,127490,6853110
101,"May 16, 2017",4.34,4.43,3.73,4.06,224288,7471190
102,"May 15, 2017",4.79,4.85,4.14,4.34,244378,8242900
103,"May 14, 2017",4.64,4.97,4.53,4.72,169323,7971120
104,"May 13, 2017",4.72,4.72,4.11,4.63,165108,8106340
105,"May 12, 2017",5.0,5.06,4.43,4.76,255975,8590840
106,"May 11, 2017",5.12,5.3,4.84,5.0,280761,8789160
107,"May 10, 2017",5.2,5.34,4.83,5.12,500606,8913010
108,"May 09, 2017",5.25,5.38,4.63,5.12,517207,8997920
109,"May 08, 2017",5.44,5.6,5.25,5.25,342895,9322650
110,"May 07, 2017",5.2,5.62,5.16,5.43,849552,8913130
111,"May 06, 2017",4.94,5.28,4.94,5.21,304148,8462510
