,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",38.67,42.36,34.13,36.77,809993,21637000
1,"Aug 24, 2017",31.53,41.82,30.1,38.8,966378,17641200
2,"Aug 23, 2017",29.93,32.94,28.83,31.46,287304,16750700
3,"Aug 22, 2017",28.86,30.91,27.74,30.2,346416,16152000
4,"Aug 21, 2017",28.39,33.38,25.32,28.76,820035,15888600
5,"Aug 20, 2017",27.83,29.54,25.17,28.5,245979,15574600
6,"Aug 19, 2017",25.49,33.68,22.52,28.29,367663,14261200
7,"Aug 18, 2017",25.4,26.26,23.71,24.31,183368,14209900
8,"Aug 17, 2017",28.49,28.87,24.6,25.12,132980,15942100
9,"Aug 16, 2017",25.91,29.42,24.99,28.65,227848,14497000
10,"Aug 15, 2017",25.56,30.01,22.92,25.88,263637,14303200
11,"Aug 14, 2017",26.68,27.77,24.28,25.49,284993,14927700
12,"Aug 13, 2017",30.45,31.81,26.33,26.66,331915,17035600
13,"Aug 12, 2017",29.16,37.06,28.78,30.41,805200,16317600
14,"Aug 11, 2017",31.84,32.76,27.2,29.19,538721,17815600
15,"Aug 10, 2017",34.34,36.94,31.84,31.84,351792,19214600
16,"Aug 09, 2017",31.74,40.42,31.4,34.57,483879,17758200
17,"Aug 08, 2017",32.19,32.89,30.83,31.84,226228,18006900
18,"Aug 07, 2017",33.05,34.27,30.77,31.82,222199,18489200
19,"Aug 06, 2017",33.29,35.08,32.25,33.12,135853,18625600
20,"Aug 05, 2017",33.27,35.67,31.97,33.46,162809,18611200
21,"Aug 04, 2017",33.1,33.72,31.73,33.28,135034,18518000
22,"Aug 03, 2017",33.84,34.48,31.07,33.11,239232,18931400
23,"Aug 02, 2017",31.24,35.14,30.6,33.19,262426,17478200
24,"Aug 01, 2017",28.87,33.34,28.48,31.0,212564,16149400
25,"Jul 31, 2017",31.47,31.97,28.44,28.85,86254,17602800
26,"Jul 30, 2017",32.4,34.07,30.46,31.43,70412,18125600
27,"Jul 29, 2017",32.27,33.06,31.2,32.21,142987,18054800
28,"Jul 28, 2017",36.5,36.85,32.6,33.18,163861,20420600
29,"Jul 27, 2017",36.01,37.55,34.34,36.4,126302,20143700
30,"Jul 26, 2017",35.21,36.86,33.68,35.91,97651,19695500
31,"Jul 25, 2017",44.61,45.27,34.52,35.55,242146,24953400
32,"Jul 24, 2017",44.84,51.92,42.85,44.61,585886,25080600
33,"Jul 23, 2017",41.18,46.94,38.72,44.92,403090,23037300
34,"Jul 22, 2017",37.31,41.86,37.13,41.36,181405,20869800
35,"Jul 21, 2017",39.21,40.68,36.44,37.32,149884,21929400
36,"Jul 20, 2017",30.62,40.38,30.22,38.97,426137,17126300
37,"Jul 19, 2017",34.44,35.44,30.01,30.44,233588,19261900
38,"Jul 18, 2017",33.19,34.8,30.34,34.38,147457,18562500
