,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000773,0.001108,0.000773,0.001066,12,28327
1,"Aug 24, 2017",0.000704,0.00078,0.000699,0.0007740000000000001,134,25810
2,"Aug 23, 2017",0.000695,0.000723,0.000692,0.000704,3,25456
3,"Aug 22, 2017",0.0006799999999999999,0.000705,0.000616,0.000696,3,24926
4,"Aug 21, 2017",0.0006900000000000001,0.000695,0.00065,0.000679,17,25274
5,"Aug 20, 2017",0.000746,0.000746,0.0006889999999999999,0.000692,20,27344
6,"Aug 19, 2017",0.00074,0.000753,0.000714,0.00075,3,27102
7,"Aug 18, 2017",0.000813,0.0008269999999999999,0.0007160000000000001,0.00074,6,29800
8,"Aug 17, 2017",0.00085,0.00085,0.000797,0.000816,1,31140
9,"Aug 16, 2017",0.000789,0.000826,0.00075,0.000816,3,28922
10,"Aug 15, 2017",0.000779,0.000797,0.000695,0.000788,5,28543
11,"Aug 14, 2017",0.000772,0.000784,0.000743,0.0007769999999999999,1,28283
12,"Aug 13, 2017",0.000696,0.0007830000000000001,0.000695,0.000771,0,25513
13,"Aug 12, 2017",0.0006940000000000001,0.0007379999999999999,0.000677,0.000697,2,25417
14,"Aug 11, 2017",0.000547,0.0007030000000000001,0.000544,0.0006940000000000001,35,20030
15,"Aug 10, 2017",0.000602,0.000605,0.000544,0.000547,16,22052
16,"Aug 09, 2017",0.000614,0.000614,0.000524,0.000602,8,22493
17,"Aug 08, 2017",0.000509,0.000522,0.000502,0.000517,99,18644
18,"Aug 07, 2017",0.000547,0.000646,0.0005070000000000001,0.000508,106,20061
19,"Aug 06, 2017",0.000558,0.000558,0.000547,0.000549,2,20435
20,"Aug 05, 2017",0.0005139999999999999,0.0005740000000000001,0.000513,0.000566,0,18830
21,"Aug 04, 2017",0.000446,0.000517,0.000443,0.0005139999999999999,0,16342
22,"Aug 03, 2017",0.000487,0.000502,0.00044500000000000003,0.000446,3,17837
23,"Aug 02, 2017",0.000546,0.0005650000000000001,0.00042699999999999997,0.00048600000000000005,77,20004
24,"Aug 01, 2017",0.000549,0.000556,0.000541,0.000546,3,20102
25,"Jul 31, 2017",0.000603,0.000611,0.000595,0.000611,0,22095
26,"Jul 30, 2017",0.000571,0.000604,0.000546,0.000602,0,20915
27,"Jul 29, 2017",0.000612,0.0006129999999999999,0.0005610000000000001,0.000571,9,22413
28,"Jul 28, 2017",0.000585,0.00062,0.000549,0.000614,213,21454
29,"Jul 27, 2017",0.00053,0.000589,0.000481,0.000584,19,19431
30,"Jul 26, 2017",0.000538,0.0005610000000000001,0.000513,0.000529,4,19703
31,"Jul 25, 2017",0.000607,0.000611,0.000478,0.000537,17,22237
32,"Jul 24, 2017",0.000743,0.000749,0.000412,0.000607,165,27216
33,"Jul 23, 2017",0.000708,0.0007599999999999999,0.000656,0.0007440000000000001,41,25932
34,"Jul 22, 2017",0.000667,0.00073,0.000664,0.000708,44,24437
35,"Jul 21, 2017",0.0006799999999999999,0.000697,0.000638,0.000667,5,24907
36,"Jul 20, 2017",0.000496,0.000696,0.000496,0.000675,14,18182
37,"Jul 19, 2017",0.000553,0.0005740000000000001,0.00049,0.0004980000000000001,0,20253
38,"Jul 18, 2017",0.000533,0.000572,0.000517,0.000552,8,19551
39,"Jul 17, 2017",0.00042300000000000004,0.000533,0.00042300000000000004,0.000532,20,15503
40,"Jul 16, 2017",0.000437,0.00046399999999999995,0.000404,0.000424,10,16005
41,"Jul 15, 2017",0.000488,0.000489,0.00043799999999999997,0.00043799999999999997,10,17887
42,"Jul 14, 2017",0.000492,0.0004940000000000001,0.000458,0.000489,9,18016
43,"Jul 13, 2017",0.00047699999999999994,0.000503,0.00047300000000000006,0.000492,1,17490
44,"Jul 12, 2017",0.000553,0.000553,0.000359,0.00047699999999999994,124,20284
45,"Jul 11, 2017",0.000515,0.0005679999999999999,0.00046699999999999997,0.000556,34,18869
46,"Jul 10, 2017",0.000601,0.000604,0.0005,0.000516,7,22034
47,"Jul 09, 2017",0.000586,0.0006360000000000001,0.00048300000000000003,0.0006,47,21488
48,"Jul 08, 2017",0.000575,0.000586,0.0005690000000000001,0.000586,2,21086
49,"Jul 07, 2017",0.000546,0.00059,0.000535,0.000575,0,19998
50,"Jul 06, 2017",0.000676,0.000676,0.000539,0.000545,18,24771
51,"Jul 05, 2017",0.0006219999999999999,0.000676,0.000606,0.000676,17,22781
52,"Jul 04, 2017",0.000634,0.000653,0.000598,0.0006219999999999999,3,23239
53,"Jul 03, 2017",0.000573,0.0006450000000000001,0.0005679999999999999,0.0006360000000000001,6,20983
54,"Jul 02, 2017",0.000602,0.000606,0.000554,0.000575,2,22052
55,"Jul 01, 2017",0.000539,0.000624,0.000533,0.000602,0,19767
56,"Jun 30, 2017",0.000633,0.000637,0.000537,0.00054,1,23198
57,"Jun 29, 2017",0.000538,0.0006450000000000001,0.000534,0.0006320000000000001,29,19711
58,"Jun 28, 2017",0.000594,0.000607,0.0005269999999999999,0.000538,16,21783
59,"Jun 27, 2017",0.00056,0.0005679999999999999,0.0005480000000000001,0.0005480000000000001,1,20533
60,"Jun 26, 2017",0.000504,0.00058,0.000492,0.00056,1,18457
61,"Jun 25, 2017",0.0005200000000000001,0.000526,0.00049,0.000504,5,19058
62,"Jun 24, 2017",0.0006730000000000001,0.0006799999999999999,0.0006309999999999999,0.000647,12,24648
63,"Jun 23, 2017",0.0005059999999999999,0.000679,0.0005059999999999999,0.0006730000000000001,33,18553
64,"Jun 22, 2017",0.0005,0.0005059999999999999,0.00045,0.0005059999999999999,25,18309
65,"Jun 21, 2017",0.000538,0.000538,0.000475,0.000475,1,19715
66,"Jun 20, 2017",0.0006,0.0006,0.000481,0.000538,2,21971
67,"Jun 19, 2017",0.000575,0.0006,0.0005,0.0006,21,21055
