,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.00021600000000000002,0.000223,0.000215,0.000218,1,7623
1,"Aug 24, 2017",0.000251,0.00025299999999999997,0.00020899999999999998,0.000217,15,8836
2,"Aug 23, 2017",0.000204,0.000213,0.000204,0.000206,12,7196
3,"Aug 22, 2017",0.0002,0.000205,0.000153,0.000205,12,7046
4,"Aug 21, 2017",0.000162,0.000202,0.00015900000000000002,0.0002,1,5715
5,"Aug 20, 2017",0.000166,0.000166,0.000162,0.00016299999999999998,11,5840
6,"Aug 19, 2017",0.000165,0.000205,0.00015900000000000002,0.000167,51,5803
7,"Aug 18, 2017",0.000171,0.000173,0.000168,0.000172,1,6029
8,"Aug 17, 2017",0.000132,0.00017900000000000001,0.000127,0.000172,3,4637
9,"Aug 16, 2017",0.00020800000000000001,0.000262,0.00013000000000000002,0.000132,39,7315
10,"Aug 15, 2017",0.00021600000000000002,0.000221,0.0002,0.000207,1,7620
11,"Aug 14, 2017",0.00020299999999999997,0.00021600000000000002,0.000199,0.00021600000000000002,1,7153
12,"Aug 13, 2017",0.000193,0.000206,0.000154,0.00020299999999999997,1,6811
13,"Aug 12, 2017",0.000183,0.000198,0.000183,0.000194,0,6439
14,"Aug 11, 2017",0.00013700000000000002,0.00013700000000000002,0.000136,0.00013700000000000002,1,4813
15,"Aug 10, 2017",0.00020099999999999998,0.00020099999999999998,0.000133,0.00013700000000000002,1,7064
16,"Aug 09, 2017",0.000205,0.000206,0.00013000000000000002,0.00020099999999999998,21,7225
17,"Aug 08, 2017",0.000136,0.000207,0.000134,0.000205,26,4778
18,"Aug 07, 2017",0.000193,0.000195,0.00013000000000000002,0.000136,1,6805
19,"Aug 06, 2017",0.00016299999999999998,0.000261,0.00013000000000000002,0.000194,231,5732
20,"Aug 05, 2017",0.000171,0.000173,0.00015900000000000002,0.00016299999999999998,5,6032
21,"Aug 04, 2017",0.000167,0.000172,0.000166,0.000171,12,5894
22,"Aug 02, 2017",0.000109,0.00011,0.000106,0.00010700000000000001,0,3845
23,"Aug 01, 2017",0.00011399999999999999,0.00011599999999999999,0.000106,0.000109,0,4030
24,"Jul 31, 2017",0.00013700000000000002,0.000164,8.1e-05,0.00011399999999999999,78,4826
25,"Jul 30, 2017",0.000136,0.00013700000000000002,0.00013000000000000002,0.00013700000000000002,1,4786
26,"Jul 29, 2017",0.000195,0.000195,0.000134,0.000136,1,6857
27,"Jul 28, 2017",0.000133,0.000195,0.000109,0.000195,6,4686
28,"Jul 27, 2017",0.000177,0.000181,0.000127,0.000133,1,6225
29,"Jul 26, 2017",0.000128,0.000177,0.000121,0.000176,48,4509
30,"Jul 25, 2017",0.000193,0.000194,0.000126,0.000128,2,6800
31,"Jul 24, 2017",0.000193,0.000196,0.000109,0.000193,1,6781
32,"Jul 23, 2017",0.000167,0.000197,0.00016,0.000193,13,5875
33,"Jul 21, 2017",0.00014199999999999998,0.00014199999999999998,0.000133,0.000134,1,4987
34,"Jul 20, 2017",9e-05,0.000145,9e-05,0.00014099999999999998,1,3177
35,"Jul 19, 2017",0.000138,0.000143,8.9e-05,9e-05,1,4866
36,"Jul 18, 2017",0.000133,0.000139,0.00011399999999999999,0.000138,7,4697
37,"Jul 17, 2017",0.00011499999999999999,0.000133,8e-05,0.000133,5,4064
38,"Jul 16, 2017",0.000139,0.000144,0.00011200000000000001,0.00011599999999999999,7,4894
39,"Jul 15, 2017",0.000133,0.000147,0.00011899999999999999,0.000139,62,4688
40,"Jul 14, 2017",0.00014,0.00014099999999999998,0.000129,0.000133,49,4924
41,"Jul 13, 2017",0.000143,0.000145,0.00014099999999999998,0.00014199999999999998,1,5043
42,"Jul 12, 2017",9.2e-05,0.000144,9e-05,0.000143,1,3249
43,"Jul 11, 2017",9.4e-05,9.6e-05,9e-05,9.300000000000001e-05,17,3297
44,"Jul 10, 2017",0.00015,0.000151,9.1e-05,9.4e-05,11,5294
45,"Jul 09, 2017",0.000127,0.000152,0.000126,0.00015,19,4489
46,"Jul 08, 2017",0.0001,0.000127,9.9e-05,0.000127,16,3524
47,"Jul 07, 2017",7.8e-05,0.000156,5.2000000000000004e-05,0.0001,43,2746
48,"Jul 06, 2017",0.00010400000000000001,0.000129,7.7e-05,7.8e-05,2,3663
49,"Jul 05, 2017",0.00013000000000000002,0.00013000000000000002,0.000102,0.00010400000000000001,3,4561
50,"Jul 04, 2017",0.000152,0.000154,7.7e-05,0.00013000000000000002,17,5360
51,"Jul 03, 2017",0.000124,0.000155,0.000124,0.000153,2,4384
52,"Jul 02, 2017",9.6e-05,0.000171,9.499999999999999e-05,0.000125,89,3391
53,"Jul 01, 2017",0.000123,0.000124,9.499999999999999e-05,9.6e-05,19,4318
54,"Jun 30, 2017",0.000127,0.000127,0.0001,0.000123,15,4459
55,"Jun 29, 2017",0.000102,0.000129,0.0001,0.000126,51,3596
56,"Jun 28, 2017",0.000102,0.00010400000000000001,9.8e-05,0.000102,16,3590
57,"Jun 27, 2017",9.7e-05,0.000101,9.2e-05,0.000101,9,3432
58,"Jun 26, 2017",0.000102,0.000102,9.300000000000001e-05,9.7e-05,25,3576
59,"Jun 25, 2017",7.7e-05,7.900000000000001e-05,7.5e-05,7.7e-05,1,2711
60,"Jun 24, 2017",0.00010800000000000001,0.000109,7.6e-05,7.7e-05,30,3790
61,"Jun 23, 2017",0.00015,0.00015,5.4000000000000005e-05,0.00010800000000000001,98,5279
62,"Jun 22, 2017",0.0001,0.00015,0.0001,0.00015,17,3519
63,"Jun 21, 2017",0.0001,0.0001,0.0001,0.0001,1,3519
64,"Jun 20, 2017",0.0001,0.0001,0.0001,0.0001,1,3519
65,"Jun 19, 2017",0.00015,0.00015,0.0001,0.0001,2,5279
66,"Jun 18, 2017",0.0001,0.00015,0.0001,0.00015,9,3519
67,"Jun 17, 2017",0.0001,0.00015,0.0001,0.0001,221,3519
68,"Jun 16, 2017",9.7e-05,0.0001,9.300000000000001e-05,0.0001,3,3401
69,"Jun 15, 2017",0.000147,0.00015,8.499999999999999e-05,9.7e-05,1,5193
70,"Jun 14, 2017",8.1e-05,0.000167,8.1e-05,0.000147,127,2861
71,"Jun 13, 2017",0.000106,0.00011,8e-05,8.1e-05,1,3721
