,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",8.04,8.49,7.99,8.35,97324,61772800
1,"Aug 24, 2017",8.01,8.31,7.77,8.06,124812,61528400
2,"Aug 23, 2017",7.77,8.86,7.75,8.01,273039,59629400
3,"Aug 22, 2017",7.0,8.07,6.02,7.78,658849,53752300
4,"Aug 21, 2017",8.01,8.04,6.69,6.99,396110,61522000
5,"Aug 20, 2017",8.08,9.0,7.43,7.75,296757,62040000
6,"Aug 19, 2017",8.14,8.62,6.93,8.14,312599,62437100
7,"Aug 18, 2017",8.94,9.62,7.87,8.14,414517,68589100
8,"Aug 17, 2017",9.49,10.49,8.78,8.93,360790,72804200
9,"Aug 16, 2017",10.26,10.39,9.14,9.44,511992,78736300
10,"Aug 15, 2017",12.2,13.12,9.21,10.25,910936,93585000
11,"Aug 14, 2017",9.55,12.43,8.81,12.08,1940450,73199600
12,"Aug 13, 2017",9.32,9.81,7.75,9.57,581556,71468800
13,"Aug 12, 2017",7.85,9.96,7.78,9.41,822778,60161800
14,"Aug 11, 2017",6.63,8.82,6.32,7.85,951132,50803200
15,"Aug 10, 2017",5.65,6.84,5.46,6.76,365844,43294000
16,"Aug 09, 2017",6.72,6.79,5.03,5.65,321938,51457000
17,"Aug 08, 2017",6.8,7.24,5.51,6.72,139162,52083900
18,"Aug 07, 2017",6.6,7.43,6.43,7.12,128399,50575200
19,"Aug 06, 2017",6.77,7.35,6.48,6.62,178446,51859700
20,"Aug 05, 2017",5.79,7.07,5.71,6.77,85077,44379000
21,"Aug 04, 2017",5.65,5.98,5.52,5.8,53803,43228400
22,"Aug 03, 2017",5.26,5.78,5.24,5.75,62178,40297500
23,"Aug 02, 2017",5.36,5.75,5.16,5.21,89193,41067900
24,"Aug 01, 2017",5.13,6.05,4.75,5.36,143405,39259800
25,"Jul 31, 2017",5.4,5.52,4.76,5.13,152741,41304000
26,"Jul 30, 2017",5.03,5.57,5.02,5.46,67129,38477100
27,"Jul 29, 2017",5.38,5.49,4.94,5.02,66003,41166400
28,"Jul 28, 2017",5.48,6.15,5.13,5.33,193689,41933000
29,"Jul 27, 2017",5.61,5.93,5.39,5.47,86468,42884000
30,"Jul 26, 2017",6.11,6.16,4.91,5.69,121000,46735800
31,"Jul 25, 2017",6.94,6.97,4.88,6.11,263620,53057200
32,"Jul 24, 2017",6.71,7.64,6.36,6.67,438281,51329500
33,"Jul 23, 2017",5.95,7.21,5.69,6.88,451767,45495200
34,"Jul 22, 2017",5.39,6.13,4.86,5.95,702698,41181200
35,"Jul 21, 2017",7.22,8.01,5.0,5.82,1020090,55185000
36,"Jul 20, 2017",6.8,6.95,6.8,6.95,983921,51998200
