,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.00013000000000000002,0.000132,4.3e-05,4.4e-05,1,-
1,"Aug 24, 2017",8.3e-05,0.000131,8.2e-05,0.00013000000000000002,8,-
2,"Aug 23, 2017",4.1e-05,8.499999999999999e-05,4.1e-05,8.3e-05,5,-
3,"Aug 22, 2017",8e-05,8.2e-05,3.8e-05,4.1e-05,30,-
4,"Aug 21, 2017",8.1e-05,8.2e-05,7.900000000000001e-05,8e-05,5,-
5,"Aug 20, 2017",4.1e-05,8.3e-05,4e-05,8.1e-05,1,-
6,"Aug 19, 2017",8.2e-05,8.3e-05,4.1e-05,4.2e-05,2,-
7,"Aug 18, 2017",8.6e-05,8.7e-05,8.4e-05,8.6e-05,0,-
8,"Aug 17, 2017",4.4e-05,8.9e-05,4.2e-05,8.6e-05,0,-
9,"Aug 16, 2017",8.3e-05,8.4e-05,4.1e-05,4.4e-05,4,-
10,"Aug 15, 2017",8.7e-05,8.9e-05,7.7e-05,8.3e-05,35,-
11,"Aug 14, 2017",8.1e-05,0.000125,8e-05,8.6e-05,5,-
12,"Aug 13, 2017",0.00011599999999999999,0.000122,7.7e-05,8.1e-05,23,-
13,"Aug 12, 2017",0.00011,0.00011599999999999999,0.00010800000000000001,0.00011599999999999999,1,-
14,"Aug 11, 2017",0.000102,0.00011100000000000001,0.000102,0.00011,4,-
15,"Aug 10, 2017",6.7e-05,0.000103,6.7e-05,0.000102,2,-
16,"Aug 09, 2017",0.000103,0.000103,6.500000000000001e-05,6.7e-05,8,-
17,"Aug 08, 2017",6.8e-05,0.00010400000000000001,6.7e-05,0.000103,0,-
18,"Aug 07, 2017",9.7e-05,9.8e-05,6.500000000000001e-05,6.8e-05,185,-
19,"Aug 06, 2017",6.500000000000001e-05,9.8e-05,6.3e-05,9.7e-05,3,-
20,"Aug 05, 2017",8.6e-05,9.7e-05,6.3e-05,6.500000000000001e-05,2,-
21,"Aug 04, 2017",5.6000000000000006e-05,8.6e-05,5.5e-05,8.6e-05,3,-
22,"Aug 03, 2017",5.4000000000000005e-05,8.4e-05,5.4000000000000005e-05,5.6000000000000006e-05,19,-
23,"Aug 02, 2017",5.4000000000000005e-05,5.5e-05,5.3e-05,5.4000000000000005e-05,1,-
24,"Aug 01, 2017",5.6999999999999996e-05,5.7999999999999994e-05,5.3e-05,5.4000000000000005e-05,0,-
25,"Jul 31, 2017",5.4000000000000005e-05,8.4e-05,5.4000000000000005e-05,5.6999999999999996e-05,18,-
26,"Jul 30, 2017",8.2e-05,8.2e-05,7.8e-05,8.2e-05,2,-
27,"Jul 29, 2017",8.3e-05,0.00011100000000000001,8e-05,8.2e-05,149,-
28,"Jul 28, 2017",8e-05,8.499999999999999e-05,8e-05,8.4e-05,0,-
29,"Jul 27, 2017",7.6e-05,8e-05,7.5e-05,8e-05,2,-
30,"Jul 26, 2017",7.7e-05,0.000101,7.2e-05,7.6e-05,15,-
31,"Jul 25, 2017",0.00010700000000000001,0.00010700000000000001,7.4e-05,7.7e-05,35,-
