,Date,Open,High,Low,Close,Volume,Market Cap
0,"Jun 13, 2017",12.68,16.57,10.93,11.22,7043,-
1,"Jun 12, 2017",10.47,12.84,10.47,12.72,2667,-
2,"Dec 24, 2016",42.16,42.16,29.46,29.69,0,42161500
3,"Dec 23, 2016",25.66,42.3,25.58,42.13,31366,25655800
4,"Dec 22, 2016",24.16,42.81,21.36,25.66,30134,24155300
5,"Dec 21, 2016",18.67,26.14,18.48,24.17,20388,18673900
6,"Dec 20, 2016",19.58,19.85,18.3,18.69,5470,19577900
7,"Dec 19, 2016",17.59,19.59,17.42,19.59,13729,17592300
8,"Dec 18, 2016",17.1,17.84,16.49,17.59,688,17095200
9,"Dec 17, 2016",16.82,25.24,16.67,17.1,2577,16824300
10,"Dec 16, 2016",17.68,17.68,16.81,16.82,156,17683100
11,"Dec 15, 2016",17.65,18.77,15.8,17.69,44227,17654100
12,"Dec 14, 2016",18.82,18.82,15.55,17.64,1047,18824100
13,"Dec 13, 2016",19.28,19.28,15.63,18.8,1157,19281800
14,"Dec 12, 2016",16.05,22.9,16.02,19.28,968,16047500
15,"Dec 11, 2016",18.18,18.91,15.41,16.06,4397,18184000
16,"Dec 10, 2016",18.0,19.19,17.99,18.19,14668,18001500
17,"Dec 09, 2016",16.49,21.19,16.45,18.0,2034,16491500
18,"Dec 08, 2016",16.3,18.14,16.17,16.49,875,16301100
19,"Dec 07, 2016",15.99,18.91,15.99,16.25,7654,15990500
20,"Dec 06, 2016",14.17,16.08,14.17,15.97,3096,14172800
21,"Dec 05, 2016",15.14,15.45,14.1,14.17,1131,15137000
22,"Dec 04, 2016",15.01,16.4,14.91,15.13,1335,15012800
23,"Dec 03, 2016",15.93,17.47,14.64,14.99,292,15927700
24,"Dec 02, 2016",14.32,16.27,13.94,15.93,11602,14321800
25,"Dec 01, 2016",13.31,14.63,13.24,14.29,3449,13311400
26,"Nov 30, 2016",14.03,14.15,13.25,13.3,2003,14028600
27,"Nov 29, 2016",14.59,14.84,13.81,14.03,2098,14588600
28,"Nov 28, 2016",13.14,14.72,12.77,14.58,2981,13141800
29,"Nov 27, 2016",14.34,14.35,13.13,13.13,2053,14340900
30,"Nov 26, 2016",15.22,15.24,14.01,14.35,780,15217700
31,"Nov 25, 2016",13.32,15.59,13.1,15.21,4368,13322500
32,"Nov 24, 2016",12.94,13.67,12.94,13.33,1784,12943500
33,"Nov 23, 2016",12.89,12.98,11.81,12.95,555,12891300
34,"Nov 22, 2016",12.68,13.16,12.23,12.89,155,12680000
35,"Nov 21, 2016",11.48,13.18,11.48,12.69,63,11476000
36,"Nov 20, 2016",13.66,20.45,11.48,11.48,561,13659200
37,"Nov 19, 2016",11.79,13.9,11.63,13.66,22,11794300
38,"Nov 18, 2016",14.15,14.15,11.72,11.79,9416,14150000
39,"Nov 17, 2016",13.77,14.24,12.8,14.14,1905,13774800
40,"Nov 16, 2016",12.93,14.03,12.83,13.89,14919,12927900
41,"Nov 15, 2016",11.59,13.01,11.59,12.92,7892,11585000
42,"Nov 14, 2016",12.64,13.02,11.54,11.58,653,12640900
43,"Nov 13, 2016",13.34,13.46,11.92,12.64,268,13339000
44,"Nov 12, 2016",11.3,13.53,11.29,13.34,1,11303500
45,"Nov 11, 2016",12.93,12.96,10.03,11.3,6,12934000
46,"Nov 10, 2016",10.9,13.18,10.37,12.95,4687,10905000
47,"Nov 09, 2016",10.56,11.08,10.23,10.9,107,10565000
48,"Nov 08, 2016",8.66,12.73,8.66,10.57,10428,8660680
49,"Nov 07, 2016",12.64,13.72,7.48,8.64,13843,12635100
