,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",8.7e-05,8.9e-05,8.6e-05,8.9e-05,45,-
1,"Aug 24, 2017",8.499999999999999e-05,8.7e-05,8.4e-05,8.7e-05,43,-
2,"Aug 20, 2017",4.1e-05,4.1e-05,4.1e-05,4.1e-05,14,-
3,"Aug 19, 2017",4.1e-05,4.2e-05,4e-05,4.2e-05,14,-
4,"Aug 18, 2017",4.3e-05,4.4e-05,4.2e-05,4.2e-05,4,-
5,"Aug 17, 2017",8.8e-05,8.8e-05,4.2e-05,4.3e-05,8,-
6,"Aug 16, 2017",8.3e-05,8.8e-05,7.900000000000001e-05,8.8e-05,9,-
7,"Aug 15, 2017",8.7e-05,8.9e-05,7.7e-05,8.3e-05,2,-
8,"Aug 14, 2017",4.1e-05,8.6e-05,4.1e-05,8.6e-05,64,-
9,"Aug 11, 2017",3.4e-05,3.6e-05,3.4e-05,3.6e-05,12,-
10,"Aug 10, 2017",3.4e-05,3.4e-05,3.4e-05,3.4e-05,11,-
11,"Aug 09, 2017",3.4e-05,3.4e-05,3.3e-05,3.3e-05,1,-
12,"Aug 08, 2017",3.4e-05,3.5e-05,3.3e-05,3.4e-05,1,-
13,"Aug 07, 2017",6.8e-05,6.8e-05,3.4e-05,3.4e-05,1,-
14,"Aug 06, 2017",3.3e-05,3.3e-05,3.2e-05,3.2e-05,1,-
15,"Aug 05, 2017",3.3e-05,3.3e-05,3.2e-05,3.3e-05,6,-
16,"Aug 04, 2017",5.6000000000000006e-05,5.6999999999999996e-05,5.5e-05,5.6999999999999996e-05,0,-
17,"Aug 03, 2017",2.7000000000000002e-05,5.6000000000000006e-05,2.7000000000000002e-05,5.6000000000000006e-05,0,-
18,"Aug 02, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,3,-
19,"Aug 01, 2017",2.8999999999999997e-05,5.7999999999999994e-05,2.7000000000000002e-05,2.7000000000000002e-05,1,-
20,"Jul 31, 2017",5.5e-05,5.5e-05,2.7000000000000002e-05,2.8999999999999997e-05,13,-
21,"Jul 30, 2017",5.4000000000000005e-05,5.5e-05,5.2000000000000004e-05,5.5e-05,8,-
22,"Jul 29, 2017",5.6000000000000006e-05,5.6000000000000006e-05,5.3e-05,5.4000000000000005e-05,6,-
23,"Jul 28, 2017",5.3e-05,5.6000000000000006e-05,5.3e-05,5.6000000000000006e-05,13,-
24,"Jul 27, 2017",5e-05,5.4000000000000005e-05,5e-05,5.3e-05,5,-
25,"Jul 26, 2017",5.1e-05,7.7e-05,4.8e-05,5e-05,47,-
26,"Jul 25, 2017",5.5e-05,7.6e-05,4.9e-05,5.1e-05,32,-
27,"Jul 24, 2017",5.5e-05,5.6000000000000006e-05,5.4000000000000005e-05,5.5e-05,5,-
28,"Jul 23, 2017",5.6999999999999996e-05,5.6999999999999996e-05,5.3e-05,5.5e-05,13,-
29,"Jul 22, 2017",5.3e-05,5.7999999999999994e-05,5.3e-05,5.6999999999999996e-05,16,-
30,"Jul 21, 2017",5.6999999999999996e-05,5.6999999999999996e-05,5.2000000000000004e-05,5.2000000000000004e-05,5,-
31,"Jul 20, 2017",6.8e-05,8e-05,5.4000000000000005e-05,5.6000000000000006e-05,35,-
