,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",2.14,2.44,2.12,2.44,1313110,115957000
1,"Aug 24, 2017",2.03,2.16,1.98,2.1,612742,109890000
2,"Aug 23, 2017",1.92,2.29,1.88,2.07,1609530,104087000
3,"Aug 22, 2017",1.88,2.03,1.66,1.92,1023270,101728000
4,"Aug 21, 2017",1.99,2.05,1.77,1.88,813647,107825000
5,"Aug 20, 2017",1.87,2.31,1.77,2.04,2125280,101012000
6,"Aug 19, 2017",1.69,1.91,1.62,1.88,778515,91675300
7,"Aug 18, 2017",1.7,1.8,1.63,1.7,701658,91976700
8,"Aug 17, 2017",1.9,1.94,1.7,1.72,950748,102921000
9,"Aug 16, 2017",1.91,2.04,1.8,1.91,776786,103296000
10,"Aug 15, 2017",1.77,2.12,1.58,1.92,1241080,95512400
11,"Aug 14, 2017",1.91,1.94,1.66,1.76,968330,103302000
12,"Aug 13, 2017",2.01,2.09,1.8,1.91,1095310,108692000
13,"Aug 12, 2017",2.08,2.29,1.94,2.01,1237300,112256000
14,"Aug 11, 2017",2.14,2.18,1.93,2.12,1161090,115638000
15,"Aug 10, 2017",1.96,2.26,1.96,2.14,1374460,106106000
16,"Aug 09, 2017",1.98,2.13,1.94,1.96,826578,106785000
17,"Aug 08, 2017",1.99,2.06,1.89,2.01,857147,107615000
18,"Aug 07, 2017",1.91,2.09,1.87,2.0,959104,103352000
19,"Aug 06, 2017",2.1,2.18,1.92,1.97,847640,113523000
20,"Aug 05, 2017",2.06,2.2,1.97,2.13,698568,111004000
21,"Aug 04, 2017",1.95,2.06,1.91,2.06,571097,105250000
22,"Aug 03, 2017",1.96,2.03,1.89,2.01,426579,105789000
23,"Aug 02, 2017",1.98,2.06,1.85,1.96,758057,107040000
24,"Aug 01, 2017",1.91,2.13,1.73,1.98,664847,102948000
25,"Jul 31, 2017",1.92,1.93,1.79,1.9,486765,103642000
26,"Jul 30, 2017",1.96,1.97,1.79,1.92,353030,105804000
27,"Jul 29, 2017",1.92,1.98,1.85,1.96,337647,103718000
28,"Jul 28, 2017",2.21,2.27,1.77,1.93,1029330,119215000
29,"Jul 27, 2017",2.0,2.29,1.99,2.22,677869,107802000
30,"Jul 26, 2017",1.87,2.01,1.82,1.99,470235,100864000
