,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",208646,211292,108336,109819,399,-
1,"Aug 24, 2017",200106,210500,198497,208975,378,-
2,"Aug 23, 2017",197357,205510,196684,200019,23,-
3,"Aug 22, 2017",200047,200173,181137,197760,167,-
4,"Aug 21, 2017",202870,335216,199208,199584,340,-
5,"Aug 20, 2017",348207,348207,202550,203643,644,-
6,"Aug 19, 2017",343720,350501,267681,349839,886,-
7,"Aug 18, 2017",213991,344723,202454,344014,1069,-
8,"Aug 17, 2017",300592,301699,188762,214647,290,-
9,"Aug 16, 2017",252873,300923,240463,300870,221,-
10,"Aug 15, 2017",272079,278371,198087,252595,431,-
11,"Aug 14, 2017",278205,295746,202504,271349,727,-
12,"Aug 13, 2017",201123,282389,196814,278028,371,-
13,"Aug 12, 2017",186168,205886,184229,201310,119,-
14,"Aug 11, 2017",239128,251214,179446,186313,52,-
15,"Aug 10, 2017",237352,241027,233796,239142,34,-
16,"Aug 09, 2017",222218,242103,218331,237329,71,-
17,"Aug 08, 2017",250987,252794,217740,222369,34,-
18,"Aug 07, 2017",238291,251716,149933,250734,192,-
19,"Aug 06, 2017",130718,240676,129908,238825,306,-
20,"Aug 05, 2017",142729,166095,142624,162775,165,-
21,"Aug 04, 2017",153022,219885,141420,142792,634,-
22,"Aug 03, 2017",186575,190805,186458,190281,19,-
23,"Aug 02, 2017",240153,242315,183360,186242,19,-
24,"Aug 01, 2017",188912,242739,139763,240199,254,-
25,"Jul 31, 2017",205543,221268,184121,188821,393,-
26,"Jul 30, 2017",202827,260013,188793,205333,379,-
27,"Jul 29, 2017",278110,278870,266932,269087,27,-
28,"Jul 28, 2017",226187,280303,212108,279169,180,-
29,"Jul 27, 2017",252470,264396,225504,225504,55,-
30,"Jul 26, 2017",230424,272848,180925,251755,492,-
31,"Jul 25, 2017",250988,279256,223011,230319,282,-
32,"Jul 24, 2017",370772,370772,244230,251015,935,-
33,"Jul 23, 2017",209454,387724,196255,371203,37923,-
34,"Jul 22, 2017",194740,259858,193808,209454,85,-
35,"Jul 21, 2017",206730,238813,189620,194780,211,-
36,"Jul 20, 2017",157865,265329,157865,205208,390,-
37,"Jul 19, 2017",241784,241784,156170,158341,2227,-
38,"Jul 18, 2017",217841,250068,211734,241400,169,-
39,"Jul 17, 2017",136528,217639,136528,217281,44,-
40,"Jul 16, 2017",140946,145638,130426,136679,14,-
41,"Jul 15, 2017",268450,268941,141261,141371,261,-
42,"Jul 14, 2017",222397,273394,158062,268911,1031,-
43,"Jul 13, 2017",226717,229649,220517,222560,181,-
44,"Jul 12, 2017",217404,333891,210755,226548,91,-
45,"Jul 11, 2017",217652,224287,209676,217727,262,-
46,"Jul 10, 2017",314655,316330,212117,218116,251,-
47,"Jul 09, 2017",382405,383591,314043,314043,177,-
48,"Jul 08, 2017",355233,382471,315614,382063,274,-
49,"Jul 07, 2017",376523,492981,351394,354935,324,-
50,"Jul 06, 2017",326271,377318,326271,376247,533,-
51,"Jul 05, 2017",375564,375564,316626,326109,534,-
52,"Jul 04, 2017",380480,393450,319882,375767,416,-
53,"Jul 03, 2017",435659,437050,299093,381347,537,-
54,"Jul 02, 2017",438076,443585,288885,437269,1029,-
55,"Jul 01, 2017",301568,471427,252705,438130,7353,-
56,"Jun 30, 2017",506422,508395,300493,301684,302,-
57,"Jun 29, 2017",1531520,1536280,254544,505416,801,-
58,"Jun 28, 2017",356769,1540320,205568,1532950,3250,-
59,"Jun 27, 2017",197320,354458,188693,354458,325,-
60,"Jun 26, 2017",264412,370922,189706,192769,1043,-
61,"Jun 25, 2017",369422,375406,187207,264550,2466,-
62,"Jun 24, 2017",336025,680023,198780,370271,970,-
63,"Jun 23, 2017",170364,341394,170364,336063,128,-
64,"Jun 22, 2017",249800,312251,169864,170364,320,-
65,"Jun 21, 2017",222372,249800,219825,249800,159,-
66,"Jun 20, 2017",222322,222372,222322,222372,47,-
67,"Jun 19, 2017",250325,362211,187350,222322,545,-
68,"Jun 18, 2017",354717,749402,250325,250325,807,-
69,"Jun 17, 2017",349721,354717,224820,354717,625,-
70,"Jun 16, 2017",164137,369705,162258,349721,244,-
71,"Jun 15, 2017",257806,262734,157028,164259,107,-
72,"Jun 14, 2017",159770,288543,159738,257817,85,-
73,"Jun 13, 2017",282626,295458,159378,159863,72,-
74,"Jun 12, 2017",180524,286219,129734,283574,313,-
75,"Jun 11, 2017",204991,210955,202814,209448,34,-
76,"Jun 10, 2017",275416,278341,199911,205109,248,-
77,"Jun 09, 2017",274528,371211,273388,275003,441,-
78,"Jun 08, 2017",207182,303042,201659,274962,353,-
79,"Jun 07, 2017",372663,373608,202479,206146,1299,-
80,"Jun 06, 2017",336849,380234,279852,372569,733,-
81,"Jun 05, 2017",462588,478571,325477,335832,463,-
82,"Jun 04, 2017",367442,463708,323912,462505,259,-
83,"Jun 03, 2017",311837,466924,306295,368437,407,-
84,"Jun 02, 2017",595117,596240,299234,460286,1198,-
85,"Jun 01, 2017",708346,735181,294893,594848,3771,-
86,"May 31, 2017",440217,1661230,413046,708415,1948,-
87,"May 30, 2017",440188,440971,433404,438497,1546,-
